time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.183,3.156,257.784,47.383,-206.393,4,,572.333,64.798,0.000,-0.416
0.384,6.763,256.985,47.376,-205.591,4,,573.445,63.713,0.000,-0.290
0.584,9.813,255.696,47.378,-204.495,4,,575.123,62.060,0.000,-0.192
0.784,12.673,253.824,47.378,-203.192,4,,577.396,59.795,0.000,-0.111
0.984,15.375,251.367,47.360,-201.775,4,,580.206,56.962,0.000,-0.050
1.184,17.939,248.363,47.315,-200.269,4,,583.517,53.601,0.000,-0.009
1.385,20.369,244.866,47.228,-198.637,4,,587.303,49.747,0.000,0.014
1.585,22.669,240.939,47.081,-196.813,4,,591.560,45.424,0.000,0.024
1.785,24.852,236.642,46.842,-194.735,4,,596.283,40.655,0.000,0.024
1.985,26.907,232.023,46.576,-192.363,4,,601.450,35.464,0.000,0.017
2.185,28.843,227.109,46.311,-189.697,4,,607.035,29.873,0.000,0.007
2.385,30.668,221.908,46.007,-186.777,4,,613.009,23.909,0.000,-0.005
2.585,31.691,216.458,45.661,-183.693,4,,619.288,17.649,0.000,-0.016
2.785,31.917,210.893,45.292,-180.617,4,,625.668,11.292,0.000,-0.023
4.214,0.923,196.422,44.027,-167.410,4,,644.106,7.117,0.000,-0.360
4.415,4.458,196.594,43.995,-166.859,4,,644.152,7.685,0.000,-0.521
4.616,7.781,196.904,43.908,-165.634,4,,644.323,8.938,0.000,-0.531
4.816,9.816,197.086,43.711,-163.808,4,,644.843,10.773,0.000,-0.555
5.018,9.941,196.824,43.444,-161.850,4,,645.779,12.686,0.000,-0.592
5.218,9.919,196.004,43.206,-160.049,4,,647.103,14.359,0.000,-0.609
5.418,9.896,194.669,43.045,-158.582,4,,648.822,15.528,0.000,-0.566
5.618,10.195,192.943,42.924,-157.588,4,,650.674,15.716,0.000,-0.318
5.818,13.063,190.668,42.774,-156.983,4,,652.852,14.503,0.000,-0.017
6.018,15.881,187.782,42.574,-156.549,4,,655.615,12.378,0.000,0.115
6.218,18.476,184.375,42.401,-155.964,4,,658.825,9.715,0.000,0.170
6.418,20.787,180.571,42.290,-154.886,4,,662.592,6.802,0.000,0.189
6.618,22.865,176.581,42.125,-153.056,4,,666.737,3.919,0.000,0.186
6.818,24.774,172.652,41.868,-150.325,4,Fern Gully,671.091,1.346,0.000,0.164
7.018,26.590,169.020,41.545,-146.672,4,Fern Gully,675.338,0.671,0.000,0.128
7.219,28.373,165.819,41.207,-142.189,4,Fern Gully,679.369,1.983,0.000,0.085
7.588,31.449,160.814,40.539,-131.930,4,Fern Gully,686.258,2.575,0.000,0.008
7.788,31.867,158.488,40.185,-126.037,4,Fern Gully,689.585,2.168,0.000,-0.016
7.989,31.743,156.169,39.849,-120.114,4,Fern Gully,692.928,1.545,0.000,-0.028
8.189,31.921,153.717,39.530,-114.241,4,Fern Gully,696.283,0.861,0.000,-0.032
8.390,31.820,151.066,39.227,-108.464,4,Fern Gully,699.856,0.252,0.000,-0.030
8.590,31.932,148.191,38.927,-102.777,4,Fern Gully,703.557,0.169,0.000,-0.025
8.791,31.859,145.131,38.622,-97.208,4,Fern Gully,707.426,0.408,0.000,-0.019
8.991,31.658,141.907,38.316,-91.714,4,Fern Gully,711.467,0.500,0.000,-0.012
9.220,31.912,138.238,37.983,-85.759,4,Fern Gully,717.274,0.484,0.000,-0.007
