time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.184,3.159,-11.725,8.391,528.855,4,,339.439,64.681,0.000,0.003
0.384,6.465,-12.724,8.380,528.849,4,,340.438,63.682,0.000,0.003
0.584,9.569,-14.361,8.374,528.839,4,,342.076,62.045,0.000,0.003
0.784,12.482,-16.599,8.374,528.828,4,,344.313,59.807,0.000,0.003
0.985,15.217,-19.399,8.374,528.818,4,,347.113,57.007,0.000,0.003
1.185,17.784,-22.727,8.374,528.812,4,,350.442,53.679,0.000,0.002
1.385,20.193,-26.551,8.374,528.813,4,,354.266,49.855,0.000,0.002
1.585,22.455,-30.841,8.376,528.821,4,,358.556,45.565,0.000,0.002
1.785,24.577,-35.567,8.380,528.839,4,,363.282,40.839,0.000,0.001
1.985,26.568,-40.704,8.385,528.865,4,,368.419,35.702,0.000,0.001
2.185,28.438,-46.225,8.393,528.898,4,,373.940,30.181,0.000,0.000
2.385,30.192,-52.107,8.403,528.937,4,,379.823,24.299,0.000,0.000
2.586,31.838,-58.328,8.415,528.979,4,,386.044,18.078,0.000,-0.001
2.786,33.383,-64.867,8.430,529.021,4,,392.583,11.539,0.000,-0.001
2.986,34.832,-71.704,8.448,529.058,4,,399.421,4.701,0.000,-0.001
3.190,31.507,-79.162,8.470,529.102,4,,406.879,0.611,1.000,0.029
3.391,25.981,-84.853,8.488,529.246,4,,412.570,2.406,1.000,-0.042
3.594,20.465,-89.442,8.503,529.357,4,,417.159,3.634,1.000,-0.111
3.797,15.984,-92.984,8.516,529.224,4,,420.702,4.261,0.711,-0.211
3.997,12.852,-95.850,8.528,528.760,4,,423.568,3.979,0.829,-0.349
4.202,10.502,-97.979,8.538,527.990,4,,425.697,2.681,0.151,-0.389
4.415,9.915,-99.815,8.548,526.764,4,,427.533,1.306,0.000,-0.374
4.617,10.760,-101.195,8.554,525.289,4,,428.914,0.199,0.000,-0.339
4.821,13.428,-102.470,8.563,523.195,4,,430.190,0.905,0.000,-0.283
5.023,15.900,-103.503,8.588,520.418,4,,431.224,1.919,0.000,-0.220
5.223,18.248,-104.104,8.564,517.020,2,,431.827,2.685,0.000,-0.154
5.427,20.597,-104.178,8.290,513.107,4,,431.901,3.078,0.000,-0.091
5.630,23.085,-103.690,8.012,508.312,4,Granite Creek Cut,431.414,3.050,0.000,-0.029
5.832,25.206,-102.875,7.999,503.533,4,Granite Creek Cut,430.599,2.668,0.000,0.016
6.032,27.181,-101.905,8.024,498.362,4,Granite Creek Cut,429.631,2.049,0.000,0.050
6.383,30.182,-100.597,7.913,488.657,4,Granite Creek Cut,428.325,0.812,0.000,0.087
6.594,31.695,-100.468,8.040,481.851,4,Granite Creek Cut,428.198,0.112,0.000,0.093
6.794,32.966,-100.872,8.633,475.432,4,Granite Creek Cut,428.607,0.601,0.000,0.096
7.019,34.254,-101.999,9.528,468.166,4,Granite Creek Cut,429.744,1.523,0.000,0.072
7.219,34.427,-103.596,10.147,461.456,0,Granite Creek Cut,431.348,2.078,0.000,0.047
7.445,33.780,-105.390,10.374,454.095,0,Granite Creek Cut,433.146,2.669,0.000,0.025
7.645,34.199,-107.287,10.304,447.498,4,Granite Creek Cut,435.043,3.006,0.000,0.013
7.845,35.497,-110.257,10.561,441.182,4,Granite Creek Cut,438.014,2.368,0.000,0.006
8.047,36.736,-113.680,10.990,434.819,4,Granite Creek Cut,441.441,1.498,0.000,0.002
8.248,38.011,-117.650,11.386,427.613,4,Granite Creek Cut,445.407,0.691,0.000,0.005
8.453,39.096,-121.410,11.711,420.875,4,Granite Creek Cut,449.160,0.191,0.000,0.013
8.685,40.209,-125.751,12.086,413.303,4,Granite Creek Cut,453.485,0.086,0.000,0.023
8.890,41.240,-130.399,12.465,405.638,4,Granite Creek Cut,458.120,0.114,0.000,0.034
9.090,42.104,-134.987,12.795,398.676,4,Granite Creek Cut,462.673,0.006,0.000,0.042
9.292,42.895,-140.004,13.104,391.807,4,Granite Creek Cut,467.659,0.195,0.000,0.047
9.495,43.330,-145.486,13.388,385.142,4,Granite Creek Cut,473.096,0.396,0.000,0.048
9.697,43.507,-151.414,13.640,378.792,4,Granite Creek Cut,478.957,0.574,0.000,0.045
9.897,43.588,-157.741,13.874,372.807,4,Granite Creek Cut,485.209,0.718,0.000,0.038
10.097,43.632,-164.404,14.128,367.182,4,Granite Creek Cut,491.734,0.781,0.000,0.030
10.297,43.661,-171.331,14.397,361.874,4,Granite Creek Cut,498.584,0.757,0.000,0.022
10.498,43.682,-178.451,14.663,356.822,4,Granite Creek Cut,505.587,0.665,0.000,0.015
10.698,43.696,-185.708,14.917,351.959,4,Granite Creek Cut,512.665,0.538,0.000,0.009
10.898,43.706,-193.052,15.159,347.227,4,Granite Creek Cut,519.871,0.404,0.000,0.005
11.098,43.714,-200.451,15.388,342.575,4,Granite Creek Cut,527.064,0.282,0.000,0.002
11.298,43.719,-207.878,15.602,337.966,4,Granite Creek Cut,534.290,0.183,0.000,0.000
11.499,43.724,-215.316,15.798,333.371,4,Granite Creek Cut,541.527,0.108,0.000,-0.002
11.700,43.729,-222.753,15.975,328.771,4,Granite Creek Cut,548.671,0.056,0.000,-0.003
11.900,43.734,-230.177,16.131,324.149,4,Granite Creek Cut,555.843,0.020,0.000,-0.005
12.127,43.740,-238.320,16.276,319.023,4,Granite Creek Cut,563.626,0.007,0.000,-0.006
12.327,43.745,-245.690,16.382,314.309,4,Granite Creek Cut,570.687,0.028,0.000,-0.008
12.898,43.763,-266.799,16.535,300.220,4,Granite Creek Cut,590.586,0.086,0.000,-0.010
13.098,43.771,-273.959,16.528,295.183,4,Granite Creek Cut,597.292,0.125,0.000,-0.008
13.298,43.779,-281.059,16.488,290.058,4,Granite Creek Cut,603.907,0.163,0.000,-0.006
13.499,43.789,-288.106,16.412,284.859,4,Granite Creek Cut,610.343,0.167,0.000,-0.005
13.700,43.798,-295.115,16.305,279.605,4,Granite Creek Cut,616.640,0.148,0.000,-0.003
13.905,42.737,-302.066,16.213,274.335,4,Granite Creek Cut,623.039,0.118,0.834,-0.002
14.105,38.214,-308.491,16.604,269.435,4,Granite Creek Cut,628.945,0.092,1.000,-0.002
14.311,33.816,-314.636,17.326,264.745,4,Granite Creek Cut,634.657,0.081,0.534,-0.002
14.511,32.498,-319.845,18.187,260.768,4,Granite Creek Cut,639.445,0.081,0.155,-0.002
