time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.183,3.159,-11.746,8.391,531.855,4,,339.439,64.719,0.000,-0.263
0.383,6.462,-12.744,8.380,531.826,4,,340.442,63.721,0.000,-0.165
0.583,9.559,-14.376,8.374,531.705,4,,342.078,62.085,0.000,-0.087
0.783,12.467,-16.594,8.374,531.434,4,,344.301,59.858,0.000,-0.030
0.983,15.200,-19.358,8.374,531.004,4,,347.069,57.080,0.000,0.007
1.183,17.768,-22.638,8.374,530.458,4,,350.353,53.785,0.000,0.028
1.383,20.175,-26.413,8.374,529.873,4,,354.130,49.998,0.000,0.037
1.584,22.428,-30.664,8.376,529.328,4,,358.381,45.742,0.000,0.037
1.785,24.540,-35.364,8.379,528.890,4,,363.079,41.042,0.000,0.032
1.986,26.523,-40.484,8.385,528.596,4,,368.198,35.925,0.000,0.024
2.198,28.568,-46.565,8.393,528.445,4,,374.278,29.847,0.000,0.015
2.398,30.311,-52.472,8.404,528.443,4,,380.185,23.942,0.000,0.008
2.599,31.948,-58.716,8.416,528.534,4,,386.429,17.698,0.000,0.002
2.799,33.486,-65.274,8.431,528.676,4,,392.989,11.138,0.000,-0.002
4.229,1.470,-85.236,8.482,534.998,4,,412.960,2.928,0.000,-0.600
4.429,4.886,-85.277,8.476,535.670,4,,413.001,3.555,0.000,-0.714
4.634,8.326,-85.547,8.460,537.142,4,,413.267,4.894,0.000,-0.641
4.834,9.786,-86.294,8.435,538.870,4,,414.014,6.357,0.000,-0.609
5.034,9.860,-87.550,8.414,540.393,4,,415.271,7.552,0.000,-0.590
5.245,9.840,-89.212,8.392,541.466,4,,416.929,8.293,0.000,-0.556
5.446,9.847,-91.121,8.373,541.987,4,,418.836,8.562,0.000,-0.512
5.651,9.881,-93.295,8.381,541.906,4,,421.009,8.410,0.000,-0.450
5.851,9.895,-95.180,8.406,541.297,4,,422.894,7.919,0.000,-0.389
6.051,10.730,-96.904,8.438,540.250,4,,424.618,7.123,0.000,-0.331
6.251,13.171,-98.678,8.475,538.580,4,,426.392,6.046,0.000,-0.272
6.454,14.137,-100.275,8.509,536.404,4,,427.991,4.829,0.000,-0.224
6.654,15.223,-101.574,8.563,533.797,4,,429.290,3.633,0.000,-0.183
6.889,17.361,-102.640,8.593,530.371,4,,430.357,2.545,0.000,-0.143
7.093,19.928,-103.288,8.573,526.289,4,,431.007,2.013,0.000,-0.105
7.293,22.131,-103.464,8.565,522.063,4,,431.184,1.870,0.000,-0.072
7.695,26.071,-102.717,8.374,512.375,4,,430.440,1.690,0.000,-0.009
7.901,28.043,-101.968,8.070,507.003,4,Granite Creek Cut,429.691,1.459,0.000,0.017
8.110,29.872,-101.161,7.980,501.252,4,Granite Creek Cut,428.885,1.131,0.000,0.040
8.331,31.869,-100.374,7.977,493.862,4,Granite Creek Cut,428.101,0.662,0.000,0.064
8.531,33.371,-100.103,7.932,487.328,4,Granite Creek Cut,427.831,0.251,0.000,0.076
8.731,34.481,-100.401,8.148,480.562,4,Granite Creek Cut,428.132,0.129,0.000,0.082
8.931,35.580,-101.185,8.825,473.643,4,Granite Creek Cut,428.922,0.719,0.000,0.082
9.132,36.606,-102.521,9.694,466.591,4,Granite Creek Cut,430.266,1.517,0.000,0.062
9.334,36.427,-104.271,10.296,459.480,0,Granite Creek Cut,432.025,2.047,0.000,0.040
9.534,35.844,-106.022,10.502,452.396,0,Granite Creek Cut,433.780,2.610,0.000,0.024
9.735,35.976,-107.958,10.401,445.393,4,Granite Creek Cut,435.716,3.077,0.000,0.016
9.935,37.041,-110.965,10.689,438.732,4,Granite Creek Cut,438.723,2.579,0.000,0.016
10.138,38.180,-114.524,11.131,432.105,4,Granite Creek Cut,442.287,1.758,0.000,0.011
10.342,39.253,-118.323,11.487,425.353,4,Granite Creek Cut,446.081,1.021,0.000,0.010
10.547,40.261,-122.323,11.820,418.476,4,Granite Creek Cut,450.074,0.466,0.000,0.015
10.747,41.204,-126.534,12.170,411.499,4,Granite Creek Cut,454.269,0.132,0.000,0.023
10.971,42.167,-131.472,12.553,403.766,4,Granite Creek Cut,459.182,0.007,0.000,0.033
11.187,43.017,-136.825,12.915,396.066,4,Granite Creek Cut,464.503,0.074,0.000,0.042
11.416,43.427,-143.216,13.275,387.884,4,Granite Creek Cut,470.840,0.263,0.000,0.047
11.617,43.548,-148.994,13.541,381.383,4,Granite Creek Cut,476.562,0.438,0.000,0.046
11.828,43.600,-155.170,13.779,375.234,4,Granite Creek Cut,482.668,0.609,0.000,0.041
12.029,43.633,-161.698,14.022,369.451,4,Granite Creek Cut,489.110,0.724,0.000,0.034
12.237,43.660,-169.212,14.315,363.478,4,Granite Creek Cut,496.498,0.749,0.000,0.025
12.443,43.678,-176.273,14.583,358.342,4,Granite Creek Cut,503.442,0.690,0.000,0.017
12.643,43.693,-183.488,14.841,353.421,4,Granite Creek Cut,510.497,0.581,0.000,0.011
12.843,43.704,-190.807,15.087,348.650,4,Granite Creek Cut,517.674,0.451,0.000,0.007
13.046,43.712,-198.192,15.320,343.977,4,Granite Creek Cut,524.899,0.325,0.000,0.003
13.246,43.718,-205.613,15.539,339.359,4,Granite Creek Cut,532.088,0.218,0.000,0.001
13.446,43.723,-213.050,15.740,334.765,4,Granite Creek Cut,539.328,0.134,0.000,-0.001
13.646,43.728,-220.490,15.923,330.170,4,Granite Creek Cut,546.485,0.073,0.000,-0.003
13.995,43.736,-233.851,16.200,321.846,4,Granite Creek Cut,559.345,0.006,0.000,-0.005
14.198,43.742,-241.241,16.321,317.165,4,Granite Creek Cut,566.437,0.017,0.000,-0.007
14.399,43.747,-248.597,16.417,312.428,4,Granite Creek Cut,573.477,0.036,0.000,-0.008
14.599,43.753,-255.908,16.486,307.619,4,Granite Creek Cut,580.346,0.054,0.000,-0.010
14.799,43.760,-263.164,16.526,302.725,4,Granite Creek Cut,587.207,0.074,0.000,-0.010
14.999,43.767,-270.357,16.536,297.735,4,Granite Creek Cut,593.981,0.102,0.000,-0.009
15.199,43.775,-277.486,16.513,292.653,4,Granite Creek Cut,600.674,0.148,0.000,-0.007
15.399,43.784,-284.558,16.454,287.489,4,Granite Creek Cut,607.012,0.168,0.000,-0.005
15.599,43.794,-291.585,16.362,282.261,4,Granite Creek Cut,613.464,0.160,0.000,-0.004
15.799,43.802,-298.577,16.245,276.985,4,Granite Creek Cut,619.891,0.134,0.000,-0.002
15.999,41.047,-305.344,16.357,271.836,4,Granite Creek Cut,626.117,0.103,1.000,-0.002
16.199,35.379,-311.350,16.900,267.253,4,Granite Creek Cut,631.621,0.085,1.000,-0.002
16.402,33.560,-316.716,17.643,263.158,4,Granite Creek Cut,636.622,0.080,0.000,-0.002
16.602,31.809,-321.819,18.571,259.261,4,Granite Creek Cut,641.279,0.083,0.000,-0.002
16.803,31.794,-326.852,19.426,255.413,0,Granite Creek Cut,645.956,0.086,0.000,-0.001
17.004,31.516,-331.873,19.892,251.573,0,Granite Creek Cut,650.655,0.092,0.000,0.000
17.206,31.349,-336.874,19.963,247.748,0,Granite Creek Cut,655.353,0.100,0.000,0.001
17.406,31.284,-341.853,19.642,243.941,0,Granite Creek Cut,659.941,0.107,0.000,0.002
17.606,31.303,-346.811,18.931,240.149,0,Granite Creek Cut,1233.663,0.113,0.000,0.003
17.806,31.379,-351.747,17.830,236.374,0,Granite Creek Cut,1237.167,0.114,0.000,0.005
18.011,31.485,-357.152,16.173,232.241,0,Granite Creek Cut,1241.097,0.110,0.000,0.007
18.212,31.571,-362.044,14.262,228.500,0,Granite Creek Cut,1244.528,0.098,0.000,0.009
18.433,30.640,-367.310,13.411,224.406,4,Granite Creek Cut,1248.443,0.022,0.000,0.011
18.633,32.192,-372.256,13.743,220.513,4,Granite Creek Cut,1251.993,0.099,0.000,0.010
18.833,33.664,-377.483,13.917,216.480,4,Granite Creek Cut,1255.794,0.178,0.000,0.008
19.033,35.079,-382.986,13.914,212.327,4,Granite Creek Cut,1259.630,0.204,0.000,0.006
19.234,36.454,-388.750,13.740,208.057,4,Granite Creek Cut,1263.856,0.191,0.000,0.004
19.438,37.773,-394.754,13.447,203.672,4,Granite Creek Cut,1268.341,0.157,0.000,0.004
19.641,39.009,-400.987,13.208,199.172,4,Granite Creek Cut,1272.936,0.116,0.000,0.004
19.847,40.168,-407.438,13.026,194.564,4,Granite Creek Cut,1277.566,0.079,0.000,0.005
20.198,42.071,-419.571,12.687,186.046,4,Granite Creek Cut,1286.145,0.042,0.000,0.007
20.399,43.011,-426.594,12.498,181.225,4,Granite Creek Cut,1290.986,0.042,0.000,0.008
20.615,43.523,-434.506,12.304,175.912,4,Granite Creek Cut,1296.255,0.065,0.000,0.009
20.819,43.702,-441.806,12.131,171.133,4,Granite Creek Cut,1301.028,0.094,0.000,0.009
21.019,43.777,-449.181,11.948,166.427,4,Granite Creek Cut,1305.713,0.120,0.000,0.008
21.219,43.809,-456.616,11.761,161.801,4,Granite Creek Cut,1310.284,0.135,0.000,0.007
21.421,43.823,-464.104,11.574,157.251,4,Granite Creek Cut,1314.757,0.139,0.000,0.006
21.621,43.829,-471.634,11.388,152.769,4,Granite Creek Cut,1319.193,0.133,0.000,0.005
21.823,43.832,-479.200,11.202,148.345,4,Granite Creek Cut,1323.540,0.121,0.000,0.004
22.024,43.833,-486.794,11.016,143.969,4,Granite Creek Cut,1327.827,0.105,0.000,0.003
22.225,43.834,-494.408,10.832,139.628,4,Granite Creek Cut,1332.079,0.088,0.000,0.002
22.425,43.834,-502.037,10.650,135.313,4,Granite Creek Cut,1336.298,0.072,0.000,0.000
22.626,43.834,-509.673,10.470,131.010,4,Granite Creek Cut,1340.511,0.056,0.000,-0.001
22.831,43.833,-517.309,10.294,126.707,4,Granite Creek Cut,1344.703,0.042,0.000,-0.002
23.033,43.832,-525.699,10.106,121.957,4,Granite Creek Cut,1349.330,0.025,0.000,-0.004
