time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.183,2.355,134.299,37.726,-298.310,4,,2999.364,63.875,0.000,-0.721
0.394,5.031,135.048,37.751,-298.690,4,,3000.188,63.046,0.000,-0.561
0.595,7.292,136.197,37.802,-299.190,4,,3001.454,61.799,0.000,-0.413
0.799,9.394,137.792,37.900,-299.734,4,,3003.163,60.114,0.000,-0.272
1.001,11.357,139.818,38.055,-300.238,4,,3005.276,58.031,0.000,-0.148
1.201,13.199,142.243,38.279,-300.659,4,,3007.750,55.594,0.000,-0.048
1.402,14.923,145.030,38.584,-301.009,4,,3010.571,52.838,0.000,0.025
1.605,16.679,148.473,39.026,-301.375,4,,3014.010,49.465,0.000,0.075
1.806,18.144,151.908,39.526,-301.775,4,,3017.464,46.100,0.000,0.099
2.007,19.489,155.596,40.119,-302.323,4,,3021.201,42.462,0.000,0.105
2.207,20.726,159.498,40.796,-303.082,4,,3025.205,38.559,0.000,0.099
2.410,21.874,163.579,41.546,-304.096,4,,3029.458,34.408,0.000,0.086
2.616,22.952,167.811,42.350,-305.381,4,,3033.940,30.021,0.000,0.070
2.816,23.976,172.175,43.181,-306.932,4,,3038.628,25.411,0.000,0.055
3.019,24.959,176.664,44.010,-308.732,4,,3043.519,20.587,0.000,0.042
3.219,25.914,181.279,44.806,-310.757,4,,3048.592,15.556,0.000,0.032
3.419,26.851,186.026,45.531,-312.984,4,,3053.862,10.319,0.000,0.027
4.837,0.568,198.650,46.618,-322.484,4,,3069.413,1.050,0.000,-0.050
5.037,3.144,198.671,46.624,-322.883,4,,3069.618,1.317,0.000,-1.000
5.238,5.561,198.756,46.634,-323.777,4,,3070.112,1.895,0.000,-0.922
5.438,7.787,199.031,46.649,-325.113,4,,3070.980,2.660,0.000,-0.833
5.639,9.467,199.667,46.675,-326.766,4,,3072.354,3.437,0.000,-0.753
5.839,9.772,200.708,46.722,-328.406,4,,3074.111,3.991,0.000,-0.690
6.039,9.825,202.096,46.783,-329.799,4,,3076.083,4.228,0.000,-0.631
6.239,10.822,203.810,46.813,-330.897,4,,3078.188,4.163,0.000,-0.572
6.439,12.536,206.029,46.738,-331.758,4,,3080.604,3.824,0.000,-0.533
6.640,12.852,208.565,46.488,-332.253,3,,3083.142,3.320,0.000,-0.498
6.840,12.929,211.102,46.073,-332.304,4,,3085.375,2.816,0.000,-0.465
7.040,13.506,213.709,45.721,-331.878,4,,3087.380,2.392,0.000,-0.425
7.240,15.037,216.420,45.573,-330.924,4,,3089.129,2.123,0.000,-0.373
7.616,15.291,221.612,45.654,-327.713,4,,3091.600,2.293,0.000,-0.269
7.816,15.644,223.841,46.690,-326.016,4,,3092.369,2.715,0.000,-0.328
8.016,15.600,225.890,48.198,-324.161,2,,3092.846,3.088,0.000,-0.284
8.217,14.986,227.817,49.570,-322.042,0,Laurel Switchbacks,3093.092,3.326,0.000,-0.196
8.418,13.842,229.734,50.539,-319.909,0,Laurel Switchbacks,3093.224,3.627,0.000,-0.115
8.618,12.872,231.637,51.103,-317.788,0,Laurel Switchbacks,3093.520,3.964,0.000,-0.035
8.818,12.176,233.525,51.266,-315.685,0,Laurel Switchbacks,3093.863,4.311,0.000,0.048
9.018,11.739,235.398,51.036,-313.606,0,Laurel Switchbacks,3094.255,4.650,0.000,0.135
9.218,11.429,237.256,50.418,-311.550,0,Laurel Switchbacks,3094.695,4.966,0.000,0.225
9.418,11.045,239.103,49.415,-309.515,0,Laurel Switchbacks,3095.172,5.244,0.000,0.315
9.619,10.317,240.899,48.090,-307.519,2,Laurel Switchbacks,3095.479,5.449,0.000,0.406
9.820,10.069,242.141,48.003,-305.610,4,Laurel Switchbacks,3095.420,5.221,0.000,0.408
10.022,12.088,242.519,48.330,-303.382,3,Laurel Switchbacks,3094.667,4.072,0.000,0.418
10.224,13.854,242.763,48.476,-300.764,3,Laurel Switchbacks,3093.377,2.517,0.000,0.421
10.426,15.608,243.482,48.559,-297.574,4,Laurel Switchbacks,3092.461,0.854,0.000,0.409
10.626,16.998,244.733,48.774,-294.548,4,Laurel Switchbacks,3091.779,0.444,0.000,0.379
10.836,18.243,246.621,49.104,-291.566,4,Laurel Switchbacks,3091.633,1.433,0.000,0.332
11.036,19.422,249.148,49.519,-288.777,4,Laurel Switchbacks,3092.109,2.080,0.000,0.272
11.236,20.557,252.253,50.029,-286.285,4,Laurel Switchbacks,3093.098,2.426,0.000,0.207
11.436,21.662,255.845,50.656,-284.133,4,Laurel Switchbacks,3094.467,2.533,0.000,0.144
