time,name,streetDistance,routeIsStreet,recoveries,x,y,z
3.01,Traffic 1,2.679,True,0,313.64,7.68,556.20
3.01,Traffic 2,2.678,True,0,525.48,26.51,-506.00
3.01,Traffic 3,2.677,True,0,-285.24,20.10,-570.44
3.01,Traffic 4,2.680,True,0,-635.29,9.77,290.92
3.01,Traffic 5,6.184,True,0,-546.47,8.59,534.74
3.01,Traffic 6,6.184,True,0,-523.79,8.58,545.66
3.01,Traffic 7,2.150,True,0,-502.37,8.59,536.07
3.01,Traffic 8,2.150,True,0,-480.20,8.63,539.09
3.01,Traffic 9,6.184,True,0,-371.57,9.26,527.03
3.01,Traffic 10,6.184,True,0,-349.14,9.39,538.52
3.01,Traffic 11,2.150,True,0,-327.44,9.51,529.57
3.01,Traffic 12,2.150,True,0,-305.32,9.60,533.00
3.01,Traffic 13,6.184,True,0,-196.44,9.35,523.11
3.01,Traffic 14,6.184,True,0,-174.38,9.20,535.31
3.01,Traffic 15,2.150,True,0,-152.41,9.04,527.06
3.01,Traffic 16,2.150,True,0,-130.40,8.88,531.14
3.01,Traffic 17,6.184,True,0,-21.40,8.52,522.68
3.01,Traffic 18,6.184,True,0,0.47,8.55,535.16
3.01,Traffic 19,2.150,True,0,22.70,8.62,527.81
3.01,Traffic 20,2.150,True,0,43.93,8.86,534.64
4.50,Traffic 1,1.124,True,0,319.99,8.91,549.34
4.50,Traffic 2,2.760,True,0,530.18,28.67,-494.43
4.50,Traffic 3,2.672,True,0,-299.93,17.30,-568.07
4.50,Traffic 4,2.683,True,0,-635.05,9.76,276.92
4.50,Traffic 5,6.167,True,0,-532.40,8.74,533.94
4.50,Traffic 6,6.209,True,0,-537.85,8.72,546.58
4.50,Traffic 7,2.158,True,0,-488.25,8.58,535.30
4.50,Traffic 8,2.125,True,0,-494.29,8.61,539.69
4.50,Traffic 9,6.186,True,0,-357.55,9.34,526.51
4.50,Traffic 10,6.182,True,0,-363.27,9.31,539.03
4.50,Traffic 11,2.153,True,0,-313.39,9.57,529.13
4.50,Traffic 12,2.146,True,0,-319.43,9.54,533.42
4.50,Traffic 13,6.187,True,0,-182.29,9.25,523.04
4.50,Traffic 14,6.185,True,0,-188.41,9.29,535.37
4.50,Traffic 15,2.152,True,0,-138.26,8.94,527.04
