time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.376,4.875,134.999,37.745,-298.450,4,,3000.075,63.166,0.000,-0.279
0.776,9.580,137.886,37.887,-299.053,4,,3003.060,60.234,0.000,-0.084
1.177,13.635,142.522,38.272,-299.670,4,,3007.730,55.645,0.000,0.032
1.577,17.080,148.616,39.001,-300.435,4,,3013.861,49.653,0.000,0.076
1.978,19.965,155.850,40.125,-301.788,4,,3021.271,42.425,0.000,0.073
2.378,22.406,163.917,41.598,-304.043,4,,3029.762,34.121,0.000,0.052
2.778,24.532,172.617,43.273,-307.236,4,,3039.158,24.882,0.000,0.032
3.179,26.455,181.882,44.921,-311.242,4,,3049.347,14.797,0.000,0.023
3.579,28.375,192.224,46.291,-316.204,2,,3060.847,3.338,0.000,0.025
3.979,20.131,200.985,46.749,-320.873,4,,3070.723,1.740,0.968,0.023
4.379,14.213,206.499,46.601,-324.289,4,,3077.171,2.823,0.000,-0.159
4.779,13.565,211.459,46.253,-326.904,4,,3082.760,2.555,0.000,-0.439
5.179,12.295,216.202,45.847,-327.825,4,,3087.229,0.844,0.000,-0.470
5.592,15.880,221.717,45.448,-326.485,4,,3091.042,1.486,0.000,-0.367
5.998,18.780,227.309,45.736,-322.380,4,,3093.217,3.123,0.000,-0.202
9.423,-0.884,226.249,45.552,-326.082,4,Laurel Switchbacks,3094.453,4.580,0.000,0.477
9.823,4.488,225.928,45.580,-325.312,4,Laurel Switchbacks,3093.753,3.842,0.000,0.520
10.224,9.065,225.298,45.764,-322.598,4,Laurel Switchbacks,3091.770,1.657,0.000,0.461
10.628,12.989,225.436,45.967,-318.135,4,Laurel Switchbacks,3089.487,0.900,0.000,0.346
11.028,16.299,227.393,46.486,-312.602,4,Laurel Switchbacks,3088.166,2.483,0.000,0.204
11.428,19.276,231.413,47.246,-306.742,4,Laurel Switchbacks,3088.236,2.588,0.000,0.096
11.857,22.137,237.442,48.138,-300.483,4,Laurel Switchbacks,3089.442,1.675,0.000,0.055
12.258,24.634,244.544,48.816,-294.373,4,Laurel Switchbacks,3091.521,0.700,0.000,0.073
12.662,26.851,253.321,49.938,-288.130,4,Laurel Switchbacks,3094.736,0.295,0.000,0.083
13.062,27.484,262.732,51.804,-282.941,4,Laurel Switchbacks,3098.454,0.643,0.000,0.061
13.462,27.517,272.668,53.920,-278.732,4,Laurel Switchbacks,3103.017,0.850,0.000,0.023
13.863,27.510,282.824,56.139,-275.128,4,Laurel Switchbacks,3107.892,0.714,0.000,-0.016
14.263,27.495,292.981,58.403,-271.564,4,Laurel Switchbacks,3112.818,0.396,0.000,-0.051
14.663,27.475,302.940,60.644,-267.481,4,Laurel Switchbacks,3117.516,0.072,0.000,-0.090
15.063,26.699,312.360,62.764,-262.395,4,Laurel Switchbacks,3121.336,0.179,0.000,-0.138
15.880,26.285,327.084,65.922,-247.947,4,Laurel Switchbacks,3123.796,0.872,0.000,-0.137
16.280,27.440,331.993,66.914,-238.359,4,Laurel Switchbacks,3121.880,1.406,0.000,-0.088
16.684,27.671,335.397,67.729,-227.890,4,Laurel Switchbacks,3118.584,1.407,0.000,-0.034
17.084,27.745,337.901,68.443,-217.110,4,Laurel Switchbacks,3114.347,1.002,0.000,0.014
17.486,26.737,340.262,69.121,-206.357,4,Laurel Switchbacks,3110.653,0.517,0.425,0.067
17.887,20.409,342.771,69.732,-197.394,4,Laurel Switchbacks,3107.892,0.243,0.443,0.121
