time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.361,4.636,-12.301,8.531,528.852,4,,340.015,64.105,0.000,0.005
0.761,9.267,-15.145,8.525,528.834,4,,342.860,61.261,0.000,0.005
1.161,13.407,-19.737,8.524,528.816,4,,347.451,56.669,0.000,0.005
1.563,17.106,-25.890,8.524,528.811,4,,353.605,50.516,0.000,0.004
1.964,20.411,-33.439,8.528,528.829,4,,361.154,42.967,0.000,0.002
2.365,23.363,-42.234,8.538,528.874,4,,369.949,34.172,0.000,0.001
2.771,26.125,-52.665,8.555,528.945,4,,380.381,23.741,0.000,-0.001
3.176,28.467,-63.615,8.578,529.020,4,,391.332,12.791,0.000,-0.002
3.576,29.968,-75.437,8.609,529.083,4,,403.154,0.969,1.000,0.128
3.976,20.110,-85.348,8.640,529.371,4,,413.065,2.455,1.000,-0.024
4.376,13.241,-91.587,8.661,529.864,4,,419.304,3.522,0.198,-0.297
4.776,10.608,-96.385,8.681,529.704,4,,424.103,2.917,0.176,-0.686
5.176,9.836,-100.073,8.699,528.213,4,,427.792,0.657,0.000,-0.696
5.577,10.614,-102.756,8.712,525.285,4,,430.476,1.349,0.000,-0.564
5.978,14.209,-104.382,8.712,520.548,4,,432.104,2.796,0.000,-0.350
6.378,17.672,-104.462,8.428,514.133,4,,432.185,3.268,0.000,-0.131
6.779,20.954,-103.041,8.219,506.511,4,Granite Creek Cut,430.765,2.574,0.000,0.037
7.179,23.872,-101.030,8.186,497.730,4,Granite Creek Cut,428.756,1.203,0.000,0.132
7.581,26.336,-99.722,8.125,487.742,4,Granite Creek Cut,427.451,0.105,0.000,0.169
7.981,28.340,-100.284,8.633,476.834,4,Granite Creek Cut,428.019,0.885,0.000,0.128
8.381,30.067,-102.998,9.877,465.524,3,Granite Creek Cut,430.745,1.393,0.000,0.059
8.781,31.253,-107.017,10.268,453.951,4,Granite Creek Cut,434.771,1.171,0.000,0.014
9.187,32.899,-111.948,10.807,442.095,4,Granite Creek Cut,439.706,0.464,0.000,0.014
9.656,34.632,-118.531,11.545,427.274,4,Granite Creek Cut,446.289,0.028,0.000,0.041
10.094,35.998,-125.457,12.231,413.358,4,Granite Creek Cut,453.192,0.144,0.000,0.068
10.495,37.063,-132.945,12.827,400.805,4,Granite Creek Cut,460.648,0.445,0.000,0.083
10.895,37.994,-141.877,13.366,388.735,4,Granite Creek Cut,469.524,0.722,0.000,0.087
11.296,38.839,-152.335,13.822,377.470,4,Granite Creek Cut,479.851,0.893,0.000,0.075
11.697,39.636,-164.172,14.276,367.161,4,Granite Creek Cut,491.557,0.942,0.000,0.051
12.097,40.397,-177.069,14.764,357.679,4,Granite Creek Cut,504.209,0.767,0.000,0.026
12.846,41.677,-202.612,15.599,341.231,4,Granite Creek Cut,529.173,0.249,0.000,0.001
