time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.365,5.915,593.890,80.892,-106.463,4,,75.522,55.682,0.000,0.074
0.792,12.386,596.810,80.600,-109.363,4,,79.645,52.515,0.000,0.068
1.192,17.512,600.762,80.152,-113.927,4,,85.707,47.816,0.000,0.096
1.593,21.952,605.111,79.455,-120.555,4,,93.721,41.437,0.000,0.144
1.997,19.976,608.103,78.559,-128.551,4,,102.378,34.036,0.000,0.148
2.398,14.479,608.705,77.786,-135.413,4,,109.285,27.559,0.242,0.116
2.805,15.037,607.907,77.126,-141.383,4,,115.284,21.643,0.311,0.076
3.217,15.777,606.289,76.217,-147.279,0,,121.261,15.555,0.000,0.040
3.669,16.578,604.170,73.410,-153.987,0,,128.638,8.552,0.000,0.017
4.069,16.329,602.354,69.316,-159.737,0,,135.845,2.686,0.000,0.015
4.469,23.019,599.280,64.523,-165.893,4,,144.164,0.615,0.000,-0.008
4.870,20.682,595.434,60.100,-172.602,4,,153.057,2.849,0.000,-0.009
5.285,26.300,591.357,55.765,-179.974,4,,162.562,1.685,0.000,0.004
5.757,31.710,585.181,49.694,-191.067,4,,176.677,2.118,0.000,0.018
6.180,31.538,578.874,44.085,-201.439,4,,190.105,6.041,1.000,0.025
6.580,24.801,572.934,40.095,-210.118,4,,201.413,10.024,1.000,0.027
7.028,18.931,567.429,37.633,-217.259,4,,210.820,13.935,0.000,0.025
7.466,23.940,561.654,35.982,-224.050,4,,219.932,18.322,0.000,0.038
7.895,28.171,553.810,34.657,-232.396,4,,231.487,24.692,0.000,0.043
8.301,31.456,544.830,33.232,-240.195,4,,243.489,31.546,0.000,0.049
8.720,27.915,534.150,32.676,-247.677,4,,256.610,38.972,1.000,0.029
9.144,24.713,525.519,34.001,-252.958,4,,266.864,44.741,0.000,0.025
9.544,20.416,518.131,35.985,-256.970,4,,275.534,49.427,0.000,0.019
10.010,23.900,508.928,39.063,-261.449,4,,286.252,54.973,0.000,0.011
10.410,22.054,500.831,42.239,-265.105,4,,295.707,59.702,0.000,0.009
10.812,24.505,492.785,45.531,-268.534,4,,305.066,64.258,0.000,0.010
11.216,26.639,483.849,49.072,-272.121,4,,315.332,69.098,0.000,0.012
11.617,27.695,474.113,52.565,-275.738,4,,326.267,73.973,0.000,0.003
12.017,25.247,464.328,55.299,-279.139,4,,336.957,78.344,0.000,0.013
12.417,21.844,455.417,56.966,-282.014,2,,346.395,81.891,0.229,0.019
12.823,21.197,447.019,57.620,-284.405,4,,355.148,84.940,0.000,0.022
13.228,22.874,437.813,57.642,-286.682,0,,364.552,87.947,0.000,0.027
13.637,25.088,428.631,56.578,-288.663,4,,373.976,90.650,0.000,0.039
14.067,28.957,416.786,55.934,-290.085,4,,385.892,92.965,0.000,0.047
16.341,27.014,352.539,51.053,-272.273,4,,453.708,76.419,0.000,0.013
16.843,31.026,340.380,50.732,-264.240,4,,468.290,67.441,0.000,-0.002
17.249,31.806,329.368,51.201,-256.863,4,,481.572,59.174,0.000,-0.011
17.649,31.778,318.701,52.288,-250.035,2,,493.547,51.576,0.000,-0.033
18.057,31.371,307.966,52.641,-243.363,0,,509.713,44.345,0.000,0.005
18.457,31.332,297.333,51.426,-236.753,0,,522.556,37.542,0.000,0.044
18.857,31.265,286.797,48.657,-230.209,0,,534.947,31.345,0.000,0.078
19.258,27.942,276.564,46.649,-224.428,4,,546.583,26.492,0.000,0.098
19.659,30.675,266.358,47.191,-218.617,4,,558.268,22.123,0.000,0.042
20.059,31.757,256.311,47.405,-211.050,4,,570.838,16.467,0.000,-0.001
20.461,31.878,246.389,47.375,-203.056,4,,583.550,10.785,0.000,-0.021
20.862,31.932,236.202,46.907,-195.368,4,,596.300,5.797,0.000,-0.026
21.338,31.938,223.466,46.061,-186.944,4,,611.583,0.977,0.000,-0.027
21.749,31.942,211.841,45.334,-180.362,4,,624.944,0.941,0.000,-0.028
22.167,31.733,199.816,44.491,-174.587,4,,638.287,1.336,0.000,-0.027
22.586,31.843,188.030,43.564,-169.852,4,,650.990,13.997,0.000,-0.024
22.986,31.733,176.019,42.110,-165.828,4,,663.711,26.641,0.000,-0.020
23.386,31.768,163.852,40.550,-162.439,4,,676.437,39.232,0.000,-0.015
23.794,31.700,150.877,39.670,-159.389,4,,689.804,52.505,0.000,-0.010
24.194,31.932,138.399,39.437,-156.821,4,,702.557,65.186,0.000,-0.005
