time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.358,5.793,-12.527,8.381,528.862,4,,340.241,63.878,0.000,0.131
0.758,11.479,-16.057,8.374,529.062,4,,343.771,60.348,0.000,0.033
1.158,16.477,-21.688,8.374,529.659,4,,349.402,54.720,0.000,-0.014
1.560,20.864,-29.179,8.375,530.431,4,,356.899,47.245,0.000,-0.025
1.960,24.709,-38.329,8.382,531.028,4,,366.056,38.126,0.000,-0.018
2.446,28.712,-51.211,8.401,531.317,4,,378.942,25.293,0.000,-0.006
3.112,33.293,-71.772,8.448,531.249,4,,399.497,5.115,0.000,0.001
3.546,35.842,-87.020,8.494,531.165,4,,414.738,1.258,0.000,0.001
3.995,38.049,-103.309,8.559,531.125,4,,431.026,3.503,0.000,0.001
4.396,39.794,-118.902,8.652,531.121,4,,446.621,18.272,0.000,0.000
4.796,41.321,-135.147,8.763,531.134,4,,462.867,34.234,0.000,0.000
5.198,42.723,-152.816,8.891,531.158,4,,480.539,51.752,0.000,0.000
5.653,44.000,-171.914,9.031,531.202,4,,499.641,70.748,0.000,0.001
6.067,45.060,-190.632,9.162,531.274,4,,518.363,89.407,0.000,0.001
6.467,45.946,-208.845,9.278,531.382,4,,536.581,107.576,0.000,0.001
6.871,46.727,-227.390,9.379,531.540,4,,555.132,126.091,0.000,0.001
7.279,47.449,-247.176,9.459,531.771,4,,574.926,145.857,0.000,0.002
7.679,48.057,-266.284,9.503,532.068,4,,594.044,164.954,0.000,0.002
8.086,48.599,-285.619,9.503,532.459,4,,613.393,184.285,0.000,0.002
8.486,49.083,-305.156,9.455,532.961,4,,632.946,203.824,0.000,0.002
8.887,49.515,-324.873,9.375,533.564,4,,652.679,223.548,0.000,0.001
9.293,49.900,-344.750,9.272,534.242,4,,672.573,238.834,0.000,0.001
9.703,50.258,-365.774,9.145,535.004,4,,693.615,250.662,0.000,0.000
10.107,50.559,-385.927,9.012,535.761,4,,713.784,262.136,0.000,0.000
10.519,50.837,-407.209,8.868,536.569,4,,735.081,274.479,0.000,0.000
10.932,51.068,-427.578,8.732,537.334,4,,755.464,286.551,0.000,-0.001
11.333,51.270,-448.035,8.607,538.070,4,,775.929,298.949,0.000,-0.002
11.786,51.468,-471.655,8.494,538.846,4,,799.551,313.512,0.000,0.004
12.487,51.681,-507.729,8.595,540.406,4,,835.730,336.390,0.000,0.006
12.919,51.785,-530.446,8.594,541.878,4,,858.503,351.314,0.000,-0.006
13.869,35.258,-573.182,8.589,543.373,4,,901.058,378.487,0.946,-0.057
14.269,24.790,-585.012,8.589,542.063,4,,912.742,384.638,0.907,-0.082
14.672,18.620,-593.322,8.589,539.751,4,,921.162,387.843,0.556,-0.132
15.088,17.449,-599.742,8.589,536.279,4,,928.199,388.967,0.218,-0.199
15.488,17.883,-604.547,8.589,531.417,4,,934.832,387.994,0.000,-0.201
15.888,21.792,-607.964,8.419,524.217,4,,942.339,384.301,0.000,-0.123
16.289,25.415,-609.623,8.403,514.892,4,,951.737,377.830,0.000,-0.012
16.689,28.697,-610.484,8.473,504.057,4,,962.946,369.642,0.000,0.048
17.094,31.511,-612.183,8.567,492.097,4,,975.044,361.003,0.000,0.043
17.494,33.989,-615.341,8.734,479.353,4,,988.146,352.502,0.000,0.014
17.899,36.297,-619.693,8.943,465.216,4,,1002.968,343.378,0.000,-0.014
18.303,38.212,-623.914,9.136,450.896,4,,1017.911,333.705,0.000,-0.027
18.705,39.880,-627.500,9.301,435.673,4,,1033.547,322.661,0.000,-0.029
19.124,41.422,-630.239,9.432,418.800,4,,1050.622,309.586,0.000,-0.024
19.524,42.730,-631.873,9.512,402.032,4,,1067.451,295.925,0.000,-0.016
19.934,43.901,-632.764,9.554,384.712,4,,1084.782,281.348,0.000,-0.009
20.337,44.989,-633.183,9.591,366.034,4,,1103.457,265.318,0.000,-0.005
20.894,46.194,-633.287,9.618,341.394,4,,1128.095,243.922,0.000,-0.003
21.668,47.609,-632.943,9.624,304.776,4,,1164.714,211.913,0.000,-0.001
22.139,48.321,-632.556,9.612,281.744,4,,1187.749,191.770,0.000,0.000
22.562,48.862,-632.178,9.591,261.331,4,,1208.165,173.981,0.000,0.001
22.986,49.335,-631.814,9.561,240.706,4,,1228.793,156.131,0.000,0.001
23.460,49.804,-631.469,9.517,216.908,4,,1252.593,135.760,0.000,0.001
23.862,50.144,-631.247,9.473,196.915,4,,1272.588,118.717,0.000,-0.001
24.269,50.445,-631.024,9.416,176.794,4,,1292.710,101.561,0.000,-0.001
24.674,50.711,-630.753,9.350,156.561,4,,1312.944,84.315,0.000,-0.001
25.080,50.957,-630.416,9.273,135.210,4,,1334.298,66.169,0.000,0.000
25.480,51.163,-630.065,9.195,114.786,4,,1354.725,48.941,0.000,0.000
25.881,51.345,-629.699,9.112,94.285,4,,1375.229,31.892,0.000,0.000
26.281,51.505,-629.324,9.027,73.716,4,,1395.802,15.268,0.000,0.000
27.148,51.787,-628.498,8.839,29.300,4,,1440.226,1.248,0.000,0.000
27.549,51.894,-628.114,8.752,8.566,4,,1460.964,16.851,0.000,0.000
27.957,51.988,-627.735,8.666,-12.208,4,,1481.742,37.628,0.000,0.000
28.357,23.335,-627.394,8.682,-31.930,4,,1501.467,57.353,1.000,-0.126
28.765,21.018,-629.217,9.291,-40.266,4,,1509.768,65.685,0.000,-0.215
