time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.376,6.395,136.173,37.602,-295.677,4,,3000.432,62.975,0.000,0.006
0.788,12.517,140.062,37.827,-296.809,4,,3004.505,58.937,0.000,0.008
2.072,25.902,163.963,41.468,-304.544,4,,3029.950,33.877,0.000,0.014
2.472,28.958,174.099,43.441,-308.380,4,,3040.957,23.056,0.000,0.017
2.873,21.123,183.251,45.020,-312.319,4,,3051.024,13.095,0.336,0.050
3.280,19.831,190.227,45.929,-316.180,4,,3059.012,5.164,0.000,0.026
3.681,19.683,196.899,46.487,-320.472,4,,3066.916,0.854,0.000,-0.007
4.082,16.035,202.953,46.575,-324.462,4,,3074.163,0.467,0.302,-0.102
4.484,15.726,208.871,46.267,-327.390,4,,3080.807,1.339,0.163,-0.243
4.884,17.007,215.127,45.779,-328.338,4,,3086.633,0.754,0.000,-0.289
5.283,19.756,222.315,45.272,-326.168,4,,3091.363,1.694,0.000,-0.215
5.686,19.792,228.328,45.810,-321.166,4,Laurel Switchbacks,3093.359,3.220,0.000,-0.123
6.089,19.857,232.813,46.440,-314.667,4,Laurel Switchbacks,3093.299,3.145,0.000,-0.023
6.489,19.853,236.568,47.338,-307.730,4,Laurel Switchbacks,3092.573,2.145,0.000,0.044
6.894,19.844,240.594,48.153,-300.934,4,Laurel Switchbacks,3092.005,1.012,0.000,0.081
7.302,19.854,245.467,48.691,-294.684,4,Laurel Switchbacks,3092.468,0.159,0.000,0.096
7.767,22.266,252.803,49.758,-288.246,4,Laurel Switchbacks,3094.399,0.466,0.000,0.082
8.168,25.796,260.995,51.328,-283.392,4,Laurel Switchbacks,3097.369,0.939,0.000,0.052
8.617,27.637,271.784,53.583,-278.844,4,Laurel Switchbacks,3102.420,1.057,0.000,0.016
9.017,27.682,282.035,55.814,-275.324,4,Laurel Switchbacks,3107.571,0.804,0.000,-0.010
9.420,27.672,292.276,58.093,-271.793,4,Laurel Switchbacks,3112.443,0.448,0.000,-0.031
9.845,27.661,303.284,60.578,-267.235,4,Laurel Switchbacks,3117.654,0.140,0.000,-0.057
10.250,27.647,312.751,62.726,-261.938,4,Laurel Switchbacks,3121.380,0.021,0.000,-0.089
10.653,27.637,321.152,64.613,-255.011,4,Laurel Switchbacks,3123.527,0.120,0.000,-0.104
11.071,27.697,328.109,66.049,-245.823,4,Laurel Switchbacks,3123.322,0.785,0.000,-0.084
11.483,27.777,332.945,67.027,-235.269,4,Laurel Switchbacks,3120.796,1.267,0.000,-0.048
11.883,27.825,336.086,67.806,-224.626,4,Laurel Switchbacks,3117.185,1.183,0.000,-0.015
12.287,27.846,338.578,68.504,-213.794,4,Laurel Switchbacks,3113.322,0.820,0.000,0.015
12.688,26.809,341.175,69.187,-203.039,4,Laurel Switchbacks,3109.986,0.470,0.525,0.056
13.089,20.601,344.115,69.822,-194.311,4,Laurel Switchbacks,3932.566,0.397,0.207,0.110
13.990,15.736,353.245,71.418,-182.765,4,Laurel Switchbacks,3942.056,0.792,0.000,0.283
14.391,19.042,359.778,72.593,-180.891,4,Laurel Switchbacks,3940.370,0.617,0.000,0.255
14.791,22.387,367.879,73.626,-182.316,4,Laurel Switchbacks,3933.096,2.515,0.000,0.163
15.226,26.076,376.870,74.741,-187.956,4,Laurel Switchbacks,3916.262,3.091,0.000,0.054
15.647,27.744,385.138,75.901,-195.813,4,Laurel Switchbacks,3904.401,2.244,0.000,-0.025
16.048,25.862,393.003,76.985,-203.325,4,Laurel Switchbacks,3895.371,1.174,0.000,-0.087
16.449,21.014,400.608,77.950,-208.753,4,Laurel Switchbacks,3888.369,0.608,0.000,-0.143
16.849,20.193,408.299,78.857,-211.657,4,Laurel Switchbacks,3883.527,0.399,0.000,-0.182
17.249,23.039,416.815,79.816,-211.889,4,Laurel Switchbacks,3880.700,0.616,0.000,-0.167
17.649,26.284,426.175,80.641,-208.830,4,Laurel Switchbacks,3880.262,1.874,0.000,-0.114
18.049,27.730,435.188,81.336,-202.693,4,Laurel Switchbacks,3882.427,2.178,0.000,-0.061
18.450,27.837,443.108,81.954,-194.913,4,Laurel Switchbacks,3886.284,1.683,0.000,-0.023
18.870,27.861,450.719,82.548,-186.049,4,Laurel Switchbacks,3891.094,0.927,0.000,-0.003
19.344,27.867,459.170,83.195,-175.701,4,Laurel Switchbacks,3896.784,0.298,0.000,0.005
19.940,27.865,469.492,84.001,-163.291,4,Laurel Switchbacks,3903.616,0.021,0.000,0.005
20.340,27.858,476.742,84.647,-154.854,4,Laurel Switchbacks,3908.243,0.137,0.000,-0.006
20.754,27.866,484.299,85.321,-145.942,2,Laurel Switchbacks,3913.294,0.173,0.000,-0.020
21.202,27.908,491.960,85.017,-136.374,4,Laurel Switchbacks,3919.074,0.075,0.000,-0.039
21.624,25.120,498.623,85.328,-126.420,4,Laurel Switchbacks,3925.575,0.176,0.605,-0.067
22.071,19.485,502.918,86.160,-117.650,4,Laurel Switchbacks,3931.678,0.001,0.352,-0.126
22.594,19.065,504.865,87.353,-107.888,4,Laurel Switchbacks,3939.569,0.427,0.000,-0.189
23.021,22.732,503.254,88.175,-99.284,4,Laurel Switchbacks,3947.934,0.782,0.000,-0.149
23.461,26.463,497.713,88.876,-89.975,4,Laurel Switchbacks,3958.771,2.302,0.000,-0.144
23.861,29.774,489.896,89.190,-81.820,4,,3969.617,5.504,0.000,0.110
24.266,32.809,482.439,89.205,-70.966,4,,3982.579,18.598,0.000,0.072
24.679,35.201,477.219,88.908,-58.328,4,,3996.126,32.180,0.000,0.051
