time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.358,6.081,136.050,37.597,-295.642,4,,3000.304,63.102,0.000,0.006
0.763,11.973,139.589,37.791,-296.670,4,,3004.011,59.428,0.000,0.008
2.461,28.814,173.569,43.340,-308.169,4,,3040.377,23.625,0.000,0.017
2.868,21.343,182.874,44.963,-312.135,4,,3050.601,13.515,0.400,0.052
3.269,19.827,189.888,45.891,-315.975,4,,3058.619,5.552,0.000,0.027
3.669,19.882,196.571,46.470,-320.253,4,,3066.524,0.918,0.000,-0.002
4.069,16.209,202.679,46.581,-324.293,4,,3073.841,0.418,0.353,-0.097
4.469,15.933,208.278,46.308,-327.172,4,,3080.185,1.282,0.227,-0.234
4.949,17.434,215.819,45.724,-328.283,4,,3087.173,0.558,0.000,-0.286
5.359,19.681,223.316,45.250,-325.555,4,,3091.847,2.016,0.000,-0.202
5.766,19.800,229.089,45.907,-320.256,4,Laurel Switchbacks,3093.459,3.305,0.000,-0.106
6.188,19.859,233.586,46.607,-313.290,4,Laurel Switchbacks,3093.137,2.989,0.000,-0.006
6.588,19.849,237.326,47.515,-306.345,4,Laurel Switchbacks,3092.406,1.910,0.000,0.054
6.989,19.845,241.491,48.285,-299.628,4,Laurel Switchbacks,3091.999,0.812,0.000,0.086
7.397,19.854,246.837,48.837,-293.256,4,Laurel Switchbacks,3092.782,0.001,0.000,0.095
7.812,5.825,246.777,48.870,-293.308,4,Laurel Switchbacks,3092.758,0.002,0.000,0.067
8.214,11.538,249.487,49.259,-291.045,4,Laurel Switchbacks,3093.321,0.050,0.000,0.076
8.614,16.482,254.053,50.003,-287.769,4,Laurel Switchbacks,3095.124,0.224,0.000,0.069
9.015,20.723,260.472,51.222,-284.096,4,Laurel Switchbacks,3097.360,0.518,0.000,0.049
9.417,24.378,268.607,52.894,-280.457,4,Laurel Switchbacks,3101.255,0.694,0.000,0.024
9.819,27.321,278.183,54.950,-276.907,4,Laurel Switchbacks,3105.749,0.645,0.000,0.000
10.219,27.666,288.373,57.208,-273.328,4,Laurel Switchbacks,3110.640,0.446,0.000,-0.021
10.637,27.666,298.967,59.598,-269.195,4,Laurel Switchbacks,3115.746,0.221,0.000,-0.044
11.047,27.653,308.690,61.807,-264.403,4,Laurel Switchbacks,3119.896,0.063,0.000,-0.073
11.449,27.632,317.639,63.834,-258.237,4,Laurel Switchbacks,3122.857,0.037,0.000,-0.101
11.881,27.667,325.787,65.598,-249.393,4,Laurel Switchbacks,3123.685,0.473,0.000,-0.094
12.299,27.749,331.386,66.694,-239.251,4,Laurel Switchbacks,3121.967,1.158,0.000,-0.062
12.699,27.809,334.996,67.519,-228.771,4,Laurel Switchbacks,3118.650,1.269,0.000,-0.027
13.132,27.842,337.891,68.309,-216.897,4,Laurel Switchbacks,3114.347,0.938,0.000,0.006
13.587,27.701,340.660,69.060,-204.988,4,Laurel Switchbacks,3110.176,0.525,0.218,0.048
16.387,27.341,380.419,75.233,-191.142,4,Laurel Switchbacks,3910.122,2.842,0.000,0.016
16.787,27.784,388.239,76.336,-198.904,4,Laurel Switchbacks,3900.701,1.799,0.000,-0.051
17.192,24.164,396.463,77.435,-206.085,4,Laurel Switchbacks,3891.934,0.848,0.517,-0.115
17.597,21.095,403.996,78.356,-210.355,4,Laurel Switchbacks,3885.962,0.516,0.000,-0.168
18.003,21.198,412.070,79.293,-212.137,4,Laurel Switchbacks,3881.953,0.108,0.000,-0.182
18.416,24.757,421.592,80.267,-210.760,4,Laurel Switchbacks,3880.116,1.357,0.000,-0.142
18.824,27.476,430.941,81.008,-205.973,4,Laurel Switchbacks,3881.092,2.165,0.000,-0.085
19.227,27.805,439.379,81.663,-198.820,4,Laurel Switchbacks,3884.276,1.988,0.000,-0.039
19.667,27.855,447.609,82.306,-189.771,4,Laurel Switchbacks,3889.056,1.234,0.000,-0.010
20.188,27.866,456.807,83.015,-178.598,4,Laurel Switchbacks,3895.206,0.434,0.000,0.003
20.600,27.867,464.222,83.583,-169.561,4,Laurel Switchbacks,3900.217,0.106,0.000,0.008
21.000,27.864,471.402,84.161,-161.056,4,Laurel Switchbacks,3904.792,0.001,0.000,0.002
21.400,27.854,478.657,84.842,-152.628,4,Laurel Switchbacks,3909.429,0.174,0.000,-0.010
21.809,27.807,485.821,85.334,-144.100,0,Laurel Switchbacks,3914.344,0.143,0.000,-0.023
22.209,27.920,492.704,84.999,-135.332,4,Laurel Switchbacks,3919.833,0.076,0.000,-0.041
22.609,25.117,498.703,85.342,-126.248,4,Laurel Switchbacks,3925.696,0.157,0.605,-0.068
23.011,19.549,502.841,86.140,-117.830,4,Laurel Switchbacks,3931.552,0.002,0.369,-0.125
23.417,19.169,504.725,87.105,-110.349,4,Laurel Switchbacks,3937.441,0.439,0.262,-0.183
23.830,21.386,504.232,87.877,-102.462,4,Laurel Switchbacks,3944.668,0.214,0.000,-0.179
24.238,25.043,500.317,88.644,-93.536,4,Laurel Switchbacks,3954.398,1.828,0.000,-0.125
24.677,28.750,492.567,89.120,-84.577,4,,3965.947,2.351,0.000,0.109
25.130,32.040,484.300,89.236,-74.015,4,,3979.058,15.027,0.000,0.080
25.531,34.844,478.558,89.013,-61.900,4,,3992.353,28.397,0.000,0.054
25.936,34.068,474.462,88.558,-47.873,4,,4006.805,42.793,0.000,0.045
26.338,34.069,472.317,87.894,-34.548,0,,4020.148,55.932,0.518,0.039
