time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.359,4.633,-12.306,8.531,532.026,4,,340.002,64.167,0.000,-0.591
0.760,9.218,-15.129,8.525,532.282,4,,342.829,61.360,0.000,-0.300
1.165,13.501,-19.944,8.524,531.919,4,,347.657,56.533,0.000,-0.062
1.731,18.543,-28.856,8.525,530.299,4,,356.575,47.565,0.000,0.076
2.165,21.961,-37.720,8.532,528.986,4,,365.436,38.686,0.000,0.076
2.566,24.712,-47.071,8.545,528.367,4,,374.783,29.343,0.000,0.042
2.968,26.582,-57.472,8.564,528.352,4,,385.185,18.947,1.000,0.084
3.370,19.010,-66.226,8.585,528.738,4,,393.941,10.185,0.270,0.070
3.770,17.922,-73.443,8.604,529.612,4,,401.162,3.009,0.000,0.038
4.174,16.908,-80.424,8.625,530.838,4,,408.144,0.607,0.315,-0.023
4.589,12.646,-86.473,8.644,531.971,4,,414.191,0.333,0.000,-0.172
5.013,12.418,-91.554,8.661,532.480,4,,419.272,0.924,0.000,-0.445
5.414,10.499,-96.204,8.681,531.916,4,,423.921,1.055,0.147,-0.611
5.837,9.858,-99.861,8.698,529.918,4,,427.580,0.081,0.000,-0.608
6.241,13.152,-102.643,8.712,526.280,4,,430.363,1.376,0.000,-0.477
6.642,16.426,-104.316,8.714,520.561,4,,432.038,2.730,0.000,-0.286
7.042,19.673,-104.181,8.398,513.306,4,,431.904,3.062,0.000,-0.090
10.470,-1.336,-102.487,8.399,512.427,4,Granite Creek Cut,430.210,1.456,0.000,0.399
11.050,6.473,-101.555,8.397,510.961,4,Granite Creek Cut,429.279,0.669,0.000,0.422
11.451,10.883,-99.999,8.367,507.790,4,Granite Creek Cut,427.722,0.575,0.000,0.326
12.631,21.234,-98.411,8.223,488.640,4,Granite Creek Cut,426.142,1.373,0.000,0.088
13.041,23.971,-99.914,8.523,479.702,4,Granite Creek Cut,427.647,0.741,0.000,0.070
13.451,26.431,-102.688,9.391,469.508,4,Granite Creek Cut,430.431,0.450,0.000,0.035
13.866,28.594,-106.332,10.192,458.538,4,Granite Creek Cut,434.086,0.381,0.000,0.012
14.275,30.531,-110.362,10.546,447.397,4,Granite Creek Cut,438.116,0.140,0.000,0.021
14.692,32.324,-115.134,11.164,435.079,4,Granite Creek Cut,442.897,0.053,0.000,0.041
15.115,33.892,-120.705,11.787,422.328,4,Granite Creek Cut,448.458,0.177,0.000,0.060
15.516,35.195,-127.079,12.385,410.061,4,Granite Creek Cut,454.811,0.390,0.000,0.073
15.916,36.341,-134.757,12.954,397.982,4,Granite Creek Cut,462.444,0.598,0.000,0.080
17.140,39.211,-166.917,14.383,365.087,4,Granite Creek Cut,494.236,0.872,0.000,0.045
18.189,41.248,-202.383,15.593,341.361,4,Granite Creek Cut,528.970,0.263,0.000,0.001
18.837,42.271,-225.137,16.173,327.316,4,Granite Creek Cut,550.972,0.022,0.000,-0.008
21.905,37.856,-331.569,20.068,251.702,0,Granite Creek Cut,650.355,0.010,0.000,0.002
22.313,37.401,-343.555,20.399,242.483,0,Granite Creek Cut,1231.487,0.014,0.000,0.004
22.727,37.597,-356.008,19.064,232.906,0,Granite Creek Cut,1240.443,0.056,0.000,0.008
23.130,37.536,-367.751,16.204,223.873,0,Granite Creek Cut,1248.770,0.136,0.000,0.016
23.549,34.443,-379.652,13.842,214.703,4,Granite Creek Cut,1257.436,0.297,0.000,0.024
23.956,35.324,-390.842,13.834,206.232,2,Granite Creek Cut,1265.782,0.414,0.000,0.016
24.379,36.863,-403.149,13.289,197.356,4,Granite Creek Cut,1274.764,0.318,0.000,0.007
24.804,38.287,-416.739,12.917,187.914,4,Granite Creek Cut,1284.265,0.129,0.000,0.008
25.206,39.428,-429.610,12.575,179.179,4,Granite Creek Cut,1293.023,0.052,0.000,0.013
25.607,40.441,-442.963,12.253,170.394,4,Granite Creek Cut,1301.750,0.093,0.000,0.016
26.007,41.346,-456.806,11.906,161.663,4,Granite Creek Cut,1310.419,0.154,0.000,0.015
26.407,42.157,-471.113,11.550,153.033,4,Granite Creek Cut,1318.937,0.172,0.000,0.011
26.808,42.883,-485.823,11.189,144.484,4,Granite Creek Cut,1327.327,0.143,0.000,0.006
27.208,43.533,-500.861,10.828,135.955,4,Granite Creek Cut,1335.674,0.093,0.000,0.000
