time,name,streetDistance,routeIsStreet,recoveries,x,y,z
3.00,Traffic 1,2.670,True,0,517.71,78.23,-145.29
3.00,Traffic 2,2.680,True,0,-0.83,31.62,-452.90
3.00,Traffic 3,2.680,True,0,-623.82,8.51,-92.34
3.00,Traffic 4,2.150,True,0,-65.67,8.58,531.09
4.00,Traffic 1,2.689,True,0,520.68,75.24,-152.12
4.00,Traffic 2,2.661,True,0,-0.36,31.84,-446.46
4.00,Traffic 3,2.800,True,0,-623.79,8.54,-85.80
4.00,Traffic 4,2.151,True,0,-72.21,8.60,531.12
5.08,Traffic 1,2.684,True,0,526.71,67.98,-166.14
5.08,Traffic 2,2.672,True,0,0.82,33.30,-431.11
5.08,Traffic 3,3.272,True,0,-623.57,8.60,-68.92
5.08,Traffic 4,2.160,True,0,-91.31,8.66,531.16
7.08,Traffic 1,2.662,True,0,537.18,53.31,-191.53
7.08,Traffic 2,2.659,True,0,3.74,38.04,-400.20
7.08,Traffic 3,3.276,True,0,-624.10,8.72,-36.25
7.08,Traffic 4,2.147,True,0,-145.23,8.99,531.15
9.06,Traffic 1,2.625,True,0,546.59,39.87,-217.59
9.06,Traffic 2,2.575,True,0,9.07,40.74,-369.46
9.06,Traffic 3,3.263,True,0,-624.69,8.85,-3.85
9.06,Traffic 4,2.144,True,0,-202.03,9.38,531.34
10.88,Traffic 1,2.631,True,0,553.91,32.21,-243.67
10.88,Traffic 2,2.635,True,0,16.47,38.60,-341.54
10.88,Traffic 3,3.266,True,0,-625.23,8.97,25.87
10.88,Traffic 4,2.140,True,0,-254.12,9.62,531.88
12.54,Traffic 1,2.533,True,0,558.15,29.06,-268.45
12.54,Traffic 2,2.573,True,0,25.72,35.84,-316.98
12.54,Traffic 3,3.265,True,0,-625.74,9.09,52.98
12.54,Traffic 4,2.130,True,0,-301.67,9.61,532.87
14.54,Traffic 1,2.442,True,0,557.29,26.56,-299.24
14.54,Traffic 2,2.231,True,0,44.93,39.78,-293.15
14.54,Traffic 3,3.007,True,0,-626.60,9.23,85.65
14.54,Traffic 4,2.143,True,0,-358.99,9.33,534.76
16.54,Traffic 1,2.557,True,0,550.23,25.30,-329.34
16.54,Traffic 2,2.213,True,0,74.21,44.50,-285.52
16.54,Traffic 3,2.629,True,0,-627.57,9.36,118.31
16.54,Traffic 4,2.149,True,0,-416.32,8.96,536.91
18.54,Traffic 1,2.746,True,0,543.40,25.54,-359.55
18.54,Traffic 2,2.472,True,0,105.37,39.94,-290.09
18.54,Traffic 3,2.685,True,0,-628.05,9.48,150.99
18.54,Traffic 4,2.179,True,0,-473.65,8.64,538.90
20.54,Traffic 1,2.796,True,0,540.69,27.96,-390.17
20.54,Traffic 2,2.634,True,0,135.93,37.70,-298.28
20.54,Traffic 3,2.677,True,0,-628.52,9.58,183.66
20.54,Traffic 4,2.143,True,0,-530.89,8.74,541.96
22.42,Traffic 1,2.690,True,0,539.62,31.44,-418.76
22.42,Traffic 2,2.634,True,0,162.25,41.49,-306.72
22.42,Traffic 3,2.673,True,0,-628.86,9.66,214.35
22.42,Traffic 4,2.229,True,0,-576.77,8.74,543.21
24.14,Traffic 1,2.638,True,0,537.41,33.61,-444.97
24.14,Traffic 2,2.611,True,0,186.81,45.75,-316.72
24.14,Traffic 3,2.687,True,0,-629.23,9.71,242.35
24.14,Traffic 4,2.199,True,0,-597.33,8.74,538.97
26.08,Traffic 1,2.568,True,0,531.11,31.79,-474.38
26.08,Traffic 2,2.547,True,0,213.91,45.86,-331.45
26.08,Traffic 3,2.682,True,0,-629.79,9.75,274.12
26.08,Traffic 4,3.644,True,0,-610.04,8.53,522.04
28.08,Traffic 1,2.577,True,0,521.11,26.64,-503.27
28.08,Traffic 2,2.606,True,0,239.54,41.34,-349.83
28.08,Traffic 3,2.677,True,0,-630.33,9.77,306.79
28.08,Traffic 4,2.190,True,0,-615.28,8.77,488.89
30.08,Traffic 1,2.477,True,0,505.53,23.46,-529.64
30.08,Traffic 2,2.678,True,0,264.80,36.54,-368.61
30.08,Traffic 3,2.671,True,0,-630.61,9.77,339.47
30.08,Traffic 4,2.764,True,0,-625.47,9.22,456.92
31.94,Traffic 1,2.592,True,0,490.14,23.20,-542.09
31.94,Traffic 2,2.758,True,0,289.67,36.79,-383.87
31.94,Traffic 3,2.661,True,0,-630.33,9.73,369.64
31.94,Traffic 4,2.786,True,0,-631.50,9.52,426.55
33.54,Traffic 1,0.663,True,0,474.24,25.16,-535.69
33.54,Traffic 2,2.792,True,0,312.06,42.18,-393.78
33.54,Traffic 3,2.648,True,0,-629.28,9.67,395.90
33.54,Traffic 4,2.767,True,0,-634.30,9.66,399.73
35.54,Traffic 1,2.695,True,0,461.82,28.77,-508.01
35.54,Traffic 2,3.256,True,0,342.96,38.17,-397.08
35.54,Traffic 3,2.602,True,0,-625.94,9.50,428.39
35.54,Traffic 4,2.724,True,0,-635.63,9.74,366.24
37.46,Traffic 1,2.867,True,0,446.42,32.14,-483.15
37.46,Traffic 2,2.185,True,0,371.09,30.46,-397.43
