time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.448,7.577,594.350,80.860,-106.896,4,,76.154,55.198,0.000,0.070
0.860,13.989,597.585,80.533,-110.183,4,,80.776,51.646,0.000,0.071
1.260,19.338,601.867,80.012,-115.366,4,,87.533,46.395,0.000,0.106
1.660,23.077,606.245,79.209,-122.839,4,,96.298,39.316,0.000,0.151
2.060,19.303,608.508,78.307,-130.779,4,,104.652,31.966,0.753,0.135
2.461,14.875,608.602,77.602,-137.091,4,,110.942,25.928,0.000,0.101
2.914,13.957,607.330,76.857,-143.899,4,,117.816,19.082,0.136,0.061
3.411,16.325,605.206,75.002,-150.903,0,,125.088,11.791,0.000,0.025
3.824,17.215,603.306,71.551,-157.038,0,,132.254,5.444,0.000,0.014
4.356,22.379,600.040,65.129,-165.095,4,,142.983,0.062,0.000,-0.004
4.777,28.662,595.286,59.749,-173.165,4,,153.750,2.736,0.000,-0.009
5.269,31.954,588.667,53.082,-184.757,4,,168.690,0.074,0.000,0.007
5.671,31.772,582.898,47.634,-194.724,4,,181.483,3.333,0.000,0.018
6.148,31.987,575.348,41.642,-206.570,4,,196.828,8.248,0.000,0.029
6.548,31.686,568.275,37.900,-216.417,4,,209.600,13.506,0.000,0.042
7.057,31.904,557.947,35.105,-228.978,4,,226.127,22.132,0.000,0.054
7.485,35.283,547.689,33.501,-238.613,4,,240.254,30.149,0.000,0.054
7.938,33.758,534.468,32.743,-248.025,4,,256.536,39.309,0.526,0.045
8.349,31.440,523.809,34.487,-254.769,4,,269.300,46.686,0.000,0.047
8.755,30.839,512.624,37.892,-260.853,4,,282.486,53.915,0.468,0.033
9.157,30.799,502.247,41.829,-265.466,4,,294.497,59.859,0.000,0.015
9.559,31.401,491.313,46.177,-269.676,4,,306.979,65.603,0.000,0.006
9.962,31.430,480.196,50.493,-273.652,4,,319.521,71.120,0.000,0.007
10.362,27.331,469.433,53.972,-277.320,3,,331.395,76.071,1.000,0.004
10.805,24.268,459.036,56.404,-280.759,4,,342.579,80.359,0.420,0.015
11.217,21.953,450.101,57.457,-283.470,4,,351.928,83.761,0.170,0.021
11.619,23.163,441.580,57.812,-285.709,0,,360.663,86.675,0.000,0.024
12.020,23.645,432.572,56.977,-287.909,4,,369.955,89.587,0.000,0.037
12.423,27.856,422.381,56.226,-289.577,4,,380.285,92.042,0.000,0.042
12.823,31.339,410.514,55.546,-290.414,4,,392.161,93.738,0.000,0.053
15.764,31.871,328.062,51.307,-256.068,4,,483.108,58.277,0.000,-0.011
16.166,31.748,317.389,52.373,-249.209,0,,494.533,50.668,0.000,-0.014
16.572,31.415,306.669,52.480,-242.494,0,,511.382,43.430,0.000,0.012
16.998,31.542,294.988,50.791,-235.181,0,,525.390,35.992,0.000,0.041
17.412,31.797,284.470,47.628,-228.598,0,,537.748,29.897,0.000,0.069
17.816,31.232,273.285,46.906,-222.586,4,,550.327,25.058,0.000,0.068
18.217,31.810,262.633,47.286,-215.761,4,,562.957,19.924,0.000,0.022
18.619,31.881,252.565,47.439,-207.945,4,,575.689,14.192,0.000,-0.008
19.044,31.920,242.016,47.235,-199.673,4,,589.067,8.529,0.000,-0.022
19.480,31.919,230.610,46.523,-191.541,4,,603.083,3.534,0.000,-0.025
19.886,31.937,219.819,45.852,-184.794,4,,615.817,0.053,0.000,-0.026
20.328,31.803,207.508,45.050,-178.170,4,,629.801,0.825,0.000,-0.027
20.728,31.903,195.927,44.208,-172.923,4,,642.519,5.538,0.000,-0.025
21.137,31.799,183.450,43.137,-168.217,2,,655.849,18.853,0.000,-0.022
21.554,31.914,170.785,41.340,-164.284,4,,669.216,32.083,0.000,-0.018
21.958,31.936,158.520,40.104,-161.120,4,,681.950,44.704,0.000,-0.013
22.358,31.873,146.118,39.516,-158.366,4,,694.678,57.352,0.000,-0.007
