time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.358,5.794,-12.521,8.381,531.611,4,,340.220,63.935,0.000,-0.038
0.770,11.752,-16.188,8.374,530.726,4,,343.897,60.240,0.000,0.046
1.176,16.706,-21.829,8.374,529.548,4,,349.544,54.579,0.000,0.061
1.590,21.241,-29.803,8.375,528.570,4,,357.517,46.605,0.000,0.042
1.992,25.028,-39.103,8.383,528.234,4,,366.815,37.312,0.000,0.018
2.394,28.368,-49.828,8.399,528.396,4,,377.540,26.586,0.000,0.001
2.796,24.277,-61.032,8.422,528.625,4,,388.746,15.380,1.000,-0.126
3.196,18.088,-68.968,8.442,527.501,4,,396.678,7.603,0.000,-0.033
3.596,17.852,-75.870,8.461,525.642,4,,403.576,3.482,0.000,-0.016
4.015,19.401,-83.042,8.483,523.255,4,,410.753,3.314,0.000,-0.198
4.450,23.232,-90.915,8.416,518.083,3,,418.633,0.135,0.000,-0.200
7.855,-3.645,-95.554,8.177,513.200,4,Granite Creek Cut,423.275,2.577,0.000,-0.650
8.255,4.109,-95.913,8.194,513.115,4,Granite Creek Cut,423.634,2.889,0.000,-0.694
8.655,9.470,-98.324,8.271,511.608,4,Granite Creek Cut,426.047,4.707,0.000,-0.496
9.055,10.690,-100.586,8.259,508.371,4,Granite Creek Cut,428.309,5.970,0.000,-0.324
9.466,15.874,-101.654,8.073,502.842,4,Granite Creek Cut,429.378,5.666,0.000,-0.102
9.871,20.340,-101.398,7.986,495.547,4,Granite Creek Cut,429.125,3.902,0.000,0.020
10.271,24.283,-100.860,7.895,486.583,4,Granite Creek Cut,428.588,1.681,0.000,0.072
10.689,18.397,-101.356,8.348,476.975,4,Granite Creek Cut,429.091,0.235,1.000,0.066
11.128,20.567,-103.039,9.355,469.048,4,Granite Creek Cut,430.784,0.261,0.000,0.040
11.531,24.171,-105.587,9.971,460.440,3,Granite Creek Cut,433.338,0.499,0.000,0.018
11.935,27.484,-108.989,10.239,450.635,4,Granite Creek Cut,436.744,0.369,0.000,0.013
12.364,30.641,-113.588,10.837,438.667,4,Granite Creek Cut,441.347,0.158,0.000,0.018
12.780,33.129,-118.621,11.411,426.923,4,Granite Creek Cut,446.378,0.092,0.000,0.027
13.197,35.397,-125.050,12.048,414.028,4,Granite Creek Cut,452.784,0.172,0.000,0.036
13.785,38.120,-136.913,12.931,395.406,4,Granite Creek Cut,464.591,0.402,0.000,0.045
14.185,39.657,-146.867,13.448,383.440,4,Granite Creek Cut,474.454,0.544,0.000,0.045
14.587,41.032,-158.481,13.898,372.222,4,Granite Creek Cut,485.924,0.676,0.000,0.036
14.987,42.271,-171.514,14.404,361.834,4,Granite Creek Cut,498.766,0.679,0.000,0.023
15.388,43.391,-185.600,14.913,352.070,4,Granite Creek Cut,512.558,0.507,0.000,0.011
15.788,44.397,-200.396,15.387,342.604,4,Granite Creek Cut,527.042,0.288,0.000,0.003
16.188,45.296,-215.650,15.807,333.148,4,Granite Creek Cut,541.859,0.121,0.000,-0.002
16.588,46.100,-231.191,16.152,323.507,4,Granite Creek Cut,556.770,0.023,0.000,-0.006
16.988,46.824,-246.888,16.399,313.540,4,Granite Creek Cut,571.783,0.035,0.000,-0.010
17.388,47.479,-262.616,16.528,303.112,4,Granite Creek Cut,586.665,0.084,0.000,-0.013
17.791,47.526,-278.247,16.513,292.122,4,Granite Creek Cut,601.275,0.168,0.000,-0.009
18.199,42.451,-292.356,16.349,281.690,4,Granite Creek Cut,614.222,0.164,0.000,-0.003
18.599,43.719,-306.093,16.132,271.258,4,Granite Creek Cut,626.725,0.094,0.000,-0.001
18.999,32.877,-318.192,17.173,261.989,4,Granite Creek Cut,637.950,0.047,1.000,-0.001
19.399,24.401,-326.748,18.725,255.416,2,Granite Creek Cut,645.856,0.025,0.000,0.000
19.799,24.135,-334.461,19.333,249.482,0,Granite Creek Cut,653.086,0.008,0.000,-0.001
20.200,24.248,-342.099,18.371,243.609,0,Granite Creek Cut,660.182,0.006,0.000,-0.001
20.600,24.439,-349.658,15.854,237.797,0,Granite Creek Cut,1235.891,0.024,0.000,0.001
21.000,20.263,-357.006,12.545,232.149,4,Granite Creek Cut,1241.197,0.052,1.000,0.002
21.402,23.383,-363.864,13.125,226.934,4,Granite Creek Cut,1246.073,0.047,0.000,0.002
21.805,26.952,-372.340,13.485,220.539,4,Granite Creek Cut,1251.967,0.028,0.000,0.001
22.207,29.963,-381.483,13.759,213.688,4,Granite Creek Cut,1258.284,0.014,0.000,0.002
22.621,32.709,-391.581,13.644,206.189,4,Granite Creek Cut,1265.818,0.011,0.000,0.003
23.025,35.331,-403.139,13.155,197.732,4,Granite Creek Cut,1274.352,0.019,0.000,0.005
23.426,37.517,-415.011,12.814,189.241,4,Granite Creek Cut,1282.926,0.035,0.000,0.007
23.839,39.428,-427.684,12.472,180.469,4,Granite Creek Cut,1291.727,0.057,0.000,0.009
24.298,41.329,-443.205,12.097,170.220,4,Granite Creek Cut,1301.950,0.109,0.000,0.009
24.698,42.768,-457.469,11.739,161.277,4,Granite Creek Cut,1310.796,0.137,0.000,0.008
25.099,44.033,-472.368,11.370,152.339,4,Granite Creek Cut,1319.612,0.131,0.000,0.005
25.499,45.145,-487.808,10.991,143.388,4,Granite Creek Cut,1328.392,0.103,0.000,0.003
25.900,46.122,-503.694,10.610,134.376,4,Granite Creek Cut,1337.218,0.070,0.000,0.000
26.300,46.978,-519.923,10.235,125.231,4,Granite Creek Cut,1346.135,0.037,0.000,-0.004
26.700,47.726,-536.378,9.874,115.837,4,Granite Creek Cut,1355.291,0.001,0.000,-0.010
27.102,48.373,-552.910,9.545,106.024,4,Granite Creek Cut,1364.847,0.076,0.000,-0.009
27.583,49.031,-572.719,9.241,93.595,4,Granite Creek Cut,1376.946,0.101,0.000,-0.017
28.011,49.504,-590.632,9.092,81.375,4,Granite Creek Cut,1388.850,0.096,0.000,-0.041
28.425,44.434,-606.177,8.994,68.802,4,Granite Creek Cut,1401.143,0.269,0.899,-0.068
28.826,37.077,-617.193,8.952,56.951,4,Granite Creek Cut,1412.790,0.388,0.263,-0.086
29.226,31.532,-624.364,8.901,45.405,4,Granite Creek Cut,1424.200,0.416,0.532,-0.096
29.966,32.799,-629.956,8.813,23.136,4,,1446.363,2.745,0.000,-0.057
30.366,35.137,-629.838,8.756,9.525,4,,1459.973,15.951,0.000,-0.012
30.766,37.267,-628.777,8.696,-4.946,4,,1474.462,30.362,0.000,0.010
31.166,39.136,-627.746,8.634,-20.218,4,,1489.751,45.638,0.000,0.013
31.581,22.570,-627.147,8.834,-35.102,4,,1504.642,60.530,1.000,0.003
