time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.370,4.949,-12.364,8.531,528.851,4,,340.078,64.042,0.000,0.004
0.796,10.280,-15.794,8.525,528.831,4,,343.508,60.612,0.000,0.004
1.284,15.306,-22.015,8.524,528.812,4,,349.730,54.391,0.000,0.003
1.684,18.946,-28.917,8.525,528.816,4,,356.632,47.489,0.000,0.003
2.084,22.152,-37.182,8.532,528.846,4,,364.898,39.224,0.000,0.001
2.485,24.974,-46.647,8.544,528.903,4,,374.363,29.759,0.000,0.000
2.885,26.850,-57.156,8.563,528.976,4,,384.873,19.249,1.000,-0.161
3.358,17.294,-67.242,8.588,528.354,4,,394.956,9.192,0.250,-0.071
3.810,16.216,-74.291,8.607,526.639,4,,402.000,3.230,0.000,-0.027
4.210,16.354,-80.453,8.625,524.745,4,,408.163,3.493,0.000,-0.201
4.610,19.460,-87.031,8.643,521.785,4,,414.746,1.327,0.000,-0.323
5.010,21.977,-93.163,8.414,516.158,4,,420.882,1.395,0.000,-0.258
5.410,24.413,-97.361,8.208,507.890,4,Granite Creek Cut,425.083,2.734,0.000,-0.140
5.811,26.834,-99.551,8.255,497.852,4,Granite Creek Cut,427.278,2.550,0.000,-0.033
6.211,29.134,-100.732,8.082,486.692,4,Granite Creek Cut,428.461,1.577,0.000,0.049
6.611,0.235,-100.173,8.541,481.348,4,Granite Creek Cut,427.906,0.000,0.000,0.021
7.012,5.760,-100.505,8.465,480.047,4,Granite Creek Cut,428.238,0.062,0.000,0.026
7.440,10.545,-101.343,8.695,476.667,4,Granite Creek Cut,429.080,0.154,0.000,0.039
7.840,14.452,-102.646,9.156,471.814,4,Granite Creek Cut,430.388,0.198,0.000,0.033
8.295,18.318,-104.795,9.902,464.562,3,Granite Creek Cut,432.545,0.020,0.000,0.018
8.695,21.434,-107.200,10.158,456.934,4,Granite Creek Cut,434.952,0.057,0.000,0.015
9.130,24.321,-110.296,10.553,447.802,4,Granite Creek Cut,438.051,0.068,0.000,0.022
9.533,26.833,-114.032,11.033,437.703,4,Granite Creek Cut,441.793,0.096,0.000,0.032
9.933,28.921,-118.327,11.537,427.392,4,Granite Creek Cut,446.084,0.166,0.000,0.042
10.333,30.747,-123.517,12.066,416.631,4,Granite Creek Cut,451.262,0.271,0.000,0.051
10.734,32.345,-129.784,12.596,405.665,4,Granite Creek Cut,457.506,0.390,0.000,0.058
11.134,33.747,-137.275,13.102,394.761,4,Granite Creek Cut,464.953,0.505,0.000,0.063
11.535,34.985,-146.079,13.559,384.191,4,Granite Creek Cut,473.661,0.603,0.000,0.063
11.935,36.096,-156.191,13.959,374.186,4,Granite Creek Cut,483.632,0.707,0.000,0.053
12.343,37.097,-167.462,14.401,364.836,4,Granite Creek Cut,494.780,0.737,0.000,0.037
12.759,38.052,-180.271,14.876,355.609,4,Granite Creek Cut,507.369,0.612,0.000,0.020
13.345,39.213,-199.079,15.494,343.409,4,Granite Creek Cut,525.731,0.322,0.000,0.005
13.892,40.145,-217.306,15.993,332.124,4,Granite Creek Cut,543.439,0.108,0.000,-0.004
14.358,40.870,-233.833,16.344,321.864,4,Granite Creek Cut,559.328,0.001,0.000,-0.009
14.810,41.465,-249.113,16.567,312.119,4,Granite Creek Cut,573.903,0.060,0.000,-0.015
15.210,41.956,-263.011,16.670,302.874,4,Granite Creek Cut,587.057,0.111,0.000,-0.018
15.635,42.457,-278.209,16.653,292.186,4,Granite Creek Cut,601.238,0.197,0.000,-0.013
16.064,38.167,-291.956,16.498,282.027,4,Granite Creek Cut,613.830,0.194,0.352,-0.005
16.546,36.126,-306.444,16.296,271.005,4,Granite Creek Cut,627.069,0.105,1.000,-0.001
16.946,29.165,-316.352,17.097,263.396,4,Granite Creek Cut,636.267,0.049,0.000,0.000
17.355,30.872,-326.274,18.774,255.763,2,Granite Creek Cut,645.392,0.013,0.000,0.001
17.757,30.511,-336.018,19.774,248.269,0,Granite Creek Cut,654.516,0.008,0.000,0.001
18.158,30.439,-345.676,19.200,240.842,0,Granite Creek Cut,1232.987,0.028,0.000,0.002
18.562,30.682,-355.242,17.067,233.485,0,Granite Creek Cut,1239.878,0.060,0.000,0.005
18.963,30.845,-364.720,13.390,226.196,0,Granite Creek Cut,1246.685,0.117,0.000,0.009
19.377,29.521,-374.270,13.783,218.905,4,Granite Creek Cut,1253.448,0.171,0.000,0.007
19.784,31.393,-384.064,13.918,211.607,4,Granite Creek Cut,1260.339,0.137,0.000,0.005
20.184,33.161,-394.500,13.654,203.956,4,Granite Creek Cut,1268.059,0.078,0.000,0.004
20.584,34.770,-405.525,13.234,195.988,4,Granite Creek Cut,1276.105,0.038,0.000,0.007
20.984,36.184,-417.112,12.907,187.767,4,Granite Creek Cut,1284.407,0.036,0.000,0.011
21.385,37.420,-429.244,12.585,179.406,4,Granite Creek Cut,1292.801,0.068,0.000,0.014
21.785,38.502,-441.919,12.278,171.022,4,Granite Creek Cut,1301.137,0.127,0.000,0.014
22.185,39.455,-455.110,11.948,162.691,4,Granite Creek Cut,1309.381,0.166,0.000,0.012
22.586,40.297,-468.766,11.608,154.434,4,Granite Creek Cut,1317.558,0.163,0.000,0.009
22.986,41.041,-482.821,11.263,146.229,4,Granite Creek Cut,1325.617,0.133,0.000,0.005
23.395,41.726,-497.928,10.898,137.622,4,Granite Creek Cut,1334.039,0.091,0.000,0.002
23.798,42.299,-512.575,10.553,129.374,4,Granite Creek Cut,1342.098,0.052,0.000,-0.003
24.198,42.800,-527.398,10.219,121.001,4,Granite Creek Cut,1350.269,0.013,0.000,-0.009
24.749,43.373,-547.518,9.800,109.305,4,Granite Creek Cut,1361.647,0.060,0.000,-0.015
25.226,43.793,-565.342,9.489,98.347,4,Granite Creek Cut,1372.318,0.168,0.000,-0.017
25.626,44.074,-580.084,9.329,88.776,4,Granite Creek Cut,1381.634,0.105,0.000,-0.037
26.026,44.274,-594.507,9.219,78.561,4,Granite Creek Cut,1391.594,0.182,0.000,-0.073
26.432,40.068,-607.561,9.140,67.674,4,Granite Creek Cut,1402.245,0.407,0.587,-0.107
26.869,33.232,-618.322,9.099,55.811,4,Granite Creek Cut,1413.908,0.606,0.200,-0.129
27.323,28.615,-625.408,9.048,43.785,4,Granite Creek Cut,1425.801,0.707,0.000,-0.142
27.735,28.124,-628.931,9.004,32.535,4,Granite Creek Cut,1436.983,0.979,0.000,-0.151
28.136,30.011,-630.071,8.954,20.950,4,,1448.545,4.758,0.000,-0.057
28.536,31.870,-629.563,8.902,8.562,4,,1460.940,16.890,0.000,-0.001
28.936,33.554,-628.495,8.848,-4.503,4,,1474.023,29.917,0.000,0.022
29.337,35.030,-627.595,8.792,-18.211,4,,1487.745,43.633,0.000,0.020
29.740,36.303,-627.094,8.907,-32.479,4,,1502.019,57.908,0.000,0.009
