time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.370,5.126,135.921,37.750,-295.605,4,,3000.177,63.236,0.000,0.008
0.789,10.024,139.037,37.915,-296.508,4,,3003.447,60.002,0.000,0.011
1.192,14.018,143.678,38.329,-297.882,4,,3008.322,55.178,0.000,0.013
1.593,17.408,149.678,39.110,-299.728,4,,3014.673,48.919,0.000,0.016
2.035,20.532,157.554,40.426,-302.297,4,,3023.076,40.656,0.000,0.019
2.446,23.037,166.080,42.047,-305.299,4,,3032.263,31.635,0.000,0.022
2.849,25.107,174.958,43.745,-308.706,4,,3041.913,22.139,0.000,0.025
3.289,19.510,184.071,45.266,-312.631,4,,3051.925,12.220,0.250,0.081
3.691,18.463,190.564,46.090,-316.219,4,,3059.345,4.834,0.000,0.042
4.093,18.359,196.760,46.602,-320.252,4,,3066.698,0.789,0.000,0.000
4.494,14.708,202.280,46.706,-324.039,4,,3073.354,0.339,0.000,-0.122
4.894,13.971,207.069,46.502,-326.839,4,,3078.953,1.014,0.000,-0.304
5.294,13.850,212.342,46.118,-328.577,4,,3084.397,0.957,0.000,-0.431
5.694,16.554,218.330,45.646,-328.242,4,,3089.221,0.616,0.000,-0.396
6.113,19.307,225.023,45.400,-324.700,4,,3092.757,2.754,0.000,-0.250
6.513,19.725,230.177,46.163,-318.859,4,Laurel Switchbacks,3093.532,3.383,0.000,-0.094
6.913,19.796,234.088,46.924,-312.038,4,Laurel Switchbacks,3092.981,2.675,0.000,0.029
7.313,19.784,237.748,47.802,-305.073,4,Laurel Switchbacks,3092.011,1.460,0.000,0.103
7.713,19.780,241.993,48.516,-298.426,4,Laurel Switchbacks,3091.715,0.368,0.000,0.140
8.113,19.774,247.189,49.061,-292.489,4,Laurel Switchbacks,3092.618,0.361,0.000,0.144
8.513,4.362,246.807,49.023,-293.278,4,Laurel Switchbacks,3092.748,0.002,0.000,0.098
8.915,8.925,248.863,49.329,-291.524,4,Laurel Switchbacks,3093.098,0.059,0.000,0.112
9.343,13.053,252.557,49.914,-288.725,4,Laurel Switchbacks,3094.449,0.195,0.000,0.108
9.745,16.555,257.812,50.876,-285.457,4,Laurel Switchbacks,3096.393,0.455,0.000,0.085
10.158,19.396,264.189,52.145,-282.307,4,Laurel Switchbacks,3099.228,0.648,0.000,0.053
10.569,21.968,272.140,53.806,-279.135,4,Laurel Switchbacks,3102.842,0.659,0.000,0.018
10.973,24.090,280.685,55.653,-276.146,4,Laurel Switchbacks,3106.997,0.499,0.000,-0.012
11.380,25.932,289.956,57.707,-272.914,4,Laurel Switchbacks,3111.576,0.260,0.000,-0.041
11.786,27.271,300.182,60.008,-268.861,4,Laurel Switchbacks,3116.444,0.018,0.000,-0.076
12.186,27.438,309.772,62.177,-264.022,4,Laurel Switchbacks,3120.464,0.165,0.000,-0.123
12.590,25.696,318.212,64.063,-258.086,4,Laurel Switchbacks,3123.125,0.294,0.000,-0.156
12.991,25.786,325.076,65.528,-250.788,4,Laurel Switchbacks,3123.964,0.617,0.000,-0.148
13.391,27.269,330.527,66.608,-241.683,4,Laurel Switchbacks,3122.745,1.264,0.000,-0.107
