time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.358,5.782,255.351,47.377,-208.424,4,,573.140,63.701,0.000,-0.003
0.758,11.462,252.469,47.379,-206.384,4,,576.667,60.180,0.000,-0.005
1.163,16.479,247.834,47.333,-203.133,4,,582.322,54.534,0.000,-0.007
1.563,20.938,241.617,47.145,-198.853,4,,589.861,47.007,0.000,-0.009
1.966,25.118,233.523,46.672,-193.464,4,,599.591,37.308,0.000,-0.014
2.367,28.629,224.395,46.128,-187.717,4,,610.388,26.546,0.000,-0.020
2.770,24.962,214.671,45.524,-182.114,4,,621.622,15.338,0.499,-0.048
3.175,23.025,206.150,44.952,-178.097,4,,631.055,5.921,0.000,-0.027
3.686,22.194,195.055,44.156,-173.847,4,,642.978,0.564,0.000,0.041
4.086,21.728,186.956,43.483,-170.526,4,,651.774,1.541,0.455,0.131
4.491,24.403,179.374,42.473,-165.510,4,,660.596,0.364,0.000,0.149
4.891,27.784,172.680,41.363,-157.543,4,,669.242,1.472,0.000,0.097
5.301,29.466,167.656,40.937,-147.392,4,Fern Gully,676.482,2.204,0.000,0.032
5.772,31.790,162.674,40.296,-133.378,4,Fern Gully,684.261,1.466,0.000,-0.028
6.172,31.920,158.135,39.904,-121.467,4,Fern Gully,690.859,0.431,0.000,-0.038
6.576,31.937,152.639,39.403,-109.949,4,Fern Gully,698.148,0.355,0.000,-0.027
6.977,31.927,146.346,38.779,-98.892,4,Fern Gully,705.962,0.581,0.000,-0.012
7.388,31.938,139.268,38.062,-87.561,4,Fern Gully,714.719,0.417,0.000,-0.002
7.790,31.940,132.376,37.488,-76.864,4,Fern Gully,726.442,0.190,0.000,0.001
8.190,31.938,125.474,36.910,-66.173,4,Fern Gully,735.740,0.039,0.000,0.000
8.592,31.936,118.586,36.352,-55.473,4,Fern Gully,745.526,0.019,0.000,-0.001
8.992,31.930,111.685,35.818,-44.781,4,Fern Gully,756.526,0.018,0.000,-0.002
9.392,31.917,104.738,35.313,-34.118,4,Fern Gully,766.950,0.002,0.000,-0.003
9.792,31.895,97.725,34.841,-23.498,4,Fern Gully,772.862,0.020,0.000,-0.005
10.192,31.825,90.606,34.409,-12.941,4,Fern Gully,779.446,0.004,0.000,-0.007
10.592,31.933,83.319,34.024,-2.473,4,Fern Gully,786.074,0.041,0.000,-0.007
10.994,31.937,75.848,33.673,7.883,4,Fern Gully,793.218,0.092,0.000,-0.005
11.395,31.934,68.235,33.349,18.135,4,Fern Gully,800.894,0.105,0.000,-0.002
11.795,31.932,60.541,33.045,28.325,4,Fern Gully,809.027,0.085,0.000,0.000
12.195,31.929,52.829,32.759,38.502,4,Fern Gully,1159.590,0.052,0.000,0.003
12.598,31.927,45.161,32.486,48.711,4,Fern Gully,1215.309,0.019,0.000,0.005
13.013,31.925,37.220,32.211,59.512,4,Fern Gully,1224.493,0.007,0.000,0.008
13.413,31.923,29.837,31.958,69.927,4,Fern Gully,1230.088,0.027,0.000,0.013
13.813,31.921,22.737,31.711,80.536,4,Fern Gully,1234.816,0.045,0.000,0.016
14.213,31.920,16.022,31.467,91.393,4,Fern Gully,1239.059,0.152,0.000,0.014
14.620,31.920,9.694,31.222,102.479,4,Fern Gully,1243.652,0.208,0.000,0.014
15.025,31.919,3.456,30.974,114.342,4,Fern Gully,1248.349,0.145,0.000,0.020
15.427,31.912,-1.996,30.760,125.882,4,Fern Gully,1252.757,0.094,0.000,0.031
15.829,31.899,-6.714,30.581,137.737,4,Fern Gully,1257.784,0.108,0.000,0.045
16.229,31.915,-10.296,30.086,149.979,4,Fern Gully,1263.663,0.203,0.000,0.064
16.630,31.896,-12.209,29.401,162.573,4,Fern Gully,1270.641,0.325,0.000,0.083
17.041,31.837,-11.862,29.205,175.295,4,Fern Gully,1279.364,0.613,0.000,0.080
17.442,30.579,-9.150,29.550,187.645,4,Fern Gully,1289.363,1.036,0.000,0.062
17.848,30.571,-4.556,30.205,199.220,4,Fern Gully,1300.161,1.061,0.000,0.039
18.248,31.686,1.310,31.010,210.277,4,Fern Gully,1311.459,0.826,0.000,0.024
18.648,27.050,7.566,31.846,220.348,4,Fern Gully,1322.297,0.537,0.464,0.051
19.048,23.482,13.501,32.589,228.217,4,Fern Gully,1331.527,0.183,0.000,0.101
19.451,23.887,20.381,33.338,234.631,4,Fern Gully,1340.721,0.378,0.000,0.119
19.851,26.783,29.198,34.171,239.591,4,Fern Gully,1350.826,0.898,0.000,0.105
20.255,29.448,39.870,35.090,243.069,4,,1361.862,3.676,0.000,-0.063
20.655,31.413,51.294,36.446,247.268,4,,1374.019,15.673,0.000,-0.032
21.055,31.643,62.551,38.334,252.661,4,,1386.678,28.155,0.000,-0.003
21.455,31.614,73.601,40.642,258.357,4,,1399.352,40.581,0.000,0.017
21.855,31.074,84.704,42.902,263.863,0,,1414.938,52.974,0.000,0.025
