time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.358,5.783,256.971,47.376,-206.188,4,,573.112,63.986,0.000,-0.044
0.758,11.462,253.698,47.379,-204.863,4,,576.540,60.481,0.000,0.037
1.160,16.470,248.498,47.337,-202.628,4,,582.065,54.854,0.000,0.052
1.615,21.531,240.677,47.110,-198.557,4,,590.805,46.045,0.000,0.029
2.021,25.637,232.189,46.608,-193.357,4,,600.772,36.094,0.000,0.001
2.421,29.091,222.942,46.056,-187.434,4,,611.783,25.131,0.000,-0.020
2.833,24.568,213.416,45.447,-181.743,4,,622.905,14.049,0.385,-0.051
3.235,23.092,204.966,44.872,-177.711,4,,632.295,4.695,0.000,-0.028
3.635,22.413,196.441,44.261,-174.371,4,,641.489,0.205,0.000,0.022
4.037,21.463,188.318,43.608,-171.159,4,,650.272,1.547,0.287,0.117
4.442,24.135,180.258,42.620,-166.238,4,,659.527,0.584,0.000,0.152
4.842,27.543,173.361,41.470,-158.588,4,,668.315,1.300,0.000,0.105
8.295,-0.937,169.924,41.048,-150.060,4,Fern Gully,673.738,1.084,0.000,-0.183
8.695,5.918,169.912,40.998,-148.931,4,Fern Gully,674.045,0.676,0.000,-0.191
9.096,11.735,169.573,40.837,-145.337,4,Fern Gully,675.207,0.335,0.000,-0.141
9.513,17.031,168.085,40.594,-139.411,4,Fern Gully,678.009,1.161,0.000,-0.080
9.935,21.651,164.968,40.312,-131.847,4,Fern Gully,682.526,1.250,0.000,-0.037
10.342,25.700,160.329,39.982,-122.993,4,Fern Gully,688.551,0.833,0.000,-0.016
10.770,29.253,154.478,39.550,-112.994,4,Fern Gully,695.863,0.418,0.000,-0.005
11.216,31.715,147.412,38.924,-101.436,4,Fern Gully,704.528,0.187,0.000,-0.001
11.616,31.759,140.720,38.232,-90.621,4,Fern Gully,712.772,0.057,0.000,-0.001
12.021,31.802,133.664,37.611,-79.280,4,Fern Gully,720.691,0.006,0.000,-0.002
12.431,31.801,126.903,37.033,-68.499,4,Fern Gully,733.733,0.003,0.000,-0.002
12.832,31.778,120.086,36.469,-57.750,4,Fern Gully,743.403,0.016,0.000,-0.003
13.232,31.751,113.205,35.930,-47.042,4,Fern Gully,754.149,0.026,0.000,-0.003
13.634,31.654,106.251,35.418,-36.369,4,Fern Gully,765.460,0.030,0.000,-0.003
14.034,31.930,99.234,34.938,-25.746,4,Fern Gully,771.782,0.030,0.000,-0.004
14.434,31.904,92.134,34.497,-15.183,4,Fern Gully,777.908,0.009,0.000,-0.007
14.834,31.788,84.888,34.102,-4.705,4,Fern Gully,784.558,0.024,0.000,-0.007
15.234,31.926,77.466,33.746,5.661,4,Fern Gully,791.636,0.079,0.000,-0.006
15.637,31.934,69.882,33.417,15.933,4,Fern Gully,799.113,0.103,0.000,-0.003
16.037,31.932,62.201,33.109,26.133,4,Fern Gully,807.245,0.091,0.000,0.000
16.439,31.930,54.489,32.819,36.310,4,Fern Gully,815.914,0.059,0.000,0.002
16.839,31.928,46.806,32.544,46.508,4,Fern Gully,1211.697,0.026,0.000,0.005
17.240,31.926,39.212,32.280,56.772,4,Fern Gully,1222.662,0.001,0.000,0.007
17.640,31.924,31.774,32.025,67.148,4,Fern Gully,1228.971,0.022,0.000,0.012
18.040,31.921,24.586,31.776,77.698,4,Fern Gully,1233.726,0.040,0.000,0.016
18.449,31.920,17.434,31.519,89.034,4,Fern Gully,1238.084,0.111,0.000,0.015
18.852,31.920,11.025,31.274,100.074,4,Fern Gully,1242.695,0.211,0.000,0.014
19.252,31.919,4.989,31.035,111.322,4,Fern Gully,1246.958,0.164,0.000,0.018
19.654,31.914,-0.608,30.814,122.793,4,Fern Gully,1251.572,0.103,0.000,0.027
20.055,31.902,-5.554,30.626,134.556,4,Fern Gully,1256.455,0.097,0.000,0.041
20.456,31.906,-9.484,30.280,146.694,4,Fern Gully,1261.962,0.170,0.000,0.058
20.970,31.893,-12.238,29.385,163.014,4,Fern Gully,1270.985,0.329,0.000,0.083
21.371,31.840,-11.806,29.209,175.732,4,Fern Gully,1279.671,0.628,0.000,0.080
21.771,30.947,-9.014,29.569,188.075,4,Fern Gully,1289.769,1.046,0.199,0.061
22.171,30.817,-4.576,30.203,199.198,4,Fern Gully,1300.132,1.070,0.000,0.039
22.592,31.715,1.621,31.052,210.836,4,Fern Gully,1312.042,0.823,0.000,0.024
22.992,26.818,7.863,31.888,220.804,4,Fern Gully,1322.798,0.524,0.382,0.053
23.392,23.504,13.814,32.625,228.578,4,Fern Gully,1331.984,0.231,0.000,0.104
23.894,24.743,22.802,33.580,236.274,4,Fern Gully,1343.640,0.149,0.000,0.106
24.347,27.931,33.828,34.568,241.289,4,,1355.692,1.581,0.000,-0.052
24.747,30.564,44.993,35.622,244.756,4,,1367.206,8.907,0.000,-0.051
25.157,31.594,56.409,37.243,249.607,4,,1379.712,21.298,0.000,-0.016
25.557,31.638,67.542,39.324,255.230,4,,1392.394,33.765,0.000,0.007
25.957,31.586,78.590,41.797,260.857,2,,1404.600,46.161,0.000,0.021
26.357,30.749,89.699,43.450,266.318,0,,1420.541,58.540,0.000,0.032
