time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.359,5.782,255.351,47.377,-208.424,4,,573.140,63.701,0.000,-0.003
0.759,11.462,252.469,47.379,-206.384,4,,576.667,60.180,0.000,-0.005
1.159,16.479,247.834,47.333,-203.133,4,,582.322,54.534,0.000,-0.007
1.559,20.938,241.617,47.145,-198.853,4,,589.861,47.007,0.000,-0.009
1.959,24.930,233.943,46.699,-193.738,4,,599.089,37.809,0.000,-0.013
2.359,28.464,224.883,46.157,-188.014,4,,609.815,27.117,0.000,-0.019
2.776,31.448,213.931,45.476,-181.677,4,,622.481,14.482,0.000,-0.027
3.176,31.936,202.604,44.697,-175.942,4,,635.188,1.805,0.000,-0.029
3.576,31.736,190.923,43.804,-170.959,4,,647.900,2.597,0.000,-0.026
3.995,31.916,178.364,42.461,-166.531,4,,661.241,1.065,0.000,-0.022
4.396,31.935,166.236,40.797,-163.027,4,,673.969,9.649,0.000,-0.017
4.796,31.900,153.912,39.812,-160.043,4,,686.694,19.681,0.000,-0.011
5.196,31.927,141.459,39.443,-157.422,4,,699.436,30.253,0.000,-0.006
5.596,31.900,128.933,39.627,-155.012,4,,712.208,40.983,0.000,-0.001
5.996,31.718,116.412,39.822,-152.687,0,,727.609,51.583,0.000,0.002
6.399,31.698,103.987,38.545,-150.383,0,,740.447,61.808,0.000,0.016
6.799,31.633,91.673,35.715,-148.098,0,,753.215,71.525,0.000,0.027
7.204,31.350,78.848,31.228,-145.719,4,,766.373,81.381,0.000,0.027
7.606,28.063,67.949,31.231,-143.581,4,,777.521,89.633,0.000,0.005
8.006,31.080,56.352,30.964,-141.025,4,,789.415,98.215,0.000,-0.014
8.406,31.869,43.949,30.583,-138.517,4,,802.061,107.460,0.000,-0.014
8.807,31.823,31.393,29.958,-136.409,4,,814.792,117.001,0.000,-0.006
9.212,34.000,18.467,29.002,-134.487,4,,827.894,126.915,0.000,0.008
9.613,36.506,4.545,28.031,-132.235,4,,842.036,137.453,0.000,0.010
10.013,35.467,-10.052,27.054,-129.529,4,,856.930,148.268,1.000,0.007
10.413,31.919,-22.914,26.200,-126.796,4,,870.126,157.566,0.000,0.022
10.814,31.942,-35.238,25.389,-123.659,4,,882.886,166.148,0.000,0.038
11.241,31.319,-47.909,24.843,-119.487,1,,896.231,174.399,0.000,0.086
11.641,28.142,-59.232,23.675,-114.820,4,,908.433,181.188,0.000,0.093
12.042,29.243,-68.749,23.328,-109.063,4,,919.407,185.650,0.000,0.065
13.505,31.933,-99.596,21.506,-74.328,4,,965.790,189.586,0.000,0.031
13.905,31.937,-106.137,21.025,-63.368,4,,978.544,188.269,0.000,0.033
14.305,31.909,-111.837,20.875,-51.954,4,,991.296,186.110,0.000,0.034
14.707,31.849,-116.626,21.351,-40.158,4,,1004.027,183.137,0.000,0.033
15.110,31.783,-120.463,22.311,-28.075,4,,1016.731,179.412,0.000,0.035
15.510,31.467,-123.442,23.422,-15.791,0,,1025.601,175.100,0.000,0.034
15.910,31.055,-126.267,23.154,-3.549,0,,1044.674,170.967,0.000,0.057
16.310,30.755,-129.062,21.324,8.579,0,,1056.852,167.205,0.000,0.095
16.710,30.174,-131.831,17.947,20.598,0,,1068.591,163.687,0.000,0.148
17.111,27.285,-132.991,17.224,31.720,4,,1079.260,159.358,0.000,0.125
17.511,29.887,-129.676,17.520,42.644,4,,1090.152,151.326,0.000,0.007
17.911,31.654,-124.609,17.885,53.982,4,,1101.924,141.680,0.000,-0.034
18.311,31.805,-119.964,18.365,65.795,4,,1114.353,132.363,0.000,-0.024
18.711,31.817,-116.087,18.928,77.900,4,,1127.061,123.851,0.000,0.001
19.111,31.811,-112.445,19.558,90.075,4,,1139.818,115.832,0.000,0.020
19.511,31.797,-108.426,20.240,102.124,4,,1152.555,107.875,0.000,0.030
19.912,31.786,-103.667,20.962,113.892,4,,1165.267,99.717,0.000,0.033
20.313,31.757,-98.057,21.927,125.247,4,,1177.957,91.298,0.000,0.033
20.715,31.769,-91.587,22.737,136.152,4,,1190.642,82.615,0.000,0.033
21.118,31.774,-84.301,23.497,146.535,4,,1203.325,73.716,0.000,0.031
21.552,31.776,-75.433,24.380,157.306,4,,1217.277,63.763,0.000,0.026
21.955,32.953,-66.624,25.160,166.616,4,,1230.099,54.602,0.000,0.029
22.355,31.786,-57.129,26.004,175.471,4,,1243.099,45.542,0.000,0.011
22.755,31.778,-47.547,26.881,183.779,4,,1255.806,37.236,0.000,0.012
23.156,31.774,-37.741,27.777,191.813,4,,1268.513,29.573,0.000,0.013
23.556,31.769,-27.706,28.704,199.554,4,,1281.218,22.532,0.000,0.012
23.957,31.766,-17.453,29.654,207.000,4,,1293.922,16.036,0.000,0.011
24.357,31.764,-7.007,30.622,214.167,4,,1306.625,9.987,0.000,0.010
24.758,31.762,3.608,31.614,221.077,4,,1319.328,4.288,0.000,0.009
25.159,31.760,14.374,32.624,227.745,4,,1332.029,1.168,0.000,0.009
25.912,31.754,35.199,34.608,239.777,4,,1356.161,0.216,0.000,0.009
26.314,31.739,46.328,35.799,245.763,4,,1368.869,10.559,0.000,0.009
26.741,31.690,58.078,37.617,251.747,4,,1382.192,23.742,0.000,0.011
27.152,31.632,69.890,39.895,257.392,4,,1395.493,36.827,0.000,0.012
27.552,31.345,81.214,42.344,262.435,0,,1405.507,49.211,0.000,0.012
27.952,30.659,92.535,43.605,267.375,0,,1423.604,61.553,0.000,0.019
