time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.370,6.452,256.790,47.376,-206.113,4,,573.303,63.791,0.000,-0.033
0.771,12.458,253.205,47.379,-204.659,4,,577.057,59.951,0.000,0.040
1.174,17.770,247.598,47.323,-202.200,4,,583.046,53.860,0.000,0.049
1.605,22.720,240.023,47.084,-198.185,4,,591.554,45.293,0.000,0.026
2.054,27.549,230.138,46.489,-192.072,4,,603.198,33.676,0.000,-0.004
2.455,31.178,220.179,45.891,-185.754,4,,615.023,21.902,0.000,-0.023
2.885,24.518,210.344,45.250,-180.190,4,,626.354,10.608,0.150,-0.039
3.305,23.824,201.178,44.608,-176.144,4,,636.410,0.810,0.000,-0.021
3.705,22.833,192.524,43.948,-172.844,4,,645.719,1.152,0.000,0.068
8.616,-3.697,161.336,40.140,-127.698,4,Fern Gully,686.651,0.324,0.000,-0.103
9.017,4.551,161.261,40.125,-127.276,4,Fern Gully,686.818,0.210,0.000,-0.137
9.442,11.204,160.271,40.011,-124.019,4,Fern Gully,688.437,0.322,0.000,-0.100
9.842,16.756,158.098,39.807,-118.786,4,Fern Gully,691.430,0.780,0.000,-0.058
10.242,21.666,154.435,39.504,-111.960,4,Fern Gully,696.120,0.897,0.000,-0.023
10.642,26.028,149.393,39.070,-103.801,4,Fern Gully,702.236,0.678,0.000,-0.003
11.052,30.086,142.973,38.441,-93.868,4,Fern Gully,710.051,0.292,0.000,0.003
11.469,31.885,135.859,37.795,-82.790,4,Fern Gully,719.171,0.020,0.000,0.002
11.872,31.927,129.050,37.221,-72.035,4,Fern Gully,730.767,0.065,0.000,0.000
12.272,31.658,122.257,36.650,-61.273,4,Fern Gully,740.345,0.050,0.000,-0.002
12.672,31.769,115.426,36.103,-50.543,4,Fern Gully,750.678,0.009,0.000,-0.003
13.076,31.838,108.523,35.582,-39.853,4,Fern Gully,761.823,0.023,0.000,-0.003
13.477,31.869,101.539,35.091,-29.210,4,Fern Gully,769.711,0.036,0.000,-0.003
13.877,31.879,94.471,34.636,-18.620,4,Fern Gully,775.728,0.029,0.000,-0.006
14.286,31.875,87.278,34.226,-8.113,4,Fern Gully,782.507,0.013,0.000,-0.007
14.715,31.859,79.170,33.825,3.315,4,Fern Gully,789.968,0.069,0.000,-0.006
15.124,31.728,71.627,33.490,13.591,4,Fern Gully,797.401,0.101,0.000,-0.004
15.529,31.933,63.590,33.163,24.296,4,Fern Gully,805.712,0.094,0.000,-0.001
15.930,31.899,55.899,32.871,34.447,4,Fern Gully,814.265,0.065,0.000,0.002
16.333,31.936,48.207,32.593,44.637,4,Fern Gully,1185.203,0.032,0.000,0.004
16.735,31.937,40.590,32.327,54.889,4,Fern Gully,1221.596,0.003,0.000,0.007
17.140,31.935,33.115,32.071,65.245,4,Fern Gully,1227.480,0.019,0.000,0.010
17.543,31.933,25.870,31.821,75.761,4,Fern Gully,1232.834,0.036,0.000,0.015
17.943,31.931,18.973,31.576,86.509,4,Fern Gully,1237.070,0.079,0.000,0.015
18.344,31.932,12.474,31.331,97.501,4,Fern Gully,1241.689,0.207,0.000,0.013
18.746,31.931,6.349,31.089,108.706,4,Fern Gully,1245.944,0.179,0.000,0.016
19.146,31.928,0.635,30.863,120.126,4,Fern Gully,1250.532,0.114,0.000,0.023
19.546,31.918,-4.490,30.665,131.818,4,Fern Gully,1255.127,0.092,0.000,0.036
19.946,31.913,-8.695,30.416,143.870,4,Fern Gully,1260.644,0.146,0.000,0.051
20.347,31.921,-11.513,29.699,156.306,4,Fern Gully,1267.012,0.276,0.000,0.072
20.776,31.882,-12.294,29.212,170.293,4,Fern Gully,1275.717,0.431,0.000,0.080
21.200,31.839,-10.319,29.382,183.503,4,Fern Gully,1285.839,0.925,0.000,0.066
21.600,31.453,-6.338,29.949,195.285,4,Fern Gully,1296.356,1.110,0.000,0.045
22.008,31.798,-0.484,30.770,207.212,4,Fern Gully,1308.215,0.947,0.000,0.027
22.413,29.449,5.912,31.621,217.896,4,Fern Gully,1319.568,0.665,0.312,0.040
22.814,24.856,12.100,32.426,226.570,4,Fern Gully,1329.469,0.049,0.000,0.086
23.215,24.576,18.973,33.193,233.527,4,Fern Gully,1338.951,0.470,0.000,0.122
23.615,26.806,27.553,34.023,238.843,4,Fern Gully,1349.025,0.591,0.000,0.096
24.015,29.968,38.248,34.944,242.616,4,,1360.215,2.259,0.000,-0.059
24.415,31.634,49.920,36.246,246.722,4,,1372.532,14.198,0.000,-0.034
24.818,31.711,61.276,38.094,252.026,4,,1385.231,26.731,0.000,-0.005
25.218,31.675,72.366,40.360,257.718,4,,1397.929,39.191,0.000,0.015
25.618,31.222,83.478,42.713,263.243,0,,1406.278,51.600,0.000,0.023
