time,speed,travel,x,y,z,grounded,lift,torque,contact
0.019,23.774,0.475,-625.512,8.192,-149.507,4,7.800,0.076,""
0.039,23.787,0.951,-625.520,8.191,-149.032,4,8.305,0.047,"Ground_80_240:(0.00, 1.00, 0.00)"
0.059,23.798,1.427,-625.528,8.189,-148.556,4,8.774,0.023,"Ground_80_240:(0.00, 1.00, 0.00)"
0.079,23.808,1.903,-625.536,8.187,-148.080,4,9.205,0.004,"Ground_80_240:(0.00, 1.00, 0.00)"
0.099,23.817,2.379,-625.544,8.185,-147.603,4,9.588,0.011,"Ground_80_240:(0.00, 1.00, 0.00)"
0.119,23.825,2.856,-625.552,8.183,-147.127,4,9.919,0.022,"Ground_80_240:(0.00, 1.00, 0.00)"
0.139,23.833,3.332,-625.560,8.181,-146.651,4,10.195,0.029,"Ground_80_240:(0.00, 1.00, 0.00)"
0.159,23.839,3.809,-625.568,8.179,-146.174,4,10.417,0.035,"Ground_80_240:(0.00, 1.00, 0.00)"
0.179,23.845,4.286,-625.575,8.178,-145.697,4,10.586,0.038,"Ground_80_240:(0.00, 1.00, 0.00)"
0.199,23.850,4.763,-625.583,8.177,-145.220,4,10.705,0.039,"Ground_80_240:(0.00, 1.00, 0.00)"
0.219,23.855,5.240,-625.591,8.176,-144.743,4,10.779,0.039,"Ground_80_240:(0.00, 1.00, 0.00)"
0.239,23.859,5.717,-625.599,8.176,-144.266,4,10.813,0.038,"Ground_80_240:(0.00, 1.00, 0.00)"
0.259,23.863,6.194,-625.607,8.176,-143.789,4,10.811,0.036,"Ground_80_240:(0.00, 1.00, 0.00)"
0.279,23.866,6.672,-625.615,8.176,-143.312,4,10.780,0.034,"Ground_80_240:(0.00, 1.00, 0.00)"
0.299,23.869,7.149,-625.623,8.177,-142.835,4,10.725,0.031,"Ground_80_240:(0.00, 1.00, 0.00)"
0.319,23.872,7.626,-625.631,8.179,-142.357,4,10.651,0.029,"Ground_80_240:(0.00, 1.00, 0.00)"
0.339,23.874,8.104,-625.638,8.180,-141.880,4,10.564,0.026,"Ground_80_240:(0.00, 1.00, 0.00)"
0.359,23.876,8.581,-625.646,8.182,-141.403,4,10.468,0.023,"Ground_80_240:(0.00, 1.00, 0.00)"
0.379,23.878,9.059,-625.654,8.184,-140.925,4,10.367,0.020,"Ground_80_240:(0.00, 1.00, 0.00)"
0.399,23.880,9.536,-625.662,8.186,-140.448,4,10.266,0.017,"Ground_80_240:(0.00, 1.00, 0.00)"
0.419,23.881,10.014,-625.670,8.188,-139.970,4,10.167,0.014,"Ground_80_240:(0.00, 1.00, 0.00)"
0.439,23.882,10.492,-625.678,8.191,-139.492,4,10.072,0.012,"Ground_80_240:(0.00, 1.00, 0.00)"
0.459,23.884,10.969,-625.686,8.193,-139.015,4,9.984,0.010,"Ground_80_240:(0.00, 1.00, 0.00)"
0.479,23.885,11.447,-625.694,8.196,-138.537,4,9.904,0.008,"Ground_80_240:(0.00, 1.00, 0.00)"
0.499,23.886,11.925,-625.701,8.199,-138.060,4,9.833,0.006,"Ground_80_240:(0.00, 1.00, 0.00)"
0.519,23.887,12.402,-625.709,8.201,-137.582,4,9.772,0.005,"Ground_80_240:(0.00, 1.00, 0.00)"
0.539,23.887,12.880,-625.717,8.204,-137.104,4,9.720,0.004,"Ground_80_240:(0.00, 1.00, 0.00)"
0.559,23.888,13.358,-625.725,8.206,-136.626,4,9.679,0.003,"Ground_80_240:(0.00, 1.00, 0.00)"
0.579,23.889,13.836,-625.733,8.209,-136.149,4,9.647,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
