time,speed,travel,x,y,z,grounded,lift,torque,contact
0.001,11.887,0.238,-628.508,8.342,-149.794,4,7.800,0.042,""
0.021,11.895,0.475,-628.512,8.341,-149.557,4,8.247,0.006,""
0.041,11.901,0.713,-628.516,8.339,-149.319,4,8.669,0.017,""
0.061,11.800,0.949,-628.520,8.337,-149.083,4,9.058,0.032,""
0.081,11.817,1.186,-628.524,8.334,-148.847,4,9.407,0.039,""
0.101,11.832,1.422,-628.528,8.332,-148.610,4,9.709,0.042,""
0.121,11.846,1.659,-628.531,8.330,-148.373,4,9.963,0.042,""
0.141,11.857,1.896,-628.535,8.327,-148.136,4,10.170,0.040,""
0.161,11.868,2.133,-628.539,8.325,-147.899,4,10.331,0.037,""
0.181,11.877,2.371,-628.543,8.324,-147.662,4,10.450,0.033,""
0.201,11.885,2.608,-628.547,8.322,-147.424,4,10.530,0.029,""
0.221,11.893,2.846,-628.551,8.321,-147.186,4,10.576,0.025,""
0.241,11.899,3.084,-628.555,8.320,-146.948,4,10.592,0.021,""
0.261,11.905,3.322,-628.559,8.320,-146.710,4,10.583,0.017,""
0.281,11.803,3.558,-628.563,8.320,-146.474,4,10.553,0.014,""
0.301,11.819,3.795,-628.567,8.320,-146.238,4,10.507,0.012,""
0.321,11.834,4.031,-628.571,8.320,-146.001,4,10.449,0.009,""
0.341,11.846,4.268,-628.574,8.321,-145.765,4,10.382,0.007,""
0.361,11.858,4.505,-628.578,8.321,-145.527,4,10.311,0.006,""
0.381,11.868,4.743,-628.582,8.322,-145.290,4,10.237,0.004,""
0.401,11.877,4.980,-628.586,8.323,-145.053,4,10.163,0.003,""
0.421,11.885,5.218,-628.590,8.325,-144.815,4,10.091,0.002,""
0.441,11.892,5.456,-628.594,8.326,-144.577,4,10.023,0.002,""
0.461,11.899,5.694,-628.598,8.327,-144.339,4,9.961,0.001,""
0.481,11.904,5.932,-628.602,8.329,-144.101,4,9.904,0.001,""
0.501,11.802,6.168,-628.606,8.330,-143.865,4,9.853,0.001,""
0.521,11.819,6.404,-628.610,8.331,-143.629,4,9.810,0.000,""
0.541,11.833,6.641,-628.614,8.333,-143.392,4,9.773,0.000,""
0.561,11.846,6.878,-628.617,8.334,-143.155,4,9.743,0.000,""
0.581,11.858,7.115,-628.621,8.335,-142.918,4,9.720,0.000,""
0.601,11.868,7.352,-628.625,8.337,-142.681,4,9.703,0.000,""
0.621,11.877,7.590,-628.629,8.338,-142.443,4,9.691,0.000,""
0.641,11.885,7.828,-628.633,8.339,-142.206,4,9.684,0.000,""
0.661,11.892,8.065,-628.637,8.340,-141.968,4,9.682,0.000,""
0.681,11.899,8.303,-628.641,8.341,-141.730,4,9.683,0.000,""
0.701,11.904,8.541,-628.645,8.342,-141.492,4,9.688,0.000,""
0.721,11.802,8.777,-628.649,8.343,-141.256,4,9.694,0.000,""
0.741,11.819,9.014,-628.653,8.344,-141.019,4,9.703,0.000,""
