time,speed,travel,x,y,z,grounded,lift,torque,contact
0.020,27.737,0.555,-627.014,8.192,-149.453,4,7.800,0.066,"Ground_80_320:(0.00, 1.00, 0.00)"
0.040,27.752,1.110,-627.023,8.191,-148.898,4,8.326,0.038,"Ground_80_240:(0.00, 1.00, 0.00)"
0.060,27.765,1.665,-627.032,8.189,-148.343,4,8.813,0.016,"Ground_80_240:(0.00, 1.00, 0.00)"
0.080,27.777,2.220,-627.041,8.187,-147.787,4,9.258,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.100,27.787,2.776,-627.050,8.185,-147.232,4,9.653,0.015,"Ground_80_240:(0.00, 1.00, 0.00)"
0.120,27.797,3.332,-627.059,8.183,-146.676,4,9.992,0.025,"Ground_80_240:(0.00, 1.00, 0.00)"
0.140,27.805,3.888,-627.068,8.181,-146.120,4,10.275,0.032,"Ground_80_240:(0.00, 1.00, 0.00)"
0.160,27.813,4.444,-627.078,8.180,-145.564,4,10.499,0.037,"Ground_80_240:(0.00, 1.00, 0.00)"
0.180,27.820,5.001,-627.087,8.178,-145.008,4,10.669,0.039,"Ground_80_240:(0.00, 1.00, 0.00)"
0.200,27.826,5.557,-627.096,8.178,-144.451,4,10.786,0.040,"Ground_80_240:(0.00, 1.00, 0.00)"
0.220,27.831,6.114,-627.105,8.177,-143.895,4,10.856,0.040,"Ground_80_240:(0.00, 1.00, 0.00)"
0.240,27.836,6.670,-627.114,8.177,-143.338,4,10.884,0.039,"Ground_80_240:(0.00, 1.00, 0.00)"
0.260,27.841,7.227,-627.123,8.178,-142.781,4,10.875,0.037,"Ground_80_240:(0.00, 1.00, 0.00)"
0.280,27.845,7.784,-627.133,8.179,-142.225,4,10.837,0.035,"Ground_80_240:(0.00, 1.00, 0.00)"
0.300,27.848,8.341,-627.142,8.180,-141.668,4,10.773,0.032,"Ground_80_240:(0.00, 1.00, 0.00)"
0.320,27.851,8.898,-627.151,8.181,-141.111,4,10.691,0.029,"Ground_80_240:(0.00, 1.00, 0.00)"
0.340,27.854,9.455,-627.160,8.183,-140.554,4,10.595,0.026,"Ground_80_240:(0.00, 1.00, 0.00)"
0.360,27.857,10.012,-627.169,8.186,-139.997,4,10.491,0.023,"Ground_80_240:(0.00, 1.00, 0.00)"
0.380,27.859,10.569,-627.179,8.188,-139.440,4,10.383,0.020,"Ground_80_240:(0.00, 1.00, 0.00)"
0.400,27.861,11.126,-627.188,8.191,-138.883,4,10.274,0.018,"Ground_80_240:(0.00, 1.00, 0.00)"
0.420,27.863,11.683,-627.197,8.193,-138.325,4,10.168,0.015,"Ground_80_240:(0.00, 1.00, 0.00)"
0.440,27.864,12.241,-627.206,8.196,-137.768,4,10.067,0.013,"Ground_80_240:(0.00, 1.00, 0.00)"
0.460,27.866,12.798,-627.215,8.199,-137.211,4,9.974,0.011,"Ground_80_240:(0.00, 1.00, 0.00)"
0.480,27.867,13.355,-627.224,8.202,-136.654,4,9.890,0.009,"Ground_80_240:(0.00, 1.00, 0.00)"
0.500,27.868,13.913,-627.234,8.205,-136.097,4,9.815,0.007,"Ground_80_240:(0.00, 1.00, 0.00)"
0.520,27.869,14.470,-627.243,8.208,-135.539,4,9.751,0.006,"Ground_80_240:(0.00, 1.00, 0.00)"
0.540,27.870,15.027,-627.252,8.211,-134.982,4,9.698,0.005,"Ground_80_240:(0.00, 1.00, 0.00)"
0.560,27.871,15.585,-627.261,8.214,-134.425,4,9.655,0.003,"Ground_80_240:(0.00, 1.00, 0.00)"
0.580,27.872,16.142,-627.270,8.216,-133.867,4,9.623,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.600,27.872,16.700,-627.280,8.219,-133.310,4,9.600,0.002,"Ground_80_240:(0.00, 1.00, 0.00)"
0.620,27.873,17.257,-627.289,8.222,-132.752,4,9.586,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.640,27.874,17.815,-627.298,8.224,-132.195,4,9.579,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.660,27.874,18.372,-627.307,8.227,-131.638,4,9.579,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
0.680,27.875,18.930,-627.317,8.229,-131.080,4,9.586,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
0.700,27.875,19.487,-627.326,8.231,-130.523,4,9.596,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
0.720,27.875,20.045,-627.335,8.233,-129.965,4,9.611,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.740,27.876,20.602,-627.344,8.235,-129.408,4,9.629,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.760,27.876,21.160,-627.353,8.237,-128.851,4,9.648,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.780,27.876,21.717,-627.363,8.239,-128.293,4,9.669,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.800,27.877,22.275,-627.372,8.241,-127.736,4,9.690,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.820,27.877,22.832,-627.381,8.243,-127.178,4,9.710,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.840,27.877,23.390,-627.390,8.245,-126.621,4,9.731,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.860,27.877,23.947,-627.399,8.247,-126.063,4,9.750,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.880,27.877,24.505,-627.409,8.249,-125.506,4,9.767,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.900,27.877,25.062,-627.418,8.250,-124.948,4,9.784,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.920,27.878,25.620,-627.427,8.252,-124.391,4,9.798,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.940,27.878,26.178,-627.436,8.254,-123.833,4,9.811,0.001,"Ground_80_240:(0.00, 1.00, 0.00)"
0.960,27.878,26.735,-627.446,8.256,-123.276,4,9.822,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
0.980,27.878,27.293,-627.455,8.257,-122.718,4,9.830,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.000,27.878,27.850,-627.464,8.259,-122.161,4,9.837,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.020,27.878,28.408,-627.473,8.261,-121.603,4,9.842,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.040,27.878,28.965,-627.482,8.263,-121.046,4,9.846,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.060,27.878,29.523,-627.492,8.265,-120.488,4,9.848,0.000,"Ground_80_240:(0.00, 1.00, 0.00)"
1.080,27.878,30.080,-627.501,8.267,-119.931,4,10.434,0.000,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
1.100,27.878,30.638,-627.510,8.269,-119.374,4,10.368,0.061,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
1.120,27.878,31.195,-627.519,8.272,-118.816,4,10.329,0.111,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
1.140,27.878,31.753,-627.528,8.275,-118.259,4,10.892,0.149,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
1.160,27.878,32.310,-627.538,8.278,-117.701,4,10.723,0.117,"Takeoff - 40m x 6m, 6.2m rise:(0.00, 1.00, 0.00)"
