time,speed,travel,x,y,z,grounded,lift,torque,contact
0.002,23.774,0.476,-629.719,8.809,14.495,4,7.800,0.092,""
0.022,23.787,0.951,-629.711,8.808,14.019,4,8.015,0.057,"Ground_80_320:(0.00, 1.00, 0.00)"
0.042,23.798,1.427,-629.703,8.806,13.543,4,8.234,0.028,"Ground_80_320:(0.00, 1.00, 0.00)"
0.062,23.809,1.904,-629.695,8.803,13.067,4,8.448,0.005,"Ground_80_320:(0.00, 1.00, 0.00)"
0.082,23.818,2.380,-629.687,8.800,12.590,4,8.656,0.013,"Ground_80_320:(0.00, 1.00, 0.00)"
0.102,23.827,2.857,-629.679,8.796,12.114,4,8.856,0.026,"Ground_80_320:(0.00, 1.00, 0.00)"
0.122,23.834,3.333,-629.671,8.792,11.637,4,9.048,0.036,"Ground_80_320:(0.00, 1.00, 0.00)"
0.142,23.841,3.810,-629.664,8.788,11.160,4,9.229,0.042,"Ground_80_320:(0.00, 1.00, 0.00)"
0.162,23.848,4.287,-629.656,8.784,10.683,4,9.398,0.046,"Ground_80_320:(0.00, 1.00, 0.00)"
0.182,23.854,4.765,-629.648,8.780,10.206,4,9.553,0.047,"Ground_80_320:(0.00, 1.00, 0.00)"
0.202,23.859,5.242,-629.640,8.775,9.729,4,9.694,0.047,"Ground_80_320:(0.00, 1.00, 0.00)"
0.222,23.864,5.719,-629.632,8.771,9.252,4,9.820,0.046,"Ground_80_320:(0.00, 1.00, 0.00)"
0.242,23.868,6.196,-629.624,8.767,8.775,4,9.930,0.044,"Ground_80_320:(0.00, 1.00, 0.00)"
0.262,23.872,6.674,-629.616,8.763,8.297,4,10.023,0.041,"Ground_80_320:(0.00, 1.00, 0.00)"
0.282,23.876,7.152,-629.608,8.758,7.820,4,10.101,0.038,"Ground_80_320:(0.00, 1.00, 0.00)"
0.302,23.879,7.629,-629.601,8.754,7.342,4,10.163,0.034,"Ground_80_320:(0.00, 1.00, 0.00)"
0.322,23.882,8.107,-629.593,8.751,6.865,4,10.211,0.031,"Ground_80_320:(0.00, 1.00, 0.00)"
0.342,23.885,8.584,-629.585,8.747,6.387,4,10.244,0.027,"Ground_80_320:(0.00, 1.00, 0.00)"
0.362,23.887,9.062,-629.577,8.744,5.909,4,10.264,0.024,"Ground_80_320:(0.00, 1.00, 0.00)"
0.382,23.889,9.540,-629.569,8.740,5.431,4,10.272,0.020,"Ground_80_320:(0.00, 1.00, 0.00)"
0.402,23.891,10.018,-629.561,8.737,4.954,4,10.270,0.017,"Ground_80_320:(0.00, 1.00, 0.00)"
0.422,23.893,10.496,-629.553,8.734,4.476,4,10.259,0.015,"Ground_80_320:(0.00, 1.00, 0.00)"
0.442,23.895,10.974,-629.545,8.731,3.998,4,10.240,0.012,"Ground_80_320:(0.00, 1.00, 0.00)"
0.462,23.896,11.452,-629.538,8.729,3.520,4,10.215,0.010,"Ground_80_320:(0.00, 1.00, 0.00)"
0.482,23.898,11.930,-629.530,8.726,3.042,4,10.185,0.008,"Ground_80_320:(0.00, 1.00, 0.00)"
0.502,23.899,12.407,-629.522,8.724,2.564,4,10.151,0.006,"Ground_80_320:(0.00, 1.00, 0.00)"
0.522,23.900,12.885,-629.514,8.722,2.086,4,10.115,0.004,"Ground_80_320:(0.00, 1.00, 0.00)"
0.542,23.686,13.359,-629.506,8.720,1.613,4,10.078,0.003,"Ground_80_320:(0.00, 1.00, 0.00)"
0.562,23.708,13.833,-629.498,8.718,1.139,4,10.041,0.002,"Ground_80_320:(0.00, 1.00, 0.00)"
0.582,23.728,14.308,-629.491,8.716,0.664,4,10.004,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.602,23.746,14.783,-629.483,8.714,0.189,4,9.969,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.622,23.762,15.258,-629.475,8.713,-0.286,4,9.935,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
0.642,23.777,15.734,-629.467,8.711,-0.761,4,9.904,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.662,23.790,16.209,-629.459,8.709,-1.237,4,9.875,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.682,23.802,16.685,-629.451,8.707,-1.713,4,9.850,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.702,23.813,17.162,-629.444,8.706,-2.189,4,9.827,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.722,23.822,17.638,-629.436,8.704,-2.666,4,9.808,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.742,23.831,18.115,-629.428,8.702,-3.142,4,9.792,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.762,23.839,18.592,-629.420,8.701,-3.619,4,9.779,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.782,23.846,19.068,-629.412,8.699,-4.096,4,9.769,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.802,23.852,19.545,-629.404,8.697,-4.573,4,9.761,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.822,23.858,20.023,-629.397,8.695,-5.050,4,9.756,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.842,23.863,20.500,-629.389,8.694,-5.527,4,9.753,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.862,23.867,20.977,-629.381,8.692,-6.004,4,9.752,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.882,23.872,21.455,-629.373,8.690,-6.481,4,9.753,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.902,23.875,21.932,-629.365,8.688,-6.959,4,9.755,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.922,23.879,22.410,-629.357,8.686,-7.436,4,9.758,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.942,23.882,22.887,-629.349,8.684,-7.914,4,9.762,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.962,23.885,23.365,-629.342,8.682,-8.392,4,9.767,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.982,23.887,23.843,-629.334,8.681,-8.869,4,9.772,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
1.002,23.889,24.321,-629.326,8.679,-9.347,4,9.777,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
1.022,23.891,24.798,-629.318,8.677,-9.825,4,10.367,0.000,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.042,23.893,25.276,-629.310,8.675,-10.302,4,10.300,0.062,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.062,23.895,25.754,-629.302,8.674,-10.780,4,10.259,0.112,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.082,23.896,26.232,-629.294,8.673,-11.258,4,10.231,0.152,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.102,23.897,26.709,-629.286,8.672,-11.736,4,10.795,0.183,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.122,23.898,27.187,-629.279,8.672,-12.213,4,10.629,0.144,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.142,23.899,27.665,-629.271,8.671,-12.691,4,10.444,0.110,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.162,23.900,28.143,-629.263,8.671,-13.169,4,10.252,0.082,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.182,23.900,28.621,-629.255,8.671,-13.647,4,10.063,0.057,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.202,23.686,29.095,-629.247,8.672,-14.121,4,9.886,0.037,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.222,23.707,29.569,-629.239,8.672,-14.595,4,9.723,0.021,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.242,23.727,30.044,-629.231,8.672,-15.070,4,9.586,0.008,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.262,23.745,30.519,-629.223,8.671,-15.544,4,9.471,0.003,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.282,23.761,30.994,-629.216,8.671,-16.020,4,9.382,0.011,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.302,23.775,31.470,-629.208,8.671,-16.495,4,9.316,0.016,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.322,23.788,31.945,-629.200,8.670,-16.971,4,9.274,0.020,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.342,23.800,32.421,-629.192,8.669,-17.447,4,9.252,0.023,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.362,23.810,32.898,-629.184,8.668,-17.923,4,9.251,0.024,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.382,23.820,33.374,-629.176,8.666,-18.399,4,9.266,0.024,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.402,23.829,33.851,-629.169,8.665,-18.876,4,9.294,0.024,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.422,23.837,34.327,-629.161,8.663,-19.353,4,9.334,0.023,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.442,23.844,34.804,-629.153,8.661,-19.829,4,9.387,0.032,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
