time,speed,travel,x,y,z,grounded,lift,torque,contact
0.000,11.887,0.238,-631.222,8.959,14.708,4,7.800,0.050,""
0.020,11.895,0.476,-631.218,8.958,14.470,4,8.085,0.007,""
0.040,11.902,0.714,-631.215,8.956,14.232,4,8.362,0.021,""
0.060,11.801,0.950,-631.211,8.953,13.995,4,8.626,0.038,""
0.080,11.819,1.187,-631.207,8.950,13.759,4,8.874,0.048,""
0.100,11.834,1.423,-631.203,8.947,13.522,4,9.110,0.051,""
0.120,11.848,1.661,-631.199,8.944,13.285,4,9.328,0.051,""
0.140,11.861,1.898,-631.195,8.940,13.048,4,9.527,0.049,""
0.160,11.872,2.135,-631.191,8.937,12.810,4,9.705,0.045,""
0.180,11.882,2.373,-631.187,8.933,12.573,4,9.861,0.040,""
0.200,11.891,2.611,-631.183,8.930,12.335,4,9.994,0.035,""
0.220,11.899,2.849,-631.179,8.926,12.097,4,10.105,0.030,""
0.240,11.906,3.087,-631.176,8.923,11.859,4,10.193,0.025,""
0.260,11.805,3.323,-631.172,8.920,11.623,4,10.260,0.021,""
0.280,11.822,3.560,-631.168,8.918,11.386,4,10.307,0.017,""
0.300,11.838,3.796,-631.164,8.915,11.150,4,10.335,0.014,""
0.320,11.852,4.034,-631.160,8.913,10.912,4,10.347,0.011,""
0.340,11.864,4.271,-631.156,8.910,10.675,4,10.345,0.009,""
0.360,11.875,4.508,-631.152,8.909,10.438,4,10.330,0.007,""
0.380,11.885,4.746,-631.148,8.907,10.200,4,10.305,0.005,""
0.400,11.894,4.984,-631.144,8.905,9.962,4,10.272,0.004,""
0.420,11.901,5.222,-631.140,8.904,9.724,4,10.233,0.003,""
0.440,11.801,5.458,-631.136,8.903,9.488,4,10.189,0.002,""
0.460,11.819,5.694,-631.133,8.902,9.252,4,10.143,0.001,""
0.480,11.835,5.931,-631.129,8.901,9.015,4,10.096,0.001,""
0.500,11.849,6.168,-631.125,8.900,8.778,4,10.050,0.001,""
0.520,11.862,6.405,-631.121,8.899,8.541,4,10.004,0.000,""
0.540,11.873,6.643,-631.117,8.898,8.304,4,9.961,0.000,""
0.560,11.883,6.880,-631.113,8.897,8.066,4,9.921,0.000,""
0.580,11.892,7.118,-631.109,8.897,7.828,4,9.885,0.000,""
0.600,11.900,7.356,-631.105,8.896,7.590,4,9.853,0.000,""
0.620,11.800,7.592,-631.101,8.895,7.354,4,9.824,0.000,""
0.640,11.818,7.829,-631.097,8.895,7.118,4,9.800,0.000,""
0.660,11.834,8.065,-631.093,8.894,6.881,4,9.780,0.000,""
0.680,11.849,8.302,-631.090,8.893,6.644,4,9.764,0.000,""
0.700,11.861,8.539,-631.086,8.893,6.407,4,9.752,0.000,""
0.720,11.873,8.777,-631.082,8.892,6.170,4,9.743,0.000,""
0.740,11.883,9.015,-631.078,8.891,5.932,4,9.737,0.000,""
0.760,11.892,9.252,-631.074,8.890,5.694,4,9.735,0.000,""
0.780,11.900,9.490,-631.070,8.890,5.456,4,9.734,0.000,""
