time,speed,travel,x,y,z,grounded,lift,torque,contact
0.004,11.887,0.238,-629.723,8.959,14.732,4,7.800,0.092,""
0.024,11.894,0.476,-629.719,8.958,14.494,4,8.078,0.016,""
0.044,11.901,0.714,-629.715,8.956,14.256,4,8.348,0.026,""
0.064,11.800,0.950,-629.711,8.953,14.020,4,8.608,0.047,""
0.084,11.816,1.187,-629.707,8.950,13.784,4,8.857,0.055,""
0.104,11.831,1.423,-629.703,8.947,13.547,4,9.096,0.056,""
0.124,11.844,1.660,-629.699,8.944,13.310,4,9.319,0.053,""
0.144,11.856,1.898,-629.695,8.940,13.073,4,9.525,0.047,""
0.164,11.867,2.135,-629.691,8.937,12.835,4,9.709,0.041,""
0.184,11.877,2.373,-629.687,8.933,12.598,4,9.870,0.035,""
0.204,11.886,2.610,-629.684,8.930,12.360,4,10.008,0.030,""
0.224,11.894,2.848,-629.680,8.926,12.122,4,10.121,0.025,""
0.244,11.901,3.086,-629.676,8.923,11.884,4,10.211,0.020,""
0.264,11.800,3.322,-629.672,8.920,11.648,4,10.278,0.016,""
0.284,11.817,3.559,-629.668,8.917,11.412,4,10.324,0.013,""
0.304,11.832,3.795,-629.664,8.915,11.175,4,10.352,0.011,""
0.324,11.846,4.032,-629.660,8.912,10.939,4,10.361,0.009,""
0.344,11.858,4.269,-629.656,8.910,10.701,4,10.357,0.007,""
0.364,11.869,4.507,-629.652,8.908,10.464,4,10.339,0.006,""
0.384,11.878,4.744,-629.648,8.907,10.227,4,10.311,0.005,""
0.404,11.887,4.982,-629.644,8.905,9.989,4,10.275,0.004,""
0.424,11.895,5.220,-629.641,8.904,9.751,4,10.233,0.003,""
0.444,11.902,5.458,-629.637,8.903,9.513,4,10.188,0.002,""
0.464,11.801,5.694,-629.633,8.901,9.277,4,10.140,0.002,""
0.484,11.818,5.930,-629.629,8.901,9.041,4,10.091,0.001,""
0.504,11.833,6.167,-629.625,8.900,8.804,4,10.043,0.001,""
0.524,11.846,6.404,-629.621,8.899,8.567,4,9.997,0.001,""
0.544,11.859,6.641,-629.617,8.898,8.330,4,9.954,0.001,""
0.564,11.869,6.879,-629.613,8.897,8.093,4,9.913,0.001,""
0.584,11.879,7.116,-629.609,8.897,7.855,4,9.877,0.000,""
0.604,11.888,7.354,-629.605,8.896,7.617,4,9.845,0.000,""
0.624,11.895,7.592,-629.601,8.896,7.379,4,9.817,0.000,""
0.644,11.902,7.830,-629.598,8.895,7.141,4,9.793,0.000,""
0.664,11.802,8.066,-629.594,8.894,6.905,4,9.774,0.000,""
0.684,11.818,8.302,-629.590,8.894,6.669,4,9.759,0.000,""
0.704,11.833,8.539,-629.586,8.893,6.432,4,9.747,0.000,""
0.724,11.847,8.776,-629.582,8.892,6.196,4,9.740,0.000,""
0.744,11.859,9.013,-629.578,8.891,5.958,4,9.735,0.000,""
0.764,11.870,9.250,-629.574,8.891,5.721,4,9.733,0.000,""
0.784,11.879,9.488,-629.570,8.890,5.484,4,9.733,0.000,""
0.804,11.888,9.726,-629.566,8.889,5.246,4,9.735,0.000,""
0.824,11.896,9.964,-629.562,8.888,5.008,4,9.739,0.000,""
0.844,11.903,10.202,-629.559,8.887,4.770,4,9.744,0.000,""
0.864,11.802,10.438,-629.555,8.886,4.534,4,9.750,0.000,""
0.884,11.818,10.674,-629.551,8.885,4.298,4,9.757,0.000,""
0.904,11.833,10.911,-629.547,8.884,4.061,4,9.764,0.000,""
0.924,11.847,11.148,-629.543,8.883,3.824,4,9.771,0.000,""
0.944,11.859,11.385,-629.539,8.882,3.587,4,9.778,0.000,""
0.964,11.870,11.622,-629.535,8.881,3.350,4,9.784,0.000,""
0.984,11.879,11.860,-629.531,8.880,3.112,4,9.791,0.000,""
1.004,11.888,12.098,-629.527,8.879,2.874,4,9.797,0.000,""
1.024,11.896,12.336,-629.523,8.878,2.636,4,9.802,0.000,""
1.044,11.903,12.574,-629.519,8.877,2.398,4,9.806,0.000,""
1.064,11.802,12.810,-629.516,8.876,2.162,4,9.810,0.000,""
1.084,11.818,13.046,-629.512,8.875,1.926,4,9.814,0.000,""
1.104,11.834,13.283,-629.508,8.874,1.689,4,9.816,0.000,""
1.124,11.847,13.520,-629.504,8.873,1.452,4,9.819,0.000,""
1.144,11.859,13.757,-629.500,8.872,1.215,4,9.820,0.000,""
1.164,11.870,13.994,-629.496,8.871,0.978,4,9.821,0.000,""
1.184,11.879,14.232,-629.492,8.870,0.740,4,9.822,0.000,""
1.204,11.888,14.469,-629.488,8.869,0.503,4,9.822,0.000,""
1.224,11.896,14.707,-629.484,8.868,0.265,4,9.822,0.000,""
1.244,11.903,14.945,-629.480,8.867,0.027,4,9.822,0.000,""
1.264,11.802,15.181,-629.476,8.866,-0.209,4,9.821,0.000,""
1.284,11.818,15.418,-629.473,8.865,-0.446,4,9.820,0.000,""
1.304,11.834,15.655,-629.469,8.864,-0.682,4,9.819,0.000,""
1.324,11.847,15.891,-629.465,8.863,-0.919,4,9.818,0.000,""
1.344,11.859,16.129,-629.461,8.862,-1.156,4,9.817,0.000,""
1.364,11.870,16.366,-629.457,8.861,-1.394,4,9.816,0.000,""
1.384,11.879,16.604,-629.453,8.860,-1.631,4,9.815,0.000,""
1.404,11.888,16.841,-629.449,8.859,-1.869,4,9.814,0.000,""
1.424,11.896,17.079,-629.445,8.858,-2.107,4,9.813,0.000,""
1.444,11.903,17.317,-629.441,8.857,-2.345,4,9.813,0.000,""
1.464,11.802,17.553,-629.437,8.856,-2.581,4,9.812,0.000,""
1.484,11.818,17.790,-629.434,8.855,-2.817,4,9.811,0.000,""
1.504,11.833,18.026,-629.430,8.854,-3.054,4,9.811,0.000,""
1.524,11.847,18.263,-629.426,8.853,-3.291,4,9.810,0.000,""
1.544,11.859,18.500,-629.422,8.852,-3.528,4,9.810,0.000,""
1.564,11.870,18.738,-629.418,8.851,-3.765,4,9.809,0.000,""
1.584,11.879,18.975,-629.414,8.850,-4.003,4,9.809,0.000,""
1.604,11.888,19.213,-629.410,8.849,-4.240,4,9.809,0.000,""
1.624,11.896,19.451,-629.406,8.848,-4.478,4,9.809,0.000,""
1.644,11.903,19.689,-629.402,8.847,-4.716,4,9.809,0.000,""
1.664,11.802,19.925,-629.398,8.846,-4.952,4,9.809,0.000,""
1.684,11.818,20.162,-629.394,8.845,-5.189,4,9.809,0.000,""
