time,speed,travel,x,y,z,grounded,lift,torque,contact
0.003,11.887,0.238,-626.523,8.959,14.785,4,7.800,0.092,""
0.023,11.894,0.476,-626.519,8.958,14.547,4,8.078,0.016,""
0.043,11.901,0.714,-626.515,8.956,14.309,4,8.348,0.026,""
0.063,11.800,0.950,-626.511,8.953,14.073,4,8.608,0.047,""
0.083,11.816,1.187,-626.507,8.950,13.837,4,8.857,0.055,""
0.103,11.831,1.423,-626.503,8.947,13.600,4,9.096,0.056,""
0.123,11.844,1.660,-626.500,8.944,13.363,4,9.319,0.053,""
0.143,11.856,1.898,-626.496,8.940,13.126,4,9.525,0.047,""
0.163,11.867,2.135,-626.492,8.936,12.888,4,9.709,0.041,""
0.183,11.877,2.373,-626.488,8.933,12.651,4,9.870,0.035,""
0.203,11.886,2.610,-626.484,8.929,12.413,4,10.008,0.030,""
0.223,11.894,2.848,-626.480,8.926,12.175,4,10.121,0.025,""
0.243,11.901,3.086,-626.476,8.923,11.937,4,10.211,0.020,""
0.263,11.800,3.322,-626.472,8.920,11.701,4,10.278,0.016,""
0.283,11.817,3.559,-626.468,8.917,11.465,4,10.324,0.013,""
0.303,11.832,3.795,-626.464,8.915,11.228,4,10.352,0.011,""
0.323,11.846,4.032,-626.460,8.912,10.991,4,10.361,0.009,""
0.343,11.858,4.269,-626.457,8.910,10.754,4,10.356,0.007,""
0.363,11.869,4.507,-626.453,8.908,10.517,4,10.339,0.006,""
0.383,11.878,4.744,-626.449,8.907,10.279,4,10.311,0.004,""
0.403,11.887,4.982,-626.445,8.905,10.042,4,10.275,0.004,""
0.423,11.895,5.220,-626.441,8.904,9.804,4,10.233,0.003,""
0.443,11.902,5.458,-626.437,8.903,9.566,4,10.188,0.002,""
0.463,11.801,5.694,-626.433,8.901,9.330,4,10.140,0.002,""
0.483,11.818,5.930,-626.429,8.901,9.093,4,10.091,0.001,""
0.503,11.833,6.167,-626.425,8.900,8.857,4,10.043,0.001,""
0.523,11.846,6.404,-626.421,8.899,8.620,4,9.997,0.001,""
0.543,11.859,6.641,-626.418,8.898,8.383,4,9.954,0.001,""
0.563,11.869,6.879,-626.414,8.897,8.145,4,9.913,0.001,""
0.583,11.879,7.116,-626.410,8.897,7.908,4,9.877,0.000,""
0.603,11.888,7.354,-626.406,8.896,7.670,4,9.845,0.000,""
0.623,11.895,7.592,-626.402,8.895,7.432,4,9.817,0.000,""
0.643,11.902,7.830,-626.398,8.895,7.194,4,9.794,0.000,""
0.663,11.802,8.066,-626.394,8.894,6.958,4,9.774,0.000,""
0.683,11.818,8.302,-626.390,8.893,6.722,4,9.759,0.000,""
0.703,11.833,8.539,-626.386,8.893,6.485,4,9.747,0.000,""
0.723,11.847,8.776,-626.382,8.892,6.248,4,9.740,0.000,""
0.743,11.859,9.013,-626.378,8.891,6.011,4,9.735,0.000,""
0.763,11.870,9.250,-626.375,8.890,5.774,4,9.733,0.000,""
0.783,11.879,9.488,-626.371,8.890,5.536,4,9.733,0.000,""
0.803,11.888,9.726,-626.367,8.889,5.299,4,9.735,0.000,""
0.823,11.896,9.964,-626.363,8.888,5.061,4,9.739,0.000,""
0.843,11.903,10.202,-626.359,8.887,4.823,4,9.744,0.000,""
0.863,11.802,10.438,-626.355,8.886,4.587,4,9.750,0.000,""
0.883,11.818,10.674,-626.351,8.885,4.350,4,9.757,0.000,""
0.903,11.833,10.911,-626.347,8.884,4.114,4,9.764,0.000,""
0.923,11.847,11.148,-626.343,8.883,3.877,4,9.771,0.000,""
0.943,11.859,11.385,-626.339,8.882,3.640,4,9.778,0.000,""
0.963,11.870,11.622,-626.335,8.881,3.402,4,9.784,0.000,""
0.983,11.879,11.860,-626.332,8.880,3.165,4,9.791,0.000,""
1.003,11.888,12.098,-626.328,8.879,2.927,4,9.797,0.000,""
1.023,11.896,12.336,-626.324,8.878,2.689,4,9.802,0.000,""
1.043,11.903,12.574,-626.320,8.877,2.451,4,9.806,0.000,""
1.063,11.802,12.810,-626.316,8.876,2.215,4,9.810,0.000,""
1.083,11.818,13.046,-626.312,8.875,1.979,4,9.814,0.000,""
1.103,11.834,13.283,-626.308,8.874,1.742,4,9.816,0.000,""
1.123,11.847,13.520,-626.304,8.873,1.505,4,9.819,0.000,""
1.143,11.859,13.757,-626.300,8.872,1.268,4,9.820,0.000,""
1.163,11.870,13.994,-626.296,8.871,1.031,4,9.821,0.000,""
1.183,11.879,14.232,-626.293,8.870,0.793,4,9.822,0.000,""
1.203,11.888,14.469,-626.289,8.869,0.556,4,9.822,0.000,""
1.223,11.896,14.707,-626.285,8.868,0.318,4,9.822,0.000,""
1.243,11.903,14.945,-626.281,8.867,0.080,4,9.822,0.000,""
1.263,11.802,15.181,-626.277,8.866,-0.156,4,9.821,0.000,""
1.283,11.818,15.418,-626.273,8.865,-0.393,4,9.820,0.000,""
1.303,11.834,15.654,-626.269,8.864,-0.629,4,9.819,0.000,""
1.323,11.847,15.891,-626.265,8.863,-0.866,4,9.818,0.000,""
1.343,11.859,16.129,-626.261,8.862,-1.103,4,9.817,0.000,""
1.363,11.870,16.366,-626.257,8.861,-1.341,4,9.816,0.000,""
1.383,11.879,16.604,-626.253,8.860,-1.578,4,9.815,0.000,""
1.403,11.888,16.841,-626.250,8.859,-1.816,4,9.814,0.000,""
1.423,11.896,17.079,-626.246,8.858,-2.054,4,9.813,0.000,""
1.443,11.903,17.317,-626.242,8.857,-2.292,4,9.812,0.000,""
1.463,11.802,17.553,-626.238,8.856,-2.528,4,9.812,0.000,""
1.483,11.818,17.790,-626.234,8.855,-2.764,4,9.811,0.000,""
1.503,11.833,18.026,-626.230,8.854,-3.001,4,9.810,0.000,""
1.523,11.847,18.263,-626.226,8.853,-3.238,4,9.810,0.000,""
1.543,11.859,18.500,-626.222,8.852,-3.475,4,9.810,0.000,""
1.563,11.870,18.738,-626.218,8.851,-3.712,4,9.809,0.000,""
1.583,11.879,18.975,-626.214,8.850,-3.950,4,9.809,0.000,""
1.603,11.888,19.213,-626.210,8.849,-4.188,4,9.809,0.000,""
1.623,11.896,19.451,-626.207,8.848,-4.425,4,9.809,0.000,""
1.643,11.903,19.689,-626.203,8.847,-4.663,4,9.809,0.000,""
1.663,11.802,19.925,-626.199,8.846,-4.899,4,9.809,0.000,""
1.683,11.818,20.162,-626.195,8.845,-5.136,4,9.809,0.000,""
1.703,11.833,20.398,-626.191,8.844,-5.372,4,9.809,0.000,""
1.723,11.847,20.635,-626.187,8.843,-5.609,4,9.809,0.000,""
1.743,11.859,20.872,-626.183,8.842,-5.847,4,9.809,0.000,""
1.763,11.870,21.110,-626.179,8.841,-6.084,4,9.810,0.000,""
1.783,11.879,21.347,-626.175,8.840,-6.321,4,9.810,0.000,""
1.803,11.888,21.585,-626.171,8.839,-6.559,4,9.810,0.000,""
1.823,11.896,21.823,-626.168,8.838,-6.797,4,9.810,0.000,""
1.843,11.903,22.061,-626.164,8.837,-7.035,4,9.810,0.000,""
1.863,11.802,22.297,-626.160,8.837,-7.271,4,9.810,0.000,""
1.883,11.818,22.533,-626.156,8.836,-7.507,4,9.810,0.000,""
1.903,11.833,22.770,-626.152,8.835,-7.744,4,9.811,0.000,""
1.923,11.847,23.007,-626.148,8.834,-7.981,4,9.811,0.000,""
1.943,11.859,23.244,-626.144,8.833,-8.218,4,9.811,0.000,""
1.963,11.870,23.482,-626.140,8.832,-8.455,4,9.811,0.000,""
1.983,11.879,23.719,-626.136,8.831,-8.693,4,9.811,0.000,""
2.003,11.888,23.957,-626.132,8.830,-8.931,4,10.396,0.000,""
2.023,11.896,24.195,-626.128,8.829,-9.168,4,10.320,0.095,""
2.043,11.902,24.432,-626.125,8.829,-9.406,4,10.259,0.148,""
2.063,11.801,24.668,-626.121,8.829,-9.642,4,10.202,0.174,""
2.083,11.818,24.904,-626.117,8.829,-9.878,4,10.141,0.184,""
2.103,11.832,25.141,-626.113,8.829,-10.114,4,10.078,0.184,""
2.123,11.845,25.378,-626.109,8.829,-10.351,4,10.014,0.180,""
2.143,11.857,25.615,-626.105,8.829,-10.588,4,9.949,0.174,""
2.163,11.867,25.852,-626.101,8.829,-10.825,4,9.885,0.166,""
2.183,11.876,26.089,-626.097,8.830,-11.063,4,9.824,0.159,""
2.203,11.884,26.327,-626.093,8.830,-11.300,4,9.768,0.152,""
2.223,11.892,26.565,-626.089,8.830,-11.538,4,9.718,0.145,""
2.243,11.898,26.803,-626.085,8.830,-11.776,4,10.260,0.140,""
2.263,11.904,27.041,-626.082,8.831,-12.014,4,10.083,0.040,""
2.283,11.802,27.277,-626.078,8.831,-12.250,4,9.909,0.016,""
2.303,11.818,27.514,-626.074,8.832,-12.487,4,9.750,0.045,""
2.323,11.832,27.751,-626.070,8.832,-12.724,4,9.621,0.058,""
2.343,11.845,27.988,-626.066,8.832,-12.961,4,9.521,0.061,""
2.363,11.857,28.225,-626.062,8.832,-13.198,4,9.448,0.058,""
2.383,11.868,28.462,-626.058,8.832,-13.435,4,9.401,0.053,""
2.403,11.877,28.700,-626.054,8.832,-13.673,4,9.378,0.047,""
2.423,11.886,28.938,-626.050,8.832,-13.911,4,9.374,0.040,""
2.443,11.894,29.176,-626.046,8.831,-14.149,4,9.386,0.034,""
2.463,11.901,29.414,-626.042,8.830,-14.387,4,9.411,0.028,""
2.483,11.800,29.650,-626.039,8.830,-14.623,4,9.445,0.023,""
2.503,11.817,29.886,-626.035,8.829,-14.859,4,9.485,0.019,""
2.523,11.832,30.123,-626.031,8.828,-15.096,4,9.531,0.016,""
2.543,11.845,30.360,-626.027,8.826,-15.333,4,9.577,0.013,""
2.563,11.857,30.597,-626.023,8.825,-15.570,4,9.624,0.010,""
2.583,11.868,30.834,-626.019,8.824,-15.807,4,9.670,0.008,""
2.603,11.878,31.072,-626.015,8.822,-16.045,4,9.712,0.006,""
2.623,11.887,31.310,-626.011,8.821,-16.282,4,9.752,0.005,""
2.643,11.895,31.547,-626.007,8.820,-16.520,4,9.787,0.004,""
2.663,11.902,31.786,-626.003,8.818,-16.758,4,9.817,0.003,""
2.683,11.801,32.022,-625.999,8.817,-16.994,4,9.843,0.003,""
2.703,11.818,32.258,-625.996,8.815,-17.230,4,9.864,0.002,""
2.723,11.833,32.495,-625.992,8.814,-17.467,4,9.881,0.002,""
2.743,11.846,32.731,-625.988,8.813,-17.704,4,9.893,0.001,""
2.763,11.858,32.969,-625.984,8.812,-17.941,4,9.902,0.001,""
2.783,11.869,33.206,-625.980,8.810,-18.178,4,9.907,0.001,""
2.803,11.879,33.444,-625.976,8.809,-18.416,4,9.908,0.001,""
2.823,11.887,33.681,-625.972,8.808,-18.654,4,9.907,0.000,""
2.843,11.895,33.919,-625.968,8.807,-18.892,4,9.909,0.010,""
2.863,11.902,34.157,-625.964,8.806,-19.130,4,9.908,0.003,""
2.883,11.801,34.393,-625.960,8.805,-19.366,4,9.915,0.027,""
2.903,11.818,34.630,-625.956,8.804,-19.602,4,9.921,0.007,""
2.923,11.833,34.866,-625.953,8.803,-19.839,4,9.932,0.037,""
2.943,11.846,35.103,-625.949,8.802,-20.075,4,9.943,0.008,""
2.963,11.858,35.340,-625.945,8.801,-20.312,4,9.956,0.042,""
2.983,11.869,35.578,-625.941,8.800,-20.550,4,9.973,0.011,""
3.003,11.879,35.815,-625.937,8.800,-20.787,4,9.985,0.041,""
3.023,11.887,36.053,-625.933,8.799,-21.025,4,10.009,0.023,""
3.043,11.895,36.291,-625.929,8.799,-21.263,4,10.017,0.034,""
3.063,11.902,36.528,-625.925,8.798,-21.501,4,10.048,0.040,""
3.083,11.801,36.764,-625.921,8.798,-21.736,4,10.049,0.033,""
3.103,11.817,37.001,-625.917,8.798,-21.973,4,10.097,0.059,""
3.123,11.832,37.237,-625.913,8.797,-22.209,4,10.088,0.072,""
3.143,11.845,37.474,-625.909,8.797,-22.446,4,10.148,0.065,""
3.163,11.856,37.711,-625.905,8.798,-22.683,4,10.134,0.083,""
3.183,11.867,37.948,-625.901,8.798,-22.920,4,10.196,0.037,""
3.203,11.876,38.185,-625.897,8.798,-23.157,4,10.183,0.108,""
3.223,11.884,38.423,-625.893,8.799,-23.395,4,10.239,0.039,""
3.243,11.891,38.660,-625.889,8.800,-23.632,4,10.228,0.126,""
3.263,11.897,38.898,-625.885,8.801,-23.870,4,10.272,0.047,""
3.283,11.903,39.136,-625.880,8.802,-24.108,4,10.263,0.140,""
3.303,11.801,39.372,-625.876,8.803,-24.343,4,10.290,0.059,""
3.323,11.816,39.608,-625.872,8.805,-24.579,4,10.293,0.152,""
3.343,11.830,39.844,-625.868,8.807,-24.816,4,10.297,0.073,""
3.363,11.842,40.081,-625.864,8.809,-25.052,4,10.302,0.164,""
3.383,11.853,40.318,-625.859,8.811,-25.289,4,10.282,0.089,""
3.403,11.862,40.555,-625.855,8.813,-25.526,4,10.302,0.175,""
3.423,11.870,40.792,-625.851,8.815,-25.763,4,10.258,0.107,""
3.443,11.878,41.029,-625.846,8.818,-26.001,4,10.298,0.186,""
3.463,11.884,41.267,-625.842,8.821,-26.238,4,10.228,0.126,""
3.483,11.890,41.504,-625.837,8.824,-26.476,4,10.291,0.199,""
3.503,11.895,41.742,-625.833,8.827,-26.713,4,10.194,0.146,""
3.523,11.899,41.980,-625.828,8.831,-26.951,4,10.285,0.212,""
3.543,11.903,42.217,-625.824,8.834,-27.189,4,10.172,0.227,""
3.563,11.799,42.453,-625.819,8.838,-27.424,4,10.268,0.202,""
3.583,11.813,42.689,-625.814,8.842,-27.660,4,10.167,0.249,""
3.603,11.826,42.925,-625.809,8.846,-27.896,4,10.247,0.214,""
3.623,11.837,43.162,-625.805,8.850,-28.133,4,10.158,0.266,""
3.643,11.846,43.399,-625.800,8.854,-28.370,4,10.219,0.232,""
3.663,11.855,43.635,-625.795,8.859,-28.606,4,10.157,0.281,""
3.683,11.862,43.872,-625.790,8.863,-28.843,4,10.194,0.252,""
3.703,11.869,44.110,-625.785,8.868,-29.080,4,10.159,0.298,""
3.723,11.875,44.347,-625.780,8.873,-29.317,4,10.169,0.274,""
3.743,11.880,44.584,-625.775,8.878,-29.555,4,10.166,0.315,""
3.763,11.884,44.822,-625.769,8.883,-29.792,4,10.147,0.298,""
3.783,11.888,45.059,-625.764,8.888,-30.030,4,10.178,0.332,""
3.803,11.891,45.297,-625.759,8.894,-30.267,4,10.127,0.322,""
3.823,11.894,45.534,-625.753,8.900,-30.505,4,10.191,0.352,""
3.843,11.897,45.772,-625.748,8.905,-30.742,4,10.104,0.346,""
3.863,11.899,46.009,-625.742,8.911,-30.980,4,10.208,0.372,""
3.883,11.900,46.247,-625.737,8.917,-31.217,4,10.084,0.374,""
3.903,11.795,46.483,-625.731,8.923,-31.453,4,10.227,0.394,""
3.923,11.807,46.719,-625.725,8.930,-31.689,4,10.055,0.431,""
3.943,11.818,46.955,-625.720,8.936,-31.925,4,10.227,0.381,""
3.963,11.828,47.191,-625.714,8.943,-32.161,4,10.048,0.436,""
3.983,11.836,47.427,-625.708,8.949,-32.397,4,10.198,0.503,""
4.003,11.844,47.664,-625.702,8.956,-32.634,4,10.058,0.477,""
4.023,11.851,47.901,-625.695,8.963,-32.871,4,10.184,0.510,""
4.043,11.856,48.138,-625.689,8.970,-33.107,4,10.089,0.502,""
4.063,11.862,48.374,-625.683,8.977,-33.344,4,10.176,0.527,""
4.083,11.866,48.611,-625.676,8.985,-33.581,4,10.117,0.528,""
4.103,11.870,48.848,-625.670,8.992,-33.818,4,10.160,0.554,""
4.123,11.873,49.086,-625.663,9.000,-34.055,4,10.144,0.550,""
4.143,11.876,49.323,-625.657,9.008,-34.292,4,10.139,0.583,""
4.163,11.878,49.560,-625.650,9.016,-34.529,4,10.162,0.579,""
4.183,11.880,49.797,-625.643,9.024,-34.766,4,10.107,0.614,""
4.203,11.882,50.034,-625.636,9.032,-35.004,4,10.178,0.607,""
4.223,11.883,50.272,-625.629,9.040,-35.241,4,10.074,0.653,""
4.243,11.884,50.509,-625.622,9.049,-35.478,4,10.195,0.636,""
4.263,11.885,50.746,-625.614,9.057,-35.715,4,10.038,0.690,""
4.283,11.886,50.984,-625.607,9.066,-35.952,4,10.206,0.673,""
4.303,11.886,51.221,-625.599,9.075,-36.190,4,9.993,0.723,""
4.323,11.887,51.458,-625.592,9.084,-36.427,4,10.218,0.708,""
4.343,11.887,51.696,-625.584,9.093,-36.664,4,9.979,0.775,""
4.363,11.887,51.933,-625.576,9.102,-36.901,4,10.206,0.734,""
4.383,11.886,52.170,-625.568,9.112,-37.139,4,9.962,0.804,""
4.403,11.886,52.408,-625.560,9.121,-37.376,4,10.151,0.911,""
4.423,11.886,52.645,-625.552,9.131,-37.613,4,9.968,0.852,""
