time,speed,travel,x,y,z,grounded,lift,torque,contact
0.020,27.737,0.555,-629.717,8.809,14.416,4,7.800,0.080,""
0.040,27.752,1.110,-629.708,8.808,13.861,4,7.989,0.046,"Ground_80_320:(0.00, 1.00, 0.00)"
0.060,27.765,1.665,-629.699,8.806,13.305,4,8.188,0.019,"Ground_80_320:(0.00, 1.00, 0.00)"
0.080,27.777,2.221,-629.690,8.803,12.750,4,8.384,0.002,"Ground_80_320:(0.00, 1.00, 0.00)"
0.100,27.788,2.777,-629.681,8.800,12.194,4,8.577,0.019,"Ground_80_320:(0.00, 1.00, 0.00)"
0.120,27.798,3.333,-629.672,8.796,11.638,4,8.767,0.031,"Ground_80_320:(0.00, 1.00, 0.00)"
0.140,27.807,3.889,-629.662,8.792,11.082,4,8.952,0.039,"Ground_80_320:(0.00, 1.00, 0.00)"
0.160,27.815,4.445,-629.653,8.788,10.526,4,9.129,0.045,"Ground_80_320:(0.00, 1.00, 0.00)"
0.180,27.822,5.002,-629.644,8.783,9.969,4,9.298,0.048,"Ground_80_320:(0.00, 1.00, 0.00)"
0.200,27.829,5.558,-629.635,8.779,9.412,4,9.456,0.049,"Ground_80_320:(0.00, 1.00, 0.00)"
0.220,27.835,6.115,-629.626,8.774,8.856,4,9.602,0.048,"Ground_80_320:(0.00, 1.00, 0.00)"
0.240,27.841,6.672,-629.617,8.769,8.299,4,9.734,0.047,"Ground_80_320:(0.00, 1.00, 0.00)"
0.260,27.846,7.229,-629.607,8.765,7.742,4,9.852,0.045,"Ground_80_320:(0.00, 1.00, 0.00)"
0.280,27.851,7.786,-629.598,8.760,7.185,4,9.956,0.042,"Ground_80_320:(0.00, 1.00, 0.00)"
0.300,27.855,8.343,-629.589,8.755,6.628,4,10.043,0.038,"Ground_80_320:(0.00, 1.00, 0.00)"
0.320,27.858,8.900,-629.580,8.751,6.071,4,10.116,0.035,"Ground_80_320:(0.00, 1.00, 0.00)"
0.340,27.862,9.458,-629.571,8.747,5.514,4,10.173,0.031,"Ground_80_320:(0.00, 1.00, 0.00)"
0.360,27.865,10.015,-629.561,8.743,4.957,4,10.217,0.028,"Ground_80_320:(0.00, 1.00, 0.00)"
0.380,27.868,10.572,-629.552,8.739,4.399,4,10.246,0.024,"Ground_80_320:(0.00, 1.00, 0.00)"
0.400,27.870,11.130,-629.543,8.735,3.842,4,10.264,0.021,"Ground_80_320:(0.00, 1.00, 0.00)"
0.420,27.873,11.687,-629.534,8.731,3.285,4,10.270,0.018,"Ground_80_320:(0.00, 1.00, 0.00)"
0.440,27.875,12.245,-629.525,8.728,2.727,4,10.266,0.015,"Ground_80_320:(0.00, 1.00, 0.00)"
