time,speed,travel,x,y,z,grounded,lift,torque,contact
0.017,35.662,0.713,-628.516,8.342,-149.319,4,7.800,0.042,"Ground_80_320:(0.00, 1.00, 0.00)"
0.037,35.661,1.426,-628.528,8.341,-148.606,4,8.393,0.006,""
0.057,35.660,2.139,-628.539,8.339,-147.893,4,8.946,0.017,""
0.077,35.659,2.852,-628.551,8.337,-147.180,4,9.449,0.032,""
0.097,35.658,3.565,-628.563,8.335,-146.467,4,9.885,0.039,""
0.117,35.657,4.279,-628.575,8.334,-145.754,4,10.248,0.042,""
0.137,35.656,4.992,-628.587,8.332,-145.041,4,10.536,0.042,""
0.157,35.654,5.705,-628.598,8.331,-144.328,4,10.751,0.040,""
0.177,35.653,6.418,-628.610,8.331,-143.615,4,10.898,0.037,""
0.197,35.652,7.130,-628.622,8.331,-142.903,4,10.984,0.033,""
0.217,35.651,7.843,-628.634,8.331,-142.190,4,11.017,0.029,""
0.237,35.650,8.556,-628.645,8.332,-141.477,4,11.004,0.025,""
0.257,35.649,9.269,-628.657,8.333,-140.764,4,10.955,0.021,""
0.277,35.648,9.982,-628.669,8.335,-140.051,4,10.877,0.017,""
0.297,35.647,10.695,-628.681,8.337,-139.338,4,10.778,0.014,""
0.317,35.646,11.408,-628.693,8.340,-138.626,4,10.665,0.012,""
0.337,35.645,12.121,-628.704,8.342,-137.913,4,10.543,0.009,""
0.357,35.644,12.834,-628.716,8.345,-137.200,4,10.418,0.007,""
0.377,35.643,13.547,-628.728,8.349,-136.487,4,10.295,0.006,""
0.397,35.643,14.260,-628.740,8.352,-135.775,4,10.177,0.004,""
0.417,35.642,14.972,-628.752,8.355,-135.062,4,10.066,0.003,""
0.437,35.641,15.685,-628.763,8.359,-134.349,4,9.965,0.003,""
0.457,35.640,16.398,-628.775,8.363,-133.636,4,9.875,0.002,""
0.477,35.640,17.111,-628.787,8.366,-132.924,4,9.797,0.001,""
0.497,35.639,17.824,-628.799,8.370,-132.211,4,9.731,0.001,""
0.517,35.638,18.536,-628.810,8.373,-131.498,4,9.678,0.001,""
0.537,35.638,19.249,-628.822,8.376,-130.786,4,9.636,0.000,""
0.557,35.637,19.962,-628.834,8.380,-130.073,4,9.605,0.000,""
0.577,35.636,20.674,-628.846,8.383,-129.360,4,9.584,0.000,""
0.597,35.636,21.387,-628.858,8.386,-128.648,4,9.573,0.000,""
0.617,35.635,22.100,-628.869,8.389,-127.935,4,9.569,0.000,""
0.637,35.635,22.813,-628.881,8.392,-127.223,4,9.572,0.000,""
0.657,35.634,23.525,-628.893,8.395,-126.510,4,9.581,0.000,""
0.677,35.634,24.238,-628.904,8.398,-125.798,4,9.595,0.000,""
0.697,35.633,24.951,-628.916,8.400,-125.085,4,9.612,0.000,""
0.717,35.633,25.663,-628.928,8.403,-124.372,4,9.631,0.000,""
0.737,35.632,26.376,-628.940,8.405,-123.660,4,9.652,0.000,""
0.757,35.632,27.089,-628.951,8.408,-122.947,4,9.675,0.000,""
0.777,35.632,27.801,-628.963,8.410,-122.235,4,9.697,0.000,""
0.797,35.631,28.514,-628.975,8.413,-121.522,4,9.718,0.000,""
0.817,35.631,29.226,-628.987,8.415,-120.810,4,9.739,0.000,""
0.837,35.631,29.939,-628.998,8.418,-120.097,4,10.343,0.000,""
0.857,35.630,30.651,-629.010,8.420,-119.385,4,10.338,0.064,""
0.877,35.630,31.364,-629.022,8.424,-118.673,4,10.372,0.106,""
0.897,35.629,32.076,-629.034,8.427,-117.960,4,10.998,0.132,""
0.917,35.629,32.789,-629.046,8.431,-117.248,4,10.831,0.082,""
0.937,35.628,33.501,-629.057,8.435,-116.535,4,10.610,0.045,""
0.957,35.627,34.214,-629.069,8.440,-115.823,4,10.367,0.019,""
0.977,35.627,34.926,-629.081,8.444,-115.111,4,10.125,0.002,""
0.997,35.626,35.639,-629.093,8.449,-114.398,4,9.900,0.010,""
1.017,35.626,36.352,-629.104,8.453,-113.686,4,9.701,0.017,""
1.037,35.626,37.064,-629.116,8.458,-112.973,4,9.535,0.020,""
1.057,35.625,37.777,-629.128,8.462,-112.261,4,9.404,0.022,""
1.077,35.625,38.489,-629.140,8.466,-111.548,4,9.308,0.022,""
