time,speed,travel,x,y,z,grounded,lift,torque,contact
0.018,42.596,0.852,-632.912,8.959,14.066,4,7.800,0.050,"Ground_80_240:(0.00, 1.00, 0.00)"
0.038,42.587,1.704,-632.898,8.958,13.214,4,7.857,0.007,""
0.058,42.578,2.556,-632.884,8.955,12.362,4,7.928,0.021,""
0.078,42.569,3.407,-632.870,8.952,11.511,4,8.015,0.038,""
0.098,42.560,4.258,-632.856,8.949,10.660,4,8.127,0.048,""
0.118,42.552,5.110,-632.842,8.944,9.809,4,8.268,0.051,""
0.138,42.544,5.961,-632.828,8.940,8.958,4,8.434,0.051,""
0.158,42.536,6.811,-632.814,8.934,8.107,4,8.621,0.049,""
0.178,42.529,7.662,-632.800,8.928,7.256,4,8.822,0.045,""
0.198,42.521,8.513,-632.786,8.922,6.406,4,9.031,0.040,""
0.218,42.514,9.363,-632.772,8.916,5.556,4,9.239,0.035,""
0.238,42.507,10.213,-632.758,8.910,4.706,4,9.442,0.030,""
0.258,42.500,11.063,-632.744,8.903,3.856,4,9.633,0.025,""
0.278,42.494,11.913,-632.730,8.897,3.006,4,9.809,0.021,""
0.298,42.487,12.763,-632.716,8.890,2.156,4,9.965,0.017,""
0.318,42.481,13.612,-632.702,8.884,1.307,4,10.099,0.014,""
0.338,42.475,14.462,-632.688,8.878,0.458,4,10.211,0.011,""
0.358,42.469,15.311,-632.674,8.872,-0.392,4,10.299,0.009,""
0.378,42.463,16.160,-632.660,8.866,-1.241,4,10.365,0.007,""
0.398,42.457,17.010,-632.646,8.861,-2.090,4,10.409,0.005,""
0.418,42.451,17.859,-632.632,8.856,-2.939,4,10.433,0.004,""
0.438,42.446,18.707,-632.618,8.851,-3.788,4,10.440,0.003,""
0.458,42.440,19.556,-632.604,8.846,-4.636,4,10.430,0.002,""
0.478,42.435,20.405,-632.590,8.841,-5.485,4,10.407,0.001,""
0.498,42.430,21.254,-632.576,8.837,-6.333,4,10.374,0.001,""
0.518,42.425,22.102,-632.562,8.833,-7.182,4,10.331,0.000,""
0.538,42.420,22.950,-632.548,8.829,-8.030,4,10.283,0.001,""
0.558,42.415,23.799,-632.534,8.826,-8.878,4,10.231,0.000,""
0.578,42.410,24.647,-632.520,8.822,-9.726,4,10.768,0.002,""
0.598,42.405,25.495,-632.506,8.819,-10.574,4,10.709,0.065,""
0.618,42.401,26.343,-632.492,8.817,-11.422,4,10.697,0.108,""
0.638,42.396,27.190,-632.478,8.815,-12.269,4,11.290,0.134,""
0.658,42.391,28.038,-632.464,8.813,-13.117,4,11.066,0.083,""
0.678,42.387,28.886,-632.450,8.812,-13.964,4,10.781,0.046,""
0.698,42.382,29.734,-632.436,8.811,-14.812,4,10.472,0.020,""
0.718,42.378,30.581,-632.422,8.811,-15.660,4,10.168,0.002,""
0.738,42.374,31.429,-632.408,8.810,-16.507,4,9.887,0.009,""
0.758,42.369,32.276,-632.394,8.809,-17.354,4,9.641,0.016,""
0.778,42.365,33.123,-632.380,8.808,-18.202,4,9.435,0.020,""
0.798,42.361,33.971,-632.366,8.807,-19.049,4,9.275,0.021,""
0.818,42.358,34.818,-632.352,8.806,-19.896,4,9.161,0.027,""
0.838,42.354,35.665,-632.338,8.804,-20.743,4,9.133,0.033,""
0.858,42.350,36.512,-632.324,8.802,-21.590,4,9.210,0.050,""
0.878,42.347,37.359,-632.310,8.800,-22.436,4,9.378,0.056,""
0.898,42.343,38.206,-632.296,8.798,-23.283,4,9.700,0.021,""
0.918,42.340,39.052,-632.283,8.796,-24.130,4,10.177,0.031,""
0.938,42.337,39.899,-632.269,8.795,-24.976,4,10.725,0.038,""
0.958,42.333,40.745,-632.255,8.794,-25.822,4,11.398,0.092,""
0.978,42.329,41.591,-632.242,8.794,-26.668,4,12.139,0.082,""
0.998,42.325,42.437,-632.228,8.795,-27.514,4,12.829,0.041,""
1.018,42.321,43.283,-632.215,8.798,-28.360,4,13.548,0.201,""
1.038,42.317,44.129,-632.202,8.802,-29.205,4,14.292,0.153,""
1.058,42.313,44.974,-632.189,8.809,-30.051,4,14.883,0.074,""
1.078,42.308,45.820,-632.176,8.818,-30.896,4,15.412,0.194,""
1.098,42.303,46.665,-632.163,8.829,-31.741,4,15.990,0.348,""
1.118,42.298,47.510,-632.151,8.843,-32.586,4,16.371,0.212,""
1.138,42.293,48.355,-632.140,8.859,-33.431,4,16.599,0.345,""
1.158,42.288,49.200,-632.128,8.878,-34.276,4,16.913,0.522,""
1.178,42.282,50.045,-632.117,8.901,-35.121,4,17.105,0.486,""
1.198,42.277,50.889,-632.107,8.926,-35.965,4,17.026,0.567,""
1.218,42.271,51.733,-632.097,8.954,-36.809,4,17.064,0.760,""
1.238,42.265,52.577,-632.088,8.985,-37.653,4,17.096,0.758,""
1.258,42.258,53.421,-632.079,9.018,-38.497,4,16.887,0.800,""
1.278,42.233,54.263,-632.073,9.057,-39.339,4,16.727,1.072,"Reverse supported roadworks transition:(-0.04, 1.00, 0.05)"
1.298,42.203,55.101,-632.067,9.104,-40.177,4,16.455,1.708,"Reverse supported roadworks transition:(-0.08, 1.00, 0.03)"
1.318,42.195,55.942,-632.062,9.151,-41.018,4,17.512,2.019,"Reverse supported roadworks transition:(-0.10, 0.99, 0.04)"
1.338,42.168,56.782,-632.058,9.203,-41.858,4,17.661,1.942,"Reverse supported roadworks transition:(-0.11, 0.99, 0.05)"
1.358,42.151,57.620,-632.054,9.260,-42.696,4,17.541,2.312,"Reverse supported roadworks transition:(-0.13, 0.99, 0.05)"
1.378,42.139,58.460,-632.050,9.318,-43.536,4,17.358,2.127,"Reverse supported roadworks transition:(-0.14, 0.99, 0.06)"
1.398,42.110,59.298,-632.045,9.382,-44.374,4,16.077,2.151,"Reverse supported roadworks transition:(-0.16, 0.99, 0.06)"
1.418,42.087,60.135,-632.041,9.449,-45.212,4,15.055,2.513,"Reverse supported roadworks transition:(-0.17, 0.98, 0.07)"
1.438,42.075,60.974,-632.038,9.517,-46.050,4,14.332,2.481,"Reverse supported roadworks transition:(-0.19, 0.98, 0.07)"
1.458,42.049,61.811,-632.036,9.587,-46.887,4,13.060,2.531,"Reverse supported roadworks transition:(-0.21, 0.98, 0.07)"
1.478,42.029,62.647,-632.036,9.659,-47.723,4,12.061,2.819,"Reverse supported roadworks transition:(-0.22, 0.97, 0.07)"
1.498,42.008,63.482,-632.037,9.732,-48.559,4,11.696,2.879,"Reverse supported roadworks transition:(-0.24, 0.97, 0.08)"
1.518,41.988,64.318,-632.037,9.806,-49.395,4,11.214,2.974,"Reverse supported roadworks transition:(-0.26, 0.96, 0.08)"
1.538,41.949,65.152,-632.036,9.882,-50.229,3,9.654,4.644,"Reverse supported roadworks transition:(-0.28, 0.96, 0.08)"
1.558,41.916,65.985,-632.034,9.961,-51.062,3,9.638,4.966,"Reverse supported roadworks transition:(-0.30, 0.95, 0.08)"
1.578,41.891,66.818,-632.030,10.040,-51.895,3,9.929,5.158,"Reverse supported roadworks transition:(-0.32, 0.94, 0.09)"
1.598,41.846,67.649,-632.026,10.121,-52.726,3,10.009,5.340,"Reverse supported roadworks transition:(-0.33, 0.94, 0.09)"
1.618,41.812,68.480,-632.022,10.205,-53.557,3,10.336,5.635,"Reverse supported roadworks transition:(-0.35, 0.93, 0.09)"
1.638,41.794,69.310,-632.018,10.290,-54.387,3,10.687,5.779,"Reverse supported roadworks transition:(-0.37, 0.92, 0.10)"
1.658,41.756,70.139,-632.016,10.376,-55.217,3,10.759,5.807,"Reverse supported roadworks transition:(-0.39, 0.91, 0.10)"
1.678,41.737,70.969,-632.016,10.463,-56.046,3,10.602,5.996,"Reverse supported roadworks transition:(0.00, 0.99, 0.12)"
1.698,41.689,71.798,-632.018,10.552,-56.875,3,9.960,5.960,"Reverse supported roadworks transition:(-0.43, 0.90, 0.10)"
1.718,41.626,72.625,-632.020,10.645,-57.702,2,6.542,9.565,"Reverse supported roadworks transition:(-0.45, 0.89, 0.10)"
