time,speed,travel,x,y,z,grounded,lift,torque,contact
0.018,11.887,0.238,-628.223,8.809,14.757,4,7.800,0.092,"Ground_80_240:(0.00, 1.00, 0.00)"
0.038,11.898,0.476,-628.219,8.808,14.519,4,8.094,0.057,"Ground_80_320:(0.00, 1.00, 0.00)"
0.058,11.907,0.714,-628.215,8.806,14.281,4,8.382,0.028,"Ground_80_320:(0.00, 1.00, 0.00)"
0.078,11.807,0.950,-628.211,8.803,14.045,4,8.656,0.005,"Ground_80_320:(0.00, 1.00, 0.00)"
0.098,11.829,1.187,-628.207,8.800,13.808,4,8.909,0.013,"Ground_80_320:(0.00, 1.00, 0.00)"
0.118,11.847,1.424,-628.203,8.797,13.571,4,9.146,0.026,"Ground_80_320:(0.00, 1.00, 0.00)"
0.138,11.863,1.661,-628.199,8.794,13.334,4,9.361,0.036,"Ground_80_320:(0.00, 1.00, 0.00)"
0.158,11.877,1.899,-628.195,8.790,13.096,4,9.554,0.042,"Ground_80_320:(0.00, 1.00, 0.00)"
0.178,11.889,2.137,-628.192,8.787,12.859,4,9.723,0.046,"Ground_80_320:(0.00, 1.00, 0.00)"
0.198,11.900,2.375,-628.188,8.784,12.620,4,9.869,0.047,"Ground_80_320:(0.00, 1.00, 0.00)"
0.218,11.909,2.613,-628.184,8.780,12.382,4,9.991,0.048,"Ground_80_320:(0.00, 1.00, 0.00)"
0.238,11.810,2.849,-628.180,8.777,12.146,4,10.092,0.046,"Ground_80_320:(0.00, 1.00, 0.00)"
0.258,11.831,3.086,-628.176,8.774,11.909,4,10.170,0.044,"Ground_80_320:(0.00, 1.00, 0.00)"
0.278,11.850,3.323,-628.172,8.771,11.672,4,10.230,0.041,"Ground_80_320:(0.00, 1.00, 0.00)"
0.298,11.866,3.560,-628.168,8.768,11.435,4,10.271,0.038,"Ground_80_320:(0.00, 1.00, 0.00)"
0.318,11.880,3.798,-628.164,8.766,11.198,4,10.296,0.034,"Ground_80_320:(0.00, 1.00, 0.00)"
0.338,11.892,4.036,-628.160,8.763,10.960,4,10.306,0.031,"Ground_80_320:(0.00, 1.00, 0.00)"
0.358,11.902,4.274,-628.156,8.761,10.722,4,10.304,0.027,"Ground_80_320:(0.00, 1.00, 0.00)"
0.378,11.804,4.510,-628.152,8.759,10.486,4,10.291,0.024,"Ground_80_320:(0.00, 1.00, 0.00)"
0.398,11.827,4.747,-628.149,8.757,10.249,4,10.269,0.021,"Ground_80_320:(0.00, 1.00, 0.00)"
0.418,11.846,4.983,-628.145,8.756,10.012,4,10.240,0.017,"Ground_80_320:(0.00, 1.00, 0.00)"
0.438,11.863,5.221,-628.141,8.754,9.775,4,10.206,0.015,"Ground_80_320:(0.00, 1.00, 0.00)"
0.458,11.877,5.458,-628.137,8.753,9.537,4,10.168,0.012,"Ground_80_320:(0.00, 1.00, 0.00)"
0.478,11.890,5.696,-628.133,8.752,9.300,4,10.128,0.010,"Ground_80_320:(0.00, 1.00, 0.00)"
0.498,11.901,5.934,-628.129,8.751,9.062,4,10.087,0.008,"Ground_80_320:(0.00, 1.00, 0.00)"
0.518,11.803,6.170,-628.125,8.750,8.826,4,10.046,0.006,"Ground_80_320:(0.00, 1.00, 0.00)"
0.538,11.825,6.407,-628.121,8.749,8.589,4,10.005,0.005,"Ground_80_320:(0.00, 1.00, 0.00)"
0.558,11.845,6.644,-628.117,8.748,8.352,4,9.967,0.003,"Ground_80_320:(0.00, 1.00, 0.00)"
0.578,11.862,6.881,-628.113,8.747,8.115,4,9.931,0.002,"Ground_80_320:(0.00, 1.00, 0.00)"
0.598,11.876,7.118,-628.109,8.747,7.878,4,9.898,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.618,11.889,7.356,-628.106,8.746,7.640,4,9.868,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.638,11.900,7.594,-628.102,8.745,7.402,4,9.842,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
0.658,11.909,7.832,-628.098,8.745,7.164,4,9.819,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.678,11.811,8.069,-628.094,8.744,6.928,4,9.799,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.698,11.832,8.305,-628.090,8.743,6.691,4,9.784,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.718,11.851,8.542,-628.086,8.742,6.454,4,9.771,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.738,11.867,8.779,-628.082,8.742,6.217,4,9.761,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.758,11.881,9.017,-628.078,8.741,5.979,4,9.754,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.778,11.893,9.255,-628.074,8.740,5.741,4,9.750,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.798,11.903,9.493,-628.070,8.739,5.503,4,9.748,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
