time,speed,travel,x,y,z,grounded,lift,torque,contact
0.014,11.887,0.238,-631.222,8.809,14.708,4,7.800,0.080,"Ground_80_240:(0.00, 1.00, 0.00)"
0.035,11.899,0.476,-631.218,8.808,14.470,4,8.095,0.046,"Ground_80_320:(0.00, 1.00, 0.00)"
0.055,11.909,0.714,-631.215,8.806,14.232,4,8.383,0.019,"Ground_80_320:(0.00, 1.00, 0.00)"
0.075,11.810,0.950,-631.211,8.803,13.995,4,8.657,0.002,"Ground_80_320:(0.00, 1.00, 0.00)"
0.095,11.833,1.187,-631.207,8.800,13.759,4,8.911,0.019,"Ground_80_320:(0.00, 1.00, 0.00)"
0.115,11.853,1.424,-631.203,8.797,13.521,4,9.149,0.031,"Ground_80_320:(0.00, 1.00, 0.00)"
0.135,11.870,1.662,-631.199,8.794,13.284,4,9.365,0.039,"Ground_80_320:(0.00, 1.00, 0.00)"
0.155,11.884,1.899,-631.195,8.791,13.046,4,9.557,0.045,"Ground_80_320:(0.00, 1.00, 0.00)"
0.174,11.897,2.137,-631.191,8.787,12.808,4,9.727,0.048,"Ground_80_320:(0.00, 1.00, 0.00)"
0.195,11.907,2.376,-631.187,8.784,12.570,4,9.872,0.049,"Ground_80_320:(0.00, 1.00, 0.00)"
0.215,11.810,2.612,-631.183,8.780,12.334,4,9.994,0.049,"Ground_80_320:(0.00, 1.00, 0.00)"
0.234,11.833,2.849,-631.179,8.777,12.097,4,10.092,0.047,"Ground_80_320:(0.00, 1.00, 0.00)"
0.255,11.853,3.086,-631.176,8.774,11.860,4,10.171,0.045,"Ground_80_320:(0.00, 1.00, 0.00)"
0.275,11.870,3.323,-631.172,8.771,11.623,4,10.230,0.042,"Ground_80_320:(0.00, 1.00, 0.00)"
0.294,11.885,3.561,-631.168,8.768,11.385,4,10.271,0.039,"Ground_80_320:(0.00, 1.00, 0.00)"
0.315,11.898,3.799,-631.164,8.766,11.147,4,10.295,0.035,"Ground_80_320:(0.00, 1.00, 0.00)"
0.335,11.908,4.037,-631.160,8.763,10.909,4,10.304,0.031,"Ground_80_320:(0.00, 1.00, 0.00)"
0.355,11.811,4.273,-631.156,8.761,10.673,4,10.301,0.028,"Ground_80_320:(0.00, 1.00, 0.00)"
0.375,11.834,4.510,-631.152,8.759,10.436,4,10.287,0.025,"Ground_80_320:(0.00, 1.00, 0.00)"
0.395,11.854,4.747,-631.148,8.758,10.199,4,10.265,0.021,"Ground_80_320:(0.00, 1.00, 0.00)"
0.415,11.871,4.985,-631.144,8.756,9.962,4,10.236,0.018,"Ground_80_320:(0.00, 1.00, 0.00)"
0.435,11.886,5.222,-631.140,8.755,9.724,4,10.202,0.015,"Ground_80_320:(0.00, 1.00, 0.00)"
0.454,11.899,5.460,-631.136,8.753,9.486,4,10.164,0.013,"Ground_80_320:(0.00, 1.00, 0.00)"
0.475,11.909,5.698,-631.132,8.752,9.248,4,10.124,0.011,"Ground_80_320:(0.00, 1.00, 0.00)"
0.495,11.811,5.935,-631.129,8.751,9.012,4,10.082,0.009,"Ground_80_320:(0.00, 1.00, 0.00)"
0.514,11.835,6.171,-631.125,8.750,8.775,4,10.042,0.007,"Ground_80_320:(0.00, 1.00, 0.00)"
0.535,11.855,6.409,-631.121,8.749,8.538,4,10.002,0.005,"Ground_80_320:(0.00, 1.00, 0.00)"
0.555,11.872,6.646,-631.117,8.748,8.300,4,9.964,0.004,"Ground_80_320:(0.00, 1.00, 0.00)"
0.575,11.887,6.884,-631.113,8.748,8.063,4,9.929,0.003,"Ground_80_320:(0.00, 1.00, 0.00)"
0.595,11.899,7.122,-631.109,8.747,7.825,4,9.896,0.002,"Ground_80_320:(0.00, 1.00, 0.00)"
0.615,11.910,7.360,-631.105,8.746,7.587,4,9.867,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.635,11.812,7.596,-631.101,8.745,7.350,4,9.841,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.655,11.835,7.833,-631.097,8.745,7.114,4,9.819,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
0.674,11.855,8.070,-631.093,8.744,6.877,4,9.800,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
0.695,11.872,8.307,-631.089,8.743,6.639,4,9.784,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.715,11.887,8.545,-631.086,8.743,6.402,4,9.772,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.734,11.899,8.783,-631.082,8.742,6.164,4,9.762,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.755,11.910,9.021,-631.078,8.741,5.925,4,9.756,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.775,11.812,9.257,-631.074,8.740,5.689,4,9.752,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.794,11.835,9.494,-631.070,8.739,5.453,4,9.750,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.815,11.855,9.731,-631.066,8.739,5.215,4,9.750,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.835,11.872,9.969,-631.062,8.738,4.978,4,9.751,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.855,11.887,10.206,-631.058,8.737,4.740,4,9.754,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.875,11.899,10.444,-631.054,8.736,4.502,4,9.757,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.895,11.910,10.683,-631.050,8.735,4.264,4,9.762,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.915,11.812,10.919,-631.046,8.734,4.028,4,9.767,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.935,11.835,11.156,-631.043,8.733,3.791,4,9.772,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.954,11.855,11.393,-631.039,8.732,3.554,4,9.778,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.975,11.872,11.630,-631.035,8.731,3.317,4,9.783,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.995,11.887,11.868,-631.031,8.730,3.079,4,9.788,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
1.014,11.899,12.106,-631.027,8.729,2.841,4,9.793,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
1.035,11.910,12.344,-631.023,8.728,2.603,4,9.797,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.055,11.812,12.580,-631.019,8.727,2.367,4,9.802,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.075,11.835,12.817,-631.015,8.726,2.130,4,9.805,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.095,11.855,13.054,-631.011,8.725,1.893,4,9.809,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.115,11.872,13.292,-631.007,8.724,1.656,4,9.811,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.135,11.887,13.529,-631.003,8.723,1.418,4,9.814,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.155,11.899,13.767,-630.999,8.722,1.180,4,9.815,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.175,11.910,14.005,-630.995,8.721,0.942,4,9.817,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.195,11.812,14.242,-630.992,8.720,0.706,4,9.818,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.215,11.835,14.478,-630.988,8.719,0.469,4,9.818,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.234,11.855,14.716,-630.984,8.718,0.232,4,9.819,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.255,11.872,14.953,-630.980,8.717,-0.005,4,9.819,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.275,11.887,15.191,-630.976,8.716,-0.243,4,9.819,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.294,11.899,15.429,-630.972,8.715,-0.481,4,9.818,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.315,11.910,15.667,-630.968,8.714,-0.719,4,9.818,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.335,11.812,15.903,-630.964,8.713,-0.955,4,9.817,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
1.355,11.835,16.140,-630.960,8.712,-1.192,4,9.817,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
