time,speed,travel,x,y,z,grounded,lift,torque,contact
0.003,23.774,0.476,-632.918,8.809,14.442,4,7.800,0.080,"Ground_80_240:(0.00, 1.00, 0.00)"
0.023,23.790,0.951,-632.910,8.808,13.966,4,8.016,0.046,"Ground_80_320:(0.00, 1.00, 0.00)"
0.043,23.803,1.428,-632.902,8.806,13.490,4,8.237,0.019,"Ground_80_320:(0.00, 1.00, 0.00)"
0.063,23.816,1.904,-632.895,8.803,13.014,4,8.452,0.002,"Ground_80_320:(0.00, 1.00, 0.00)"
0.083,23.827,2.380,-632.887,8.800,12.537,4,8.662,0.019,"Ground_80_320:(0.00, 1.00, 0.00)"
0.103,23.836,2.857,-632.879,8.796,12.061,4,8.863,0.031,"Ground_80_320:(0.00, 1.00, 0.00)"
0.123,23.845,3.334,-632.871,8.792,11.584,4,9.055,0.039,"Ground_80_320:(0.00, 1.00, 0.00)"
0.143,23.853,3.811,-632.863,8.788,11.107,4,9.236,0.045,"Ground_80_320:(0.00, 1.00, 0.00)"
0.163,23.860,4.289,-632.855,8.784,10.629,4,9.405,0.048,"Ground_80_320:(0.00, 1.00, 0.00)"
0.183,23.866,4.766,-632.847,8.780,10.152,4,9.560,0.049,"Ground_80_320:(0.00, 1.00, 0.00)"
0.203,23.872,5.244,-632.839,8.776,9.675,4,9.699,0.049,"Ground_80_320:(0.00, 1.00, 0.00)"
0.223,23.877,5.721,-632.832,8.771,9.197,4,9.824,0.047,"Ground_80_320:(0.00, 1.00, 0.00)"
0.243,23.881,6.199,-632.824,8.767,8.719,4,9.932,0.045,"Ground_80_320:(0.00, 1.00, 0.00)"
0.263,23.886,6.677,-632.816,8.763,8.242,4,10.024,0.042,"Ground_80_320:(0.00, 1.00, 0.00)"
0.283,23.889,7.154,-632.808,8.759,7.764,4,10.100,0.038,"Ground_80_320:(0.00, 1.00, 0.00)"
0.303,23.892,7.632,-632.800,8.755,7.286,4,10.160,0.035,"Ground_80_320:(0.00, 1.00, 0.00)"
0.323,23.895,8.110,-632.792,8.751,6.808,4,10.206,0.031,"Ground_80_320:(0.00, 1.00, 0.00)"
0.343,23.898,8.588,-632.784,8.747,6.330,4,10.237,0.028,"Ground_80_320:(0.00, 1.00, 0.00)"
0.363,23.900,9.066,-632.776,8.744,5.852,4,10.256,0.024,"Ground_80_320:(0.00, 1.00, 0.00)"
0.383,23.688,9.540,-632.769,8.741,5.379,4,10.264,0.021,"Ground_80_320:(0.00, 1.00, 0.00)"
0.403,23.713,10.014,-632.761,8.737,4.905,4,10.261,0.018,"Ground_80_320:(0.00, 1.00, 0.00)"
0.423,23.736,10.489,-632.753,8.735,4.430,4,10.249,0.015,"Ground_80_320:(0.00, 1.00, 0.00)"
0.443,23.756,10.964,-632.745,8.732,3.955,4,10.231,0.013,"Ground_80_320:(0.00, 1.00, 0.00)"
0.463,23.775,11.440,-632.737,8.729,3.479,4,10.206,0.011,"Ground_80_320:(0.00, 1.00, 0.00)"
0.483,23.791,11.915,-632.730,8.727,3.004,4,10.176,0.008,"Ground_80_320:(0.00, 1.00, 0.00)"
0.503,23.805,12.391,-632.722,8.725,2.528,4,10.143,0.007,"Ground_80_320:(0.00, 1.00, 0.00)"
0.523,23.818,12.868,-632.714,8.722,2.051,4,10.108,0.005,"Ground_80_320:(0.00, 1.00, 0.00)"
0.543,23.829,13.344,-632.706,8.720,1.575,4,10.072,0.004,"Ground_80_320:(0.00, 1.00, 0.00)"
0.563,23.839,13.821,-632.698,8.718,1.098,4,10.036,0.003,"Ground_80_320:(0.00, 1.00, 0.00)"
0.583,23.848,14.298,-632.690,8.716,0.621,4,10.000,0.002,"Ground_80_320:(0.00, 1.00, 0.00)"
0.603,23.856,14.775,-632.682,8.715,0.144,4,9.965,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.623,23.863,15.252,-632.675,8.713,-0.333,4,9.933,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.643,23.869,15.730,-632.667,8.711,-0.810,4,9.903,0.000,"Ground_80_320:(0.00, 1.00, 0.00)"
0.663,23.875,16.207,-632.659,8.709,-1.288,4,9.875,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.683,23.880,16.685,-632.651,8.708,-1.765,4,9.850,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.703,23.884,17.163,-632.643,8.706,-2.243,4,9.829,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.723,23.888,17.640,-632.635,8.704,-2.721,4,9.810,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.743,23.892,18.118,-632.627,8.702,-3.198,4,9.794,0.002,"Ground_80_320:(0.00, 1.00, 0.00)"
0.763,23.895,18.596,-632.619,8.701,-3.676,4,9.781,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.783,23.898,19.074,-632.612,8.699,-4.154,4,9.771,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.803,23.900,19.552,-632.604,8.697,-4.632,4,9.764,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.823,23.687,20.026,-632.596,8.695,-5.106,4,9.759,0.002,"Ground_80_320:(0.00, 1.00, 0.00)"
0.843,23.713,20.500,-632.588,8.694,-5.580,4,9.755,0.002,"Ground_80_320:(0.00, 1.00, 0.00)"
0.863,23.736,20.975,-632.580,8.692,-6.054,4,9.754,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.883,23.756,21.450,-632.572,8.690,-6.530,4,9.756,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.903,23.774,21.925,-632.565,8.688,-7.005,4,9.757,0.002,"Ground_80_320:(0.00, 1.00, 0.00)"
0.923,23.790,22.401,-632.557,8.686,-7.481,4,9.759,0.002,"Ground_80_320:(0.00, 1.00, 0.00)"
0.943,23.805,22.877,-632.549,8.684,-7.957,4,9.763,0.002,"Ground_80_320:(0.00, 1.00, 0.00)"
0.963,23.817,23.354,-632.541,8.682,-8.433,4,9.768,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
0.983,23.829,23.830,-632.533,8.680,-8.910,4,9.773,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
1.003,23.839,24.307,-632.525,8.679,-9.386,4,9.777,0.003,"Ground_80_320:(0.00, 1.00, 0.00)"
1.023,23.848,24.784,-632.518,8.677,-9.863,4,10.372,0.001,"Ground_80_320:(0.00, 1.00, 0.00)"
1.043,23.856,25.261,-632.510,8.675,-10.340,4,10.305,0.062,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.063,23.863,25.738,-632.502,8.674,-10.817,4,10.264,0.112,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.083,23.869,26.215,-632.494,8.673,-11.294,4,10.235,0.151,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.103,23.874,26.693,-632.486,8.672,-11.772,4,10.805,0.180,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.123,23.879,27.170,-632.478,8.671,-12.249,4,10.638,0.141,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.143,23.883,27.648,-632.470,8.671,-12.727,4,10.453,0.107,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.163,23.887,28.125,-632.462,8.671,-13.204,4,10.260,0.078,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.183,23.890,28.603,-632.455,8.671,-13.682,4,10.071,0.054,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.203,23.893,29.081,-632.447,8.671,-14.160,4,9.893,0.034,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.223,23.895,29.559,-632.439,8.672,-14.638,4,9.733,0.018,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.243,23.898,30.037,-632.431,8.672,-15.116,4,9.593,0.005,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.263,23.900,30.515,-632.423,8.671,-15.594,4,9.477,0.005,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.283,23.902,30.993,-632.415,8.671,-16.072,4,9.385,0.012,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.303,23.688,31.467,-632.407,8.671,-16.545,4,9.318,0.018,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.323,23.714,31.941,-632.399,8.670,-17.020,4,9.271,0.022,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.343,23.736,32.416,-632.392,8.669,-17.494,4,9.249,0.024,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.363,23.756,32.891,-632.384,8.668,-17.969,4,9.246,0.025,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.383,23.774,33.367,-632.376,8.666,-18.445,4,9.260,0.025,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.403,23.790,33.843,-632.368,8.665,-18.921,4,9.289,0.025,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.423,23.804,34.319,-632.360,8.663,-19.397,4,9.328,0.024,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.443,23.817,34.795,-632.352,8.661,-19.873,4,9.378,0.031,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.463,23.828,35.272,-632.344,8.659,-20.349,4,9.449,0.046,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.483,23.838,35.748,-632.336,8.657,-20.826,4,9.546,0.059,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.503,23.847,36.225,-632.328,8.655,-21.303,4,9.668,0.038,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.523,23.855,36.702,-632.321,8.652,-21.780,4,9.821,0.051,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.543,23.862,37.180,-632.313,8.650,-22.257,4,10.008,0.071,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.563,23.868,37.657,-632.305,8.648,-22.734,4,10.228,0.079,"Reverse supported roadworks transition:(0.00, 1.00, 0.00)"
1.583,23.874,38.134,-632.297,8.646,-23.212,4,10.464,0.129,"Reverse supported roadworks transition:(0.00, 1.00, 0.01)"
1.603,23.879,38.612,-632.289,8.645,-23.689,4,10.717,0.153,"Reverse supported roadworks transition:(-0.01, 1.00, 0.01)"
1.623,23.883,39.089,-632.281,8.644,-24.166,4,10.979,0.184,"Reverse supported roadworks transition:(-0.01, 1.00, 0.01)"
1.643,23.886,39.567,-632.273,8.644,-24.644,4,11.242,0.221,"Reverse supported roadworks transition:(-0.01, 1.00, 0.01)"
1.663,23.889,40.044,-632.266,8.644,-25.121,4,11.497,0.261,"Reverse supported roadworks transition:(-0.01, 1.00, 0.01)"
1.683,23.892,40.522,-632.258,8.645,-25.599,4,11.738,0.304,"Reverse supported roadworks transition:(-0.02, 1.00, 0.02)"
1.703,23.894,40.999,-632.250,8.647,-26.076,4,11.960,0.348,"Reverse supported roadworks transition:(-0.02, 1.00, 0.01)"
1.723,23.896,41.477,-632.243,8.650,-26.554,4,12.158,0.392,"Reverse supported roadworks transition:(-0.02, 1.00, 0.01)"
1.743,23.897,41.954,-632.235,8.654,-27.031,4,12.329,0.437,"Reverse supported roadworks transition:(-0.02, 1.00, 0.02)"
1.763,23.898,42.432,-632.228,8.659,-27.509,4,12.472,0.480,"Reverse supported roadworks transition:(-0.03, 1.00, 0.01)"
1.783,23.898,42.909,-632.221,8.665,-27.986,4,12.579,0.522,"Reverse supported roadworks transition:(-0.03, 1.00, 0.02)"
1.803,23.899,43.387,-632.214,8.672,-28.464,4,12.655,0.568,"Reverse supported roadworks transition:(-0.03, 1.00, 0.02)"
1.823,23.899,43.864,-632.207,8.681,-28.941,4,12.710,0.606,"Reverse supported roadworks transition:(-0.04, 1.00, 0.02)"
1.843,23.898,44.342,-632.200,8.690,-29.419,4,12.735,0.642,"Reverse supported roadworks transition:(-0.02, 1.00, 0.02)"
1.863,23.898,44.819,-632.193,8.701,-29.896,4,12.716,0.676,"Reverse supported roadworks transition:(-0.04, 1.00, 0.02)"
1.883,23.897,45.297,-632.186,8.713,-30.373,4,12.670,0.740,"Reverse supported roadworks transition:(-0.03, 1.00, 0.01)"
