time,speed,travel,x,y,z,grounded,lift,torque,contact
0.015,35.662,0.713,-628.215,8.959,14.282,4,7.800,0.092,""
0.035,35.662,1.427,-628.203,8.958,13.568,4,7.887,0.016,""
0.055,35.662,2.140,-628.191,8.955,12.855,4,7.983,0.026,""
0.075,35.662,2.854,-628.180,8.952,12.142,4,8.099,0.047,""
0.095,35.663,3.567,-628.168,8.949,11.429,4,8.243,0.055,""
0.115,35.663,4.280,-628.156,8.945,10.715,4,8.415,0.056,""
0.135,35.664,4.994,-628.144,8.940,10.002,4,8.609,0.053,""
0.155,35.664,5.707,-628.132,8.935,9.289,4,8.817,0.047,""
0.175,35.665,6.420,-628.121,8.930,8.575,4,9.031,0.041,""
0.195,35.666,7.134,-628.109,8.924,7.862,4,9.244,0.035,""
0.215,35.666,7.847,-628.097,8.918,7.149,4,9.449,0.029,""
0.235,35.667,8.561,-628.085,8.913,6.436,4,9.640,0.024,""
0.255,35.667,9.274,-628.074,8.907,5.722,4,9.813,0.020,""
0.275,35.668,9.987,-628.062,8.901,5.009,4,9.965,0.016,""
0.295,35.669,10.701,-628.050,8.896,4.296,4,10.094,0.013,""
0.315,35.669,11.414,-628.038,8.890,3.583,4,10.201,0.011,""
0.335,35.670,12.127,-628.026,8.885,2.869,4,10.283,0.009,""
0.355,35.670,12.841,-628.015,8.880,2.156,4,10.344,0.007,""
0.375,35.671,13.554,-628.003,8.875,1.443,4,10.383,0.005,""
0.395,35.671,14.268,-627.991,8.871,0.729,4,10.404,0.004,""
0.415,35.672,14.981,-627.979,8.866,0.016,4,10.407,0.003,""
0.435,35.672,15.694,-627.968,8.862,-0.697,4,10.396,0.003,""
0.455,35.672,16.408,-627.956,8.858,-1.411,4,10.373,0.002,""
0.475,35.673,17.121,-627.944,8.855,-2.124,4,10.339,0.002,""
0.495,35.673,17.835,-627.932,8.851,-2.837,4,10.299,0.001,""
0.515,35.674,18.548,-627.920,8.848,-3.551,4,10.252,0.001,""
0.535,35.674,19.262,-627.909,8.845,-4.264,4,10.202,0.001,""
0.555,35.674,19.975,-627.897,8.842,-4.978,4,10.151,0.000,""
0.575,35.675,20.689,-627.885,8.839,-5.691,4,10.099,0.000,""
0.595,35.675,21.402,-627.873,8.836,-6.404,4,10.048,0.000,""
0.615,35.675,22.116,-627.862,8.834,-7.118,4,10.000,0.000,""
