time,name,streetDistance,routeIsStreet,recoveries,x,y,z
3.00,Traffic 1,2.662,True,0,533.60,58.38,-182.65
3.00,Traffic 2,2.679,True,0,-1.11,34.60,-497.87
3.00,Traffic 3,2.680,True,0,-624.53,8.68,-47.06
3.00,Traffic 4,2.150,True,0,-20.41,8.52,530.88
4.08,Traffic 1,2.676,True,0,536.78,53.89,-190.54
4.08,Traffic 2,2.708,True,0,-1.10,33.79,-489.82
4.08,Traffic 3,2.864,True,0,-624.47,8.72,-39.36
4.08,Traffic 4,2.146,True,0,-28.07,8.53,530.88
5.10,Traffic 1,2.644,True,0,541.78,46.58,-203.59
5.10,Traffic 2,2.736,True,0,-1.24,32.37,-473.98
5.10,Traffic 3,3.289,True,0,-624.31,8.77,-23.35
5.10,Traffic 4,2.136,True,0,-46.38,8.54,530.96
6.20,Traffic 1,2.617,True,0,546.84,39.54,-218.38
6.20,Traffic 2,2.662,True,0,-1.07,31.58,-456.84
6.20,Traffic 3,3.326,True,0,-624.60,8.84,-5.31
6.20,Traffic 4,2.150,True,0,-74.89,8.61,531.13
8.20,Traffic 1,2.630,True,0,554.73,31.55,-247.21
8.20,Traffic 2,2.647,True,0,1.04,33.74,-427.87
8.20,Traffic 3,3.257,True,0,-625.27,8.98,27.36
8.20,Traffic 4,2.150,True,0,-132.05,8.89,531.14
10.20,Traffic 1,2.485,True,0,558.65,28.38,-277.38
10.20,Traffic 2,2.661,True,0,4.16,38.52,-396.98
10.20,Traffic 3,3.266,True,0,-625.87,9.12,60.04
10.20,Traffic 4,2.145,True,0,-189.34,9.30,531.27
12.02,Traffic 1,2.412,True,0,556.19,26.17,-305.42
12.02,Traffic 2,2.573,True,0,9.25,40.73,-368.65
12.02,Traffic 3,2.884,True,0,-626.81,9.24,89.86
12.02,Traffic 4,2.141,True,0,-241.65,9.59,531.70
13.84,Traffic 1,2.586,True,0,549.39,25.26,-332.52
13.84,Traffic 2,2.634,True,0,16.66,38.53,-340.93
13.84,Traffic 3,2.632,True,0,-627.59,9.36,119.38
13.84,Traffic 4,2.132,True,0,-293.42,9.63,532.65
15.84,Traffic 1,2.766,True,0,542.91,25.65,-362.81
15.84,Traffic 2,2.540,True,0,28.53,35.55,-311.64
15.84,Traffic 3,2.685,True,0,-628.06,9.48,152.06
15.84,Traffic 4,2.141,True,0,-350.74,9.38,534.46
17.84,Traffic 1,2.781,True,0,540.56,28.35,-393.42
17.84,Traffic 2,2.165,True,0,49.78,41.56,-290.38
17.84,Traffic 3,2.677,True,0,-628.53,9.59,184.73
17.84,Traffic 4,2.148,True,0,-408.07,9.01,536.60
19.58,Traffic 1,2.687,True,0,539.56,31.58,-420.01
19.58,Traffic 2,2.210,True,0,76.24,44.31,-285.56
19.58,Traffic 3,2.673,True,0,-628.85,9.66,213.28
19.58,Traffic 4,2.156,True,0,-458.16,8.71,538.41
21.52,Traffic 1,2.606,True,0,536.72,33.69,-449.50
21.52,Traffic 2,2.482,True,0,106.21,39.81,-290.29
21.52,Traffic 3,2.687,True,0,-629.27,9.72,244.76
21.52,Traffic 4,2.151,True,0,-513.35,8.79,540.78
23.52,Traffic 1,2.583,True,0,529.61,31.01,-479.55
23.52,Traffic 2,2.635,True,0,136.77,37.75,-298.53
23.52,Traffic 3,2.682,True,0,-629.85,9.76,277.44
23.52,Traffic 4,2.223,True,0,-567.40,8.74,543.54
25.52,Traffic 1,2.565,True,0,518.88,25.75,-508.15
25.52,Traffic 2,2.630,True,0,164.80,41.99,-307.64
25.52,Traffic 3,2.677,True,0,-630.38,9.77,310.12
25.52,Traffic 4,2.248,True,0,-595.62,8.74,539.68
27.48,Traffic 1,2.499,True,0,502.69,23.27,-532.96
27.48,Traffic 2,2.609,True,0,192.91,46.37,-319.63
27.48,Traffic 3,2.670,True,0,-630.62,9.76,342.25
27.48,Traffic 4,3.185,True,0,-609.34,8.56,524.81
29.48,Traffic 1,2.281,True,0,486.08,23.51,-542.74
29.48,Traffic 2,2.519,True,0,220.29,44.98,-335.72
29.48,Traffic 3,2.659,True,0,-630.20,9.72,374.92
29.48,Traffic 4,2.280,True,0,-614.47,8.74,491.68
31.48,Traffic 1,1.149,True,0,468.50,26.72,-524.06
31.48,Traffic 2,2.636,True,0,245.61,40.08,-354.44
31.48,Traffic 3,2.639,True,0,-628.42,9.63,407.55
31.48,Traffic 4,2.729,True,0,-624.71,9.18,459.73
33.48,Traffic 1,2.909,True,0,455.42,30.25,-496.58
33.48,Traffic 2,2.691,True,0,271.16,35.82,-372.90
33.48,Traffic 3,2.590,True,0,-623.95,9.40,439.90
33.48,Traffic 4,2.787,True,0,-631.45,9.52,426.88
35.48,Traffic 1,2.674,True,0,438.37,34.00,-471.36
35.48,Traffic 2,2.721,True,0,298.37,38.86,-388.27
35.48,Traffic 3,2.577,True,0,-616.00,9.00,471.57
35.48,Traffic 4,2.764,True,0,-634.69,9.68,393.51
37.48,Traffic 1,2.686,True,0,421.29,37.54,-446.10
37.48,Traffic 2,2.767,True,0,327.96,42.06,-397.29
37.48,Traffic 3,2.532,True,0,-606.25,8.63,502.75
37.48,Traffic 4,2.717,True,0,-635.73,9.75,360.01
39.48,Traffic 1,2.781,True,0,402.70,38.07,-421.42
39.48,Traffic 2,3.020,True,0,358.17,33.04,-395.55
39.48,Traffic 3,3.278,True,0,-602.67,8.59,526.41
39.48,Traffic 4,2.698,True,0,-635.77,9.77,326.48
41.48,Traffic 1,2.689,True,0,382.30,31.64,-398.99
41.48,Traffic 2,1.567,True,0,385.02,33.27,-406.91
41.48,Traffic 3,0.753,True,0,-579.74,8.74,540.77
41.48,Traffic 4,2.688,True,0,-635.33,9.77,292.96
43.48,Traffic 1,3.356,True,0,355.33,33.84,-389.37
43.48,Traffic 2,2.687,True,0,403.74,38.70,-431.27
43.48,Traffic 3,2.259,True,0,-526.73,8.74,537.58
43.48,Traffic 4,2.682,True,0,-634.74,9.74,259.44
45.48,Traffic 1,2.798,True,0,326.66,42.34,-391.80
45.48,Traffic 2,2.611,True,0,422.53,36.56,-456.91
45.48,Traffic 3,2.223,True,0,-470.91,8.66,534.61
45.48,Traffic 4,2.676,True,0,-634.19,9.68,225.92
47.48,Traffic 1,2.254,True,0,297.77,38.17,-382.62
47.48,Traffic 2,2.662,True,0,440.03,32.59,-483.23
47.48,Traffic 3,2.128,True,0,-415.07,8.97,532.79
47.48,Traffic 4,2.676,True,0,-633.82,9.61,192.40
49.48,Traffic 1,2.638,True,0,271.46,36.05,-366.89
49.48,Traffic 2,2.597,True,0,457.01,28.85,-509.90
49.48,Traffic 3,2.154,True,0,-359.25,9.33,530.67
49.48,Traffic 4,2.684,True,0,-633.38,9.51,158.87
51.48,Traffic 1,2.605,True,0,246.93,40.43,-349.08
51.48,Traffic 2,2.542,True,0,471.32,25.36,-535.53
51.48,Traffic 3,2.160,True,0,-303.41,9.60,528.83
51.48,Traffic 4,2.681,True,0,-632.84,9.39,125.36
53.48,Traffic 1,2.705,True,0,222.61,45.06,-331.18
53.48,Traffic 2,2.105,True,0,485.66,23.49,-546.91
53.48,Traffic 3,2.170,True,0,-247.53,9.61,527.67
53.48,Traffic 4,2.681,True,0,-632.25,9.25,91.85
55.40,Traffic 1,2.823,True,0,197.34,46.52,-315.98
55.40,Traffic 2,4.104,True,0,508.12,23.30,-536.59
55.40,Traffic 3,2.159,True,0,-193.97,9.33,527.19
55.40,Traffic 4,1.429,True,0,-630.34,9.12,59.91
57.40,Traffic 1,2.778,True,0,169.16,42.48,-303.67
57.40,Traffic 2,2.786,True,0,524.04,25.89,-509.43
57.40,Traffic 3,2.155,True,0,-138.03,8.93,527.04
57.40,Traffic 4,7.040,True,0,-621.46,8.96,27.87
59.40,Traffic 1,2.738,True,0,140.10,37.90,-294.04
59.40,Traffic 2,2.809,True,0,534.79,31.09,-480.46
59.40,Traffic 3,2.152,True,0,-82.09,8.63,527.04
59.40,Traffic 4,6.194,True,0,-621.69,8.83,-5.66
61.40,Traffic 1,2.697,True,0,110.39,39.37,-286.11
61.40,Traffic 2,2.737,True,0,541.91,33.69,-449.79
61.40,Traffic 3,2.145,True,0,-26.17,8.52,526.78
61.40,Traffic 4,6.253,True,0,-621.04,8.70,-39.17
63.26,Traffic 1,2.733,True,0,82.68,43.56,-281.20
63.26,Traffic 2,2.828,True,0,544.90,31.60,-420.38
63.26,Traffic 3,2.201,True,0,25.40,8.63,527.93
63.26,Traffic 4,6.253,True,0,-620.53,8.58,-70.36
65.04,Traffic 1,2.932,True,0,55.26,43.47,-283.17
65.04,Traffic 2,2.700,True,0,545.96,28.16,-392.04
65.04,Traffic 3,2.810,True,0,69.26,9.54,537.64
65.04,Traffic 4,6.256,True,0,-620.08,8.47,-100.42
66.78,Traffic 1,3.171,True,0,32.99,36.87,-296.38
66.78,Traffic 2,2.623,True,0,547.97,25.67,-364.55
66.78,Traffic 3,1.784,True,0,116.16,9.78,543.73
66.78,Traffic 4,6.257,True,0,-619.66,8.37,-129.59
68.66,Traffic 1,3.046,True,0,17.99,36.37,-320.75
68.66,Traffic 2,2.514,True,0,553.75,25.24,-335.39
