time,vehicle,lap,gate,speed,recoveries,misses,x,y,z
3.015,original,0,0,0.00,0,0,116.08,9.77,543.18
3.015,tourer,0,0,0.00,0,0,107.82,9.77,547.09
3.015,moto,0,0,0.00,0,0,101.14,9.60,542.22
3.015,atv,0,0,0.00,0,0,93.81,9.58,546.07
4.240,original,0,0,14.84,0,0,106.25,9.76,544.57
4.240,tourer,0,0,14.15,0,0,98.40,9.74,547.39
4.240,moto,0,0,18.54,0,0,88.75,9.56,541.21
4.240,atv,0,1,17.44,0,0,82.17,9.52,544.84
6.240,original,0,1,28.14,0,0,63.16,9.46,546.41
6.240,tourer,0,1,28.84,0,0,54.78,9.20,539.89
6.240,moto,0,1,-21.83,0,0,72.96,9.34,540.70
6.240,atv,0,1,34.12,0,0,29.78,8.48,533.49
8.240,original,0,1,36.50,0,0,-1.12,8.54,534.55
8.240,tourer,0,1,37.08,0,0,-10.76,8.52,530.25
8.240,moto,0,1,-11.82,0,0,74.83,9.09,563.99
8.240,atv,0,1,39.94,0,0,-47.13,8.39,532.80
10.240,original,0,1,40.89,0,0,-79.02,8.62,534.97
10.240,tourer,0,1,41.86,0,0,-90.20,8.65,531.18
10.240,moto,0,1,-10.59,0,0,61.11,9.20,547.61
10.240,atv,0,1,24.52,0,0,-93.02,8.10,514.59
12.240,original,0,2,43.16,0,0,-163.34,9.12,535.04
12.240,tourer,0,2,34.53,0,0,-168.01,9.15,531.23
12.240,moto,0,1,9.90,0,0,63.72,9.16,550.16
12.240,atv,0,5,21.41,0,0,-103.79,9.38,468.40
14.240,original,0,2,38.18,0,0,-248.36,9.61,535.92
14.240,tourer,0,2,30.11,0,0,-231.81,9.55,531.61
14.240,moto,0,1,0.42,0,0,75.22,9.03,560.96
14.240,atv,0,5,34.62,0,0,-124.02,11.96,415.85
16.240,original,0,2,30.50,0,0,-315.69,9.56,537.38
16.240,tourer,0,2,29.07,0,0,-290.80,9.64,532.58
16.240,moto,0,1,-4.52,0,0,71.39,9.00,558.38
16.240,atv,0,5,42.43,0,0,-175.81,14.57,358.74
18.240,original,0,2,28.07,0,0,-373.52,9.24,539.40
18.240,tourer,0,2,28.78,0,0,-348.61,9.40,534.32
18.240,moto,0,1,9.86,0,0,77.63,9.53,549.86
18.240,atv,0,5,46.93,0,0,-251.55,16.45,310.51
20.240,original,0,3,0.00,0,0,-425.06,8.94,528.61
20.240,tourer,0,3,28.71,0,0,-406.04,9.03,536.44
20.240,moto,0,1,28.73,0,0,46.24,8.74,534.32
20.240,atv,0,5,29.44,0,0,-320.96,17.60,259.87
22.240,original,0,3,21.36,0,0,-449.08,8.76,530.03
22.240,tourer,0,3,34.81,0,0,-467.27,8.66,543.49
22.240,moto,0,1,42.10,0,0,-26.01,8.37,530.71
22.240,atv,0,5,20.65,0,0,-358.72,12.70,230.83
24.240,original,0,3,32.68,0,0,-502.24,8.74,544.79
24.240,tourer,0,3,30.34,0,0,-533.62,8.74,546.16
24.240,moto,0,1,24.47,0,0,-88.96,8.35,517.59
24.240,atv,0,5,35.75,0,0,-405.15,13.09,196.28
26.240,original,0,3,24.00,0,0,-565.36,8.68,547.61
26.240,tourer,0,3,17.20,0,0,-578.77,8.73,546.10
26.240,moto,0,5,36.57,0,0,-106.14,10.63,457.77
26.240,atv,0,5,44.07,0,0,-472.76,11.36,152.11
28.240,original,0,3,9.79,0,0,-598.46,8.74,541.00
28.240,tourer,0,4,18.08,0,0,-605.77,8.61,526.29
