time,vehicle,lap,gate,speed,recoveries,misses,x,y,z
3.009,original,0,0,0.00,0,0,322.06,9.78,544.06
3.009,tourer,0,0,0.00,0,0,318.01,11.28,535.88
3.009,moto,0,0,0.00,0,0,322.38,12.47,528.99
3.009,atv,0,0,0.00,0,0,317.80,13.85,522.23
5.000,original,0,0,18.98,0,0,322.66,13.79,523.12
5.000,tourer,0,0,17.89,0,0,318.18,15.22,516.41
5.000,moto,0,1,23.97,0,0,321.63,18.04,502.63
5.000,atv,0,1,22.23,0,0,317.52,19.20,497.70
7.000,original,0,1,28.37,0,0,321.62,24.74,475.82
7.000,tourer,0,1,27.49,0,0,317.14,25.97,471.18
7.000,moto,0,1,31.54,0,0,320.98,32.88,445.30
7.000,atv,0,1,31.44,0,0,317.04,33.47,443.21
9.000,original,0,1,31.22,0,0,321.24,40.93,417.09
9.000,tourer,0,1,31.23,0,0,316.90,41.99,413.32
9.000,moto,0,1,31.54,0,0,320.99,49.75,384.54
9.000,atv,0,1,31.46,0,0,317.10,50.26,382.59
11.000,original,0,1,31.25,0,0,321.57,57.24,356.78
11.000,tourer,0,1,31.27,0,0,317.62,58.25,352.96
11.000,moto,0,1,31.55,0,0,322.20,65.99,323.59
11.000,atv,0,1,31.47,0,0,318.40,66.44,321.77
13.000,original,0,1,31.28,0,0,323.58,73.07,296.35
13.000,tourer,0,1,31.31,0,0,319.75,73.91,292.44
13.000,moto,0,2,31.79,0,0,327.82,79.85,262.29
13.000,atv,0,2,31.81,0,0,324.29,79.98,260.57
15.000,original,0,2,34.13,0,0,335.05,82.66,234.34
15.000,tourer,0,2,34.66,0,0,332.51,82.77,230.15
15.000,moto,0,2,28.83,0,0,354.10,82.42,200.89
15.000,atv,0,2,24.97,0,0,348.89,82.49,200.53
17.000,original,0,2,28.09,0,0,369.29,80.10,189.97
17.000,tourer,0,2,28.60,0,0,366.99,80.35,187.41
17.000,moto,0,2,34.71,0,0,404.24,76.56,170.54
17.000,atv,0,2,28.68,0,0,388.87,76.93,183.87
19.000,original,0,2,31.50,0,0,418.72,78.81,158.12
19.000,tourer,0,2,30.26,0,0,414.90,77.81,164.82
19.000,moto,0,2,32.78,0,0,443.58,85.38,119.61
19.000,atv,0,2,30.03,0,0,425.93,80.14,151.28
21.000,original,0,3,0.00,0,0,447.66,86.42,110.69
21.000,tourer,0,2,29.39,0,0,452.31,86.29,115.44
21.000,moto,0,3,31.97,0,0,467.00,80.78,63.11
21.000,atv,0,3,30.05,0,0,455.70,86.45,97.31
23.000,original,0,3,21.38,0,0,459.03,85.88,90.32
23.000,tourer,0,3,31.82,0,0,473.05,79.85,58.32
23.000,moto,0,3,31.67,0,0,472.48,82.04,-2.10
23.000,atv,0,3,21.45,0,0,472.37,77.46,39.33
25.000,original,0,3,34.55,0,0,473.34,77.36,35.29
25.000,tourer,0,3,31.47,0,0,476.71,82.99,-6.23
25.000,moto,0,3,37.50,0,0,479.57,89.07,-66.66
25.000,atv,0,3,27.63,0,0,471.30,82.50,-4.12
27.000,original,0,3,31.42,0,0,473.78,86.93,-26.96
27.000,tourer,0,3,35.43,0,0,485.27,89.33,-69.79
27.000,moto,0,4,29.94,0,0,512.65,83.08,-131.10
27.000,atv,0,3,36.72,0,0,479.80,89.07,-66.98
29.000,original,0,3,36.73,0,0,492.29,89.14,-90.36
29.000,tourer,0,4,29.85,0,0,515.54,82.82,-131.57
29.000,moto,0,4,31.78,0,0,535.15,57.31,-184.09
29.000,atv,0,4,29.97,0,0,512.29,83.27,-130.45
31.000,original,0,4,31.95,0,0,523.42,77.14,-146.30
31.000,tourer,0,4,31.97,0,0,538.26,56.67,-184.43
31.000,moto,0,4,31.95,0,0,554.06,32.82,-239.37
31.000,atv,0,4,31.87,0,0,534.86,57.73,-183.38
33.000,original,0,4,31.99,0,0,544.70,48.22,-198.95
33.000,tourer,0,4,31.92,0,0,557.09,32.66,-239.90
33.000,moto,0,6,37.29,0,0,558.22,26.23,-301.07
33.000,atv,0,4,22.16,0,0,551.19,35.42,-229.77
35.000,original,0,6,25.78,0,0,557.40,29.99,-257.20
35.000,tourer,0,6,34.22,0,0,558.07,26.48,-299.84
35.000,moto,0,6,46.36,0,0,541.24,27.04,-384.37
35.000,atv,0,6,29.13,0,0,559.62,28.19,-277.67
37.000,original,0,6,36.13,0,0,554.42,25.50,-319.68
37.000,tourer,0,6,40.26,0,0,542.17,26.13,-373.53
37.000,moto,0,6,34.73,0,0,534.99,33.01,-463.67
37.000,atv,0,6,40.88,0,0,547.40,25.04,-347.90
39.000,original,0,6,40.14,0,0,540.83,28.50,-395.24
39.000,tourer,0,6,32.98,0,0,537.68,33.77,-450.86
39.000,moto,0,6,33.68,0,0,511.50,23.72,-523.43
39.000,atv,0,6,38.27,0,0,543.52,31.76,-422.84
41.000,original,0,6,34.42,0,0,533.87,32.68,-468.32
41.000,tourer,0,6,32.15,0,0,518.11,25.09,-512.20
41.000,moto,0,6,20.60,0,0,478.17,24.22,-540.93
41.000,atv,0,6,31.90,0,0,531.28,29.49,-489.36
43.000,original,0,6,29.69,0,0,509.67,23.63,-526.72
43.000,tourer,0,6,14.09,0,0,488.52,23.27,-543.39
43.000,moto,0,6,35.44,0,0,451.30,30.82,-491.57
43.000,atv,0,6,21.29,0,0,503.36,22.97,-538.63
45.000,original,0,6,16.72,0,0,481.01,23.93,-543.68
45.000,tourer,0,6,24.91,0,0,464.49,27.58,-518.11
