time,speed,travel,x,y,z,grounded,lift,torque,contact
0.020,23.774,0.475,-628.512,8.192,-149.557,4,7.800,0.076,"Ground_80_320:(0.00, 1.00, 0.00)"
0.040,23.787,0.951,-628.520,8.191,-149.081,4,8.305,0.047,"Ground_80_240:(0.00, 1.00, 0.00)"
0.060,23.798,1.427,-628.528,8.189,-148.605,4,8.774,0.023,"Ground_80_240:(0.00, 1.00, 0.00)"
0.080,23.808,1.903,-628.536,8.187,-148.129,4,9.205,0.004,"Ground_80_240:(0.00, 1.00, 0.00)"
0.100,23.817,2.379,-628.544,8.185,-147.653,4,9.588,0.011,"Ground_80_240:(0.00, 1.00, 0.00)"
0.120,23.825,2.856,-628.551,8.183,-147.177,4,9.919,0.022,"Ground_80_240:(0.00, 1.00, 0.00)"
0.140,23.833,3.332,-628.559,8.181,-146.700,4,10.195,0.029,"Ground_80_240:(0.00, 1.00, 0.00)"
0.160,23.839,3.809,-628.567,8.179,-146.223,4,10.417,0.035,"Ground_80_240:(0.00, 1.00, 0.00)"
0.180,23.845,4.286,-628.575,8.178,-145.747,4,10.586,0.038,"Ground_80_240:(0.00, 1.00, 0.00)"
0.200,23.850,4.763,-628.583,8.177,-145.270,4,10.705,0.039,"Ground_80_240:(0.00, 1.00, 0.00)"
0.220,23.855,5.240,-628.591,8.176,-144.793,4,10.779,0.039,"Ground_80_240:(0.00, 1.00, 0.00)"
0.240,23.859,5.717,-628.599,8.176,-144.316,4,10.813,0.038,"Ground_80_240:(0.00, 1.00, 0.00)"
0.260,23.863,6.194,-628.606,8.176,-143.839,4,10.811,0.036,"Ground_80_240:(0.00, 1.00, 0.00)"
0.280,23.866,6.672,-628.614,8.176,-143.361,4,10.780,0.034,"Ground_80_240:(0.00, 1.00, 0.00)"
0.300,23.869,7.149,-628.622,8.177,-142.884,4,10.725,0.031,"Ground_80_240:(0.00, 1.00, 0.00)"
0.320,23.872,7.626,-628.630,8.178,-142.407,4,10.651,0.029,"Ground_80_240:(0.00, 1.00, 0.00)"
0.340,23.874,8.104,-628.638,8.180,-141.929,4,10.564,0.026,"Ground_80_240:(0.00, 1.00, 0.00)"
0.360,23.876,8.581,-628.646,8.182,-141.452,4,10.468,0.023,"Ground_80_240:(0.00, 1.00, 0.00)"
0.380,23.878,9.059,-628.654,8.184,-140.975,4,10.367,0.020,"Ground_80_240:(0.00, 1.00, 0.00)"
0.400,23.880,9.536,-628.662,8.186,-140.497,4,10.266,0.017,"Ground_80_240:(0.00, 1.00, 0.00)"
0.420,23.881,10.014,-628.669,8.188,-140.019,4,10.167,0.014,"Ground_80_240:(0.00, 1.00, 0.00)"
0.440,23.882,10.492,-628.677,8.191,-139.542,4,10.072,0.012,"Ground_80_240:(0.00, 1.00, 0.00)"
0.460,23.884,10.969,-628.685,8.193,-139.064,4,9.984,0.010,"Ground_80_240:(0.00, 1.00, 0.00)"
0.480,23.885,11.447,-628.693,8.196,-138.587,4,9.904,0.008,"Ground_80_240:(0.00, 1.00, 0.00)"
