course,vehicle,speed,line,seconds,travel,air,minUp,recovered,outcome,scoredDistance,scoredAirtime,awards
Forest Loop Reverse,moto,12,-1.5,13.560,150.197,1.320,0.911,True,completed,14.936,1.320,0
Forest Loop Reverse,moto,12,-3,13.540,150.107,1.280,0.932,True,completed,14.527,1.280,0
Forest Loop Reverse,moto,12,0,13.500,150.073,1.380,0.888,True,completed,15.432,1.380,0
Forest Loop Reverse,moto,12,-4.7,13.640,150.177,1.440,0.285,True,completed,0.000,0.000,0
Forest Loop Reverse,moto,12,1.7,16.520,150.221,2.360,0.159,True,completed,3.796,0.300,0
Forest Loop Reverse,moto,24,-1.5,7.800,150.021,2.020,0.943,True,completed,44.889,2.020,0
Forest Loop Reverse,moto,24,-3,7.460,150.205,2.060,0.933,True,completed,45.568,2.060,0
Forest Loop Reverse,moto,24,0,8.460,150.190,2.020,0.944,True,completed,44.856,2.020,0
Forest Loop Reverse,moto,24,-4.7,9.440,150.014,2.000,-0.953,True,completed,0.000,0.000,0
Forest Loop Reverse,moto,24,1.7,7.360,150.289,2.460,0.792,True,completed,0.000,0.000,0
Forest Loop Reverse,moto,36,-1.5,5.500,165.714,2.540,0.958,True,completed,84.004,2.540,0
Forest Loop Reverse,moto,36,-3,5.500,165.710,2.540,0.958,True,completed,84.001,2.540,0
Forest Loop Reverse,moto,36,0,5.500,165.720,2.540,0.958,True,completed,84.005,2.540,0
Forest Loop Reverse,moto,36,-4.7,5.160,150.212,2.500,-0.886,True,completed,0.000,0.000,0
Forest Loop Reverse,moto,36,1.7,8.360,150.704,2.680,-0.956,True,completed,0.000,0.000,0
Forest Loop Reverse,atv,12,-1.5,13.680,150.066,1.340,0.929,True,completed,14.261,1.260,0
Forest Loop Reverse,atv,12,-3,13.560,150.091,1.460,0.907,True,completed,14.863,1.320,0
Forest Loop Reverse,atv,12,0,13.600,150.213,1.280,0.924,True,completed,14.417,1.280,0
Forest Loop Reverse,atv,12,-4.7,13.420,150.113,1.400,0.311,True,completed,0.000,0.000,0
Forest Loop Reverse,atv,12,1.7,13.640,150.056,1.740,0.313,True,completed,0.000,0.000,0
Forest Loop Reverse,atv,24,-1.5,8.520,150.324,2.040,0.937,True,completed,45.054,2.040,0
Forest Loop Reverse,atv,24,-3,8.640,150.067,2.060,0.934,True,completed,45.408,2.060,0
Forest Loop Reverse,atv,24,0,7.280,150.254,2.040,0.937,True,completed,45.039,2.040,0
Forest Loop Reverse,atv,24,-4.7,7.280,150.323,1.820,0.065,True,completed,0.000,0.000,0
Forest Loop Reverse,atv,24,1.7,7.320,150.292,2.160,-0.855,True,completed,0.000,0.000,0
Forest Loop Reverse,atv,36,-1.5,5.500,165.216,2.540,0.961,True,completed,83.658,2.540,0
Forest Loop Reverse,atv,36,-3,5.500,165.221,2.540,0.962,True,completed,83.660,2.540,0
Forest Loop Reverse,atv,36,0,5.500,165.215,2.540,0.961,True,completed,83.658,2.540,0
Forest Loop Reverse,atv,36,-4.7,5.300,154.691,2.600,-0.540,True,completed,82.036,2.600,0
Forest Loop Reverse,atv,36,1.7,5.080,150.601,2.300,-0.925,True,completed,75.247,2.300,0
