time,vehicle,lap,gate,speed,recoveries,misses,x,y,z
3.016,original,0,0,0.00,0,0,322.06,9.78,544.06
3.016,tourer,0,0,0.00,0,0,318.01,11.28,535.88
3.016,moto,0,0,0.00,0,0,322.38,12.47,528.99
3.016,atv,0,0,0.00,0,0,317.80,13.85,522.23
5.000,original,0,0,18.98,0,0,322.66,13.79,523.12
5.000,tourer,0,0,17.89,0,0,318.18,15.22,516.41
5.000,moto,0,1,23.97,0,0,321.63,18.04,502.63
5.000,atv,0,1,22.23,0,0,317.52,19.20,497.70
7.000,original,0,1,28.37,0,0,321.62,24.74,475.82
7.000,tourer,0,1,27.49,0,0,317.14,25.97,471.18
7.000,moto,0,1,31.54,0,0,320.98,32.88,445.30
7.000,atv,0,1,31.44,0,0,317.04,33.47,443.21
9.000,original,0,1,31.22,0,0,321.24,40.93,417.09
9.000,tourer,0,1,31.23,0,0,316.90,41.99,413.32
9.000,moto,0,1,31.54,0,0,320.99,49.75,384.54
9.000,atv,0,1,31.46,0,0,317.10,50.26,382.59
11.000,original,0,1,31.25,0,0,321.57,57.24,356.78
11.000,tourer,0,1,31.27,0,0,317.62,58.25,352.96
11.000,moto,0,1,31.55,0,0,322.20,65.99,323.59
11.000,atv,0,1,31.47,0,0,318.40,66.44,321.77
13.000,original,0,1,31.28,0,0,323.58,73.07,296.35
13.000,tourer,0,1,31.31,0,0,319.75,73.91,292.44
13.000,moto,0,2,31.79,0,0,327.82,79.85,262.29
13.000,atv,0,2,31.81,0,0,324.29,79.98,260.57
15.000,original,0,2,34.13,0,0,335.08,82.66,234.35
15.000,tourer,0,2,34.65,0,0,332.51,82.77,230.15
15.000,moto,0,2,28.83,0,0,354.10,82.42,200.89
15.000,atv,0,2,24.49,0,0,348.21,82.51,201.33
17.000,original,0,2,28.34,0,0,369.38,80.08,189.94
17.000,tourer,0,2,28.60,0,0,366.99,80.35,187.39
17.000,moto,0,2,34.70,0,0,404.24,76.56,170.54
17.000,atv,0,2,29.26,0,0,389.01,76.91,183.78
19.000,original,0,2,30.52,0,0,417.92,78.64,159.15
19.000,tourer,0,2,29.30,0,0,414.31,77.74,165.12
19.000,moto,0,2,32.78,0,0,443.58,85.38,119.61
19.000,atv,0,2,28.97,0,0,425.17,79.94,152.38
21.000,original,0,3,0.00,0,0,443.01,85.68,118.35
21.000,tourer,0,2,29.22,0,0,450.75,86.20,115.88
21.000,moto,0,3,31.97,0,0,467.00,80.78,63.11
21.000,atv,0,3,29.62,0,0,454.91,86.54,98.80
23.000,original,0,3,19.98,0,0,454.50,86.69,100.53
23.000,tourer,0,3,31.77,0,0,472.60,80.03,59.26
23.000,moto,0,3,31.67,0,0,472.51,82.04,-2.10
23.000,atv,0,3,22.17,0,0,472.18,77.53,40.71
25.000,original,0,3,32.53,0,0,469.44,78.48,48.82
25.000,tourer,0,3,31.47,0,0,476.80,82.78,-5.21
25.000,moto,0,3,37.50,0,0,479.56,89.07,-66.65
25.000,atv,0,3,27.18,0,0,471.41,82.09,-2.11
27.000,original,0,3,31.34,0,0,473.82,84.62,-14.13
27.000,tourer,0,3,35.38,0,0,484.81,89.31,-68.77
27.000,moto,0,4,29.94,0,0,512.65,83.09,-131.09
27.000,atv,0,3,36.38,0,0,478.79,88.99,-64.48
29.000,original,0,3,35.75,0,0,484.24,89.38,-77.77
29.000,tourer,0,4,29.86,0,0,514.43,83.01,-131.24
29.000,moto,0,4,31.78,0,0,535.15,57.31,-184.08
29.000,atv,0,4,30.20,0,0,510.78,83.76,-128.90
31.000,original,0,4,30.29,0,0,515.53,81.32,-137.24
31.000,tourer,0,4,31.84,0,0,537.09,57.07,-184.10
31.000,moto,0,4,31.95,0,0,554.06,32.82,-239.36
31.000,atv,0,4,30.83,0,0,533.76,59.58,-180.15
33.000,original,0,4,31.81,0,0,538.47,53.93,-189.77
33.000,tourer,0,4,31.81,0,0,555.99,32.81,-239.45
33.000,moto,0,6,37.29,0,0,558.48,26.24,-301.07
33.000,atv,0,4,20.26,0,0,550.44,36.27,-226.99
35.000,original,0,4,31.75,0,0,555.35,31.52,-246.35
35.000,tourer,0,6,34.12,0,0,558.34,26.51,-299.45
35.000,moto,0,6,46.35,0,0,541.22,27.03,-384.31
35.000,atv,0,6,27.99,0,0,559.44,28.48,-273.64
37.000,original,0,6,34.68,0,0,557.44,26.06,-306.56
37.000,tourer,0,6,40.21,0,0,542.20,26.09,-372.92
37.000,moto,0,6,34.48,0,0,534.97,33.00,-463.78
37.000,atv,0,6,40.39,0,0,548.26,25.00,-342.27
39.000,original,0,6,39.59,0,0,541.86,26.71,-380.15
39.000,tourer,0,6,33.10,0,0,537.77,33.77,-450.28
39.000,moto,0,6,33.64,0,0,511.43,23.72,-523.54
39.000,atv,0,6,37.65,0,0,542.23,31.12,-417.25
41.000,original,0,6,33.17,0,0,540.77,33.70,-455.27
41.000,tourer,0,6,32.06,0,0,518.37,25.18,-511.69
41.000,moto,0,6,20.73,0,0,477.92,24.25,-540.77
41.000,atv,0,6,31.91,0,0,531.02,30.23,-484.75
43.000,original,0,6,32.50,0,0,517.87,24.72,-515.21
43.000,tourer,0,6,14.25,0,0,488.83,23.25,-543.34
43.000,moto,0,6,35.53,0,0,451.02,30.88,-491.09
43.000,atv,0,6,22.55,0,0,503.07,23.02,-535.59
45.000,original,0,6,14.49,0,0,488.70,23.26,-544.14
45.000,tourer,0,6,24.80,0,0,464.67,27.51,-518.61
45.000,moto,0,6,25.95,0,0,410.52,38.57,-433.02
45.000,atv,0,6,22.99,0,0,471.82,25.25,-534.92
47.000,original,0,6,25.78,0,0,463.88,27.77,-516.56
47.000,tourer,0,6,32.98,0,0,435.65,34.51,-468.45
47.000,moto,0,6,26.48,0,0,372.15,30.38,-393.47
47.000,atv,0,6,35.35,0,0,440.47,32.20,-484.64
49.000,original,0,6,33.40,0,0,433.57,34.98,-465.42
49.000,tourer,0,6,26.45,0,0,400.87,37.86,-420.45
49.000,moto,0,6,18.26,0,0,326.40,42.29,-391.58
49.000,atv,0,6,25.03,0,0,402.66,38.56,-430.32
51.000,original,0,6,27.24,0,0,398.98,37.42,-418.24
51.000,tourer,0,6,24.16,0,0,361.45,32.02,-389.95
51.000,moto,0,6,33.17,0,0,282.63,35.45,-375.67
51.000,atv,0,6,13.94,0,0,366.96,30.66,-396.27
53.000,original,0,6,25.46,0,0,358.10,32.84,-389.75
53.000,tourer,0,6,18.58,0,0,320.01,42.78,-391.77
53.000,moto,0,6,31.68,0,0,230.45,43.51,-337.99
53.000,atv,0,6,18.34,0,0,332.18,41.09,-395.23
55.000,original,0,6,19.14,0,0,317.73,42.74,-393.65
55.000,tourer,0,6,33.08,0,0,273.25,35.63,-369.65
55.000,moto,0,8,31.80,0,0,175.59,43.67,-306.93
55.000,atv,0,6,29.25,0,0,290.14,36.63,-384.08
57.000,original,0,6,30.64,0,0,271.19,35.73,-369.51
57.000,tourer,0,6,32.09,0,0,222.54,45.05,-332.16
57.000,moto,0,8,33.56,0,0,111.84,38.91,-286.77
57.000,atv,0,6,26.21,0,0,257.34,38.05,-357.71
59.000,original,0,6,31.73,0,0,220.59,45.17,-333.29
59.000,tourer,0,8,31.78,0,0,167.11,42.18,-303.57
59.000,moto,0,8,22.23,0,0,60.53,44.17,-283.03
59.000,atv,0,8,30.46,0,0,207.91,46.51,-322.86
61.000,original,0,8,31.78,0,0,165.40,41.94,-304.53
61.000,tourer,0,8,31.69,0,0,103.76,40.24,-285.34
61.000,moto,0,8,36.14,0,0,16.37,36.12,-320.10
61.000,atv,0,8,31.92,0,0,149.72,38.88,-299.27
63.000,original,0,8,31.03,0,0,108.14,39.55,-287.05
63.000,tourer,0,8,23.74,0,0,55.38,43.48,-283.92
63.000,moto,0,8,34.37,0,0,1.03,39.42,-388.99
63.000,atv,0,8,30.53,0,0,99.00,40.81,-286.04
65.000,original,0,8,22.65,0,0,58.45,44.03,-283.23
65.000,tourer,0,8,34.39,0,0,16.11,36.64,-324.23
65.000,moto,0,8,38.59,0,0,-5.31,31.31,-455.28
65.000,atv,0,8,26.48,0,0,51.01,42.22,-286.87
67.000,original,0,8,22.44,0,0,24.98,35.51,-312.05
67.000,tourer,0,8,33.62,0,0,0.65,39.40,-390.58
67.000,moto,0,8,31.57,0,0,-8.74,36.58,-530.49
67.000,atv,0,8,22.01,0,0,20.16,35.82,-317.38
69.000,original,0,8,32.07,0,0,9.03,40.73,-365.36
69.000,tourer,0,8,36.29,0,0,-5.26,31.36,-455.76
69.000,moto,0,8,35.89,0,0,-48.72,30.00,-576.96
69.000,atv,0,8,32.25,0,0,3.91,40.65,-372.77
71.000,original,0,8,32.38,0,0,0.11,33.57,-428.80
71.000,tourer,0,8,31.23,0,0,-7.93,36.77,-527.99
71.000,moto,0,8,40.79,0,0,-129.77,30.55,-579.59
71.000,atv,0,8,34.51,0,0,-4.09,32.34,-436.86
73.000,original,0,8,38.07,0,0,-2.04,34.91,-501.07
73.000,tourer,0,8,29.64,0,0,-39.78,30.29,-573.98
73.000,moto,0,11,45.05,0,0,-219.10,30.13,-579.70
73.000,atv,0,8,32.54,0,0,-5.60,33.94,-493.21
75.000,original,0,8,28.47,0,0,-17.83,32.92,-561.49
75.000,tourer,0,8,37.31,0,0,-106.75,30.69,-578.82
75.000,moto,0,11,31.69,0,0,-285.42,19.97,-571.41
75.000,atv,0,8,31.33,0,0,-18.13,33.56,-555.58
77.000,original,0,8,34.54,0,0,-72.70,30.38,-584.00
77.000,tourer,0,11,41.49,0,0,-185.65,31.55,-580.99
77.000,moto,0,11,35.37,0,0,-348.19,9.40,-561.63
77.000,atv,0,8,30.46,0,0,-64.79,30.12,-578.06
79.000,original,0,8,39.00,0,0,-147.00,31.14,-585.17
79.000,tourer,0,11,31.69,0,0,-260.51,24.80,-575.33
79.000,moto,0,11,46.19,0,0,-430.84,6.73,-552.97
79.000,atv,0,8,38.76,0,0,-136.63,30.72,-580.00
81.000,original,0,11,39.46,0,0,-228.10,29.56,-584.02
81.000,tourer,0,11,31.92,0,0,-322.32,13.27,-565.37
81.000,moto,0,11,51.21,0,0,-528.56,7.18,-547.96
81.000,atv,0,11,42.80,0,0,-221.02,30.00,-579.56
83.000,original,0,11,31.70,0,0,-291.98,19.01,-575.40
83.000,tourer,0,11,38.78,0,0,-391.24,6.97,-556.75
83.000,moto,0,11,13.76,0,0,-600.69,6.58,-548.44
83.000,atv,0,11,31.90,0,0,-286.61,19.74,-571.21
85.000,original,0,11,2.96,0,0,-344.82,10.12,-567.13
85.000,tourer,0,11,42.78,0,0,-473.03,7.59,-549.56
85.000,moto,0,11,23.46,0,0,-616.57,6.48,-527.00
85.000,atv,0,11,35.21,0,0,-349.45,9.26,-561.46
87.000,original,0,11,14.48,0,0,-359.13,8.61,-562.86
87.000,tourer,0,11,42.46,0,0,-560.74,7.01,-549.48
87.000,moto,0,11,39.14,0,0,-617.80,6.81,-462.66
87.000,atv,0,11,44.09,0,0,-429.67,6.72,-553.08
89.000,original,0,11,29.84,0,0,-404.69,6.81,-555.04
89.000,tourer,0,11,11.53,0,0,-606.71,6.74,-547.11
89.000,moto,0,11,47.48,0,0,-619.95,7.29,-375.12
89.000,atv,0,11,48.02,0,0,-521.97,7.25,-547.83
91.000,original,0,11,37.23,0,0,-472.48,7.58,-549.65
91.000,tourer,0,11,21.79,0,0,-616.22,6.64,-522.46
91.000,moto,0,11,51.94,0,0,-622.03,7.72,-275.21
91.000,atv,0,11,18.05,0,0,-596.22,6.62,-548.62
93.000,original,0,11,41.35,0,0,-551.38,7.10,-548.98
93.000,tourer,0,11,33.05,0,0,-617.76,6.94,-466.55
93.000,moto,0,11,54.29,0,0,-622.60,8.10,-168.72
93.000,atv,0,11,18.40,0,0,-615.85,6.39,-535.09
95.000,original,0,11,12.07,0,0,-604.13,6.74,-547.65
95.000,tourer,0,11,39.50,0,0,-619.60,7.35,-393.37
95.000,moto,0,12,52.97,0,0,-622.83,8.55,-60.70
95.000,atv,0,11,34.55,0,0,-616.94,6.71,-480.38
97.000,original,0,11,20.89,0,0,-616.43,6.63,-526.07
97.000,tourer,0,11,43.20,0,0,-621.33,7.73,-310.32
97.000,moto,0,12,53.89,0,0,-625.56,8.90,44.87
97.000,atv,0,11,43.05,0,0,-619.47,7.15,-401.83
99.000,original,0,11,32.53,0,0,-617.46,6.92,-471.37
99.000,tourer,0,11,45.32,0,0,-622.88,8.06,-221.60
99.000,moto,0,13,55.32,0,0,-629.17,9.34,154.15
99.000,atv,0,11,47.51,0,0,-621.32,7.58,-310.76
101.000,original,0,11,38.72,0,0,-619.50,7.31,-399.45
101.000,tourer,0,11,46.51,0,0,-622.41,8.38,-129.66
101.000,moto,0,13,56.13,0,0,-630.52,9.60,265.67
101.000,atv,0,11,49.86,0,0,-623.01,7.94,-213.13
103.000,original,0,11,42.02,0,0,-621.15,7.70,-318.35
103.000,tourer,0,12,44.84,0,0,-623.96,8.67,-38.47
103.000,moto,0,14,56.59,0,0,-631.06,9.57,378.43
103.000,atv,0,12,51.06,0,0,-622.85,8.30,-112.10
105.000,original,0,11,43.78,0,0,-622.72,8.02,-232.37
105.000,tourer,0,12,46.22,0,0,-625.62,9.09,52.67
105.000,moto,0,14,48.95,0,0,-615.79,8.79,476.32
105.000,atv,0,12,11.27,0,0,-615.37,8.21,-51.56
107.000,original,0,11,44.70,0,0,-622.27,8.33,-143.79
107.000,tourer,0,13,47.01,0,0,-629.15,9.46,145.90
107.000,moto,0,15,18.24,0,0,-600.87,8.53,531.06
107.000,atv,0,12,24.87,0,0,-623.28,8.65,-22.85
109.000,original,0,12,43.60,0,0,-622.51,8.90,-55.01
109.000,tourer,0,13,47.51,0,0,-630.10,9.71,240.47
109.000,moto,0,15,-8.11,0,0,-593.32,8.59,534.86
109.000,atv,0,12,37.88,0,0,-625.42,8.89,41.02
111.000,original,0,12,44.56,0,0,-625.59,9.01,33.15
111.000,tourer,0,14,47.58,0,0,-631.54,9.77,335.60
111.000,moto,0,15,9.89,0,0,-590.65,8.59,542.29
111.000,atv,0,13,44.80,0,0,-628.64,9.23,124.43
113.000,original,0,13,45.10,0,0,-628.59,9.38,122.82
113.000,tourer,0,14,42.71,0,0,-627.06,9.50,429.86
113.000,moto,0,15,30.95,0,0,-549.48,8.59,538.76
113.000,atv,0,13,48.45,0,0,-629.80,9.52,218.09
115.000,original,0,13,45.42,0,0,-629.73,9.66,213.36
115.000,tourer,0,14,30.58,0,0,-607.83,8.62,502.36
115.000,moto,0,15,43.22,0,0,-474.04,8.48,534.77
115.000,atv,0,14,50.38,0,0,-631.37,9.63,317.13
117.000,original,0,14,45.63,0,0,-631.20,9.77,304.42
117.000,tourer,0,15,18.58,0,0,-596.28,8.75,537.15
117.000,moto,0,15,49.65,0,0,-380.48,9.05,531.47
117.000,atv,0,14,46.79,0,0,-628.62,9.45,415.66
119.000,original,0,14,45.75,0,0,-630.30,9.67,395.79
119.000,tourer,0,15,30.59,0,0,-547.63,8.74,539.01
119.000,moto,0,16,53.08,0,0,-277.42,9.51,528.17
119.000,atv,0,14,32.57,0,0,-607.45,8.46,503.22
121.000,original,0,14,40.60,0,0,-613.25,8.82,484.36
121.000,tourer,0,15,38.20,0,0,-478.21,8.62,534.88
121.000,moto,0,16,53.22,0,0,-171.88,9.03,522.43
121.000,atv,0,15,23.13,0,0,-591.11,8.58,539.55
123.000,original,0,15,15.44,0,0,-601.57,8.68,530.45
123.000,tourer,0,15,42.44,0,0,-397.17,9.09,532.12
123.000,moto,0,17,38.08,0,0,-78.66,8.46,523.01
123.000,atv,0,15,36.84,0,0,-530.40,8.59,537.80
125.000,original,0,15,28.44,0,0,-561.18,8.74,540.60
125.000,tourer,0,16,44.86,0,0,-309.68,9.59,529.00
125.000,moto,0,17,29.16,0,0,-13.24,8.37,522.70
125.000,atv,0,15,44.32,0,0,-448.44,8.60,533.92
127.000,original,0,15,36.65,0,0,-495.37,8.64,535.64
127.000,tourer,0,16,46.34,0,0,-218.38,9.48,527.34
127.000,moto,0,17,25.29,0,0,40.94,8.61,525.73
127.000,atv,0,16,48.15,0,0,-355.57,9.21,530.54
129.000,original,0,15,40.94,0,0,-417.32,8.95,532.88
129.000,tourer,0,17,47.27,0,0,-124.68,8.84,527.03
129.000,moto,0,0,26.61,0,0,90.94,9.57,537.89
129.000,atv,0,16,50.20,0,0,-257.04,9.49,527.80
131.000,original,0,16,43.17,0,0,-333.01,9.48,529.75
131.000,tourer,0,17,47.65,0,0,-29.65,8.52,526.81
131.000,moto,0,0,26.58,0,0,144.01,9.59,540.92
131.000,atv,0,16,51.39,0,0,-155.33,8.91,527.05
133.000,original,0,16,44.43,0,0,-245.32,9.60,527.62
133.000,tourer,0,17,38.64,0,0,57.63,9.15,533.51
133.000,moto,0,0,26.56,0,0,196.75,9.21,546.76
133.000,atv,0,17,52.01,0,0,-51.83,8.40,526.93
135.000,original,0,16,45.20,0,0,-155.62,9.06,527.05
135.000,tourer,0,0,41.84,0,0,136.22,9.76,544.81
135.000,moto,0,0,29.71,0,0,246.76,8.66,559.74
135.000,atv,0,17,36.56,0,0,41.80,8.61,528.09
137.000,original,0,17,45.61,0,0,-64.75,8.58,527.00
137.000,tourer,0,0,41.10,0,0,221.34,9.13,554.10
137.000,moto,0,0,15.03,0,0,303.61,8.59,559.53
137.000,atv,0,0,29.08,0,0,105.15,9.61,539.02
139.000,original,0,17,43.73,0,0,26.35,8.63,527.92
139.000,tourer,0,0,26.10,0,0,292.15,8.70,564.86
139.000,moto,0,0,25.90,0,0,324.41,11.47,534.28
139.000,atv,0,0,27.06,0,0,160.64,9.53,542.24
141.000,original,0,0,40.71,0,0,104.61,9.76,543.61
141.000,tourer,0,0,15.00,0,0,318.16,8.70,555.63
141.000,moto,1,1,31.54,0,0,321.88,24.80,474.93
141.000,atv,0,0,26.27,0,0,213.66,9.00,549.33
143.000,original,0,0,43.14,0,0,188.45,9.46,549.47
143.000,tourer,0,0,26.56,0,0,323.48,15.66,514.05
143.000,moto,1,1,31.53,0,0,316.49,41.51,414.48
143.000,atv,0,0,32.68,0,0,265.70,8.53,562.41
145.000,original,0,0,38.20,0,0,274.15,8.68,562.16
145.000,tourer,1,1,31.22,0,0,317.45,29.83,456.92
145.000,moto,1,1,31.55,0,0,317.71,57.92,353.59
145.000,atv,0,0,13.25,0,0,311.84,8.55,556.88
147.000,original,0,0,11.65,0,0,314.07,8.70,559.12
147.000,tourer,1,1,19.47,0,0,316.88,43.47,407.98
147.000,moto,1,1,31.57,0,0,319.89,73.74,292.55
147.000,atv,0,0,23.33,0,0,319.85,13.12,525.71
149.000,original,0,0,24.27,0,0,324.29,13.34,525.24
149.000,tourer,1,1,16.15,0,0,317.26,52.47,374.76
149.000,moto,1,2,37.69,0,0,333.28,82.70,228.38
149.000,atv,1,1,21.33,0,0,317.06,24.75,475.23
151.000,original,1,1,30.91,0,0,316.33,25.93,471.30
151.000,tourer,1,1,15.91,0,0,317.88,60.70,343.89
151.000,moto,1,2,31.80,0,0,374.22,78.86,183.59
151.000,atv,1,1,16.22,0,0,317.05,34.18,440.71
153.000,original,1,1,20.46,0,0,317.00,40.23,419.62
153.000,tourer,1,1,15.92,0,0,318.67,68.82,313.13
153.000,moto,1,2,31.71,0,0,426.45,80.86,145.72
153.000,atv,1,1,15.90,0,0,316.89,42.77,409.94
155.000,original,1,1,16.26,0,0,317.05,49.61,385.53
155.000,tourer,1,2,16.02,0,0,320.52,76.17,282.10
155.000,moto,1,3,30.92,0,0,458.11,86.04,92.51
155.000,atv,1,1,15.91,0,0,317.17,51.13,379.26
157.000,original,1,1,15.92,0,0,317.69,57.83,354.57
157.000,tourer,1,2,23.81,0,0,331.55,81.70,247.42
157.000,moto,1,3,36.13,0,0,471.99,77.47,29.49
157.000,atv,1,1,15.90,0,0,317.80,59.30,348.51
159.000,original,1,1,15.92,0,0,318.32,66.04,323.83
159.000,tourer,1,2,24.94,0,0,353.61,82.51,198.90
159.000,moto,1,3,32.63,0,0,475.66,87.76,-33.83
159.000,atv,1,1,15.92,0,0,318.51,67.47,317.77
161.000,original,1,1,16.00,0,0,319.87,73.78,292.91
161.000,tourer,1,2,30.61,0,0,402.92,76.56,171.28
161.000,moto,1,3,37.48,0,0,498.70,88.02,-104.66
161.000,atv,1,2,15.97,0,0,320.43,75.00,286.85
163.000,original,1,2,16.43,0,0,324.17,79.90,261.57
