time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
0.358,4.945,-116.117,30.648,-577.987,4,,2155.959,64.036,0.000,-0.282
0.880,11.133,-120.361,30.662,-578.569,4,,2160.231,59.761,0.000,-0.047
1.377,16.180,-127.120,30.739,-580.009,4,,2167.057,52.931,0.000,0.053
1.809,19.804,-134.597,30.873,-581.412,4,,2174.591,45.407,0.000,0.064
2.307,23.502,-145.419,31.106,-582.566,4,,2185.448,34.571,0.000,0.038
2.708,26.076,-155.362,31.313,-582.918,4,,2195.394,24.630,0.000,0.017
3.125,28.476,-166.853,31.495,-582.901,4,,2206.873,13.141,0.000,0.005
3.575,28.942,-179.837,31.563,-582.689,4,,2219.844,0.203,1.000,-0.066
7.011,0.775,-187.792,31.466,-585.390,4,Pine Ridge,2227.746,0.261,0.000,-0.119
7.476,6.953,-189.655,31.438,-585.186,4,Pine Ridge,2229.602,0.249,0.000,-0.027
7.920,12.308,-194.147,31.353,-584.744,4,Pine Ridge,2234.084,0.708,0.000,0.075
8.321,16.380,-199.892,31.195,-583.979,4,Pine Ridge,2239.825,0.393,0.000,0.081
8.721,19.994,-207.055,30.914,-582.458,4,Pine Ridge,2247.028,0.423,0.000,0.039
9.132,23.245,-215.417,30.450,-580.115,4,Pine Ridge,2255.506,0.706,0.000,0.014
9.532,26.185,-224.866,29.726,-577.142,4,Pine Ridge,2265.183,0.344,0.000,0.020
9.978,29.250,-236.903,28.394,-572.983,4,Pine Ridge,2277.744,0.061,0.000,0.044
10.452,31.664,-249.812,26.352,-567.638,4,Pine Ridge,2291.518,0.222,0.000,0.060
10.888,33.972,-262.518,24.471,-560.978,4,Pine Ridge,2305.335,0.541,0.000,0.060
11.400,36.133,-277.628,23.278,-550.835,4,Pine Ridge,2321.965,0.690,0.000,0.044
11.854,37.405,-290.172,24.118,-540.653,4,Pine Ridge,2335.661,0.609,0.000,0.030
12.398,38.175,-305.657,26.269,-526.289,0,Pine Ridge,2352.600,0.442,0.000,0.014
12.912,37.675,-319.295,26.136,-513.091,0,Pine Ridge,2367.806,0.621,0.000,0.008
13.312,31.754,-329.052,26.447,-503.034,4,Pine Ridge,2378.560,0.557,0.000,0.006
13.721,31.598,-337.939,28.456,-493.363,4,Pine Ridge,2388.017,0.267,0.000,-0.002
14.536,30.490,-354.604,31.745,-475.163,0,Pine Ridge,2405.833,0.105,0.000,-0.029
15.893,30.822,-382.236,23.413,-444.920,0,Pine Ridge,2436.970,0.470,0.000,-0.025
16.314,28.465,-390.270,21.275,-436.056,4,Pine Ridge,2445.720,0.612,0.000,-0.017
17.037,32.352,-405.944,20.401,-419.803,4,Pine Ridge,2462.368,0.226,0.000,0.004
17.575,34.590,-418.075,19.736,-407.286,4,Pine Ridge,2475.022,0.027,0.000,0.001
18.174,36.754,-432.919,18.911,-391.831,4,Pine Ridge,2490.117,0.054,0.000,-0.008
19.541,39.606,-471.029,16.865,-354.733,4,Pine Ridge,2846.782,0.202,0.000,-0.020
19.956,39.722,-483.029,16.254,-344.365,4,Pine Ridge,2857.264,0.224,0.000,-0.018
20.356,39.768,-495.340,15.643,-334.322,4,Pine Ridge,2867.369,0.214,0.000,-0.016
20.807,39.790,-509.822,14.940,-323.159,4,Pine Ridge,2878.821,0.195,0.000,-0.014
21.281,39.799,-525.236,14.206,-311.901,4,Pine Ridge,2890.586,0.175,0.000,-0.008
21.787,39.804,-541.507,13.440,-300.469,4,Pine Ridge,2902.458,0.141,0.000,0.004
22.449,39.804,-562.957,12.430,-285.335,4,Pine Ridge,2918.109,0.014,0.000,0.012
22.934,39.805,-578.287,11.696,-273.956,4,Pine Ridge,2929.805,0.239,0.000,-0.005
23.351,39.825,-591.644,10.552,-263.937,0,Pine Ridge,2940.074,0.050,0.000,-0.001
23.751,36.212,-604.008,8.395,-254.731,4,Pine Ridge,2949.492,0.198,1.000,0.046
24.151,27.458,-613.994,7.793,-246.946,4,Pine Ridge,2957.443,0.228,0.932,0.092
24.639,20.784,-622.278,8.029,-238.738,4,Pine Ridge,2965.784,0.293,0.000,0.177
25.041,20.356,-626.683,8.024,-231.945,4,Pine Ridge,2972.645,0.222,0.000,0.242
25.496,21.803,-629.297,8.058,-223.168,4,Pine Ridge,2981.459,0.792,0.000,0.220
25.903,24.400,-629.033,8.092,-213.445,4,Pine Ridge,2991.176,1.981,0.000,0.161
26.330,26.859,-626.127,8.129,-203.069,4,,3001.508,1.974,0.000,-0.086
26.731,28.996,-622.940,8.165,-192.326,4,,3012.204,12.375,0.000,-0.107
27.131,30.838,-621.171,8.207,-180.467,4,,3024.037,24.365,0.000,-0.071
27.565,32.713,-620.948,8.255,-166.465,4,,3038.034,38.288,0.000,-0.018
28.007,34.409,-621.688,8.306,-151.692,4,,3052.816,52.957,0.000,0.011
