time,speed,x,y,z,grounded,branch,station,lateral,brake,steering
1.545,22.641,605.024,79.483,-120.349,4,,93.488,41.634,0.000,0.140
1.962,19.876,608.186,78.529,-128.834,4,,102.672,33.779,0.000,0.142
2.363,14.414,608.711,77.761,-135.647,4,,109.519,27.337,0.269,0.112
2.799,14.630,607.737,77.041,-142.257,4,,116.167,20.764,0.342,0.069
3.207,15.912,606.120,76.048,-147.953,0,,121.941,14.866,0.000,0.036
3.618,16.825,604.208,73.405,-154.126,0,,128.745,8.442,0.000,0.017
4.018,17.454,602.409,69.313,-159.934,0,,135.988,2.582,0.000,0.012
4.551,25.207,598.160,62.905,-168.283,4,,147.267,1.416,0.000,-0.009
5.457,31.736,585.812,50.366,-189.757,4,,175.105,1.583,0.000,0.013
6.012,31.757,577.655,43.239,-203.106,4,,192.367,6.673,0.000,0.025
6.668,31.708,566.000,37.053,-219.354,4,,213.423,15.323,0.000,0.047
7.189,32.921,555.271,34.677,-231.789,4,,230.021,24.349,0.000,0.053
7.595,36.161,544.312,33.027,-241.236,4,,244.543,32.558,0.000,0.052
7.998,32.938,532.828,32.872,-249.115,4,,258.514,40.459,0.294,0.050
8.399,31.504,522.231,34.909,-255.703,4,,271.182,47.756,0.000,0.050
8.799,30.220,511.585,38.268,-261.351,4,,283.680,54.538,0.378,0.032
9.201,30.974,501.167,42.245,-265.903,4,,295.732,60.444,0.000,0.013
9.601,31.407,490.209,46.621,-270.080,4,,308.233,66.164,0.000,0.006
10.083,30.269,476.858,51.678,-274.806,4,,323.241,72.705,1.000,0.009
10.510,26.246,465.985,54.888,-278.477,4,,335.137,77.550,0.421,0.008
10.915,22.259,456.440,56.830,-281.579,4,,345.319,81.377,0.314,0.017
11.365,21.116,447.211,57.616,-284.271,4,,354.929,84.791,0.000,0.021
12.002,23.417,433.030,57.046,-287.807,3,,369.483,89.449,0.000,0.036
12.663,30.102,415.438,55.859,-290.215,4,,387.243,93.192,0.000,0.048
13.151,31.892,400.384,54.892,-290.088,4,,402.272,94.062,0.000,0.059
13.649,31.934,384.704,54.011,-287.302,4,,418.144,92.044,0.000,0.056
14.327,29.962,364.786,52.215,-279.408,4,,439.516,84.257,0.760,0.034
14.781,29.204,353.736,51.118,-273.054,4,,452.278,77.284,0.000,0.015
15.181,31.753,343.400,50.723,-266.336,4,,464.612,69.782,0.000,0.003
15.636,31.887,331.239,51.080,-258.181,4,,479.279,60.639,0.000,-0.008
21.122,31.762,184.051,43.202,-168.424,4,,655.214,18.218,0.000,-0.022
21.538,31.888,171.396,41.423,-164.457,4,,668.576,31.450,0.000,-0.018
21.939,31.920,159.142,40.149,-161.268,4,,681.309,44.067,0.000,-0.013
22.406,31.900,144.872,39.488,-158.108,4,,695.951,58.618,0.000,-0.007
