seconds,travel,recoveries,x,y,z,safeStation,speed
0.02,0.05,0,560.97,27.60,-286.63,3739.35,0.00
0.03,0.05,0,560.97,27.60,-286.64,3739.35,0.00
0.05,0.05,0,560.97,27.60,-286.64,3739.35,0.00
0.07,0.04,0,560.97,27.60,-286.65,3739.35,-0.01
0.08,0.04,0,560.97,27.60,-286.65,3739.35,-0.02
0.15,0.03,0,560.97,27.60,-286.66,3739.35,-0.04
0.16,0.03,0,560.97,27.60,-286.66,3739.35,-0.05
0.18,0.03,0,560.97,27.60,-286.66,3739.35,-0.05
0.20,0.03,0,560.97,27.60,-286.66,3739.32,-0.05
0.21,0.03,0,560.97,27.60,-286.66,3739.32,-0.06
0.23,0.02,0,560.97,27.60,-286.67,3739.32,-0.07
0.25,0.02,0,560.97,27.60,-286.67,3739.32,-0.07
0.26,0.02,0,560.97,27.60,-286.67,3739.32,-0.08
0.28,0.02,0,560.97,27.60,-286.67,3739.32,-0.08
0.30,0.02,0,560.97,27.60,-286.67,3739.32,-0.08
0.31,0.02,0,560.97,27.60,-286.67,3739.32,-0.08
0.33,0.01,0,560.97,27.60,-286.67,3739.32,-0.09
0.35,0.01,0,560.97,27.60,-286.68,3739.32,-0.09
0.36,0.01,0,560.97,27.59,-286.68,3739.32,-0.09
0.38,0.01,0,560.97,27.59,-286.68,3739.32,-0.10
0.40,0.01,0,560.97,27.59,-286.68,3739.32,-0.10
0.42,0.01,0,560.97,27.59,-286.68,3739.32,-0.10
0.43,0.00,0,560.97,27.59,-286.68,3739.32,-0.10
0.45,0.00,0,560.97,27.59,-286.69,3739.29,-0.10
0.47,0.00,0,560.97,27.59,-286.69,3739.29,-0.10
0.48,0.00,0,560.97,27.59,-286.69,3739.29,-0.10
0.50,0.00,0,560.97,27.59,-286.69,3739.29,-0.10
0.52,0.00,0,560.97,27.59,-286.69,3739.29,-0.10
0.53,-0.01,0,560.97,27.59,-286.69,3739.29,-0.10
0.55,-0.01,0,560.97,27.59,-286.70,3739.29,-0.11
0.57,-0.01,0,560.97,27.59,-286.70,3739.29,-0.11
0.58,-0.01,0,560.97,27.59,-286.70,3739.29,-0.11
0.60,-0.01,0,560.97,27.59,-286.70,3739.29,-0.11
0.62,-0.02,0,560.97,27.59,-286.70,3739.29,-0.11
0.65,-0.02,0,560.97,27.59,-286.71,3739.29,-0.11
0.67,-0.02,0,560.97,27.59,-286.71,3739.29,-0.11
0.69,-0.02,0,560.97,27.59,-286.71,3739.29,-0.11
