time,vehicle,lap,gate,speed,recoveries,misses,x,y,z
3.012,atv,0,0,0.00,0,0,590.67,81.29,-100.58
3.012,moto,0,0,0.00,0,0,593.56,80.78,-109.18
3.012,moto,0,0,0.00,0,0,601.58,80.27,-111.20
3.012,moto,0,0,0.00,0,0,602.23,79.68,-119.39
5.340,atv,0,0,23.26,0,0,607.15,79.40,-119.28
5.340,moto,0,1,19.20,0,0,609.11,78.90,-127.89
5.340,moto,0,1,15.15,0,0,609.88,77.87,-134.38
5.340,moto,0,1,15.70,0,0,607.28,76.35,-146.99
7.340,atv,0,1,15.99,0,0,606.48,74.74,-150.93
7.340,moto,0,1,17.06,0,0,604.19,71.86,-156.51
7.340,moto,0,1,20.77,0,0,600.98,66.32,-163.48
7.340,moto,0,1,23.88,0,0,592.96,56.71,-178.65
9.340,atv,0,1,23.92,0,0,589.75,54.32,-182.51
9.340,moto,0,1,24.00,0,0,583.69,49.88,-189.81
9.340,moto,0,1,23.85,0,0,576.06,45.25,-196.65
9.340,moto,0,2,23.79,0,0,558.85,42.37,-206.51
11.340,atv,0,2,23.38,0,0,554.57,42.26,-209.21
11.340,moto,0,2,14.36,0,0,546.56,41.25,-213.86
11.340,moto,0,2,23.41,0,0,533.09,44.50,-211.87
11.340,moto,0,2,21.56,0,0,513.67,47.94,-209.96
13.340,atv,0,2,18.18,0,0,514.96,48.53,-208.25
13.340,moto,0,2,12.03,0,0,520.52,46.56,-211.13
13.340,moto,0,2,18.70,0,0,489.53,43.42,-207.86
13.340,moto,0,2,29.75,0,0,468.00,43.47,-199.94
15.340,atv,0,2,21.75,0,0,481.03,43.72,-200.65
15.340,moto,0,2,21.45,0,0,486.99,43.76,-202.42
15.340,moto,0,2,36.43,0,0,434.21,42.66,-197.66
15.340,moto,0,2,39.15,0,0,395.61,45.30,-195.22
17.340,atv,0,2,25.46,0,0,424.44,43.54,-197.61
17.340,moto,0,2,26.43,0,0,429.88,42.89,-197.90
17.340,moto,0,2,38.63,0,0,358.12,40.33,-192.51
17.340,moto,0,2,39.66,0,0,319.73,41.37,-195.89
19.340,atv,0,2,19.70,0,0,371.46,38.70,-192.57
19.340,moto,0,2,22.65,0,0,376.79,40.46,-193.09
19.340,moto,0,2,42.37,0,0,281.74,45.80,-199.13
19.340,moto,0,2,43.63,0,0,236.22,46.73,-190.00
21.340,atv,0,2,34.82,0,0,315.32,41.82,-198.64
21.340,moto,0,2,34.56,0,0,322.62,41.15,-198.65
21.340,moto,0,2,39.16,0,0,200.07,44.55,-175.79
21.340,moto,0,2,29.99,0,0,173.83,41.44,-156.95
23.340,atv,0,2,41.98,0,0,238.89,46.89,-190.61
23.340,moto,0,2,42.14,0,0,245.98,47.24,-192.43
23.340,moto,0,4,31.82,0,0,161.83,40.25,-132.14
23.340,moto,0,4,31.92,0,0,146.86,38.84,-99.91
25.340,atv,0,2,26.80,0,0,177.20,42.03,-161.16
25.340,moto,0,2,25.44,0,0,181.23,42.70,-164.93
25.340,moto,0,4,31.89,0,0,131.96,37.45,-76.14
25.340,moto,0,4,31.94,0,0,112.65,35.89,-46.27
27.340,atv,0,4,0.00,0,0,158.85,39.98,-121.92
27.340,moto,0,4,31.69,0,0,154.42,39.58,-113.64
27.340,moto,0,4,31.84,0,0,97.26,34.81,-22.81
27.340,moto,0,4,31.93,0,0,76.92,33.72,6.42
29.340,atv,0,4,25.69,0,0,144.71,38.63,-97.05
29.340,moto,0,4,31.70,0,0,121.15,36.56,-59.45
29.340,moto,0,4,31.88,0,0,60.10,33.03,28.91
29.340,moto,0,4,31.93,0,0,38.72,32.26,57.44
31.340,atv,0,4,31.93,0,0,111.94,35.83,-45.10
31.340,moto,0,4,31.88,0,0,86.05,34.16,-6.36
31.340,moto,0,4,31.93,0,0,22.70,31.71,80.60
31.340,moto,0,4,31.93,0,0,4.89,31.03,111.51
33.340,atv,0,4,31.83,0,0,76.10,33.68,7.53
33.340,moto,0,4,31.94,0,0,48.07,32.59,44.82
33.340,moto,0,4,31.91,0,0,-6.53,30.59,137.22
33.340,moto,0,4,31.88,0,0,-12.18,29.20,172.17
35.340,atv,0,4,31.93,0,0,37.86,32.23,58.63
35.340,moto,0,4,31.93,0,0,12.36,31.33,97.70
35.340,moto,0,4,31.62,0,0,-4.83,30.16,198.68
35.340,moto,0,4,25.00,0,0,12.40,32.46,226.93
37.340,atv,0,4,31.92,0,0,4.23,31.01,112.80
37.340,moto,0,4,31.93,0,0,-11.55,29.69,156.53
37.340,moto,0,4,27.95,0,0,29.99,34.24,239.92
37.340,moto,0,4,31.71,0,0,61.81,38.19,252.30
39.340,atv,0,4,31.85,0,0,-12.05,29.20,173.58
39.340,moto,0,4,30.31,0,0,4.68,31.46,215.95
39.340,moto,0,4,31.03,0,0,86.32,43.10,264.63
39.340,moto,0,4,28.85,0,0,116.87,40.96,279.61
41.340,atv,0,4,24.22,0,0,12.40,32.46,226.92
41.340,moto,0,4,31.60,0,0,47.95,35.98,245.87
41.340,moto,0,4,31.69,0,0,142.81,44.68,285.25
41.340,moto,0,4,30.83,0,0,177.16,49.46,290.83
43.340,atv,0,4,31.62,0,0,60.02,37.87,251.41
43.340,moto,0,4,30.44,0,0,103.69,43.29,273.18
43.340,moto,0,4,25.38,0,0,202.99,53.18,295.40
43.340,moto,0,4,31.49,0,0,235.46,55.09,296.60
45.340,atv,0,4,30.35,0,0,115.16,41.25,278.76
45.340,moto,0,4,31.73,0,0,162.41,47.24,288.20
45.340,moto,0,4,-0.14,0,0,228.30,54.32,300.86
45.340,moto,0,4,31.17,0,0,292.16,68.63,276.40
47.340,atv,0,4,31.16,0,0,174.76,48.75,290.38
47.340,moto,0,4,17.02,0,0,218.26,53.10,299.92
47.340,moto,0,4,-0.13,0,0,228.08,54.29,300.70
47.340,moto,0,4,28.30,0,0,338.44,82.91,249.60
49.340,atv,0,4,23.51,0,0,228.57,54.42,298.33
49.340,moto,0,4,-0.12,0,0,224.55,53.91,301.00
49.340,moto,0,4,-0.12,0,0,227.88,54.26,300.56
49.340,moto,0,4,27.85,0,0,381.34,74.98,215.41
51.340,atv,0,4,22.13,0,0,282.21,62.27,280.88
51.340,moto,0,4,-0.13,0,0,224.29,53.88,301.01
51.340,moto,0,4,-0.51,0,0,227.11,54.17,300.00
51.340,moto,0,4,37.40,0,0,441.96,76.43,194.36
53.340,atv,0,4,24.54,0,0,311.69,76.92,264.07
53.340,moto,0,4,-0.50,0,0,223.96,53.84,301.05
53.340,moto,0,4,-0.76,0,0,226.17,54.08,299.55
53.340,moto,0,0,45.97,0,0,513.25,80.12,149.62
55.340,atv,0,4,29.93,0,0,360.99,82.15,235.03
55.340,moto,0,4,17.19,0,0,233.77,54.89,296.94
