t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.107,832.632,100.634,-125.850,23.297,20.164,1.241,11.604,0.000,0.000,-0.084,2,8.656,3.292,0.998,"Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.019);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.175, 0.984, -0.020);Ground_Mountain_1_2:(-0.175, 0.984, -0.020);Ground_Mountain_1_2:(-0.175, 0.984, -0.020);Ground_Mountain_1_2:(-0.175, 0.984, -0.020);Ground_Mountain_1_2:(-0.175, 0.984, -0.020);Ground_Mountain_1_2:(-0.175, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.020);Ground_Mountain_1_2:(-0.176, 0.984, -0.021);Ground_Mountain_1_2:(-0.176, 0.984, -0.021);Ground_Mountain_1_2:(-0.176, 0.984, -0.021);Ground_Mountain_1_2:(-0.176, 0.984, -0.021);Ground_Mountain_1_2:(-0.176, 0.984, -0.021);Ground_Mountain_1_2:(-0.176, 0.984, -0.021);Ground_Mountain_1_2:(-0.176, 0.984, -0.021);Ground_Mountain_1_2:(-0.176, 0.984, -0.021);Ground_Mountain_1_2:(-0.176, 0.984, -0.021);Ground_Mountain_1_2:(-0.176, 0.984, -0.021);Ground_Mountain_1_2:(-0.176, 0.984, -0.021);Ground_Mountain_1_2:(-0.176, 0.984, -0.021);Ground_Mountain_1_2:(-0.177, 0.984, -0.021);Ground_Mountain_1_2:(-0.177, 0.984, -0.021);Ground_Mountain_1_2:(-0.177, 0.984, -0.021);Ground_Mountain_1_2:(-0.177, 0.984, -0.021);Ground_Mountain_1_2:(-0.177, 0.984, -0.021);Ground_Mountain_1_2:(-0.177, 0.984, -0.021);Ground_Mountain_1_2:(-0.176, 0.981, 0.077);Ground_Mountain_1_2:(-0.176, 0.981, 0.077);Ground_Mountain_1_2:(-0.176, 0.981, 0.077);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.177, 0.984, 0.004);Ground_Mountain_1_2:(-0.177, 0.984, 0.004);Ground_Mountain_1_2:(-0.177, 0.984, 0.004);Ground_Mountain_1_2:(-0.177, 0.984, 0.004);Ground_Mountain_1_2:(-0.177, 0.984, 0.004);Ground_Mountain_1_2:(-0.177, 0.984, 0.004);Ground_Mountain_1_2:(-0.177, 0.984, 0.004);Ground_Mountain_1_2:(-0.177, 0.984, 0.004);Ground_Mountain_1_2:(-0.177, 0.984, 0.004);Ground_Mountain_1_2:(-0.177, 0.984, 0.004);Ground_Mountain_1_2:(-0.177, 0.984, 0.004);Ground_Mountain_1_2:(-0.177, 0.984, 0.004);Ground_Mountain_1_2:(-0.181, 0.983, 0.010);Ground_Mountain_1_2:(-0.181, 0.983, 0.010);Ground_Mountain_1_2:(-0.181, 0.983, 0.010);Ground_Mountain_1_2:(-0.181, 0.983, 0.010);Ground_Mountain_1_2:(-0.181, 0.983, 0.010);Ground_Mountain_1_2:(-0.181, 0.983, 0.010);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_1_2:(-0.176, 0.984, 0.005);Ground_Mountain_0_1:(-0.152, 0.984, -0.095);Ground_Mountain_0_1:(-0.152, 0.984, -0.095);Ground_Mountain_0_1:(-0.152, 0.984, -0.095);Ground_Mountain_0_1:(-0.152, 0.984, -0.095);Ground_Mountain_0_1:(-0.152, 0.984, -0.095);Ground_Mountain_0_1:(-0.152, 0.984, -0.095);"
0.040,148.311,833.024,100.662,-125.626,23.277,20.171,1.457,11.586,0.352,0.000,-0.086,4,13.017,13.785,0.994,"Ground_Mountain_0_1:(-0.154, 0.984, -0.094);Ground_Mountain_0_1:(-0.154, 0.984, -0.094);Ground_Mountain_0_1:(-0.154, 0.984, -0.094);Ground_Mountain_0_1:(-0.154, 0.984, -0.094);Ground_Mountain_0_1:(-0.154, 0.984, -0.094);Ground_Mountain_0_1:(-0.154, 0.984, -0.094);"
0.060,148.758,833.417,100.697,-125.400,23.256,20.163,1.809,11.589,0.362,0.000,-0.089,4,24.245,13.501,0.988,"Ground_Mountain_0_1:(-0.151, 0.984, -0.092);Ground_Mountain_0_1:(-0.151, 0.984, -0.092);Ground_Mountain_0_1:(-0.151, 0.984, -0.092);Ground_Mountain_0_1:(-0.151, 0.984, -0.092);Ground_Mountain_0_1:(-0.151, 0.984, -0.092);Ground_Mountain_0_1:(-0.151, 0.984, -0.092);"
0.080,149.208,833.812,100.755,-125.175,23.126,19.930,2.949,11.406,0.372,0.000,-0.091,4,32.162,12.121,0.985,"Ground_Mountain_0_1:(-0.145, 0.985, -0.092);Ground_Mountain_0_1:(-0.145, 0.985, -0.092);Ground_Mountain_0_1:(-0.145, 0.985, -0.092);Ground_Mountain_0_1:(-0.145, 0.985, -0.092);Ground_Mountain_0_1:(-0.145, 0.985, -0.092);Ground_Mountain_0_1:(-0.145, 0.985, -0.092);"
0.100,149.664,834.205,100.833,-124.949,23.052,19.699,3.913,11.317,0.437,0.000,-0.094,4,27.528,5.575,0.985,"Ground_Mountain_0_1:(-0.148, 0.985, -0.093);Ground_Mountain_0_1:(-0.148, 0.985, -0.093);Ground_Mountain_0_1:(-0.148, 0.985, -0.093);Ground_Mountain_0_1:(-0.148, 0.985, -0.093);Ground_Mountain_0_1:(-0.148, 0.985, -0.093);Ground_Mountain_0_1:(-0.148, 0.985, -0.093);"
0.120,149.996,834.598,100.916,-124.722,23.112,19.699,4.146,11.355,0.474,0.000,-0.099,4,20.331,0.806,0.984,"Ground_Mountain_0_1:(-0.152, 0.984, -0.093);Ground_Mountain_0_1:(-0.152, 0.984, -0.093);Ground_Mountain_0_1:(-0.152, 0.984, -0.093);Ground_Mountain_0_1:(-0.152, 0.984, -0.093);Ground_Mountain_0_1:(-0.152, 0.984, -0.093);Ground_Mountain_0_1:(-0.152, 0.984, -0.093);"
0.140,150.361,834.992,101.003,-124.494,23.167,19.700,4.338,11.398,0.444,0.000,-0.102,4,18.895,0.591,0.984,"Ground_Mountain_0_1:(-0.154, 0.983, -0.097);Ground_Mountain_0_1:(-0.154, 0.983, -0.097);Ground_Mountain_0_1:(-0.154, 0.983, -0.097);Ground_Mountain_0_1:(-0.154, 0.983, -0.097);Ground_Mountain_0_1:(-0.154, 0.983, -0.097);Ground_Mountain_0_1:(-0.154, 0.983, -0.097);Ground_Mountain_0_1:(-0.161, 0.978, -0.132);"
0.160,150.823,835.386,101.093,-124.265,23.215,19.692,4.499,11.451,0.416,0.000,-0.104,4,17.364,0.537,0.984,"Ground_Mountain_0_1:(-0.148, 0.984, -0.102);Ground_Mountain_0_1:(-0.148, 0.984, -0.102);Ground_Mountain_0_1:(-0.148, 0.984, -0.102);Ground_Mountain_0_1:(-0.148, 0.984, -0.102);Ground_Mountain_0_1:(-0.148, 0.984, -0.102);Ground_Mountain_0_1:(-0.148, 0.984, -0.102);"
0.180,151.285,835.779,101.185,-124.035,23.256,19.675,4.632,11.517,0.393,0.000,-0.104,4,15.936,0.336,0.984,"Ground_Mountain_0_1:(-0.152, 0.982, -0.110);Ground_Mountain_0_1:(-0.152, 0.982, -0.110);Ground_Mountain_0_1:(-0.152, 0.982, -0.110);Ground_Mountain_0_1:(-0.152, 0.982, -0.110);Ground_Mountain_0_1:(-0.152, 0.982, -0.110);Ground_Mountain_0_1:(-0.152, 0.982, -0.110);"
0.200,151.700,836.172,101.280,-123.803,23.292,19.646,4.743,11.600,0.372,0.000,-0.105,4,14.857,0.297,0.983,"Ground_Mountain_0_1:(-0.155, 0.981, -0.113);Ground_Mountain_0_1:(-0.155, 0.981, -0.113);Ground_Mountain_0_1:(-0.155, 0.981, -0.113);Ground_Mountain_0_1:(-0.155, 0.981, -0.113);Ground_Mountain_0_1:(-0.155, 0.981, -0.113);Ground_Mountain_0_1:(-0.155, 0.981, -0.113);"
