t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.080,1041.237,153.278,39.698,31.115,-10.844,1.579,29.127,0.000,0.000,-0.060,2,8.369,3.128,0.998,"Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Mountain trunk:(-1.000, 0.000, 0.000);Ground_Mountain_2_3:(0.060, 0.986, -0.153);Ground_Mountain_2_3:(0.060, 0.986, -0.153);Ground_Mountain_2_3:(0.060, 0.986, -0.153);Ground_Mountain_2_3:(0.060, 0.986, -0.153);Ground_Mountain_2_3:(0.060, 0.986, -0.153);Ground_Mountain_2_3:(0.060, 0.986, -0.153);"
0.040,472.814,1041.026,153.314,40.265,31.050,-10.817,1.884,29.120,0.443,0.000,-0.062,4,17.011,18.095,0.992,"Ground_Mountain_2_3:(0.062, 0.986, -0.154);Ground_Mountain_2_3:(0.062, 0.986, -0.154);Ground_Mountain_2_3:(0.062, 0.986, -0.154);Ground_Mountain_2_3:(0.062, 0.986, -0.154);Ground_Mountain_2_3:(0.062, 0.986, -0.154);Ground_Mountain_2_3:(0.062, 0.986, -0.154);"
0.060,473.417,1040.815,153.381,40.832,30.792,-10.665,3.414,28.720,0.475,0.000,-0.066,4,30.510,17.024,0.988,"Ground_Mountain_2_3:(0.064, 0.986, -0.152);Ground_Mountain_2_3:(0.064, 0.986, -0.152);Ground_Mountain_2_3:(0.064, 0.986, -0.152);Ground_Mountain_2_3:(0.064, 0.986, -0.152);Ground_Mountain_2_3:(0.064, 0.986, -0.152);Ground_Mountain_2_3:(0.064, 0.986, -0.152);"
0.080,474.025,1040.604,153.475,41.398,30.673,-10.569,4.678,28.414,0.604,0.000,-0.069,4,30.495,8.691,0.987,"Ground_Mountain_2_3:(0.062, 0.987, -0.151);Ground_Mountain_2_3:(0.062, 0.987, -0.151);Ground_Mountain_2_3:(0.062, 0.987, -0.151);Ground_Mountain_2_3:(0.062, 0.987, -0.151);Ground_Mountain_2_3:(0.062, 0.987, -0.151);Ground_Mountain_2_3:(0.062, 0.987, -0.151);"
0.100,474.762,1040.393,153.574,41.966,30.736,-10.584,4.988,28.423,0.663,0.000,-0.073,4,22.049,1.791,0.986,"Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);Ground_Mountain_2_3:(0.062, 0.987, -0.149);"
0.120,475.376,1040.181,153.678,42.535,30.804,-10.612,5.205,28.447,0.632,0.000,-0.077,4,20.135,0.695,0.986,"Ground_Mountain_2_3:(0.061, 0.987, -0.151);Ground_Mountain_2_3:(0.061, 0.987, -0.151);Ground_Mountain_2_3:(0.061, 0.987, -0.151);Ground_Mountain_2_3:(0.061, 0.987, -0.151);Ground_Mountain_2_3:(0.061, 0.987, -0.151);Ground_Mountain_2_3:(0.061, 0.987, -0.151);"
0.140,475.991,1039.968,153.786,43.104,30.865,-10.657,5.391,28.463,0.598,0.000,-0.079,4,18.602,0.552,0.986,"Ground_Mountain_2_3:(0.061, 0.987, -0.151);Ground_Mountain_2_3:(0.061, 0.987, -0.151);Ground_Mountain_2_3:(0.061, 0.987, -0.151);Ground_Mountain_2_3:(0.061, 0.987, -0.151);Ground_Mountain_2_3:(0.061, 0.987, -0.151);Ground_Mountain_2_3:(0.061, 0.987, -0.151);"
0.160,476.726,1039.753,153.897,43.673,30.919,-10.723,5.542,28.470,0.568,0.000,-0.080,4,16.889,0.475,0.986,"Ground_Mountain_2_3:(0.062, 0.987, -0.148);Ground_Mountain_2_3:(0.062, 0.987, -0.148);Ground_Mountain_2_3:(0.062, 0.987, -0.148);Ground_Mountain_2_3:(0.062, 0.987, -0.148);Ground_Mountain_2_3:(0.062, 0.987, -0.148);Ground_Mountain_2_3:(0.062, 0.987, -0.148);"
0.180,477.343,1039.537,154.010,44.242,30.967,-10.814,5.658,28.469,0.540,0.000,-0.081,4,15.114,0.349,0.986,"Ground_Mountain_2_3:(0.062, 0.987, -0.148);Ground_Mountain_2_3:(0.062, 0.987, -0.148);Ground_Mountain_2_3:(0.062, 0.987, -0.148);Ground_Mountain_2_3:(0.062, 0.987, -0.148);Ground_Mountain_2_3:(0.062, 0.987, -0.148);Ground_Mountain_2_3:(0.062, 0.987, -0.148);"
0.200,477.961,1039.319,154.125,44.812,31.009,-10.930,5.738,28.458,0.517,0.000,-0.082,4,13.386,0.246,0.986,"Ground_Mountain_2_3:(0.063, 0.987, -0.147);Ground_Mountain_2_3:(0.063, 0.987, -0.147);Ground_Mountain_2_3:(0.063, 0.987, -0.147);Ground_Mountain_2_3:(0.063, 0.987, -0.147);Ground_Mountain_2_3:(0.063, 0.987, -0.147);Ground_Mountain_2_3:(0.063, 0.987, -0.147);"
