t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.101,1052.145,153.389,43.638,23.779,-8.324,-0.031,22.275,0.000,0.000,-0.073,2,9.854,1.783,1.000,""
0.040,472.569,1051.979,153.390,44.080,23.782,-8.329,0.051,22.278,0.111,0.000,-0.076,4,13.789,0.474,1.000,""
0.060,472.902,1051.814,153.395,44.521,23.782,-8.339,0.246,22.275,0.109,0.000,-0.079,4,19.450,0.582,1.000,""
0.080,473.368,1051.654,153.416,44.953,23.647,-8.232,0.943,22.154,0.109,0.000,-0.080,4,24.235,1.227,0.998,"Ground_Mountain_2_3:(0.052, 0.990, -0.133);Ground_Mountain_2_3:(0.052, 0.990, -0.133);Ground_Mountain_2_3:(0.052, 0.990, -0.133);Ground_Mountain_2_3:(0.052, 0.990, -0.133);Ground_Mountain_2_3:(0.010, 1.000, -0.027);Ground_Mountain_2_3:(0.010, 1.000, -0.027);"
0.100,473.827,1051.492,153.443,45.388,23.639,-8.248,1.319,22.123,0.176,0.000,-0.083,4,27.429,4.091,0.997,"Ground_Mountain_2_3:(0.053, 0.990, -0.128);Ground_Mountain_2_3:(0.053, 0.990, -0.128);Ground_Mountain_2_3:(0.053, 0.990, -0.128);"
0.120,474.290,1051.330,153.477,45.825,23.634,-8.266,1.750,22.080,0.181,0.000,-0.086,4,31.256,3.547,0.995,"Ground_Mountain_2_3:(0.054, 0.990, -0.129);Ground_Mountain_2_3:(0.054, 0.990, -0.129);Ground_Mountain_2_3:(0.054, 0.990, -0.129);Ground_Mountain_2_3:(0.054, 0.990, -0.129);Ground_Mountain_2_3:(0.054, 0.990, -0.129);"
0.140,474.627,1051.166,153.521,46.261,23.628,-8.281,2.218,22.023,0.183,0.000,-0.089,4,33.206,2.867,0.994,"Ground_Mountain_2_3:(0.056, 0.990, -0.128);Ground_Mountain_2_3:(0.056, 0.990, -0.128);Ground_Mountain_2_3:(0.056, 0.990, -0.128);Ground_Mountain_2_3:(0.056, 0.990, -0.128);"
0.160,475.094,1051.002,153.575,46.697,23.623,-8.299,2.691,21.956,0.186,0.000,-0.090,4,33.505,2.251,0.993,"Ground_Mountain_2_3:(0.055, 0.990, -0.130);Ground_Mountain_2_3:(0.055, 0.990, -0.130);Ground_Mountain_2_3:(0.055, 0.990, -0.130);Ground_Mountain_2_3:(0.055, 0.990, -0.130);Ground_Mountain_2_3:(0.055, 0.990, -0.130);Ground_Mountain_2_3:(0.055, 0.990, -0.130);"
0.180,475.562,1050.836,153.637,47.132,23.618,-8.322,3.143,21.882,0.188,0.000,-0.091,4,32.455,1.841,0.992,"Ground_Mountain_2_3:(0.060, 0.990, -0.131);Ground_Mountain_2_3:(0.060, 0.990, -0.131);Ground_Mountain_2_3:(0.060, 0.990, -0.131);Ground_Mountain_2_3:(0.060, 0.990, -0.131);Ground_Mountain_2_3:(0.060, 0.990, -0.131);Ground_Mountain_2_3:(0.060, 0.990, -0.131);"
0.200,476.031,1050.670,153.708,47.567,23.613,-8.351,3.557,21.806,0.191,0.000,-0.093,4,30.583,1.238,0.991,"Ground_Mountain_2_3:(0.063, 0.989, -0.132);Ground_Mountain_2_3:(0.063, 0.989, -0.132);"
