t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.103,1044.783,153.399,41.056,31.705,-11.099,-0.031,29.700,0.000,0.000,-0.093,2,10.492,1.870,1.000,""
0.040,472.774,1044.574,153.412,41.641,31.560,-10.992,0.670,29.579,0.147,0.000,-0.097,4,16.135,0.548,0.999,"Ground_Mountain_2_3:(0.063, 0.987, -0.145);"
0.060,473.390,1044.361,153.444,42.214,31.386,-10.876,1.429,29.424,0.220,0.000,-0.102,4,22.966,6.122,0.997,"Ground_Mountain_2_3:(0.059, 0.988, -0.143);Ground_Mountain_2_3:(0.059, 0.988, -0.143);Ground_Mountain_2_3:(0.059, 0.988, -0.143);Ground_Mountain_2_3:(0.059, 0.988, -0.143);"
0.080,473.999,1044.146,153.482,42.790,31.338,-10.868,1.945,29.365,0.307,0.000,-0.106,4,31.655,6.601,0.994,"Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);"
0.100,474.655,1043.931,153.531,43.368,31.306,-10.880,2.484,29.297,0.331,0.000,-0.110,4,36.293,5.556,0.991,"Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);"
0.120,475.272,1043.714,153.592,43.945,31.273,-10.894,3.085,29.201,0.347,0.000,-0.113,4,39.382,4.538,0.989,"Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);"
0.140,475.890,1043.498,153.683,44.519,31.084,-10.798,4.565,28.792,0.363,0.000,-0.115,4,40.892,3.875,0.988,"Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);"
0.160,476.548,1043.281,153.784,45.092,31.089,-10.825,5.087,28.699,0.458,0.000,-0.121,4,35.964,1.290,0.987,"Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);Ground_Mountain_2_3:(0.064, 0.988, -0.142);"
0.180,477.168,1043.063,153.895,45.663,31.093,-10.856,5.532,28.615,0.456,0.000,-0.126,4,32.179,0.963,0.987,"Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);Ground_Mountain_2_3:(0.065, 0.988, -0.142);"
0.200,477.788,1042.845,154.013,46.234,31.097,-10.900,5.896,28.538,0.453,0.000,-0.130,4,28.098,0.716,0.987,"Ground_Mountain_2_3:(0.064, 0.988, -0.143);Ground_Mountain_2_3:(0.064, 0.988, -0.143);Ground_Mountain_2_3:(0.064, 0.988, -0.143);Ground_Mountain_2_3:(0.064, 0.988, -0.143);Ground_Mountain_2_3:(0.064, 0.988, -0.143);Ground_Mountain_2_3:(0.064, 0.988, -0.143);"
