t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.103,1046.656,153.399,41.756,31.705,-11.098,-0.033,29.700,0.000,0.000,-0.091,2,10.328,1.826,1.000,""
0.040,472.728,1046.436,153.401,42.346,31.703,-11.105,0.091,29.698,0.147,0.000,-0.095,4,15.913,0.520,1.000,""
0.060,473.351,1046.226,153.433,42.916,31.396,-10.916,1.248,29.424,0.148,0.000,-0.098,4,23.887,0.606,0.998,"Ground_Mountain_2_3:(0.059, 0.989, -0.139);Ground_Mountain_2_3:(0.059, 0.989, -0.139);Ground_Mountain_2_3:(0.059, 0.989, -0.139);Ground_Mountain_2_3:(0.059, 0.989, -0.139);Ground_Mountain_2_3:(0.059, 0.989, -0.139);Ground_Mountain_2_3:(0.059, 0.989, -0.139);"
0.080,473.956,1046.013,153.470,43.492,31.341,-10.903,1.785,29.362,0.302,0.000,-0.102,4,31.025,6.688,0.995,"Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);"
0.100,474.568,1045.799,153.516,44.069,31.299,-10.905,2.345,29.292,0.330,0.000,-0.107,4,35.849,5.824,0.992,"Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);"
0.120,475.182,1045.583,153.574,44.647,31.268,-10.918,2.926,29.207,0.351,0.000,-0.111,4,38.936,4.941,0.989,"Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);"
0.140,475.800,1045.367,153.663,45.221,31.061,-10.792,4.500,28.779,0.366,0.000,-0.114,4,40.872,4.143,0.988,"Ground_Mountain_2_3:(0.062, 0.988, -0.138);Ground_Mountain_2_3:(0.062, 0.988, -0.138);Ground_Mountain_2_3:(0.062, 0.988, -0.138);Ground_Mountain_2_3:(0.062, 0.988, -0.138);Ground_Mountain_2_3:(0.062, 0.988, -0.138);Ground_Mountain_2_3:(0.062, 0.988, -0.138);"
0.160,476.419,1045.150,153.763,45.793,31.069,-10.812,5.013,28.695,0.469,0.000,-0.119,4,35.568,1.101,0.988,"Ground_Mountain_2_3:(0.062, 0.988, -0.139);Ground_Mountain_2_3:(0.062, 0.988, -0.139);Ground_Mountain_2_3:(0.062, 0.988, -0.139);Ground_Mountain_2_3:(0.062, 0.988, -0.139);Ground_Mountain_2_3:(0.062, 0.988, -0.139);Ground_Mountain_2_3:(0.062, 0.988, -0.139);"
0.180,477.036,1044.932,153.872,46.365,31.076,-10.838,5.448,28.619,0.466,0.000,-0.124,4,31.622,0.848,0.988,"Ground_Mountain_2_3:(0.061, 0.988, -0.139);Ground_Mountain_2_3:(0.061, 0.988, -0.139);Ground_Mountain_2_3:(0.061, 0.988, -0.139);Ground_Mountain_2_3:(0.061, 0.988, -0.139);Ground_Mountain_2_3:(0.061, 0.988, -0.139);Ground_Mountain_2_3:(0.061, 0.988, -0.139);"
0.200,477.656,1044.715,153.988,46.936,31.081,-10.876,5.800,28.551,0.462,0.000,-0.128,4,27.505,0.642,0.988,"Ground_Mountain_2_3:(0.063, 0.988, -0.140);Ground_Mountain_2_3:(0.063, 0.988, -0.140);Ground_Mountain_2_3:(0.063, 0.988, -0.140);Ground_Mountain_2_3:(0.063, 0.988, -0.140);Ground_Mountain_2_3:(0.063, 0.988, -0.140);Ground_Mountain_2_3:(0.063, 0.988, -0.140);"
