t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.138,830.755,100.756,-122.546,23.783,20.591,0.010,11.901,0.000,0.000,-0.137,2,12.420,2.403,1.000,""
0.040,148.519,831.142,100.786,-122.328,23.415,20.309,1.026,11.619,0.109,0.000,-0.142,2,13.936,0.798,0.998,"Ground_Mountain_0_1:(-0.164, 0.980, -0.113);Ground_Mountain_0_1:(-0.164, 0.980, -0.113);Ground_Mountain_0_1:(-0.164, 0.980, -0.113);Ground_Mountain_0_1:(-0.164, 0.980, -0.113);"
0.060,148.960,831.536,100.813,-122.104,23.387,20.283,1.354,11.609,0.292,0.000,-0.147,4,21.823,6.670,0.995,"Ground_Mountain_0_1:(-0.161, 0.980, -0.114);Ground_Mountain_0_1:(-0.161, 0.980, -0.114);Ground_Mountain_0_1:(-0.161, 0.980, -0.114);"
0.080,149.408,831.932,100.849,-121.878,23.360,20.235,1.831,11.595,0.306,0.000,-0.151,4,30.504,5.995,0.991,"Ground_Mountain_0_1:(-0.162, 0.981, -0.110);Ground_Mountain_0_1:(-0.162, 0.981, -0.110);Ground_Mountain_0_1:(-0.162, 0.981, -0.110);Ground_Mountain_0_1:(-0.162, 0.981, -0.110);"
0.100,149.862,832.328,100.895,-121.650,23.342,20.165,2.378,11.583,0.320,0.000,-0.155,4,35.640,5.088,0.988,"Ground_Mountain_0_1:(-0.159, 0.981, -0.111);Ground_Mountain_0_1:(-0.159, 0.981, -0.111);Ground_Mountain_0_1:(-0.159, 0.981, -0.111);Ground_Mountain_0_1:(-0.159, 0.981, -0.111);Ground_Mountain_0_1:(-0.159, 0.981, -0.111);"
0.120,150.238,832.724,100.954,-121.422,23.335,20.078,2.936,11.582,0.329,0.000,-0.158,4,37.687,4.120,0.985,"Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);Ground_Mountain_0_1:(-0.158, 0.981, -0.114);"
0.140,150.696,833.120,101.023,-121.193,23.331,19.968,3.514,11.582,0.333,0.000,-0.159,4,38.849,3.296,0.983,"Ground_Mountain_0_1:(-0.158, 0.981, -0.117);Ground_Mountain_0_1:(-0.158, 0.981, -0.117);Ground_Mountain_0_1:(-0.158, 0.981, -0.117);Ground_Mountain_0_1:(-0.158, 0.981, -0.117);Ground_Mountain_0_1:(-0.158, 0.981, -0.117);Ground_Mountain_0_1:(-0.158, 0.981, -0.117);"
0.160,151.156,833.514,101.104,-120.963,23.330,19.841,4.095,11.590,0.335,0.000,-0.160,4,39.058,2.506,0.981,"Ground_Mountain_0_1:(-0.157, 0.981, -0.116);Ground_Mountain_0_1:(-0.157, 0.981, -0.116);Ground_Mountain_0_1:(-0.157, 0.981, -0.116);Ground_Mountain_0_1:(-0.157, 0.981, -0.116);Ground_Mountain_0_1:(-0.157, 0.981, -0.116);Ground_Mountain_0_1:(-0.157, 0.981, -0.116);"
0.180,151.618,833.906,101.196,-120.732,23.329,19.707,4.628,11.613,0.335,0.000,-0.160,4,36.720,1.800,0.980,"Ground_Mountain_0_1:(-0.158, 0.981, -0.115);Ground_Mountain_0_1:(-0.158, 0.981, -0.115);Ground_Mountain_0_1:(-0.158, 0.981, -0.115);Ground_Mountain_0_1:(-0.158, 0.981, -0.115);Ground_Mountain_0_1:(-0.158, 0.981, -0.115);Ground_Mountain_0_1:(-0.158, 0.981, -0.115);"
0.200,152.005,834.297,101.298,-120.499,23.327,19.572,5.096,11.654,0.336,0.000,-0.160,4,33.395,1.241,0.979,"Ground_Mountain_0_1:(-0.162, 0.980, -0.113);Ground_Mountain_0_1:(-0.162, 0.980, -0.113);Ground_Mountain_0_1:(-0.162, 0.980, -0.113);Ground_Mountain_0_1:(-0.162, 0.980, -0.113);Ground_Mountain_0_1:(-0.162, 0.980, -0.113);Ground_Mountain_0_1:(-0.162, 0.980, -0.113);"
0.220,152.468,834.685,101.408,-120.265,23.324,19.439,5.487,11.714,0.336,0.000,-0.159,4,29.545,0.821,0.979,"Ground_Mountain_0_1:(-0.162, 0.980, -0.112);Ground_Mountain_0_1:(-0.162, 0.980, -0.112);Ground_Mountain_0_1:(-0.162, 0.980, -0.112);Ground_Mountain_0_1:(-0.162, 0.980, -0.112);Ground_Mountain_0_1:(-0.162, 0.980, -0.112);Ground_Mountain_0_1:(-0.162, 0.980, -0.112);"
0.240,152.932,835.071,101.524,-120.030,23.319,19.310,5.798,11.794,0.338,0.000,-0.157,4,25.447,0.521,0.978,""
0.260,153.396,835.455,101.644,-119.792,23.313,19.188,6.029,11.893,0.340,0.000,-0.155,4,21.340,0.258,0.978,""
0.280,153.787,835.837,101.768,-119.552,23.305,19.072,6.185,12.010,0.344,0.000,-0.154,4,17.489,0.110,0.979,""
0.300,154.251,836.216,101.894,-119.309,23.298,18.961,6.272,12.142,0.347,0.000,-0.151,4,13.937,0.056,0.979,""
0.320,154.715,836.594,102.020,-119.063,23.290,18.855,6.299,12.289,0.351,0.000,-0.148,4,10.902,0.145,0.979,""
0.340,155.115,836.970,102.145,-118.815,23.283,18.752,6.275,12.447,0.355,0.000,-0.145,4,8.247,0.126,0.979,""
