time,name,streetDistance,routeIsStreet,recoveries,x,y,z
3.01,Traffic 1,2.680,True,0,554.20,25.79,-313.15
3.01,Traffic 2,2.680,True,0,-90.88,30.59,-582.69
3.01,Traffic 3,2.680,True,0,-627.11,9.26,94.89
3.01,Traffic 4,2.150,True,0,119.68,9.77,547.65
4.40,Traffic 1,2.633,True,0,551.23,25.38,-325.18
4.40,Traffic 2,2.681,True,0,-78.61,30.46,-582.30
4.40,Traffic 3,2.679,True,0,-627.32,9.31,107.11
4.40,Traffic 4,2.153,True,0,107.40,9.77,546.91
5.58,Traffic 1,2.640,True,0,546.76,25.23,-343.00
5.58,Traffic 2,2.703,True,0,-59.80,30.26,-581.01
5.58,Traffic 3,2.679,True,0,-627.66,9.39,126.44
5.58,Traffic 4,2.180,True,0,82.24,9.68,544.78
7.20,Traffic 1,2.795,True,0,542.30,25.86,-367.66
7.20,Traffic 2,2.808,True,0,-34.87,30.58,-574.88
7.20,Traffic 3,2.679,True,0,-628.08,9.49,152.88
7.20,Traffic 4,2.673,True,0,42.86,8.82,534.97
9.20,Traffic 1,2.758,True,0,540.39,28.93,-398.23
9.20,Traffic 2,3.211,True,0,-12.48,34.31,-553.86
9.20,Traffic 3,2.678,True,0,-628.54,9.59,185.55
9.20,Traffic 4,1.920,True,0,-11.63,8.53,530.66
11.20,Traffic 1,2.672,True,0,539.05,32.49,-428.68
11.20,Traffic 2,2.824,True,0,-2.90,36.65,-523.95
11.20,Traffic 3,2.675,True,0,-628.90,9.67,218.23
11.20,Traffic 4,2.155,True,0,-68.95,8.59,531.11
13.20,Traffic 1,2.531,True,0,534.85,33.37,-459.28
13.20,Traffic 2,2.892,True,0,-0.89,34.04,-492.31
13.20,Traffic 3,2.687,True,0,-629.38,9.73,250.91
13.20,Traffic 4,2.153,True,0,-126.26,8.85,531.14
15.20,Traffic 1,2.595,True,0,526.62,29.39,-488.91
15.20,Traffic 2,2.657,True,0,-1.21,31.65,-460.60
15.20,Traffic 3,2.681,True,0,-629.96,9.76,283.58
15.20,Traffic 4,2.145,True,0,-183.54,9.26,531.24
17.20,Traffic 1,2.490,True,0,514.27,24.48,-516.85
17.20,Traffic 2,2.621,True,0,0.70,33.20,-431.92
17.20,Traffic 3,2.676,True,0,-630.45,9.77,316.25
17.20,Traffic 4,2.141,True,0,-240.83,9.58,531.69
19.10,Traffic 1,2.567,True,0,497.84,23.10,-537.62
19.10,Traffic 2,2.672,True,0,3.47,37.69,-402.54
19.10,Traffic 3,2.669,True,0,-630.61,9.76,347.30
19.10,Traffic 4,2.132,True,0,-295.28,9.63,532.70
21.10,Traffic 1,1.078,True,0,480.09,24.21,-541.07
21.10,Traffic 2,2.580,True,0,8.59,40.75,-371.56
21.10,Traffic 3,2.657,True,0,-630.04,9.71,379.97
21.10,Traffic 4,2.141,True,0,-352.60,9.37,534.53
23.10,Traffic 1,2.126,True,0,465.28,27.78,-515.74
23.10,Traffic 2,2.634,True,0,16.69,38.52,-340.83
23.10,Traffic 3,2.629,True,0,-627.95,9.61,412.57
23.10,Traffic 4,2.149,True,0,-409.93,9.00,536.67
25.10,Traffic 1,2.959,True,0,450.52,31.23,-489.12
25.10,Traffic 2,2.539,True,0,28.58,35.55,-311.55
25.10,Traffic 3,2.585,True,0,-622.95,9.34,444.85
25.10,Traffic 4,2.162,True,0,-467.26,8.67,538.70
27.10,Traffic 1,2.642,True,0,433.42,35.13,-463.96
27.10,Traffic 2,2.165,True,0,49.87,41.58,-290.33
27.10,Traffic 3,2.578,True,0,-614.50,8.93,476.39
27.10,Traffic 4,2.131,True,0,-524.51,8.73,541.52
29.10,Traffic 1,2.703,True,0,416.07,38.26,-438.78
29.10,Traffic 2,2.213,True,0,80.35,43.84,-285.78
29.10,Traffic 3,2.617,True,0,-605.17,8.60,507.57
29.10,Traffic 4,2.228,True,0,-574.94,8.74,543.32
31.10,Traffic 1,2.698,True,0,397.05,36.58,-414.43
31.10,Traffic 2,2.530,True,0,111.29,39.09,-291.54
31.10,Traffic 3,3.170,True,0,-601.87,8.65,529.11
31.10,Traffic 4,2.137,True,0,-598.96,8.74,538.18
33.10,Traffic 1,2.726,True,0,375.20,30.57,-394.15
33.10,Traffic 2,2.644,True,0,141.78,38.18,-300.01
33.10,Traffic 3,0.904,True,0,-574.25,8.74,540.77
33.10,Traffic 4,4.096,True,0,-610.70,8.57,518.02
35.10,Traffic 1,3.432,True,0,347.00,36.53,-390.01
35.10,Traffic 2,2.622,True,0,169.59,42.91,-309.44
35.10,Traffic 3,2.237,True,0,-520.12,8.74,537.16
35.10,Traffic 4,2.157,True,0,-616.49,8.82,485.07
37.10,Traffic 1,2.211,True,0,317.74,42.68,-390.49
37.10,Traffic 2,2.608,True,0,198.07,46.66,-322.25
37.10,Traffic 3,2.233,True,0,-464.29,8.68,534.40
37.10,Traffic 4,2.797,True,0,-626.46,9.26,453.03
39.10,Traffic 1,2.389,True,0,289.99,36.43,-378.32
39.10,Traffic 2,2.524,True,0,225.01,44.20,-339.04
39.10,Traffic 3,2.132,True,0,-408.46,9.01,532.54
39.10,Traffic 4,2.777,True,0,-632.37,9.57,420.03
41.02,Traffic 1,2.593,True,0,265.07,36.94,-362.53
41.02,Traffic 2,2.649,True,0,249.18,39.34,-357.15
41.02,Traffic 3,2.155,True,0,-354.86,9.36,530.51
41.02,Traffic 4,2.758,True,0,-634.97,9.69,387.94
43.02,Traffic 1,2.642,True,0,240.87,41.69,-344.48
43.02,Traffic 2,2.736,True,0,274.97,35.59,-375.34
43.02,Traffic 3,2.161,True,0,-299.02,9.62,528.71
43.02,Traffic 4,2.712,True,0,-635.78,9.75,354.43
45.02,Traffic 1,2.714,True,0,216.20,45.91,-326.88
45.02,Traffic 2,2.725,True,0,302.30,39.94,-390.05
45.02,Traffic 3,2.169,True,0,-243.13,9.59,527.61
45.02,Traffic 4,2.696,True,0,-635.72,9.77,320.90
47.02,Traffic 1,2.827,True,0,189.13,45.77,-312.00
47.02,Traffic 2,2.936,True,0,332.44,41.17,-397.56
47.02,Traffic 3,2.159,True,0,-187.21,9.29,527.15
47.02,Traffic 4,2.687,True,0,-635.24,9.76,287.38
49.02,Traffic 1,2.765,True,0,160.69,40.87,-300.60
49.02,Traffic 2,2.849,True,0,362.25,31.83,-395.61
49.02,Traffic 3,2.155,True,0,-131.26,8.89,527.04
49.02,Traffic 4,2.681,True,0,-634.64,9.73,253.86
51.02,Traffic 1,2.728,True,0,131.34,37.58,-291.54
51.02,Traffic 2,1.708,True,0,387.87,34.38,-410.11
51.02,Traffic 3,2.149,True,0,-75.33,8.61,527.03
51.02,Traffic 4,2.676,True,0,-634.12,9.67,220.34
53.02,Traffic 1,2.705,True,0,101.66,40.67,-284.17
53.02,Traffic 2,2.783,True,0,406.49,38.70,-434.89
53.02,Traffic 3,2.151,True,0,-19.42,8.52,526.78
53.02,Traffic 4,2.680,True,0,-633.75,9.59,186.82
55.02,Traffic 1,2.751,True,0,71.55,44.63,-280.82
55.02,Traffic 2,2.604,True,0,425.07,36.04,-460.64
55.02,Traffic 3,2.180,True,0,35.18,8.70,528.90
55.02,Traffic 4,2.683,True,0,-633.29,9.49,153.30
56.98,Traffic 1,3.022,True,0,42.96,40.09,-288.37
56.98,Traffic 2,2.667,True,0,442.10,32.10,-486.37
56.98,Traffic 3,1.916,True,0,83.23,9.69,541.00
56.98,Traffic 4,2.681,True,0,-632.76,9.37,120.57
58.98,Traffic 1,3.096,True,0,22.75,35.59,-310.66
58.98,Traffic 2,2.548,True,0,458.84,28.40,-513.19
58.98,Traffic 3,2.167,True,0,138.73,9.76,544.67
58.98,Traffic 4,2.681,True,0,-632.17,9.23,87.06
60.98,Traffic 1,2.854,True,0,11.62,38.50,-339.18
60.98,Traffic 2,2.525,True,0,472.78,25.07,-537.62
60.98,Traffic 3,2.278,True,0,194.33,9.38,550.52
60.98,Traffic 4,1.171,True,0,-627.98,9.09,54.18
62.98,Traffic 1,2.738,True,0,3.92,40.73,-368.96
62.98,Traffic 2,2.292,True,0,488.12,23.34,-547.20
62.98,Traffic 3,2.226,True,0,246.49,8.81,558.03
62.98,Traffic 4,6.978,True,0,-621.40,8.93,21.66
64.98,Traffic 1,2.787,True,0,-1.48,38.08,-399.37
64.98,Traffic 2,3.908,True,0,511.33,23.52,-532.38
64.98,Traffic 3,2.556,True,0,282.84,8.70,559.40
64.98,Traffic 4,6.172,True,0,-621.60,8.81,-11.86
66.98,Traffic 1,2.725,True,0,-4.35,33.42,-429.89
66.98,Traffic 2,2.776,True,0,526.15,26.74,-504.71
66.98,Traffic 3,2.423,True,0,305.82,8.70,557.21
66.98,Traffic 4,6.259,True,0,-620.93,8.68,-45.37
68.98,Traffic 1,2.660,True,0,-6.38,31.65,-460.67
68.98,Traffic 2,2.798,True,0,536.19,31.82,-475.47
68.98,Traffic 3,0.689,True,0,319.89,9.11,547.16
68.98,Traffic 4,6.253,True,0,-620.40,8.55,-78.89
70.98,Traffic 1,2.756,True,0,-6.39,33.95,-491.45
70.98,Traffic 2,2.753,True,0,542.73,33.58,-444.54
70.98,Traffic 3,2.639,True,0,317.27,15.06,517.19
70.98,Traffic 4,6.257,True,0,-619.90,8.43,-112.40
72.98,Traffic 1,2.610,True,0,-7.90,36.60,-522.07
72.98,Traffic 2,2.795,True,0,545.22,30.73,-412.93
72.98,Traffic 3,2.745,True,0,316.34,22.16,486.05
72.98,Traffic 4,6.255,True,0,-619.43,8.31,-145.93
74.98,Traffic 1,2.497,True,0,-17.43,34.32,-551.35
74.98,Traffic 2,2.668,True,0,546.49,26.96,-381.33
74.98,Traffic 3,2.663,True,0,316.25,30.30,455.28
74.98,Traffic 4,6.250,True,0,-618.97,8.20,-179.45
76.72,Traffic 1,1.938,True,0,-35.87,30.61,-570.27
76.72,Traffic 2,2.554,True,0,549.62,25.36,-353.76
76.72,Traffic 3,2.682,True,0,316.04,37.75,428.49
76.72,Traffic 4,6.181,True,0,-618.62,8.10,-208.77
78.36,Traffic 1,2.138,True,0,-60.14,30.25,-576.35
78.36,Traffic 2,2.546,True,0,555.54,25.34,-328.57
78.36,Traffic 3,2.688,True,0,316.00,44.69,403.59
78.36,Traffic 4,2.261,True,0,-626.54,8.02,-234.79
80.34,Traffic 1,2.632,True,0,-90.76,30.59,-577.53
80.34,Traffic 2,2.719,True,0,562.55,26.71,-297.92
80.34,Traffic 3,2.707,True,0,316.39,52.87,373.22
80.34,Traffic 4,2.855,True,0,-626.62,7.90,-267.87
82.34,Traffic 1,2.719,True,0,-121.72,30.67,-578.58
82.34,Traffic 2,2.881,True,0,563.25,29.20,-266.42
82.34,Traffic 3,2.668,True,0,317.01,61.07,342.48
82.34,Traffic 4,2.646,True,0,-625.78,7.77,-301.38
84.34,Traffic 1,2.661,True,0,-152.74,31.26,-579.72
84.34,Traffic 2,2.831,True,0,557.42,33.63,-235.88
84.34,Traffic 3,2.694,True,0,317.84,69.17,311.71
84.34,Traffic 4,2.692,True,0,-625.10,7.63,-334.89
86.34,Traffic 1,2.655,True,0,-183.75,31.52,-579.95
86.34,Traffic 2,2.706,True,0,548.87,43.43,-208.01
86.34,Traffic 3,2.721,True,0,320.17,76.45,280.73
86.34,Traffic 4,2.675,True,0,-624.38,7.47,-368.41
88.34,Traffic 1,2.646,True,0,-214.70,30.48,-578.95
88.34,Traffic 2,2.725,True,0,539.34,57.23,-182.84
88.34,Traffic 3,2.952,True,0,325.77,81.22,249.38
88.34,Traffic 4,2.680,True,0,-623.73,7.30,-401.93
90.34,Traffic 1,2.620,True,0,-245.42,27.21,-576.27
