time,vehicle,lap,gate,speed,recoveries,misses,x,y,z
3.010,atv,0,0,0.00,0,0,316.80,23.25,481.02
3.010,original,0,0,0.00,0,0,321.22,21.50,488.65
3.010,tourer,0,0,0.00,0,0,316.93,19.87,495.52
3.010,moto,0,0,0.00,0,0,321.50,18.14,502.22
4.560,atv,0,0,23.53,0,0,317.01,18.57,500.46
4.560,original,0,0,20.52,0,0,321.17,17.53,505.64
4.560,tourer,0,0,19.74,0,0,317.37,16.21,511.79
4.560,moto,0,1,24.66,0,0,321.74,13.72,522.70
6.560,atv,0,1,11.50,0,0,317.16,9.40,544.92
6.560,original,0,1,12.57,0,0,320.53,8.87,549.33
6.560,tourer,0,1,13.29,0,0,316.23,8.67,551.17
6.560,moto,0,1,14.97,0,0,314.91,8.56,558.51
8.560,atv,0,1,17.57,0,0,304.42,8.55,561.80
8.560,original,0,1,19.61,0,0,296.78,8.74,564.47
8.560,tourer,0,1,22.20,0,0,291.12,8.71,563.62
8.560,moto,0,1,34.30,0,0,265.11,8.55,563.88
10.560,atv,0,1,34.02,0,0,251.52,8.59,558.66
10.560,original,0,1,31.82,0,0,244.14,8.83,561.23
10.560,tourer,0,1,33.28,0,0,234.70,8.95,560.71
10.560,moto,0,1,44.86,0,0,185.40,9.32,553.57
12.560,atv,0,1,-8.49,0,0,225.89,8.93,556.59
12.560,original,0,1,38.19,0,0,173.64,9.59,556.08
12.560,tourer,0,1,39.55,0,0,161.94,9.68,550.55
12.560,moto,0,1,48.92,0,0,89.89,9.58,545.56
14.560,atv,0,1,9.74,0,0,231.03,8.86,560.80
14.560,original,0,1,41.76,0,0,93.53,9.74,550.22
14.560,tourer,0,2,40.00,0,0,79.67,9.67,544.53
14.560,moto,0,2,43.91,0,0,3.70,8.40,530.26
16.560,atv,0,1,22.51,0,0,208.05,9.11,554.34
16.560,original,0,2,38.35,0,0,16.68,8.59,535.49
16.560,tourer,0,2,35.45,0,0,6.39,8.56,530.15
16.560,moto,0,2,24.87,0,0,-79.34,8.47,522.93
18.560,atv,0,1,36.64,0,0,147.68,9.58,549.40
18.560,original,0,2,41.87,0,0,-63.91,8.58,535.01
18.560,tourer,0,2,40.94,0,0,-70.56,8.59,531.19
18.560,moto,0,6,36.40,0,0,-103.87,8.74,471.90
20.560,atv,0,2,43.09,0,0,66.64,9.39,542.01
20.560,original,0,3,43.69,0,0,-149.68,9.02,535.21
20.560,tourer,0,3,44.01,0,0,-155.84,9.06,531.16
20.560,moto,0,6,40.48,0,0,-130.19,12.53,403.37
22.560,atv,0,2,42.10,0,0,-14.72,8.37,530.39
22.560,original,0,3,44.51,0,0,-238.06,9.57,535.69
22.560,tourer,0,3,45.75,0,0,-245.77,9.60,531.75
22.560,moto,0,6,47.66,0,0,-196.50,15.27,344.97
24.560,atv,0,2,21.12,0,0,-83.61,8.48,521.01
24.560,original,0,3,44.69,0,0,-327.27,9.51,537.58
24.560,tourer,0,3,46.85,0,0,-338.43,9.46,534.02
24.560,moto,0,6,47.08,0,0,-279.80,16.51,291.01
26.560,atv,0,6,0.00,0,0,-100.45,8.51,480.02
26.560,original,0,4,44.80,0,0,-416.72,8.95,540.81
26.560,tourer,0,4,47.56,0,0,-432.84,8.85,537.53
26.560,moto,0,6,45.06,0,0,-353.70,21.09,234.78
28.560,atv,0,6,23.57,0,0,-107.60,10.05,455.67
28.560,original,0,4,44.84,0,0,-506.32,8.76,544.22
28.560,tourer,0,4,47.88,0,0,-528.25,8.74,541.70
28.560,moto,0,6,46.03,0,0,-425.05,12.53,181.61
30.560,atv,0,6,36.67,0,0,-133.67,12.72,399.90
30.560,original,0,4,23.48,0,0,-585.11,8.74,546.11
30.560,tourer,0,4,16.42,0,0,-593.68,8.74,540.22
30.560,moto,0,6,51.28,0,0,-509.25,10.48,131.23
32.560,atv,0,6,43.61,0,0,-193.89,15.19,346.70
32.560,original,0,5,20.16,0,0,-610.38,8.61,525.62
32.560,tourer,0,5,23.42,0,0,-609.29,8.59,511.89
32.560,moto,0,6,50.08,0,0,-596.62,9.05,76.88
34.560,atv,0,6,47.63,0,0,-271.04,16.54,297.27
34.560,original,0,5,31.42,0,0,-616.76,8.96,474.13
34.560,tourer,0,5,33.60,0,0,-619.45,9.22,455.47
34.560,moto,0,6,36.14,0,0,-630.53,8.77,13.94
36.560,atv,0,6,24.20,0,0,-330.65,19.24,252.41
36.560,original,0,5,37.96,0,0,-629.68,9.65,405.44
36.560,tourer,0,5,39.47,0,0,-635.27,9.71,383.88
36.560,moto,0,6,44.67,0,0,-628.23,12.53,-68.67
38.560,atv,0,6,26.48,0,0,-368.46,13.33,223.40
38.560,original,0,5,41.64,0,0,-630.92,9.77,325.47
38.560,tourer,0,6,43.23,0,0,-634.57,9.77,300.82
38.560,moto,0,6,43.23,0,0,-626.98,8.14,-155.55
40.560,atv,0,6,39.03,0,0,-422.39,12.61,184.09
40.560,original,0,6,43.65,0,0,-629.63,9.71,239.96
40.560,tourer,0,6,45.41,0,0,-633.10,9.66,211.97
40.560,moto,0,7,49.79,0,0,-625.83,7.81,-249.30
42.560,atv,0,6,45.78,0,0,-495.20,10.81,139.18
42.560,original,0,6,44.73,0,0,-628.47,9.48,151.45
42.560,tourer,0,6,46.69,0,0,-631.85,9.36,119.75
42.560,moto,0,7,53.28,0,0,-623.80,7.40,-352.75
44.560,atv,0,6,49.24,0,0,-577.33,9.19,90.58
44.560,original,0,6,37.44,0,0,-627.33,9.14,65.13
44.560,tourer,0,6,47.43,0,0,-630.13,8.97,25.56
44.560,moto,0,8,55.16,0,0,-621.40,6.82,-461.38
46.560,atv,0,6,30.72,0,0,-628.41,8.86,33.79
46.560,original,0,6,41.40,0,0,-629.63,8.82,-14.00
46.560,tourer,0,6,47.15,0,0,-628.46,12.62,-69.34
46.560,moto,0,8,14.14,0,0,-616.16,6.43,-535.82
48.560,atv,0,6,35.91,0,0,-628.97,8.98,-38.32
48.560,original,0,6,41.35,0,0,-628.06,13.47,-97.69
48.560,tourer,0,6,45.31,0,0,-627.04,8.23,-161.21
48.560,moto,0,8,25.02,0,0,-592.96,6.60,-554.62
50.560,atv,0,6,33.62,0,0,-627.93,10.14,-104.72
50.560,original,0,6,40.52,0,0,-626.94,8.21,-177.94
50.560,tourer,0,7,46.64,0,0,-625.79,7.95,-253.29
50.560,moto,0,8,39.87,0,0,-526.53,7.21,-551.50
52.560,atv,0,6,39.90,0,0,-626.94,8.07,-175.26
52.560,original,0,7,43.09,0,0,-625.65,7.92,-261.84
52.560,tourer,0,7,47.40,0,0,-623.92,7.57,-347.38
52.560,moto,0,9,47.98,0,0,-438.05,6.85,-555.72
54.560,atv,0,7,45.89,0,0,-621.41,7.77,-261.42
54.560,original,0,7,44.43,0,0,-623.88,7.56,-349.53
54.560,tourer,0,8,47.86,0,0,-621.95,7.08,-442.66
54.560,moto,0,9,36.12,0,0,-343.15,10.02,-565.67
56.560,atv,0,7,48.96,0,0,-624.13,7.38,-356.42
56.560,original,0,8,44.69,0,0,-622.04,7.10,-438.72
56.560,tourer,0,8,24.92,0,0,-617.45,6.63,-525.75
56.560,moto,0,10,31.65,0,0,-281.59,20.80,-575.36
58.560,atv,0,8,50.74,0,0,-621.57,6.85,-456.29
58.560,original,0,8,28.10,0,0,-616.31,6.65,-521.24
58.560,tourer,0,8,14.64,0,0,-608.24,6.74,-550.35
58.560,moto,0,10,36.13,0,0,-217.78,30.24,-583.16
60.560,atv,0,8,17.78,0,0,-614.81,6.44,-533.62
60.560,original,0,8,13.89,0,0,-609.61,6.76,-549.50
60.560,tourer,0,8,28.62,0,0,-564.55,6.97,-553.53
60.560,moto,0,10,45.79,0,0,-135.12,30.74,-583.57
62.560,atv,0,8,22.35,0,0,-596.74,6.59,-554.55
62.560,original,0,8,28.33,0,0,-567.30,6.93,-553.74
62.560,tourer,0,9,36.89,0,0,-498.24,7.62,-551.36
62.560,moto,0,10,35.02,0,0,-44.67,30.08,-577.29
64.560,atv,0,8,36.54,0,0,-536.42,7.11,-551.87
64.560,original,0,8,36.41,0,0,-501.69,7.59,-551.30
64.560,tourer,0,9,41.92,0,0,-419.25,6.79,-557.46
64.560,moto,0,10,30.94,0,0,-4.81,36.52,-532.80
66.560,atv,0,9,44.05,0,0,-455.09,7.16,-549.85
66.560,original,0,9,40.99,0,0,-424.08,6.83,-557.00
66.560,tourer,0,9,30.31,0,0,-337.58,10.95,-566.45
66.560,moto,0,10,43.24,0,0,-1.92,31.35,-459.09
68.560,atv,0,9,46.54,0,0,-362.89,8.00,-558.57
68.560,original,0,9,34.24,0,0,-342.14,10.30,-565.84
68.560,tourer,0,10,31.43,0,0,-276.89,21.85,-576.11
68.560,moto,0,11,32.97,0,0,4.11,39.26,-390.78
70.560,atv,0,9,31.44,0,0,-301.45,16.82,-567.25
70.560,original,0,10,31.41,0,0,-281.19,21.03,-575.42
70.560,tourer,0,10,34.28,0,0,-213.79,30.62,-583.46
70.560,moto,0,11,41.15,0,0,22.89,35.98,-320.77
72.560,atv,0,10,31.95,0,0,-239.91,27.90,-576.29
72.560,original,0,10,33.69,0,0,-218.65,30.31,-583.14
72.560,tourer,0,10,40.15,0,0,-139.07,30.98,-583.73
72.560,moto,0,11,20.84,0,0,61.17,44.21,-284.81
74.560,atv,0,10,41.00,0,0,-166.63,31.39,-579.82
74.560,original,0,10,39.20,0,0,-145.49,31.13,-583.94
74.560,tourer,0,10,35.50,0,0,-56.62,30.22,-579.73
74.560,moto,0,11,34.21,0,0,115.47,38.36,-291.39
76.560,atv,0,10,46.67,0,0,-78.31,30.34,-577.08
76.560,original,0,10,39.14,0,0,-63.95,30.28,-580.43
76.560,tourer,0,10,28.85,0,0,-10.69,34.90,-550.35
76.560,moto,0,12,28.00,0,0,177.78,44.14,-309.99
78.560,atv,0,10,23.77,0,0,-19.69,33.12,-556.95
78.560,original,0,10,28.76,0,0,-12.80,34.24,-554.22
78.560,tourer,0,10,36.53,0,0,-1.45,33.52,-487.04
78.560,moto,0,12,15.53,0,0,210.91,46.12,-327.97
80.560,atv,0,10,36.20,0,0,-4.67,34.75,-500.10
80.560,original,0,10,35.76,0,0,-0.34,34.07,-492.41
80.560,tourer,0,10,31.52,0,0,0.58,35.41,-416.35
80.560,moto,0,14,19.85,0,0,237.84,47.63,-305.44
82.560,atv,0,10,19.24,0,0,-4.06,32.52,-435.88
82.560,original,0,10,31.59,0,0,0.38,34.65,-421.17
82.560,tourer,0,11,35.16,0,0,12.06,39.93,-352.94
82.560,moto,0,14,27.65,0,0,272.16,53.66,-278.70
84.560,atv,0,11,32.09,0,0,1.69,40.10,-382.70
84.560,original,0,11,34.17,0,0,10.67,40.35,-358.20
84.560,tourer,0,11,26.71,0,0,41.24,38.63,-293.66
84.560,moto,0,14,27.64,0,0,320.67,64.51,-255.50
86.560,atv,0,11,37.06,0,0,22.37,35.42,-313.30
86.560,original,0,11,27.54,0,0,38.02,37.33,-296.98
86.560,tourer,0,11,26.93,0,0,84.61,43.34,-285.05
86.560,moto,0,14,27.58,0,0,340.72,69.08,-204.74
88.560,atv,0,11,20.83,0,0,54.27,42.87,-287.79
88.560,original,0,11,25.73,0,0,80.20,43.92,-284.62
88.560,tourer,0,12,30.29,0,0,146.63,38.57,-300.39
88.560,moto,0,14,21.08,0,0,364.50,73.23,-181.27
90.560,atv,0,11,31.82,0,0,103.33,40.14,-288.25
90.560,original,0,12,30.70,0,0,141.04,37.84,-298.73
90.560,tourer,0,12,30.38,0,0,200.75,46.77,-322.46
90.560,moto,0,14,21.18,0,0,403.98,78.35,-210.35
92.560,atv,0,12,18.93,0,0,151.77,39.34,-302.05
92.560,original,0,12,30.25,0,0,192.17,46.35,-318.13
92.560,tourer,0,12,31.84,0,0,252.78,38.73,-358.58
92.560,moto,0,14,27.85,0,0,446.38,82.21,-191.19
94.560,atv,0,12,19.84,0,0,193.34,46.23,-317.82
94.560,original,0,12,31.95,0,0,244.61,40.43,-352.28
94.560,tourer,0,12,20.71,0,0,304.07,40.35,-390.32
94.560,moto,0,14,27.85,0,0,482.12,85.19,-148.55
96.560,atv,0,12,19.69,0,0,224.05,45.24,-325.06
96.560,original,0,12,26.07,0,0,296.71,38.17,-386.81
96.560,tourer,0,12,27.64,0,0,344.80,37.61,-396.36
96.560,moto,0,14,19.36,0,0,504.85,87.42,-107.21
98.560,atv,0,14,19.84,0,0,246.56,48.81,-293.48
98.560,original,0,12,24.34,0,0,335.42,40.43,-396.79
98.560,tourer,0,12,27.16,0,0,389.66,34.25,-408.15
98.560,moto,0,14,35.02,0,0,478.93,88.95,-59.19
100.560,atv,0,14,27.63,0,0,290.80,57.76,-272.35
100.560,original,0,12,26.77,0,0,382.98,31.97,-402.40
100.560,tourer,0,12,31.42,0,0,420.18,37.16,-452.44
100.560,moto,0,15,31.86,0,0,473.93,80.50,6.19
102.560,atv,0,14,27.71,0,0,331.50,66.71,-239.01
102.560,original,0,12,29.25,0,0,414.22,38.12,-443.98
102.560,tourer,0,12,37.49,0,0,459.62,28.45,-512.51
102.560,moto,0,15,31.67,0,0,469.17,81.95,70.33
104.560,atv,0,14,16.31,0,0,345.99,70.18,-190.47
104.560,original,0,12,38.73,0,0,452.55,29.98,-500.70
104.560,tourer,0,12,14.48,0,0,484.23,23.59,-545.55
104.560,moto,0,16,34.48,0,0,443.81,84.77,126.31
106.560,atv,0,14,25.01,0,0,376.96,74.77,-188.25
106.560,original,0,12,15.15,0,0,480.09,24.05,-543.16
106.560,tourer,0,13,26.74,0,0,516.09,24.02,-524.96
106.560,moto,0,16,34.77,0,0,401.60,76.33,175.90
108.560,atv,0,14,21.70,0,0,415.40,79.66,-212.05
108.560,original,0,13,25.55,0,0,512.40,23.57,-531.29
108.560,tourer,0,13,32.30,0,0,537.15,32.68,-469.01
108.560,moto,0,16,26.74,0,0,347.34,82.81,205.08
110.560,atv,0,14,27.85,0,0,455.80,82.94,-179.81
110.560,original,0,13,31.45,0,0,534.92,31.60,-477.26
110.560,tourer,0,13,38.80,0,0,545.07,29.13,-399.88
110.560,moto,0,16,32.62,0,0,327.67,79.80,262.60
112.560,atv,0,14,27.89,0,0,491.41,85.02,-137.08
112.560,original,0,13,37.43,0,0,544.76,30.45,-410.31
112.560,tourer,0,13,43.47,0,0,556.87,25.55,-317.98
112.560,moto,0,0,31.96,0,0,321.47,65.79,324.38
114.560,atv,0,14,22.66,0,0,502.34,88.35,-97.26
114.560,original,0,13,42.29,0,0,553.50,25.22,-330.53
114.560,tourer,0,14,31.72,0,0,559.76,31.42,-246.10
114.560,moto,0,0,31.97,0,0,320.51,49.38,385.93
116.560,atv,0,14,33.86,0,0,475.66,88.49,-45.57
116.560,original,0,14,33.49,0,0,561.67,30.10,-255.87
116.560,tourer,0,14,30.88,0,0,541.61,52.77,-190.77
116.560,moto,0,0,31.80,0,0,320.44,32.33,447.33
118.560,atv,0,15,31.87,0,0,475.11,78.44,18.57
118.560,original,0,14,30.95,0,0,544.65,48.26,-198.75
118.560,tourer,0,14,28.96,0,0,520.24,79.74,-140.27
118.560,moto,0,0,31.70,0,0,321.18,16.59,509.03
120.560,atv,0,15,22.36,0,0,470.88,79.82,58.77
120.560,original,0,14,30.34,0,0,523.67,76.41,-148.11
120.560,tourer,0,14,34.49,0,0,493.15,89.29,-84.87
120.560,moto,1,1,14.15,0,0,318.04,8.45,554.77
122.560,atv,0,15,30.35,0,0,453.39,86.47,110.68
122.560,original,0,14,33.23,0,0,498.20,88.84,-94.45
122.560,tourer,0,14,32.46,0,0,471.96,85.68,-19.56
122.560,moto,1,1,31.70,0,0,276.61,8.55,564.55
124.560,atv,0,16,33.31,0,0,415.51,78.01,162.06
124.560,original,0,14,33.59,0,0,473.32,87.53,-30.12
124.560,tourer,0,15,27.23,0,0,474.25,77.81,43.62
124.560,moto,1,1,43.49,0,0,200.56,9.14,555.79
126.560,atv,0,16,27.70,0,0,371.52,79.63,191.82
126.560,original,0,15,34.45,0,0,475.20,77.37,33.70
126.560,tourer,0,15,28.85,0,0,458.47,86.66,100.47
126.560,moto,1,1,49.78,0,0,107.10,9.63,546.77
128.560,atv,0,16,32.32,0,0,334.19,82.62,230.12
128.560,original,0,15,29.69,0,0,461.99,85.95,91.80
128.560,tourer,0,16,31.91,0,0,423.79,79.95,152.72
128.560,moto,1,2,40.45,0,0,19.59,8.43,534.37
130.560,atv,0,0,31.96,0,0,323.00,73.40,294.35
130.560,original,0,16,31.95,0,0,430.35,81.55,144.73
130.560,tourer,0,16,29.87,0,0,375.56,79.06,190.97
130.560,moto,1,2,27.89,0,0,-62.59,8.42,529.36
132.560,atv,0,0,31.71,0,0,321.02,57.32,355.92
132.560,original,0,16,31.75,0,0,384.46,77.61,187.13
132.560,tourer,0,16,29.88,0,0,336.93,82.89,224.04
132.560,moto,1,6,28.21,0,0,-97.50,8.09,507.13
134.560,atv,0,0,31.72,0,0,320.26,40.70,417.38
134.560,original,0,16,29.19,0,0,340.28,82.90,216.85
134.560,tourer,0,16,31.75,0,0,323.40,75.37,286.42
134.560,moto,1,6,34.82,0,0,-109.30,11.01,440.12
136.560,atv,0,0,31.70,0,0,320.70,23.81,478.79
136.560,original,0,16,31.68,0,0,324.89,77.43,276.88
136.560,tourer,0,0,31.94,0,0,321.16,59.59,348.08
136.560,moto,1,6,18.78,1,0,-127.75,12.26,409.52
138.560,atv,1,1,23.19,0,0,321.61,10.50,539.17
138.560,original,0,0,31.96,0,0,321.24,62.15,338.57
138.560,tourer,0,0,31.88,0,0,320.24,43.04,409.57
138.560,moto,1,6,36.12,1,0,-165.00,14.15,367.02
140.560,atv,1,1,-3.08,0,0,321.48,8.94,548.23
140.560,original,0,0,31.85,0,0,320.31,45.67,400.08
140.560,tourer,0,0,31.94,0,0,320.65,26.03,470.96
140.560,moto,1,6,45.57,1,0,-234.09,16.21,321.68
142.560,atv,1,1,0.10,0,0,320.26,8.83,549.25
142.560,original,0,0,31.90,0,0,320.57,28.59,461.44
142.560,tourer,1,1,26.55,0,0,321.78,11.99,532.13
142.560,moto,1,6,44.60,1,0,-311.63,16.47,267.03
144.560,atv,1,1,0.17,0,0,320.29,8.68,551.14
144.560,original,1,1,28.97,0,0,321.59,13.81,522.95
144.560,tourer,1,1,0.17,0,0,320.90,9.20,547.60
144.560,moto,1,6,44.36,1,0,-382.34,17.35,212.85
146.560,atv,1,1,0.15,0,0,320.18,8.66,551.45
146.560,original,1,1,0.23,0,0,321.47,10.02,542.76
146.560,tourer,1,1,0.16,0,0,320.85,9.16,547.92
146.560,moto,1,6,48.75,1,0,-457.44,11.74,161.40
148.560,atv,1,1,0.14,0,0,320.09,8.64,551.74
148.560,original,1,1,0.22,0,0,321.43,9.94,543.20
148.560,tourer,1,1,0.15,0,0,320.80,9.12,548.21
148.560,moto,1,6,51.57,1,0,-545.29,9.69,110.62
150.560,atv,1,1,-0.32,0,0,320.48,8.66,551.35
150.560,original,1,1,0.22,0,0,321.39,9.86,543.63
150.560,tourer,1,1,-0.25,0,0,320.88,9.17,547.83
150.560,moto,1,6,35.64,1,0,-620.57,8.93,52.24
152.560,atv,1,1,-0.29,0,0,320.79,8.70,550.90
152.560,original,1,1,-0.20,0,0,321.44,9.91,543.38
152.560,tourer,1,1,-0.22,0,0,320.96,9.22,547.44
152.560,moto,1,6,40.79,1,0,-629.72,8.66,-16.95
154.560,atv,1,1,-0.07,0,0,320.92,8.74,550.46
154.560,original,1,1,-0.19,0,0,321.51,9.98,542.99
154.560,tourer,1,1,-0.05,0,0,321.03,9.28,547.04
154.560,moto,1,6,43.16,1,0,-627.59,13.85,-103.84
156.560,atv,1,1,21.94,0,0,303.96,8.55,564.40
156.560,original,1,1,-1.42,0,0,321.69,10.17,541.94
156.560,tourer,1,1,12.69,0,0,316.11,8.71,559.05
156.560,moto,1,6,46.33,1,0,-626.84,8.02,-191.32
158.560,atv,1,1,36.47,0,0,244.03,8.67,561.65
158.560,original,1,1,0.22,0,0,321.30,9.62,544.98
158.560,tourer,1,1,27.40,0,0,276.21,8.70,563.96
158.560,moto,1,7,51.44,1,0,-625.15,7.66,-289.67
160.560,atv,1,1,43.98,0,0,163.45,9.52,550.76
160.560,original,1,1,0.22,0,0,321.24,9.54,545.41
160.560,tourer,1,1,36.23,0,0,211.98,9.25,557.54
160.560,moto,1,8,54.17,1,0,-622.95,7.19,-395.56
162.560,atv,1,2,43.79,0,0,72.42,9.46,543.25
162.560,original,1,1,0.22,0,0,321.19,9.46,545.84
162.560,tourer,1,1,41.27,0,0,134.57,9.77,548.26
162.560,moto,1,8,43.69,1,0,-619.51,6.60,-502.07
164.560,atv,1,2,43.05,0,0,-10.52,8.37,530.31
164.560,original,1,1,-3.27,0,0,321.33,9.54,545.29
164.560,tourer,1,2,38.85,0,0,53.51,9.17,538.70
164.560,moto,1,8,12.22,1,0,-612.54,6.57,-545.99
166.560,atv,1,2,21.37,0,0,-83.01,8.48,521.26
166.560,original,1,1,12.35,0,0,317.84,8.62,553.86
166.560,tourer,1,2,41.94,0,0,-25.61,8.52,530.60
166.560,moto,1,8,32.24,1,0,-569.20,6.75,-554.22
168.560,atv,1,6,26.53,0,0,-101.97,8.12,477.84
168.560,original,1,1,25.18,0,0,286.06,8.69,564.85
168.560,tourer,1,2,44.62,0,0,-112.45,8.76,531.14
168.560,moto,1,9,43.72,1,0,-492.02,7.53,-551.61
170.560,atv,1,6,32.27,0,0,-117.81,11.33,428.51
170.560,original,1,1,34.81,0,0,225.18,9.08,559.38
170.560,tourer,1,3,46.09,0,0,-203.31,9.39,531.34
170.560,moto,1,9,50.13,1,0,-397.81,6.68,-559.55
172.560,atv,1,6,41.16,0,0,-161.84,14.03,369.38
172.560,original,1,1,39.87,0,0,150.60,9.72,549.45
172.560,tourer,1,3,46.99,0,0,-296.44,9.63,532.71
172.560,moto,1,9,31.65,1,0,-317.88,13.95,-569.42
174.560,atv,1,6,46.19,0,0,-235.10,16.22,321.05
174.560,original,1,2,39.25,0,0,69.12,9.57,542.71
174.560,tourer,1,4,47.62,0,0,-391.04,9.13,535.95
174.560,moto,1,10,31.66,1,0,-256.40,25.43,-579.14
176.560,atv,1,6,41.34,0,0,-309.35,16.23,268.76
176.560,original,1,2,36.93,0,0,-4.47,8.53,529.84
176.560,tourer,1,4,47.98,0,0,-486.62,8.61,539.37
176.560,moto,1,10,40.57,1,0,-186.34,31.43,-584.36
178.560,atv,1,6,24.33,0,0,-351.38,14.99,236.48
178.560,original,1,2,40.94,0,0,-82.31,8.62,536.07
178.560,tourer,1,4,31.29,0,0,-575.44,8.74,543.42
178.560,moto,1,10,48.46,1,0,-96.50,30.51,-581.96
180.560,atv,1,6,32.73,0,0,-392.68,13.60,205.37
180.560,original,1,3,42.15,0,0,-166.62,9.14,535.26
180.560,tourer,1,5,17.96,0,0,-607.65,8.69,528.38
180.560,moto,1,10,31.07,1,0,-21.45,31.91,-564.90
182.560,atv,1,6,42.51,0,0,-455.76,11.78,162.33
182.560,original,1,3,31.82,0,0,-239.23,9.58,535.79
182.560,tourer,1,5,30.51,0,0,-616.72,8.89,479.77
182.560,moto,1,10,35.86,1,0,-1.51,35.31,-505.86
184.560,atv,1,6,47.59,0,0,-534.31,9.92,117.03
184.560,original,1,3,28.25,0,0,-298.78,9.62,536.89
184.560,tourer,1,5,37.87,0,0,-632.85,9.61,412.74
184.560,moto,1,10,32.65,1,0,-0.66,33.55,-427.27
186.560,atv,1,6,40.60,0,0,-612.43,8.97,62.58
186.560,original,1,3,27.55,0,0,-354.45,9.36,538.70
186.560,tourer,1,5,42.28,0,0,-635.16,9.77,332.25
186.560,moto,1,11,34.69,1,0,9.38,40.55,-364.00
188.560,atv,1,6,36.62,0,0,-630.29,8.72,-0.29
188.560,original,1,4,27.34,0,0,-409.25,9.00,540.75
188.560,tourer,1,6,44.86,0,0,-633.59,9.72,244.87
188.560,moto,1,11,30.96,1,0,37.33,37.31,-296.27
190.560,atv,1,6,34.01,0,0,-628.38,12.60,-71.50
190.560,original,1,4,27.26,0,0,-463.79,8.68,542.69
190.560,tourer,1,6,46.36,0,0,-632.41,9.49,153.50
190.560,moto,1,11,26.80,1,0,80.43,43.73,-284.87
192.560,atv,1,6,35.28,0,0,-627.53,8.20,-138.20
192.560,original,1,4,27.23,0,0,-518.19,8.73,545.21
192.560,tourer,1,6,47.24,0,0,-630.77,9.12,59.82
192.560,moto,1,12,32.99,1,0,144.58,38.22,-299.44
194.560,atv,1,6,43.57,0,0,-626.33,7.93,-218.02
194.560,original,1,4,18.78,0,0,-567.72,8.68,547.71
194.560,tourer,1,6,47.72,0,0,-629.03,8.94,-35.20
194.560,moto,1,12,19.86,1,0,193.63,46.26,-318.20
196.560,atv,1,7,47.91,0,0,-624.75,7.58,-309.99
196.560,original,1,4,15.17,0,0,-593.98,8.74,540.27
196.560,tourer,1,6,46.17,0,0,-627.52,11.53,-128.54
196.560,moto,1,12,19.73,1,0,225.23,45.38,-324.18
198.560,atv,1,8,40.22,0,0,-622.76,7.13,-405.16
198.560,original,1,5,24.92,0,0,-609.82,8.60,508.05
198.560,tourer,1,6,41.13,0,0,-623.35,8.08,-217.25
198.560,moto,1,14,19.85,1,0,247.98,48.98,-292.15
200.560,atv,1,8,20.41,0,0,-621.29,6.82,-462.44
200.560,original,1,5,34.55,0,0,-626.31,9.30,449.79
200.560,tourer,1,7,16.63,0,0,-625.65,7.91,-264.63
200.560,moto,1,14,27.67,1,0,293.81,58.44,-271.22
202.560,atv,1,8,30.61,0,0,-613.89,6.51,-518.08
202.560,original,1,5,39.72,0,0,-634.73,9.72,375.63
202.560,tourer,1,7,19.84,0,0,-623.46,7.78,-297.81
202.560,moto,1,14,27.77,1,0,332.76,66.99,-235.78
204.560,atv,1,8,15.79,0,0,-608.49,6.62,-549.83
204.560,original,1,6,42.61,0,0,-634.46,9.77,292.99
204.560,tourer,1,7,32.04,0,0,-619.52,7.56,-350.63
204.560,moto,1,14,15.89,1,0,347.28,70.40,-188.44
206.560,atv,1,8,32.80,0,0,-559.44,6.87,-553.37
206.560,original,1,6,44.17,0,0,-633.04,9.64,206.05
206.560,tourer,1,8,38.91,0,0,-623.13,7.19,-422.10
206.560,moto,1,14,27.53,1,0,381.63,75.40,-192.32
208.560,atv,1,9,42.06,0,0,-483.57,7.57,-552.08
208.560,original,1,6,44.89,0,0,-631.80,9.35,116.82
208.560,tourer,1,8,38.90,0,0,-619.35,6.74,-503.83
208.560,moto,1,14,24.85,1,0,421.94,80.30,-210.63
210.560,atv,1,9,47.19,0,0,-394.04,6.75,-559.93
210.560,original,1,6,44.92,0,0,-630.15,8.98,26.98
210.560,tourer,1,8,10.61,0,0,-613.89,6.66,-544.39
210.560,moto,1,14,27.87,1,0,461.29,83.36,-173.11
212.560,atv,1,9,28.47,0,0,-320.97,13.43,-568.98
212.560,original,1,6,44.53,0,0,-628.57,11.69,-62.48
212.560,tourer,1,8,24.45,0,0,-583.10,6.80,-554.59
212.560,moto,1,14,27.73,1,0,496.42,85.12,-129.97
214.560,atv,1,10,31.60,0,0,-260.45,24.73,-578.57
214.560,original,1,6,41.20,0,0,-627.23,8.27,-148.70
214.560,tourer,1,8,34.12,0,0,-523.68,7.39,-548.46
214.560,moto,1,14,26.64,1,0,497.36,88.90,-89.55
216.560,atv,1,10,38.35,0,0,-192.90,31.32,-584.24
