time,name,streetDistance,routeIsStreet,recoveries,x,y,z
3.00,Traffic 1,2.676,True,0,319.48,74.97,287.46
3.00,Traffic 2,2.673,True,0,342.19,38.31,-396.58
3.00,Traffic 3,2.680,True,0,-564.16,6.97,-548.91
3.00,Traffic 4,2.202,True,0,-569.81,8.63,543.53
3.00,Traffic 5,6.184,True,0,-546.47,8.59,534.74
3.00,Traffic 6,6.184,True,0,-523.79,8.58,545.66
3.00,Traffic 7,2.150,True,0,-502.37,8.59,536.07
3.00,Traffic 8,2.150,True,0,-480.20,8.63,539.09
3.00,Traffic 9,6.184,True,0,-371.57,9.26,527.03
3.00,Traffic 10,6.184,True,0,-349.14,9.39,538.52
3.00,Traffic 11,2.150,True,0,-327.44,9.51,529.57
3.00,Traffic 12,2.150,True,0,-305.32,9.60,533.00
3.00,Traffic 13,6.184,True,0,-196.44,9.35,523.11
3.00,Traffic 14,6.184,True,0,-174.38,9.20,535.31
3.00,Traffic 15,2.150,True,0,-152.41,9.04,527.06
3.00,Traffic 16,2.150,True,0,-130.40,8.88,531.14
3.00,Traffic 17,6.184,True,0,-21.40,8.52,522.68
3.00,Traffic 18,6.184,True,0,0.47,8.55,535.16
3.00,Traffic 19,2.150,True,0,22.70,8.62,527.81
3.00,Traffic 20,2.150,True,0,43.93,8.86,534.64
5.14,Traffic 1,2.794,True,0,322.33,79.13,266.31
5.14,Traffic 2,2.580,True,0,365.83,31.03,-395.94
5.14,Traffic 3,2.643,True,0,-587.94,6.77,-548.70
5.14,Traffic 4,2.362,True,0,-590.95,8.74,541.25
5.14,Traffic 5,6.164,True,0,-519.80,8.74,533.11
5.14,Traffic 6,6.249,True,0,-550.47,8.69,547.31
5.14,Traffic 7,2.192,True,0,-475.57,8.64,534.78
5.14,Traffic 8,2.174,True,0,-506.89,8.78,540.40
5.14,Traffic 9,6.188,True,0,-344.97,9.42,526.06
5.14,Traffic 10,6.181,True,0,-375.94,9.23,539.49
5.14,Traffic 11,2.157,True,0,-300.80,9.61,528.76
5.14,Traffic 12,2.143,True,0,-332.09,9.49,533.82
5.14,Traffic 13,6.189,True,0,-169.61,9.16,522.99
5.14,Traffic 14,6.183,True,0,-200.99,9.38,535.44
5.14,Traffic 15,2.153,True,0,-125.57,8.85,527.04
5.14,Traffic 16,2.148,True,0,-157.01,9.07,531.17
5.14,Traffic 17,6.213,True,0,5.31,8.56,522.93
5.14,Traffic 18,6.141,True,0,-26.27,8.52,534.94
