time,vehicle,lap,gate,speed,recoveries,misses,x,y,z
3.000,original,0,0,0.00,0,0,316.80,23.40,481.02
3.000,tourer,0,0,0.00,0,0,321.22,21.51,488.61
3.000,moto,0,0,0.00,0,0,316.93,19.72,495.48
3.000,atv,0,0,0.00,0,0,321.50,18.15,502.19
5.140,original,0,0,26.03,0,0,317.31,16.29,511.37
5.140,tourer,0,1,25.25,0,0,321.39,14.88,517.83
5.140,moto,0,1,28.61,0,0,317.88,11.91,531.81
5.140,atv,0,1,24.95,0,0,321.75,11.08,536.13
7.140,original,0,1,12.40,0,0,315.43,8.62,552.92
7.140,tourer,0,1,11.93,0,0,318.39,8.63,555.19
7.140,moto,0,1,15.77,0,0,308.09,8.56,559.22
7.140,atv,0,1,19.01,0,0,308.94,8.55,562.07
9.140,original,0,1,23.84,0,0,286.72,8.69,563.69
9.140,tourer,0,1,25.23,0,0,285.47,8.69,565.73
9.140,moto,0,1,35.00,0,0,255.68,8.56,563.27
9.140,atv,0,1,34.86,0,0,253.76,8.57,564.61
11.140,original,0,1,34.10,0,0,227.76,9.05,559.76
11.140,tourer,0,1,34.97,0,0,224.51,9.09,561.24
11.140,moto,0,1,45.20,0,0,175.09,9.44,552.13
11.140,atv,0,1,43.14,0,0,175.48,9.44,554.27
13.140,original,0,1,39.49,0,0,154.25,9.71,549.78
13.140,tourer,0,1,40.53,0,0,149.11,9.73,551.32
13.140,moto,0,2,46.04,0,0,79.61,9.52,544.43
13.140,atv,0,1,45.76,0,0,84.88,9.55,546.76
15.140,original,0,2,39.64,0,0,73.28,9.62,548.02
15.140,tourer,0,2,38.69,0,0,66.93,9.54,543.45
15.140,moto,0,2,44.77,0,0,-6.04,8.38,530.23
15.140,atv,0,2,41.20,0,0,2.27,8.40,534.97
17.140,original,0,2,39.38,0,0,-2.62,8.53,534.56
17.140,tourer,0,2,35.30,0,0,-3.05,8.53,530.19
17.140,moto,0,2,23.77,0,0,-83.81,8.48,520.50
17.140,atv,0,2,23.69,0,0,-75.79,8.46,524.39
19.140,original,0,2,42.42,0,0,-84.79,8.64,534.49
19.140,tourer,0,2,40.85,0,0,-79.78,8.62,531.18
19.140,moto,0,6,37.49,0,0,-105.23,9.92,464.05
