t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.030,837.341,100.271,-134.104,22.683,20.154,2.693,10.207,0.000,0.000,-0.074,3,10.689,6.480,0.999,"Mountain trunk:(0.866, 0.000, 0.500);Mountain trunk:(0.866, 0.000, 0.500);Mountain trunk:(0.866, 0.000, 0.500);Mountain trunk:(0.866, 0.000, 0.500);Ground_Mountain_0_1:(-0.081, 0.990, -0.115);Ground_Mountain_0_1:(-0.081, 0.990, -0.115);Ground_Mountain_0_1:(-0.081, 0.990, -0.115);Ground_Mountain_0_1:(-0.081, 0.990, -0.115);Ground_Mountain_0_1:(-0.081, 0.990, -0.115);Ground_Mountain_0_1:(0.000, 1.000, 0.000);Ground_Mountain_0_1:(0.000, 1.000, 0.000);Ground_Mountain_0_1:(0.000, 1.000, 0.000);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(0.194, 0.947, -0.257);Ground_Mountain_0_1:(0.194, 0.947, -0.257);Ground_Mountain_0_1:(-0.134, 0.956, -0.260);Ground_Mountain_0_1:(-0.134, 0.956, -0.260);Ground_Mountain_0_1:(-0.134, 0.956, -0.260);Ground_Mountain_0_1:(-0.134, 0.956, -0.260);"
0.040,148.336,837.736,100.322,-133.906,22.849,20.235,2.616,10.303,0.658,0.000,-0.088,3,4.186,13.974,0.996,"Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Ground_Mountain_0_1:(-0.043, 0.998, -0.040);Ground_Mountain_0_1:(-0.043, 0.998, -0.040);Ground_Mountain_0_1:(-0.043, 0.998, -0.040);Ground_Mountain_0_1:(-0.043, 0.998, -0.040);Ground_Mountain_0_1:(-0.043, 0.998, -0.040);Ground_Mountain_0_1:(-0.043, 0.998, -0.040);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.416, 0.800, -0.433);Ground_Mountain_0_1:(0.416, 0.800, -0.433);Ground_Mountain_0_1:(0.416, 0.800, -0.433);Ground_Mountain_0_1:(0.194, 0.947, -0.257);Ground_Mountain_0_1:(0.194, 0.947, -0.257);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(-0.137, 0.982, -0.132);"
0.060,148.336,838.092,100.498,-133.719,22.573,20.020,3.930,9.711,0.575,0.000,-0.101,3,6.157,14.278,0.980,"Mountain trunk:(0.885, 0.000, 0.465);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.070, 0.995, -0.070);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.070, 0.995, -0.070);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.416, 0.800, -0.433);Ground_Mountain_0_1:(0.416, 0.800, -0.433);Ground_Mountain_0_1:(0.416, 0.800, -0.433);"
0.080,148.709,838.499,100.685,-133.560,22.029,19.898,5.123,9.172,0.713,0.000,-0.119,2,8.784,25.915,0.984,"Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.092, 0.988, -0.126);Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(-0.131, 0.919, -0.371);"
0.100,149.166,838.914,100.838,-133.385,21.430,19.993,5.086,9.300,0.985,0.000,-0.095,2,0.000,21.101,0.979,"Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.092, 0.988, -0.126);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(-0.139, 0.979, -0.148);"
0.120,149.632,839.311,100.946,-133.202,21.133,19.839,5.419,9.090,1.000,0.000,-0.067,1,0.000,2.760,0.977,"Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(-0.139, 0.979, -0.148);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.092, 0.988, -0.126);"
0.140,150.042,839.705,101.057,-133.026,21.023,19.771,5.521,8.914,1.000,0.000,-0.069,1,0.000,1.175,0.979,"Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(-0.139, 0.979, -0.148);Ground_Mountain_0_1:(-0.139, 0.979, -0.148);Ground_Mountain_0_1:(-0.139, 0.979, -0.148);"
0.160,150.042,840.100,101.164,-132.851,21.075,19.763,5.323,8.911,1.000,0.000,-0.076,1,0.000,0.366,0.981,"Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.040, 0.809, -0.586);Ground_Mountain_0_1:(0.040, 0.809, -0.586);"
0.180,150.366,840.494,101.267,-132.675,21.123,19.755,5.125,8.907,1.000,0.000,-0.082,1,0.000,0.339,0.983,"Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.040, 0.809, -0.586);Ground_Mountain_0_1:(0.040, 0.809, -0.586);Ground_Mountain_0_1:(0.040, 0.809, -0.586);"
0.200,150.803,840.889,101.366,-132.500,21.167,19.748,4.927,8.904,1.000,0.000,-0.087,0,0.000,0.315,0.985,"Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.040, 0.809, -0.586);"
0.220,151.238,841.283,101.461,-132.325,21.207,19.740,4.728,8.900,1.000,0.000,-0.092,0,0.000,0.294,0.986,"Ground_Mountain_0_1:(-0.085, 0.968, -0.235);Ground_Mountain_0_1:(-0.085, 0.968, -0.235);Ground_Mountain_0_1:(0.048, 0.993, -0.105);"
0.240,151.672,841.677,101.552,-132.149,21.243,19.732,4.530,8.897,1.000,0.000,-0.097,0,0.000,0.278,0.988,"Ground_Mountain_0_1:(-0.085, 0.968, -0.235);Ground_Mountain_0_1:(-0.085, 0.968, -0.235);"
0.260,151.747,842.071,101.639,-131.974,21.275,19.724,4.333,8.893,1.000,0.000,-0.105,0,0.000,0.266,0.989,""
0.280,151.980,842.465,101.722,-131.799,21.303,19.716,4.135,8.889,1.000,0.000,-0.111,0,0.000,0.259,0.990,""
0.300,152.409,842.858,101.801,-131.624,21.328,19.708,3.937,8.886,1.000,0.000,-0.117,0,0.000,0.258,0.991,""
0.320,152.837,843.252,101.876,-131.449,21.348,19.700,3.739,8.882,1.000,0.000,-0.122,0,0.000,0.261,0.992,""
0.340,153.263,843.645,101.948,-131.274,21.365,19.692,3.542,8.879,1.000,0.000,-0.127,0,0.000,0.268,0.993,""
0.360,153.452,844.039,102.015,-131.099,21.379,19.684,3.344,8.875,1.000,0.000,-0.134,0,0.000,0.279,0.994,""
0.380,153.602,844.432,102.078,-130.925,21.388,19.677,3.147,8.872,1.000,0.000,-0.142,0,0.000,0.292,0.995,""
0.400,154.023,844.825,102.137,-130.750,21.395,19.669,2.949,8.868,1.000,0.000,-0.147,0,0.000,0.308,0.996,""
0.420,154.443,845.218,102.192,-130.575,21.398,19.661,2.752,8.865,1.000,0.000,-0.152,0,0.000,0.325,0.996,""
0.440,154.861,845.611,102.244,-130.400,21.398,19.653,2.555,8.861,1.000,0.000,-0.157,0,0.000,0.343,0.997,""
0.460,155.161,846.003,102.291,-130.226,21.395,19.645,2.358,8.858,1.000,0.000,-0.163,0,0.000,0.361,0.997,""
0.480,155.238,846.396,102.334,-130.051,21.390,19.637,2.160,8.854,1.000,0.000,-0.173,0,0.000,0.380,0.998,""
0.500,155.651,846.788,102.373,-129.877,21.381,19.629,1.964,8.850,1.000,0.000,-0.179,0,0.000,0.399,0.998,""
0.520,156.063,847.181,102.409,-129.702,21.370,19.622,1.767,8.847,1.000,0.000,-0.184,0,0.000,0.417,0.998,""
0.540,156.474,847.573,102.440,-129.527,21.357,19.614,1.570,8.843,1.000,0.000,-0.189,0,0.000,0.436,0.998,""
0.560,156.881,847.965,102.468,-129.353,21.341,19.606,1.373,8.840,1.000,0.000,-0.194,0,0.000,0.453,0.998,""
0.580,156.886,848.357,102.491,-129.178,21.323,19.598,1.176,8.836,1.000,0.000,-0.206,0,0.000,0.470,0.998,""
0.600,157.291,848.749,102.511,-129.004,21.303,19.590,0.980,8.833,1.000,0.000,-0.213,0,0.000,0.486,0.998,""
0.620,157.696,849.140,102.526,-128.829,21.282,19.582,0.783,8.829,1.000,0.000,-0.217,0,0.000,0.501,0.998,""
0.640,158.100,849.532,102.538,-128.655,21.258,19.575,0.587,8.826,1.000,0.000,-0.222,0,0.000,0.516,0.998,""
0.660,158.502,849.923,102.546,-128.481,21.234,19.567,0.390,8.822,1.000,0.000,-0.227,0,0.000,0.529,0.998,""
0.680,158.612,850.315,102.550,-128.306,21.207,19.559,0.194,8.819,1.000,0.000,-0.238,0,0.000,0.542,0.998,""
0.700,158.954,850.706,102.550,-128.132,21.180,19.551,-0.002,8.815,1.000,0.000,-0.244,0,0.000,0.553,0.998,""
0.720,159.352,851.097,102.546,-127.957,21.151,19.543,-0.198,8.812,1.000,0.000,-0.253,0,0.000,0.564,0.997,""
0.740,159.749,851.488,102.538,-127.783,21.122,19.535,-0.394,8.808,1.000,0.000,-0.257,0,0.000,0.573,0.997,""
0.760,160.145,851.878,102.526,-127.608,21.091,19.528,-0.590,8.805,1.000,0.000,-0.262,0,0.000,0.582,0.997,""
0.780,160.357,852.269,102.510,-127.434,21.060,19.520,-0.786,8.801,1.000,0.000,-0.271,0,0.000,0.590,0.996,""
0.800,160.646,852.659,102.490,-127.259,21.029,19.512,-0.982,8.798,1.000,0.000,-0.279,0,0.000,0.596,0.996,""
0.820,161.037,853.050,102.467,-127.085,20.997,19.504,-1.178,8.794,1.000,0.000,-0.283,0,0.000,0.602,0.996,""
0.840,161.427,853.440,102.439,-126.910,20.964,19.496,-1.373,8.790,1.000,0.000,-0.294,0,0.000,0.606,0.995,""
0.860,161.816,853.830,102.408,-126.736,20.932,19.489,-1.569,8.787,1.000,0.000,-0.298,0,0.000,0.610,0.995,""
0.880,162.119,854.220,102.372,-126.562,20.899,19.481,-1.764,8.783,1.000,0.000,-0.305,0,0.000,0.613,0.995,""
0.900,162.371,854.610,102.333,-126.387,20.867,19.473,-1.960,8.780,1.000,0.000,-0.314,0,0.000,0.614,0.994,""
0.920,162.756,854.999,102.290,-126.213,20.834,19.465,-2.155,8.776,1.000,0.000,-0.318,0,0.000,0.615,0.994,""
0.940,163.140,855.389,102.243,-126.038,20.802,19.457,-2.350,8.773,1.000,0.000,-0.330,0,0.000,0.615,0.994,""
0.960,163.523,855.778,102.192,-125.864,20.771,19.450,-2.545,8.769,1.000,0.000,-0.334,0,0.000,0.614,0.993,""
0.980,163.900,856.167,102.137,-125.689,20.739,19.442,-2.741,8.766,1.000,0.000,-0.338,0,0.000,0.612,0.993,""
1.000,164.137,856.556,102.078,-125.515,20.708,19.434,-2.936,8.762,1.000,0.000,-0.348,0,0.000,0.609,0.993,""
1.020,164.517,856.945,102.015,-125.340,20.678,19.426,-3.131,8.759,1.000,0.000,-0.351,0,0.000,0.606,0.993,""
1.040,164.896,857.334,101.949,-125.166,20.648,19.419,-3.325,8.755,1.000,0.000,-0.355,0,0.000,0.602,0.992,""
1.060,165.274,857.723,101.878,-124.991,20.620,19.411,-3.520,8.752,1.000,0.000,-0.369,0,0.000,0.596,0.992,""
1.080,165.651,858.111,101.804,-124.817,20.591,19.403,-3.715,8.748,1.000,0.000,-0.373,0,0.000,0.591,0.992,""
1.100,165.948,858.499,101.726,-124.642,20.564,19.395,-3.910,8.745,1.000,0.000,-0.379,0,0.000,0.584,0.992,""
1.120,166.323,858.887,101.644,-124.468,20.538,19.387,-4.104,8.741,1.000,0.000,-0.383,0,0.000,0.577,0.992,""
1.140,166.696,859.275,101.558,-124.294,20.513,19.380,-4.299,8.738,1.000,0.000,-0.386,0,0.000,0.569,0.992,""
1.160,167.069,859.663,101.468,-124.119,20.488,19.372,-4.493,8.734,1.000,0.000,-0.389,0,0.000,0.560,0.992,""
1.180,167.441,860.051,101.374,-123.945,20.465,19.364,-4.687,8.731,1.000,0.000,-0.405,0,0.000,0.551,0.991,""
1.200,167.811,860.439,101.276,-123.770,20.443,19.356,-4.882,8.727,1.000,0.000,-0.408,0,0.000,0.541,0.991,""
1.220,168.181,860.826,101.175,-123.596,20.422,19.349,-5.076,8.724,1.000,0.000,-0.411,0,0.000,0.531,0.991,""
1.240,168.551,861.213,101.069,-123.422,20.402,19.341,-5.270,8.720,1.000,0.000,-0.413,0,0.000,0.520,0.991,""
1.260,168.919,861.600,100.960,-123.247,20.384,19.333,-5.464,8.717,1.000,0.000,-0.416,0,0.000,0.509,0.992,""
1.280,169.287,861.987,100.847,-123.073,20.366,19.326,-5.658,8.713,1.000,0.000,-0.419,0,0.000,0.497,0.992,""
1.300,169.729,862.374,100.730,-122.898,20.350,19.318,-5.852,8.710,1.000,0.000,-0.433,0,0.000,0.485,0.992,""
