t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.080,1044.875,153.257,40.808,15.853,-5.549,-0.057,14.850,0.000,0.000,-0.049,2,8.061,3.386,1.000,"Ground_Mountain_1_4:(-0.125, 0.991, 0.057);Ground_Mountain_1_4:(-0.125, 0.991, 0.057);Ground_Mountain_1_4:(-0.125, 0.991, 0.057);Ground_Mountain_1_4:(-0.125, 0.991, 0.057);Ground_Mountain_1_4:(-0.125, 0.991, 0.057);Ground_Mountain_1_4:(-0.125, 0.991, 0.057);Ground_Mountain_1_4:(-0.125, 0.991, 0.057);Ground_Mountain_1_4:(-0.125, 0.991, 0.057);Ground_Mountain_1_4:(-0.125, 0.991, 0.057);Ground_Mountain_1_4:(-0.125, 0.991, 0.057);Ground_Mountain_1_4:(-0.125, 0.991, 0.057);Ground_Mountain_1_4:(-0.125, 0.991, 0.057);Ground_Mountain_1_4:(-0.127, 0.990, 0.057);Ground_Mountain_1_4:(-0.127, 0.990, 0.057);Ground_Mountain_1_4:(-0.127, 0.990, 0.057);Ground_Mountain_1_4:(-0.127, 0.990, 0.057);Ground_Mountain_1_4:(-0.127, 0.990, 0.057);Ground_Mountain_1_4:(-0.127, 0.990, 0.057);Ground_Mountain_1_4:(-0.128, 0.990, 0.057);Ground_Mountain_1_4:(-0.128, 0.990, 0.057);Ground_Mountain_1_4:(-0.128, 0.990, 0.057);Ground_Mountain_1_4:(-0.128, 0.990, 0.057);Ground_Mountain_1_4:(-0.128, 0.990, 0.057);Ground_Mountain_1_4:(-0.128, 0.990, 0.057);Ground_Mountain_1_4:(-0.129, 0.990, 0.057);Ground_Mountain_1_4:(-0.129, 0.990, 0.057);Ground_Mountain_1_4:(-0.129, 0.990, 0.057);Ground_Mountain_1_4:(-0.129, 0.990, 0.057);Ground_Mountain_1_4:(-0.129, 0.990, 0.057);Ground_Mountain_1_4:(-0.129, 0.990, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.133, 0.989, 0.057);Ground_Mountain_1_4:(-0.134, 0.989, 0.057);Ground_Mountain_1_4:(-0.134, 0.989, 0.057);Ground_Mountain_1_4:(-0.134, 0.989, 0.057);Ground_Mountain_1_4:(-0.134, 0.989, 0.057);Ground_Mountain_1_4:(-0.134, 0.989, 0.057);Ground_Mountain_1_4:(-0.134, 0.989, 0.057);Ground_Mountain_1_4:(-0.136, 0.989, 0.057);Ground_Mountain_1_4:(-0.136, 0.989, 0.057);Ground_Mountain_1_4:(-0.136, 0.989, 0.057);Ground_Mountain_1_4:(-0.136, 0.989, 0.057);Ground_Mountain_1_4:(-0.136, 0.989, 0.057);Ground_Mountain_1_4:(-0.136, 0.989, 0.057);Ground_Mountain_1_4:(-0.137, 0.989, 0.057);Ground_Mountain_1_4:(-0.137, 0.989, 0.057);Ground_Mountain_1_4:(-0.137, 0.989, 0.057);Ground_Mountain_1_4:(-0.137, 0.989, 0.057);Ground_Mountain_1_4:(-0.137, 0.989, 0.057);Ground_Mountain_1_4:(-0.137, 0.989, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.141, 0.988, 0.057);Ground_Mountain_1_4:(-0.143, 0.988, 0.057);Ground_Mountain_1_4:(-0.143, 0.988, 0.057);Ground_Mountain_1_4:(-0.143, 0.988, 0.057);Ground_Mountain_1_4:(-0.143, 0.988, 0.057);Ground_Mountain_1_4:(-0.143, 0.988, 0.057);Ground_Mountain_1_4:(-0.143, 0.988, 0.057);Ground_Mountain_1_4:(-0.143, 0.988, 0.057);Ground_Mountain_1_4:(-0.143, 0.988, 0.057);Ground_Mountain_1_4:(-0.143, 0.988, 0.057);Ground_Mountain_1_4:(-0.143, 0.988, 0.057);Ground_Mountain_1_4:(-0.143, 0.988, 0.057);Ground_Mountain_1_4:(-0.143, 0.988, 0.057);Ground_Mountain_1_4:(-0.149, 0.987, 0.057);Ground_Mountain_1_4:(-0.149, 0.987, 0.057);Ground_Mountain_1_4:(-0.149, 0.987, 0.057);Ground_Mountain_1_4:(-0.149, 0.987, 0.057);Ground_Mountain_1_4:(-0.149, 0.987, 0.057);Ground_Mountain_1_4:(-0.149, 0.987, 0.057);Ground_Mountain_2_3:(0.057, 0.988, -0.145);Ground_Mountain_2_3:(0.057, 0.988, -0.145);Ground_Mountain_2_3:(0.057, 0.988, -0.145);Ground_Mountain_2_3:(0.057, 0.988, -0.145);Ground_Mountain_2_3:(0.057, 0.988, -0.145);Ground_Mountain_2_3:(0.057, 0.988, -0.145);"
0.040,472.392,1044.768,153.263,41.099,15.751,-5.484,0.304,14.763,0.074,0.000,-0.051,4,12.027,2.101,1.000,"Ground_Mountain_2_3:(0.056, 0.988, -0.144);Ground_Mountain_2_3:(0.056, 0.988, -0.144);Ground_Mountain_2_3:(0.056, 0.988, -0.144);Ground_Mountain_2_3:(0.056, 0.988, -0.144);Ground_Mountain_2_3:(0.056, 0.988, -0.144);Ground_Mountain_2_3:(0.056, 0.988, -0.144);"
0.060,472.745,1044.662,153.276,41.386,15.687,-5.444,0.646,14.699,0.125,0.000,-0.053,4,14.397,2.960,0.999,"Ground_Mountain_2_3:(0.059, 0.988, -0.144);Ground_Mountain_2_3:(0.059, 0.988, -0.144);Ground_Mountain_2_3:(0.059, 0.988, -0.144);Ground_Mountain_2_3:(0.059, 0.988, -0.144);Ground_Mountain_2_3:(0.059, 0.988, -0.144);Ground_Mountain_2_3:(0.059, 0.988, -0.144);"
0.080,473.049,1044.556,153.292,41.673,15.687,-5.443,0.862,14.691,0.157,0.000,-0.055,4,17.525,6.088,0.997,"Ground_Mountain_2_3:(0.058, 0.988, -0.144);Ground_Mountain_2_3:(0.058, 0.988, -0.144);Ground_Mountain_2_3:(0.058, 0.988, -0.144);Ground_Mountain_2_3:(0.058, 0.988, -0.144);Ground_Mountain_2_3:(0.058, 0.988, -0.144);Ground_Mountain_2_3:(0.058, 0.988, -0.144);"
0.100,473.354,1044.450,153.314,41.960,15.694,-5.455,1.102,14.682,0.157,0.000,-0.057,4,21.187,6.228,0.995,"Ground_Mountain_2_3:(0.058, 0.988, -0.144);Ground_Mountain_2_3:(0.058, 0.988, -0.144);Ground_Mountain_2_3:(0.058, 0.988, -0.144);Ground_Mountain_2_3:(0.058, 0.988, -0.144);Ground_Mountain_2_3:(0.058, 0.988, -0.144);Ground_Mountain_2_3:(0.058, 0.988, -0.144);"
0.120,473.661,1044.342,153.341,42.249,15.699,-5.465,1.386,14.660,0.153,0.000,-0.059,4,23.889,5.600,0.993,"Ground_Mountain_2_3:(0.058, 0.988, -0.143);Ground_Mountain_2_3:(0.058, 0.988, -0.143);Ground_Mountain_2_3:(0.058, 0.988, -0.143);Ground_Mountain_2_3:(0.058, 0.988, -0.143);Ground_Mountain_2_3:(0.058, 0.988, -0.143);Ground_Mountain_2_3:(0.058, 0.988, -0.143);"
0.140,473.969,1044.234,153.374,42.537,15.702,-5.473,1.699,14.625,0.150,0.000,-0.060,4,25.355,4.875,0.991,"Ground_Mountain_2_3:(0.058, 0.988, -0.143);Ground_Mountain_2_3:(0.058, 0.988, -0.143);Ground_Mountain_2_3:(0.058, 0.988, -0.143);Ground_Mountain_2_3:(0.058, 0.988, -0.143);Ground_Mountain_2_3:(0.058, 0.988, -0.143);Ground_Mountain_2_3:(0.058, 0.988, -0.143);"
0.160,474.278,1044.126,153.414,42.826,15.703,-5.482,2.018,14.579,0.149,0.000,-0.060,4,25.759,4.170,0.989,"Ground_Mountain_2_3:(0.060, 0.988, -0.143);Ground_Mountain_2_3:(0.060, 0.988, -0.143);Ground_Mountain_2_3:(0.060, 0.988, -0.143);Ground_Mountain_2_3:(0.060, 0.988, -0.143);Ground_Mountain_2_3:(0.060, 0.988, -0.143);Ground_Mountain_2_3:(0.060, 0.988, -0.143);Ground_Mountain_2_3:(0.067, 0.988, -0.141);"
0.180,474.632,1044.017,153.460,43.114,15.703,-5.494,2.327,14.527,0.149,0.000,-0.061,4,25.308,3.538,0.988,"Ground_Mountain_2_3:(0.062, 0.988, -0.143);Ground_Mountain_2_3:(0.062, 0.988, -0.143);Ground_Mountain_2_3:(0.062, 0.988, -0.143);Ground_Mountain_2_3:(0.062, 0.988, -0.143);Ground_Mountain_2_3:(0.062, 0.988, -0.143);Ground_Mountain_2_3:(0.062, 0.988, -0.143);"
0.200,474.943,1043.908,153.512,43.401,15.702,-5.511,2.614,14.471,0.149,0.000,-0.061,4,24.192,2.956,0.986,"Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);"
0.220,475.255,1043.798,153.569,43.688,15.701,-5.533,2.868,14.415,0.149,0.000,-0.062,4,22.588,2.436,0.986,"Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);"
0.240,475.567,1043.687,153.631,43.974,15.699,-5.560,3.083,14.360,0.149,0.000,-0.062,4,20.652,1.972,0.985,"Ground_Mountain_2_3:(0.062, 0.988, -0.144);Ground_Mountain_2_3:(0.062, 0.988, -0.144);Ground_Mountain_2_3:(0.062, 0.988, -0.144);Ground_Mountain_2_3:(0.062, 0.988, -0.144);Ground_Mountain_2_3:(0.062, 0.988, -0.144);Ground_Mountain_2_3:(0.062, 0.988, -0.144);"
0.260,475.880,1043.575,153.696,44.260,15.696,-5.594,3.257,14.310,0.151,0.000,-0.061,4,18.541,1.552,0.984,"Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);Ground_Mountain_2_3:(0.061, 0.988, -0.143);"
0.280,476.192,1043.463,153.764,44.545,15.692,-5.633,3.388,14.265,0.152,0.000,-0.061,4,16.360,1.194,0.984,"Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);"
0.300,476.545,1043.350,153.833,44.829,15.688,-5.678,3.476,14.225,0.154,0.000,-0.061,4,14.217,0.884,0.984,"Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);Ground_Mountain_2_3:(0.062, 0.988, -0.142);"
0.320,476.858,1043.235,153.904,45.113,15.684,-5.728,3.525,14.192,0.156,0.000,-0.060,4,12.191,0.628,0.984,"Ground_Mountain_2_3:(0.063, 0.988, -0.141);Ground_Mountain_2_3:(0.063, 0.988, -0.141);Ground_Mountain_2_3:(0.063, 0.988, -0.141);Ground_Mountain_2_3:(0.063, 0.988, -0.141);Ground_Mountain_2_3:(0.063, 0.988, -0.141);Ground_Mountain_2_3:(0.063, 0.988, -0.141);"
