t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,278.116,941.461,124.793,-74.531,23.784,-23.698,0.047,-2.025,0.000,0.000,0.000,2,9.876,4.768,1.000,"Ground_720_320:(0.057, 0.986, -0.158);Ground_720_320:(0.057, 0.986, -0.158);Ground_720_320:(0.253, 0.960, -0.123);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);Ground_720_320:(0.057, 0.986, -0.158);Ground_720_320:(0.057, 0.986, -0.158);Ground_720_320:(0.253, 0.960, -0.123);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);Ground_720_320:(0.057, 0.986, -0.158);Ground_720_320:(0.057, 0.986, -0.158);Ground_720_320:(0.253, 0.960, -0.123);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);Ground_720_320:(0.253, 0.960, -0.123);Ground_720_320:(0.057, 0.986, -0.158);Ground_720_320:(0.057, 0.986, -0.158);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);Ground_720_320:(0.253, 0.960, -0.123);Ground_720_320:(0.057, 0.986, -0.158);Ground_720_320:(0.057, 0.986, -0.158);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);CR014 trunk 05348:(0.000, 0.000, 1.000);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);"
0.040,277.657,940.985,124.792,-74.572,23.795,-23.710,-0.059,-2.026,0.108,0.000,0.000,2,4.755,3.114,1.000,"Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);"
0.060,277.191,940.508,124.787,-74.613,23.807,-23.721,-0.253,-2.027,0.102,0.000,0.000,2,0.310,2.333,1.000,"Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);Ground_Mountain_1_1:(-0.219, 0.976, -0.018);"
0.080,276.724,940.031,124.778,-74.653,23.800,-23.711,-0.449,-2.026,0.097,0.000,0.000,0,0.000,0.569,1.000,"Ground_Mountain_1_1:(-0.226, 0.974, -0.019);Ground_Mountain_1_1:(-0.226, 0.974, -0.019);Ground_Mountain_1_1:(-0.226, 0.974, -0.019);Ground_Mountain_1_1:(-0.226, 0.974, -0.019);"
0.100,276.257,939.555,124.765,-74.694,23.795,-23.702,-0.645,-2.026,0.100,0.000,0.000,0,0.000,0.589,0.999,"Ground_Mountain_1_1:(-0.226, 0.974, -0.019);Ground_Mountain_1_1:(-0.226, 0.974, -0.019);Ground_Mountain_1_1:(-0.226, 0.974, -0.019);Ground_Mountain_1_1:(-0.226, 0.974, -0.019);"
0.120,275.788,939.079,124.748,-74.735,23.792,-23.692,-0.841,-2.025,0.103,0.000,0.000,0,0.000,0.608,0.999,""
0.140,275.330,938.603,124.727,-74.775,23.790,-23.683,-1.037,-2.024,0.104,0.000,0.000,0,0.000,0.625,0.998,""
0.160,274.861,938.127,124.702,-74.816,23.790,-23.673,-1.233,-2.023,0.105,0.000,0.000,0,0.000,0.641,0.998,""
0.180,274.392,937.652,124.673,-74.857,23.792,-23.664,-1.428,-2.022,0.105,0.000,0.000,0,0.000,0.655,0.998,""
0.200,273.922,937.177,124.641,-74.897,23.795,-23.654,-1.624,-2.022,0.104,0.000,0.000,0,0.000,0.668,0.997,""
