t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,601.979,960.616,163.731,129.757,31.700,26.640,-0.069,-17.182,0.000,0.000,0.030,4,7.109,1.009,1.000,"Ground_Mountain_2_2:(0.328, 0.911, -0.250);Ground_Mountain_2_2:(0.328, 0.911, -0.250);Ground_Mountain_2_2:(0.328, 0.911, -0.250);Ground_Mountain_2_2:(0.328, 0.911, -0.250);Ground_Mountain_2_2:(0.328, 0.911, -0.250);Ground_Mountain_2_2:(0.328, 0.911, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.325, 0.912, -0.250);Ground_Mountain_2_2:(0.322, 0.913, -0.249);Ground_Mountain_2_2:(0.322, 0.913, -0.249);Ground_Mountain_2_2:(0.322, 0.913, -0.249);Ground_Mountain_2_2:(0.322, 0.913, -0.249);Ground_Mountain_2_2:(0.322, 0.913, -0.249);Ground_Mountain_2_2:(0.322, 0.913, -0.249);Ground_Mountain_2_2:(0.320, 0.914, -0.250);Ground_Mountain_2_2:(0.320, 0.914, -0.250);Ground_Mountain_2_2:(0.320, 0.914, -0.250);Ground_Mountain_2_2:(0.320, 0.914, -0.250);Ground_Mountain_2_2:(0.320, 0.914, -0.250);Ground_Mountain_2_2:(0.320, 0.914, -0.250);Ground_Mountain_2_2:(0.320, 0.914, -0.250);Ground_Mountain_2_2:(0.320, 0.914, -0.250);Ground_Mountain_2_2:(0.320, 0.914, -0.250);Ground_Mountain_2_2:(0.320, 0.914, -0.250);Ground_Mountain_2_2:(0.320, 0.914, -0.250);Ground_Mountain_2_2:(0.320, 0.914, -0.250);Ground_Mountain_2_2:(0.320, 0.914, -0.249);Ground_Mountain_2_2:(0.320, 0.914, -0.249);Ground_Mountain_2_2:(0.320, 0.914, -0.249);Ground_Mountain_2_2:(0.320, 0.914, -0.249);Ground_Mountain_2_2:(0.320, 0.914, -0.249);Ground_Mountain_2_2:(0.320, 0.914, -0.249);Ground_Mountain_2_2:(0.318, 0.915, -0.249);Ground_Mountain_2_2:(0.318, 0.915, -0.249);Ground_Mountain_2_2:(0.318, 0.915, -0.249);Ground_Mountain_2_2:(0.318, 0.915, -0.249);Ground_Mountain_2_2:(0.318, 0.915, -0.249);Ground_Mountain_2_2:(0.318, 0.915, -0.249);Ground_Mountain_2_2:(0.317, 0.915, -0.250);Ground_Mountain_2_2:(0.317, 0.915, -0.250);Ground_Mountain_2_2:(0.317, 0.915, -0.250);Ground_Mountain_2_2:(0.317, 0.915, -0.250);Ground_Mountain_2_2:(0.317, 0.915, -0.250);Ground_Mountain_2_2:(0.317, 0.915, -0.250);Ground_Mountain_2_2:(0.315, 0.915, -0.252);Ground_Mountain_2_2:(0.315, 0.915, -0.252);Ground_Mountain_2_2:(0.315, 0.915, -0.252);Ground_Mountain_2_2:(0.315, 0.915, -0.252);Ground_Mountain_2_2:(0.315, 0.915, -0.252);Ground_Mountain_2_2:(0.315, 0.915, -0.252);Ground_Mountain_2_2:(0.315, 0.916, -0.249);Ground_Mountain_2_2:(0.315, 0.916, -0.249);Ground_Mountain_2_2:(0.315, 0.916, -0.249);Ground_Mountain_2_2:(0.315, 0.916, -0.249);Ground_Mountain_2_2:(0.315, 0.916, -0.249);Ground_Mountain_2_2:(0.315, 0.916, -0.249);Ground_Mountain_2_2:(0.314, 0.916, -0.250);Ground_Mountain_2_2:(0.314, 0.916, -0.250);Ground_Mountain_2_2:(0.314, 0.916, -0.250);Ground_Mountain_2_2:(0.314, 0.916, -0.250);Ground_Mountain_2_2:(0.314, 0.916, -0.250);Ground_Mountain_2_2:(0.314, 0.916, -0.250);Ground_Mountain_2_2:(0.312, 0.916, -0.252);Ground_Mountain_2_2:(0.312, 0.916, -0.252);Ground_Mountain_2_2:(0.312, 0.916, -0.252);Ground_Mountain_2_2:(0.312, 0.916, -0.252);Ground_Mountain_2_2:(0.312, 0.916, -0.252);Ground_Mountain_2_2:(0.312, 0.916, -0.252);Ground_Mountain_2_2:(0.311, 0.916, -0.253);Ground_Mountain_2_2:(0.311, 0.916, -0.253);Ground_Mountain_2_2:(0.311, 0.916, -0.253);Ground_Mountain_2_2:(0.311, 0.916, -0.253);Ground_Mountain_2_2:(0.311, 0.916, -0.253);Ground_Mountain_2_2:(0.311, 0.916, -0.253);Ground_Mountain_2_2:(0.310, 0.917, -0.251);Ground_Mountain_2_2:(0.310, 0.917, -0.251);Ground_Mountain_2_2:(0.310, 0.917, -0.251);Ground_Mountain_2_2:(0.310, 0.917, -0.251);Ground_Mountain_2_2:(0.310, 0.917, -0.251);Ground_Mountain_2_2:(0.310, 0.917, -0.251);Ground_Mountain_2_2:(0.309, 0.917, -0.252);Ground_Mountain_2_2:(0.309, 0.917, -0.252);Ground_Mountain_2_2:(0.309, 0.917, -0.252);Ground_Mountain_2_2:(0.309, 0.917, -0.252);Ground_Mountain_2_2:(0.309, 0.917, -0.252);Ground_Mountain_2_2:(0.309, 0.917, -0.252);Ground_Mountain_2_2:(0.306, 0.917, -0.254);Ground_Mountain_2_2:(0.306, 0.917, -0.254);Ground_Mountain_2_2:(0.306, 0.917, -0.254);Ground_Mountain_2_2:(0.306, 0.917, -0.254);Ground_Mountain_2_2:(0.306, 0.917, -0.254);Ground_Mountain_2_2:(0.306, 0.917, -0.254);Ground_Mountain_2_2:(0.306, 0.918, -0.252);Ground_Mountain_2_2:(0.306, 0.918, -0.252);Ground_Mountain_2_2:(0.306, 0.918, -0.252);Ground_Mountain_2_2:(0.306, 0.918, -0.252);Ground_Mountain_2_2:(0.306, 0.918, -0.252);Ground_Mountain_2_2:(0.306, 0.918, -0.252);Ground_Mountain_2_2:(0.305, 0.918, -0.253);Ground_Mountain_2_2:(0.305, 0.918, -0.253);Ground_Mountain_2_2:(0.305, 0.918, -0.253);Ground_Mountain_2_2:(0.305, 0.918, -0.253);Ground_Mountain_2_2:(0.305, 0.918, -0.253);Ground_Mountain_2_2:(0.305, 0.918, -0.253);Ground_Mountain_1_4:(-0.040, 0.999, 0.022);Ground_Mountain_1_4:(-0.040, 0.999, 0.022);Ground_Mountain_1_4:(-0.040, 0.999, 0.022);Ground_Mountain_1_4:(-0.040, 0.999, 0.022);Ground_Mountain_1_4:(-0.040, 0.999, 0.022);Ground_Mountain_1_4:(-0.040, 0.999, 0.022);Ground_Mountain_1_3:(-0.041, 0.999, 0.012);Ground_Mountain_1_3:(-0.041, 0.999, 0.012);Ground_Mountain_1_3:(-0.041, 0.999, 0.012);Ground_Mountain_1_3:(-0.041, 0.999, 0.012);Ground_Mountain_1_3:(-0.041, 0.999, 0.012);Ground_Mountain_1_3:(-0.041, 0.999, 0.012);"
0.040,601.346,961.149,163.730,129.413,31.713,26.647,-0.059,-17.194,0.150,0.000,0.031,4,10.265,0.482,1.000,"Ground_Mountain_1_4:(-0.040, 0.999, 0.022);Ground_Mountain_1_4:(-0.040, 0.999, 0.022);Ground_Mountain_1_4:(-0.040, 0.999, 0.022);Ground_Mountain_1_4:(-0.040, 0.999, 0.022);Ground_Mountain_1_4:(-0.040, 0.999, 0.022);Ground_Mountain_1_4:(-0.040, 0.999, 0.022);Ground_Mountain_1_3:(-0.041, 0.999, 0.012);Ground_Mountain_1_3:(-0.041, 0.999, 0.012);Ground_Mountain_1_3:(-0.041, 0.999, 0.012);Ground_Mountain_1_3:(-0.041, 0.999, 0.012);Ground_Mountain_1_3:(-0.041, 0.999, 0.012);Ground_Mountain_1_3:(-0.041, 0.999, 0.012);"
0.060,600.713,961.681,163.730,129.069,31.724,26.649,-0.004,-17.213,0.144,0.000,0.033,4,12.518,0.102,1.000,"Ground_Mountain_1_4:(-0.003, 1.000, 0.002);Ground_Mountain_1_4:(-0.003, 1.000, 0.002);Ground_Mountain_1_4:(-0.003, 1.000, 0.002);Ground_Mountain_1_3:(-0.030, 0.999, 0.013);Ground_Mountain_1_3:(-0.030, 0.999, 0.013);Ground_Mountain_1_3:(-0.030, 0.999, 0.013);Ground_Mountain_1_3:(-0.030, 0.999, 0.013);Ground_Mountain_1_3:(-0.030, 0.999, 0.013);Ground_Mountain_1_3:(-0.030, 0.999, 0.013);"
0.080,599.998,962.213,163.732,128.725,31.733,26.643,0.081,-17.240,0.138,0.000,0.034,4,14.034,0.276,1.000,"Ground_Mountain_1_3:(-0.024, 1.000, 0.013);Ground_Mountain_1_3:(-0.024, 1.000, 0.013);Ground_Mountain_1_3:(-0.024, 1.000, 0.013);Ground_Mountain_1_3:(-0.024, 1.000, 0.013);Ground_Mountain_1_3:(-0.024, 1.000, 0.013);Ground_Mountain_1_3:(-0.024, 1.000, 0.013);"
0.100,599.364,962.745,163.735,128.380,31.741,26.628,0.188,-17.276,0.134,0.000,0.035,4,15.131,0.355,1.000,"Ground_Mountain_1_3:(-0.023, 1.000, 0.010);Ground_Mountain_1_3:(-0.023, 1.000, 0.010);Ground_Mountain_1_3:(-0.023, 1.000, 0.010);Ground_Mountain_1_3:(-0.023, 1.000, 0.010);Ground_Mountain_1_3:(-0.023, 1.000, 0.010);Ground_Mountain_1_3:(-0.023, 1.000, 0.010);"
0.120,598.730,963.277,163.742,128.034,31.747,26.606,0.308,-17.322,0.130,0.000,0.036,4,15.802,0.482,1.000,"Ground_Mountain_1_3:(-0.023, 1.000, 0.010);Ground_Mountain_1_3:(-0.023, 1.000, 0.010);Ground_Mountain_1_3:(-0.023, 1.000, 0.010);Ground_Mountain_1_3:(-0.023, 1.000, 0.010);Ground_Mountain_1_3:(-0.023, 1.000, 0.010);Ground_Mountain_1_3:(-0.023, 1.000, 0.010);"
0.140,598.016,963.808,163.750,127.686,31.753,26.575,0.428,-17.376,0.126,0.000,0.037,4,15.770,0.613,1.000,"Ground_Mountain_1_3:(-0.012, 1.000, 0.005);Ground_Mountain_1_3:(-0.012, 1.000, 0.005);Ground_Mountain_1_3:(-0.012, 1.000, 0.005);Ground_Mountain_1_3:(-0.012, 1.000, 0.005);Ground_Mountain_1_3:(-0.012, 1.000, 0.005);Ground_Mountain_1_3:(-0.012, 1.000, 0.005);"
0.160,597.382,964.338,163.761,127.338,31.758,26.538,0.536,-17.439,0.123,0.000,0.037,4,15.238,0.599,1.000,"Ground_Mountain_1_3:(-0.012, 1.000, 0.005);Ground_Mountain_1_3:(-0.012, 1.000, 0.005);Ground_Mountain_1_3:(-0.012, 1.000, 0.005);Ground_Mountain_1_3:(-0.012, 1.000, 0.005);Ground_Mountain_1_3:(-0.012, 1.000, 0.005);Ground_Mountain_1_3:(-0.012, 1.000, 0.005);"
0.180,596.747,964.868,163.773,126.988,31.761,26.494,0.628,-17.511,0.121,0.000,0.038,4,14.413,0.535,1.000,"Ground_Mountain_1_3:(-0.012, 1.000, 0.003);Ground_Mountain_1_3:(-0.012, 1.000, 0.003);Ground_Mountain_1_3:(-0.012, 1.000, 0.003);Ground_Mountain_1_3:(-0.012, 1.000, 0.003);Ground_Mountain_1_3:(-0.012, 1.000, 0.003);Ground_Mountain_1_3:(-0.012, 1.000, 0.003);"
0.200,596.034,965.397,163.787,126.636,31.764,26.445,0.698,-17.590,0.119,0.000,0.038,4,13.308,0.510,1.000,"Ground_Mountain_1_3:(-0.005, 1.000, 0.000);Ground_Mountain_1_3:(-0.005, 1.000, 0.000);Ground_Mountain_1_3:(-0.005, 1.000, 0.000);Ground_Mountain_1_3:(-0.005, 1.000, 0.000);Ground_Mountain_1_3:(-0.005, 1.000, 0.000);Ground_Mountain_1_3:(-0.005, 1.000, 0.000);"
