t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,601.979,964.101,163.729,135.452,23.775,19.980,-0.057,-12.887,0.000,0.000,0.026,4,7.459,1.007,1.000,"Ground_Mountain_2_2:(-0.003, 0.994, -0.112);Ground_Mountain_2_2:(-0.003, 0.994, -0.112);Ground_Mountain_2_2:(0.209, 0.972, -0.107);Ground_Mountain_2_2:(-0.003, 0.994, -0.112);Ground_Mountain_2_2:(-0.003, 0.994, -0.112);Ground_Mountain_2_2:(-0.003, 0.994, -0.112);Ground_Mountain_2_2:(0.240, 0.967, -0.091);Ground_Mountain_2_2:(0.240, 0.967, -0.091);Ground_Mountain_2_2:(-0.002, 0.994, -0.113);Ground_Mountain_2_2:(-0.002, 0.994, -0.113);Ground_Mountain_2_2:(0.209, 0.972, -0.107);Ground_Mountain_2_2:(-0.002, 0.994, -0.113);Ground_Mountain_2_2:(-0.002, 0.994, -0.113);Ground_Mountain_2_2:(-0.002, 0.994, -0.113);Ground_Mountain_2_2:(0.240, 0.967, -0.091);Ground_Mountain_2_2:(0.240, 0.967, -0.091);Ground_Mountain_2_2:(0.000, 0.994, -0.113);Ground_Mountain_2_2:(0.000, 0.994, -0.113);Ground_Mountain_2_2:(0.209, 0.972, -0.107);Ground_Mountain_2_2:(0.000, 0.994, -0.113);Ground_Mountain_2_2:(0.000, 0.994, -0.113);Ground_Mountain_2_2:(0.000, 0.994, -0.113);Ground_Mountain_2_2:(0.240, 0.967, -0.091);Ground_Mountain_2_2:(0.240, 0.967, -0.091);Ground_Mountain_2_2:(0.010, 0.994, -0.111);Ground_Mountain_2_2:(0.010, 0.994, -0.111);Ground_Mountain_2_2:(0.010, 0.994, -0.111);Ground_Mountain_2_2:(0.010, 0.994, -0.111);Ground_Mountain_2_2:(0.010, 0.994, -0.111);Ground_Mountain_2_2:(0.010, 0.994, -0.111);Ground_Mountain_2_2:(0.240, 0.966, -0.097);Ground_Mountain_2_2:(0.240, 0.966, -0.097);Ground_Mountain_2_2:(0.240, 0.966, -0.097);Ground_Mountain_2_2:(0.003, 0.994, -0.111);Ground_Mountain_2_2:(0.003, 0.994, -0.111);Ground_Mountain_2_2:(0.003, 0.994, -0.111);Ground_Mountain_2_2:(0.003, 0.994, -0.111);Ground_Mountain_2_2:(0.003, 0.994, -0.111);Ground_Mountain_2_2:(0.003, 0.994, -0.111);Ground_Mountain_2_2:(0.225, 0.970, -0.093);Ground_Mountain_2_2:(0.225, 0.970, -0.093);Ground_Mountain_2_2:(0.225, 0.970, -0.093);Ground_Mountain_2_2:(0.225, 0.970, -0.093);Ground_Mountain_2_2:(0.225, 0.970, -0.093);Ground_Mountain_2_2:(0.225, 0.970, -0.093);Ground_Mountain_2_2:(0.005, 0.994, -0.111);Ground_Mountain_2_2:(0.005, 0.994, -0.111);Ground_Mountain_2_2:(0.005, 0.994, -0.111);Ground_Mountain_2_2:(0.005, 0.994, -0.111);Ground_Mountain_2_2:(0.005, 0.994, -0.111);Ground_Mountain_2_2:(0.005, 0.994, -0.111);Ground_Mountain_2_2:(0.220, 0.972, -0.087);Ground_Mountain_2_2:(0.220, 0.972, -0.087);Ground_Mountain_2_2:(0.220, 0.972, -0.087);Ground_Mountain_2_2:(0.220, 0.972, -0.087);Ground_Mountain_2_2:(0.220, 0.972, -0.087);Ground_Mountain_2_2:(0.220, 0.972, -0.087);Ground_Mountain_2_2:(0.005, 0.994, -0.112);Ground_Mountain_2_2:(0.005, 0.994, -0.112);Ground_Mountain_2_2:(0.005, 0.994, -0.112);Ground_Mountain_2_2:(0.005, 0.994, -0.112);Ground_Mountain_2_2:(0.005, 0.994, -0.112);Ground_Mountain_2_2:(0.005, 0.994, -0.112);Ground_Mountain_2_2:(0.210, 0.973, -0.096);Ground_Mountain_2_2:(0.210, 0.973, -0.096);Ground_Mountain_2_2:(0.210, 0.973, -0.096);Ground_Mountain_2_2:(0.210, 0.973, -0.096);Ground_Mountain_2_2:(0.210, 0.973, -0.096);Ground_Mountain_2_2:(0.009, 0.994, -0.111);Ground_Mountain_2_2:(0.009, 0.994, -0.111);Ground_Mountain_2_2:(0.009, 0.994, -0.111);Ground_Mountain_2_2:(0.009, 0.994, -0.111);Ground_Mountain_2_2:(0.009, 0.994, -0.111);Ground_Mountain_2_2:(0.009, 0.994, -0.111);Ground_Mountain_2_2:(0.210, 0.973, -0.096);Ground_Mountain_2_2:(0.210, 0.973, -0.096);Ground_Mountain_2_2:(0.210, 0.973, -0.096);Ground_Mountain_2_2:(0.210, 0.973, -0.096);Ground_Mountain_2_2:(0.210, 0.973, -0.096);Ground_Mountain_2_2:(0.012, 0.994, -0.111);Ground_Mountain_2_2:(0.012, 0.994, -0.111);Ground_Mountain_2_2:(0.012, 0.994, -0.111);Ground_Mountain_2_2:(0.012, 0.994, -0.111);Ground_Mountain_2_2:(0.012, 0.994, -0.111);Ground_Mountain_2_2:(0.012, 0.994, -0.111);Ground_Mountain_2_2:(0.210, 0.973, -0.098);Ground_Mountain_2_2:(0.210, 0.973, -0.098);Ground_Mountain_2_2:(0.210, 0.973, -0.098);Ground_Mountain_2_2:(0.210, 0.973, -0.098);Ground_Mountain_2_2:(0.210, 0.973, -0.098);Ground_Mountain_2_2:(0.210, 0.973, -0.098);Ground_Mountain_2_2:(0.020, 0.994, -0.112);Ground_Mountain_2_2:(0.020, 0.994, -0.112);Ground_Mountain_2_2:(0.020, 0.994, -0.112);Ground_Mountain_2_2:(0.020, 0.994, -0.112);Ground_Mountain_2_2:(0.020, 0.994, -0.112);Ground_Mountain_2_2:(0.020, 0.994, -0.112);Ground_Mountain_2_2:(0.210, 0.973, -0.098);Ground_Mountain_2_2:(0.210, 0.973, -0.098);Ground_Mountain_2_2:(0.210, 0.973, -0.098);Ground_Mountain_2_2:(0.210, 0.973, -0.098);Ground_Mountain_2_2:(0.210, 0.973, -0.098);Ground_Mountain_2_2:(0.210, 0.973, -0.098);Ground_Mountain_2_2:(0.198, 0.976, -0.095);Ground_Mountain_2_2:(0.198, 0.976, -0.095);Ground_Mountain_2_2:(0.198, 0.976, -0.095);Ground_Mountain_2_2:(0.198, 0.976, -0.095);Ground_Mountain_2_2:(0.198, 0.976, -0.095);Ground_Mountain_2_2:(0.198, 0.976, -0.095);Ground_Mountain_2_2:(0.025, 0.993, -0.112);Ground_Mountain_2_2:(0.025, 0.993, -0.112);Ground_Mountain_2_2:(0.025, 0.993, -0.112);Ground_Mountain_2_2:(0.025, 0.993, -0.112);Ground_Mountain_2_2:(0.025, 0.993, -0.112);Ground_Mountain_2_2:(0.025, 0.993, -0.112);Ground_Mountain_2_2:(0.036, 0.993, -0.111);Ground_Mountain_2_2:(0.036, 0.993, -0.111);Ground_Mountain_2_2:(0.036, 0.993, -0.111);Ground_Mountain_2_2:(0.036, 0.993, -0.111);Ground_Mountain_2_2:(0.036, 0.993, -0.111);Ground_Mountain_2_2:(0.036, 0.993, -0.111);Ground_Mountain_2_2:(0.191, 0.977, -0.094);Ground_Mountain_2_2:(0.191, 0.977, -0.094);Ground_Mountain_2_2:(0.191, 0.977, -0.094);Ground_Mountain_2_2:(0.191, 0.977, -0.094);Ground_Mountain_2_2:(0.191, 0.977, -0.094);Ground_Mountain_2_2:(0.191, 0.977, -0.094);Ground_Mountain_2_2:(0.042, 0.993, -0.110);Ground_Mountain_2_2:(0.042, 0.993, -0.110);Ground_Mountain_2_2:(0.042, 0.993, -0.110);Ground_Mountain_2_2:(0.042, 0.993, -0.110);Ground_Mountain_2_2:(0.042, 0.993, -0.110);Ground_Mountain_2_2:(0.042, 0.993, -0.110);Ground_Mountain_2_2:(0.191, 0.977, -0.094);Ground_Mountain_2_2:(0.191, 0.977, -0.094);Ground_Mountain_2_2:(0.191, 0.977, -0.094);Ground_Mountain_2_2:(0.191, 0.977, -0.094);Ground_Mountain_2_2:(0.191, 0.977, -0.094);Ground_Mountain_2_2:(0.191, 0.977, -0.094);Ground_Mountain_2_2:(0.047, 0.993, -0.109);Ground_Mountain_2_2:(0.047, 0.993, -0.109);Ground_Mountain_2_2:(0.047, 0.993, -0.109);Ground_Mountain_2_2:(0.047, 0.993, -0.109);Ground_Mountain_2_2:(0.047, 0.993, -0.109);Ground_Mountain_2_2:(0.047, 0.993, -0.109);Ground_Mountain_2_2:(0.157, 0.983, -0.096);Ground_Mountain_2_2:(0.157, 0.983, -0.096);Ground_Mountain_2_2:(0.157, 0.983, -0.096);Ground_Mountain_2_2:(0.157, 0.983, -0.096);Ground_Mountain_2_2:(0.157, 0.983, -0.096);Ground_Mountain_2_2:(0.157, 0.983, -0.096);Ground_Mountain_2_2:(0.040, 0.993, -0.108);Ground_Mountain_2_2:(0.040, 0.993, -0.108);Ground_Mountain_2_2:(0.040, 0.993, -0.108);Ground_Mountain_2_2:(0.040, 0.993, -0.108);Ground_Mountain_2_2:(0.040, 0.993, -0.108);Ground_Mountain_2_2:(0.040, 0.993, -0.108);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.042, 0.993, -0.108);Ground_Mountain_2_2:(0.042, 0.993, -0.108);Ground_Mountain_2_2:(0.042, 0.993, -0.108);Ground_Mountain_2_2:(0.042, 0.993, -0.108);Ground_Mountain_2_2:(0.042, 0.993, -0.108);Ground_Mountain_2_2:(0.042, 0.993, -0.108);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.058, 0.993, -0.108);Ground_Mountain_2_2:(0.058, 0.993, -0.108);Ground_Mountain_2_2:(0.058, 0.993, -0.108);Ground_Mountain_2_2:(0.058, 0.993, -0.108);Ground_Mountain_2_2:(0.058, 0.993, -0.108);Ground_Mountain_2_2:(0.058, 0.993, -0.108);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.187, 0.977, -0.098);Ground_Mountain_2_2:(0.149, 0.984, -0.101);Ground_Mountain_2_2:(0.149, 0.984, -0.101);Ground_Mountain_2_2:(0.149, 0.984, -0.101);Ground_Mountain_2_2:(0.149, 0.984, -0.101);Ground_Mountain_2_2:(0.149, 0.984, -0.101);Ground_Mountain_2_2:(0.149, 0.984, -0.101);Ground_Mountain_2_2:(0.006, 0.994, -0.106);Ground_Mountain_2_2:(0.006, 0.994, -0.106);Ground_Mountain_2_2:(0.006, 0.994, -0.106);Ground_Mountain_2_2:(0.006, 0.994, -0.106);Ground_Mountain_2_2:(0.006, 0.994, -0.106);Ground_Mountain_2_2:(0.006, 0.994, -0.106);Ground_Mountain_2_2:(0.134, 0.986, -0.099);Ground_Mountain_2_2:(0.134, 0.986, -0.099);Ground_Mountain_2_2:(0.134, 0.986, -0.099);Ground_Mountain_2_2:(0.134, 0.986, -0.099);Ground_Mountain_2_2:(0.134, 0.986, -0.099);Ground_Mountain_2_2:(0.134, 0.986, -0.099);Ground_Mountain_2_2:(0.005, 0.994, -0.105);Ground_Mountain_2_2:(0.005, 0.994, -0.105);Ground_Mountain_2_2:(0.005, 0.994, -0.105);Ground_Mountain_2_2:(0.005, 0.994, -0.105);Ground_Mountain_2_2:(0.005, 0.994, -0.105);Ground_Mountain_2_2:(0.136, 0.986, -0.099);Ground_Mountain_2_2:(0.136, 0.986, -0.099);Ground_Mountain_2_2:(0.136, 0.986, -0.099);Ground_Mountain_2_2:(0.136, 0.986, -0.099);Ground_Mountain_2_2:(0.136, 0.986, -0.099);Ground_Mountain_2_2:(0.136, 0.986, -0.099);Ground_Mountain_2_2:(0.005, 0.994, -0.105);Ground_Mountain_2_2:(0.005, 0.994, -0.105);Ground_Mountain_2_2:(0.005, 0.994, -0.105);Ground_Mountain_2_2:(0.005, 0.994, -0.105);Ground_Mountain_2_2:(0.005, 0.994, -0.105);Ground_Mountain_1_4:(-0.036, 0.999, 0.022);Ground_Mountain_1_4:(-0.036, 0.999, 0.022);Ground_Mountain_1_4:(-0.036, 0.999, 0.022);Ground_Mountain_1_4:(-0.036, 0.999, 0.022);Ground_Mountain_1_4:(-0.036, 0.999, 0.022);Ground_Mountain_1_4:(-0.036, 0.999, 0.022);"
0.040,601.504,964.500,163.728,135.195,23.787,19.988,-0.059,-12.896,0.113,0.000,0.027,4,9.667,0.602,1.000,"Ground_Mountain_1_4:(-0.036, 0.999, 0.022);Ground_Mountain_1_4:(-0.036, 0.999, 0.022);Ground_Mountain_1_4:(-0.036, 0.999, 0.022);Ground_Mountain_1_4:(-0.036, 0.999, 0.022);Ground_Mountain_1_4:(-0.036, 0.999, 0.022);Ground_Mountain_1_4:(-0.036, 0.999, 0.022);"
0.060,601.029,964.900,163.727,134.937,23.797,19.993,-0.023,-12.908,0.107,0.000,0.028,4,11.561,0.204,1.000,"Ground_Mountain_1_4:(-0.036, 0.999, 0.017);Ground_Mountain_1_4:(-0.036, 0.999, 0.017);Ground_Mountain_1_4:(-0.036, 0.999, 0.017);Ground_Mountain_1_4:(-0.036, 0.999, 0.017);Ground_Mountain_1_4:(-0.036, 0.999, 0.017);Ground_Mountain_1_4:(-0.036, 0.999, 0.017);"
0.080,600.555,965.299,163.728,134.679,23.806,19.993,0.043,-12.925,0.101,0.000,0.029,4,13.085,0.132,1.000,"Ground_Mountain_1_4:(-0.029, 0.999, 0.018);Ground_Mountain_1_4:(-0.029, 0.999, 0.018);Ground_Mountain_1_4:(-0.029, 0.999, 0.018);Ground_Mountain_1_4:(-0.029, 0.999, 0.018);Ground_Mountain_1_4:(-0.029, 0.999, 0.018);Ground_Mountain_1_4:(-0.029, 0.999, 0.018);"
0.100,600.086,965.698,163.731,134.420,23.813,19.987,0.129,-12.945,0.097,0.000,0.030,4,14.044,0.389,1.000,"Ground_Mountain_1_4:(-0.026, 1.000, 0.015);Ground_Mountain_1_4:(-0.026, 1.000, 0.015);Ground_Mountain_1_4:(-0.026, 1.000, 0.015);Ground_Mountain_1_4:(-0.026, 1.000, 0.015);Ground_Mountain_1_4:(-0.026, 1.000, 0.015);Ground_Mountain_1_4:(-0.026, 1.000, 0.015);"
0.120,599.610,966.097,163.735,134.161,23.819,19.977,0.226,-12.971,0.094,0.000,0.031,4,14.644,0.524,1.000,"Ground_Mountain_1_4:(-0.018, 1.000, 0.014);Ground_Mountain_1_4:(-0.018, 1.000, 0.014);Ground_Mountain_1_4:(-0.018, 1.000, 0.014);Ground_Mountain_1_4:(-0.018, 1.000, 0.014);Ground_Mountain_1_4:(-0.018, 1.000, 0.014);Ground_Mountain_1_4:(-0.018, 1.000, 0.014);"
0.140,599.135,966.495,163.742,133.901,23.824,19.962,0.327,-13.001,0.091,0.000,0.031,4,14.884,0.516,1.000,"Ground_Mountain_1_4:(-0.018, 1.000, 0.014);Ground_Mountain_1_4:(-0.018, 1.000, 0.014);Ground_Mountain_1_4:(-0.018, 1.000, 0.014);Ground_Mountain_1_4:(-0.018, 1.000, 0.014);Ground_Mountain_1_4:(-0.018, 1.000, 0.014);Ground_Mountain_1_4:(-0.018, 1.000, 0.014);"
0.160,598.659,966.894,163.750,133.641,23.828,19.943,0.428,-13.035,0.088,0.000,0.031,4,14.813,0.612,1.000,"Ground_Mountain_1_4:(-0.018, 1.000, 0.011);Ground_Mountain_1_4:(-0.018, 1.000, 0.011);Ground_Mountain_1_4:(-0.018, 1.000, 0.011);Ground_Mountain_1_4:(-0.018, 1.000, 0.011);Ground_Mountain_1_4:(-0.018, 1.000, 0.011);Ground_Mountain_1_4:(-0.018, 1.000, 0.011);"
0.180,598.183,967.292,163.761,133.380,23.831,19.920,0.520,-13.073,0.086,0.000,0.032,4,14.413,0.519,1.000,"Ground_Mountain_1_4:(-0.015, 1.000, 0.012);Ground_Mountain_1_4:(-0.015, 1.000, 0.012);Ground_Mountain_1_4:(-0.015, 1.000, 0.012);Ground_Mountain_1_4:(-0.015, 1.000, 0.012);Ground_Mountain_1_4:(-0.015, 1.000, 0.012);Ground_Mountain_1_4:(-0.015, 1.000, 0.012);"
0.200,597.714,967.690,163.773,133.118,23.834,19.894,0.598,-13.114,0.085,0.000,0.032,4,13.708,0.576,1.000,"Ground_Mountain_1_4:(-0.015, 1.000, 0.010);Ground_Mountain_1_4:(-0.015, 1.000, 0.010);Ground_Mountain_1_4:(-0.015, 1.000, 0.010);Ground_Mountain_1_4:(-0.015, 1.000, 0.010);Ground_Mountain_1_4:(-0.015, 1.000, 0.010);Ground_Mountain_1_4:(-0.015, 1.000, 0.010);"
