t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,148.030,837.343,100.271,-134.103,22.688,20.157,2.679,10.213,0.000,0.000,-0.074,3,10.679,6.480,0.999,"Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.764, 0.062, -0.642);Mountain trunk:(0.764, 0.062, -0.642);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.766, -0.056, 0.640);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Ground_Mountain_0_2:(-0.475, 0.460, 0.750);Mountain trunk:(0.766, 0.054, -0.641);Mountain trunk:(0.766, 0.054, -0.641);Ground_Mountain_0_1:(-0.081, 0.990, -0.115);Ground_Mountain_0_1:(-0.081, 0.990, -0.115);Ground_Mountain_0_1:(-0.081, 0.990, -0.115);Ground_Mountain_0_1:(-0.081, 0.990, -0.115);Ground_Mountain_0_1:(-0.081, 0.990, -0.115);Ground_Mountain_0_1:(0.000, 1.000, 0.000);Ground_Mountain_0_1:(0.000, 1.000, 0.000);Ground_Mountain_0_1:(0.000, 1.000, 0.000);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(0.194, 0.947, -0.257);Ground_Mountain_0_1:(0.194, 0.947, -0.257);Ground_Mountain_0_1:(-0.134, 0.956, -0.260);Ground_Mountain_0_1:(-0.134, 0.956, -0.260);Ground_Mountain_0_1:(-0.134, 0.956, -0.260);Ground_Mountain_0_1:(-0.134, 0.956, -0.260);Mountain trunk:(0.866, 0.000, 0.500);Mountain trunk:(0.866, 0.000, 0.500);Mountain trunk:(0.866, 0.000, 0.500);Mountain trunk:(0.866, 0.000, 0.500);"
0.040,148.333,837.738,100.322,-133.904,22.853,20.237,2.602,10.309,0.656,0.000,-0.088,3,4.208,13.955,0.996,"Ground_Mountain_0_1:(-0.043, 0.998, -0.040);Ground_Mountain_0_1:(-0.043, 0.998, -0.040);Ground_Mountain_0_1:(-0.043, 0.998, -0.040);Ground_Mountain_0_1:(-0.043, 0.998, -0.040);Ground_Mountain_0_1:(-0.043, 0.998, -0.040);Ground_Mountain_0_1:(-0.043, 0.998, -0.040);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.416, 0.800, -0.433);Ground_Mountain_0_1:(0.416, 0.800, -0.433);Ground_Mountain_0_1:(0.416, 0.800, -0.433);Ground_Mountain_0_1:(0.194, 0.947, -0.257);Ground_Mountain_0_1:(0.194, 0.947, -0.257);Ground_Mountain_0_1:(-0.057, 0.878, -0.475);Ground_Mountain_0_1:(-0.057, 0.878, -0.475);Ground_Mountain_0_1:(-0.057, 0.878, -0.475);Ground_Mountain_0_1:(-0.057, 0.878, -0.475);Ground_Mountain_0_1:(-0.137, 0.982, -0.132);Ground_Mountain_0_1:(-0.137, 0.982, -0.132);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);Mountain trunk:(1.000, 0.000, 0.000);"
0.060,148.333,838.094,100.499,-133.718,22.574,20.022,3.937,9.708,0.574,0.000,-0.101,3,6.175,14.254,0.980,"Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.070, 0.995, -0.070);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.070, 0.995, -0.070);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.098, 0.729, -0.677);Ground_Mountain_0_1:(0.416, 0.800, -0.433);Ground_Mountain_0_1:(0.416, 0.800, -0.433);Ground_Mountain_0_1:(0.416, 0.800, -0.433);Mountain trunk:(0.885, 0.000, 0.465);"
0.080,148.709,838.501,100.685,-133.558,22.028,19.901,5.115,9.174,0.713,0.000,-0.119,2,8.693,25.894,0.984,"Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.092, 0.988, -0.126);Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(-0.131, 0.919, -0.371);"
0.100,149.167,838.916,100.838,-133.384,21.427,19.997,5.083,9.296,0.986,0.000,-0.094,2,0.000,21.145,0.979,"Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.056, 0.878, -0.475);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.092, 0.988, -0.126);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(-0.064, 0.993, -0.098);Ground_Mountain_0_1:(-0.139, 0.979, -0.148);"
0.120,149.633,839.313,100.947,-133.201,21.120,19.842,5.433,9.069,1.000,0.000,-0.066,1,0.000,2.776,0.977,"Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(-0.139, 0.979, -0.148);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(0.132, 0.983, -0.126);Ground_Mountain_0_1:(-0.092, 0.988, -0.126);"
0.140,150.040,839.708,101.058,-133.026,21.014,19.776,5.527,8.899,1.000,0.000,-0.069,1,0.000,1.145,0.979,"Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(-0.131, 0.919, -0.371);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(-0.139, 0.979, -0.148);Ground_Mountain_0_1:(-0.139, 0.979, -0.148);Ground_Mountain_0_1:(-0.139, 0.979, -0.148);"
0.160,150.040,840.103,101.165,-132.851,21.066,19.768,5.329,8.895,1.000,0.000,-0.076,1,0.000,0.355,0.981,"Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.040, 0.809, -0.586);Ground_Mountain_0_1:(0.040, 0.809, -0.586);"
0.180,150.366,840.497,101.268,-132.675,21.114,19.760,5.130,8.892,1.000,0.000,-0.082,1,0.000,0.327,0.983,"Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.323, 0.877, -0.354);Ground_Mountain_0_1:(0.040, 0.809, -0.586);Ground_Mountain_0_1:(0.040, 0.809, -0.586);"
0.200,150.803,840.892,101.367,-132.500,21.158,19.752,4.932,8.888,1.000,0.000,-0.087,0,0.000,0.303,0.985,"Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.049, 0.993, -0.105);Ground_Mountain_0_1:(0.040, 0.809, -0.586);"
