t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.080,1048.520,153.281,42.486,31.257,-10.909,1.227,29.269,0.000,0.000,-0.055,2,7.902,2.809,0.999,"Ground_Mountain_1_4:(-0.042, 0.980, 0.196);Ground_Mountain_1_4:(-0.042, 0.980, 0.196);Ground_Mountain_1_4:(-0.042, 0.980, 0.196);Ground_Mountain_1_4:(-0.042, 0.980, 0.196);Ground_Mountain_1_4:(-0.042, 0.980, 0.196);Ground_Mountain_1_4:(-0.042, 0.980, 0.196);Ground_Mountain_1_4:(-0.105, 0.987, 0.119);Ground_Mountain_1_4:(-0.105, 0.987, 0.119);Ground_Mountain_1_4:(-0.105, 0.987, 0.119);Ground_Mountain_1_4:(-0.105, 0.987, 0.119);Ground_Mountain_1_4:(-0.105, 0.987, 0.119);Ground_Mountain_1_4:(-0.011, 0.944, 0.330);Ground_Mountain_1_4:(-0.011, 0.944, 0.330);Ground_Mountain_1_4:(-0.011, 0.944, 0.330);Ground_Mountain_1_4:(-0.011, 0.944, 0.330);Ground_Mountain_1_4:(-0.011, 0.944, 0.330);Ground_Mountain_1_4:(-0.011, 0.944, 0.330);Ground_Mountain_1_4:(-0.033, 0.975, 0.218);Ground_Mountain_1_4:(-0.033, 0.975, 0.218);Ground_Mountain_1_4:(-0.033, 0.975, 0.218);Ground_Mountain_1_4:(-0.033, 0.975, 0.218);Ground_Mountain_1_4:(-0.033, 0.975, 0.218);Ground_Mountain_1_4:(-0.105, 0.989, 0.102);Ground_Mountain_1_4:(-0.105, 0.989, 0.102);Ground_Mountain_1_4:(-0.105, 0.989, 0.102);Ground_Mountain_1_4:(-0.105, 0.989, 0.102);Ground_Mountain_1_4:(-0.105, 0.989, 0.102);Ground_Mountain_1_4:(-0.105, 0.989, 0.102);Ground_Mountain_1_4:(-0.004, 0.944, 0.330);Ground_Mountain_1_4:(-0.004, 0.944, 0.330);Ground_Mountain_1_4:(-0.004, 0.944, 0.330);Ground_Mountain_1_4:(-0.004, 0.944, 0.330);Ground_Mountain_1_4:(-0.004, 0.944, 0.330);Ground_Mountain_1_4:(-0.004, 0.944, 0.330);Ground_Mountain_1_4:(-0.004, 0.944, 0.330);Ground_Mountain_1_4:(-0.004, 0.944, 0.330);Ground_Mountain_1_4:(-0.004, 0.944, 0.330);Ground_Mountain_1_4:(-0.004, 0.944, 0.330);Ground_Mountain_1_4:(-0.004, 0.944, 0.330);Ground_Mountain_1_4:(-0.004, 0.944, 0.330);Ground_Mountain_1_4:(-0.033, 0.975, 0.218);Ground_Mountain_1_4:(-0.033, 0.975, 0.218);Ground_Mountain_1_4:(-0.033, 0.975, 0.218);Ground_Mountain_1_4:(-0.033, 0.975, 0.218);Ground_Mountain_1_4:(-0.103, 0.989, 0.107);Ground_Mountain_1_4:(-0.103, 0.989, 0.107);Ground_Mountain_1_4:(-0.103, 0.989, 0.107);Ground_Mountain_1_4:(-0.103, 0.989, 0.107);Ground_Mountain_1_4:(-0.103, 0.989, 0.107);Ground_Mountain_1_4:(-0.103, 0.989, 0.107);Ground_Mountain_1_4:(-0.033, 0.975, 0.218);Ground_Mountain_1_4:(-0.033, 0.975, 0.218);Ground_Mountain_1_4:(-0.033, 0.975, 0.218);Ground_Mountain_1_4:(-0.032, 0.944, 0.330);Ground_Mountain_1_4:(-0.101, 0.991, 0.091);Ground_Mountain_1_4:(-0.032, 0.944, 0.330);Ground_Mountain_1_4:(-0.032, 0.944, 0.330);Ground_Mountain_1_4:(-0.032, 0.944, 0.330);Ground_Mountain_1_4:(-0.032, 0.944, 0.330);Ground_Mountain_1_4:(-0.037, 0.957, 0.288);Ground_Mountain_1_4:(-0.037, 0.957, 0.288);Ground_Mountain_1_4:(-0.037, 0.957, 0.288);Ground_Mountain_1_4:(-0.037, 0.957, 0.288);Ground_Mountain_1_4:(-0.037, 0.957, 0.288);Ground_Mountain_1_4:(-0.037, 0.957, 0.288);Ground_Mountain_1_4:(-0.024, 0.957, 0.288);Ground_Mountain_1_4:(-0.024, 0.957, 0.288);Ground_Mountain_1_4:(-0.024, 0.957, 0.288);Ground_Mountain_1_4:(-0.024, 0.957, 0.288);Ground_Mountain_1_4:(-0.024, 0.957, 0.288);Ground_Mountain_1_4:(-0.024, 0.957, 0.288);Ground_Mountain_1_4:(-0.021, 0.916, 0.400);Ground_Mountain_1_4:(-0.021, 0.916, 0.400);Ground_Mountain_1_4:(-0.021, 0.916, 0.400);Ground_Mountain_1_4:(-0.029, 0.960, 0.277);Ground_Mountain_1_4:(-0.029, 0.960, 0.277);Ground_Mountain_1_4:(-0.029, 0.960, 0.277);Ground_Mountain_1_4:(-0.029, 0.960, 0.277);Ground_Mountain_1_4:(-0.029, 0.960, 0.277);Ground_Mountain_1_4:(-0.029, 0.960, 0.277);Ground_Mountain_1_4:(-0.021, 0.916, 0.400);Ground_Mountain_1_4:(-0.021, 0.916, 0.400);Ground_Mountain_1_4:(-0.021, 0.916, 0.400);Ground_Mountain_1_4:(-0.021, 0.916, 0.400);Ground_Mountain_1_4:(-0.041, 0.963, 0.267);Ground_Mountain_1_4:(-0.041, 0.963, 0.267);Ground_Mountain_1_4:(-0.041, 0.963, 0.267);Ground_Mountain_1_4:(-0.041, 0.963, 0.267);Ground_Mountain_1_4:(-0.041, 0.963, 0.267);Ground_Mountain_1_4:(-0.041, 0.963, 0.267);Ground_Mountain_1_4:(0.010, 0.944, 0.330);Ground_Mountain_1_4:(-0.021, 0.916, 0.400);Ground_Mountain_1_4:(0.010, 0.944, 0.330);Ground_Mountain_1_4:(-0.021, 0.916, 0.400);Ground_Mountain_1_4:(-0.021, 0.916, 0.400);Ground_Mountain_1_4:(-0.021, 0.916, 0.400);Ground_Mountain_1_4:(-0.021, 0.916, 0.400);Ground_Mountain_1_4:(-0.021, 0.916, 0.400);Ground_Mountain_1_4:(-0.087, 0.988, 0.124);Ground_Mountain_1_4:(-0.021, 0.916, 0.400);Ground_Mountain_1_4:(-0.087, 0.988, 0.124);Ground_Mountain_1_4:(-0.087, 0.988, 0.124);Ground_Mountain_1_4:(0.035, 0.894, 0.446);Ground_Mountain_1_4:(0.035, 0.894, 0.446);Ground_Mountain_1_4:(0.035, 0.894, 0.446);Ground_Mountain_1_4:(-0.027, 0.920, 0.391);Ground_Mountain_1_4:(-0.027, 0.920, 0.391);Ground_Mountain_1_4:(-0.027, 0.920, 0.391);Ground_Mountain_1_4:(-0.027, 0.920, 0.391);Ground_Mountain_1_4:(-0.027, 0.920, 0.391);Ground_Mountain_1_4:(-0.027, 0.920, 0.391);Ground_Mountain_1_4:(0.010, 0.916, 0.400);Ground_Mountain_1_4:(-0.011, 0.920, 0.391);Ground_Mountain_1_4:(-0.011, 0.920, 0.391);Ground_Mountain_1_4:(-0.011, 0.920, 0.391);Ground_Mountain_1_4:(-0.011, 0.920, 0.391);Ground_Mountain_1_4:(-0.011, 0.920, 0.391);Ground_Mountain_1_4:(-0.011, 0.920, 0.391);Ground_Mountain_1_4:(-0.022, 0.924, 0.382);Ground_Mountain_1_4:(-0.022, 0.924, 0.382);Ground_Mountain_1_4:(-0.022, 0.924, 0.382);Ground_Mountain_1_4:(-0.022, 0.924, 0.382);Ground_Mountain_1_4:(-0.022, 0.924, 0.382);Ground_Mountain_1_4:(-0.022, 0.924, 0.382);Ground_Mountain_1_4:(-0.023, 0.928, 0.373);Ground_Mountain_1_4:(-0.023, 0.928, 0.373);Ground_Mountain_1_4:(-0.023, 0.928, 0.373);Ground_Mountain_1_4:(-0.023, 0.928, 0.373);Ground_Mountain_1_4:(-0.019, 0.938, 0.345);Ground_Mountain_1_4:(-0.019, 0.938, 0.345);Ground_Mountain_1_4:(0.010, 0.916, 0.400);Ground_Mountain_1_4:(0.010, 0.916, 0.400);Ground_Mountain_1_4:(-0.018, 0.880, 0.474);Ground_Mountain_1_4:(-0.019, 0.938, 0.345);Ground_Mountain_1_4:(-0.055, 0.937, 0.344);Ground_Mountain_1_4:(-0.055, 0.937, 0.344);Ground_Mountain_1_4:(0.031, 0.859, 0.511);Ground_Mountain_1_4:(-0.055, 0.937, 0.344);Ground_Mountain_1_4:(-0.055, 0.937, 0.344);Ground_Mountain_1_4:(-0.055, 0.937, 0.344);Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.052, 0.989, -0.137);Ground_Mountain_2_3:(0.052, 0.989, -0.137);"
0.040,472.665,1048.307,153.311,43.057,31.178,-10.870,1.602,29.227,0.371,0.000,-0.057,4,15.774,14.059,0.994,"Ground_Mountain_2_3:(0.054, 0.989, -0.137);Ground_Mountain_2_3:(0.054, 0.989, -0.137);Ground_Mountain_2_3:(0.054, 0.989, -0.137);Ground_Mountain_2_3:(0.054, 0.989, -0.137);Ground_Mountain_2_3:(0.054, 0.989, -0.137);Ground_Mountain_2_3:(0.054, 0.989, -0.137);"
0.060,473.246,1048.095,153.364,43.628,31.011,-10.769,2.665,29.008,0.411,0.000,-0.060,4,29.823,14.933,0.990,"Ground_Mountain_2_3:(0.055, 0.989, -0.137);Ground_Mountain_2_3:(0.055, 0.989, -0.137);Ground_Mountain_2_3:(0.055, 0.989, -0.137);Ground_Mountain_2_3:(0.055, 0.989, -0.137);Ground_Mountain_2_3:(0.055, 0.989, -0.137);Ground_Mountain_2_3:(0.055, 0.989, -0.137);"
0.080,473.856,1047.883,153.447,44.199,30.824,-10.647,4.198,28.622,0.494,0.000,-0.063,4,32.350,10.270,0.989,"Ground_Mountain_2_3:(0.055, 0.989, -0.138);Ground_Mountain_2_3:(0.055, 0.989, -0.138);Ground_Mountain_2_3:(0.055, 0.989, -0.138);Ground_Mountain_2_3:(0.055, 0.989, -0.138);Ground_Mountain_2_3:(0.055, 0.989, -0.138);Ground_Mountain_2_3:(0.055, 0.989, -0.138);"
0.100,474.470,1047.670,153.538,44.771,30.869,-10.660,4.535,28.613,0.588,0.000,-0.067,4,21.997,2.106,0.989,"Ground_Mountain_2_3:(0.056, 0.989, -0.137);Ground_Mountain_2_3:(0.056, 0.989, -0.137);Ground_Mountain_2_3:(0.056, 0.989, -0.137);Ground_Mountain_2_3:(0.056, 0.989, -0.137);Ground_Mountain_2_3:(0.056, 0.989, -0.137);Ground_Mountain_2_3:(0.056, 0.989, -0.137);"
0.120,475.043,1047.456,153.633,45.343,30.928,-10.688,4.744,28.633,0.565,0.000,-0.070,4,19.843,0.610,0.989,"Ground_Mountain_2_3:(0.057, 0.989, -0.137);Ground_Mountain_2_3:(0.057, 0.989, -0.137);Ground_Mountain_2_3:(0.057, 0.989, -0.137);Ground_Mountain_2_3:(0.057, 0.989, -0.137);Ground_Mountain_2_3:(0.057, 0.989, -0.137);Ground_Mountain_2_3:(0.057, 0.989, -0.137);"
0.140,475.660,1047.242,153.731,45.916,30.981,-10.728,4.924,28.646,0.536,0.000,-0.072,4,18.366,0.504,0.988,"Ground_Mountain_2_3:(0.057, 0.989, -0.137);Ground_Mountain_2_3:(0.057, 0.989, -0.137);Ground_Mountain_2_3:(0.057, 0.989, -0.137);Ground_Mountain_2_3:(0.057, 0.989, -0.137);Ground_Mountain_2_3:(0.057, 0.989, -0.137);Ground_Mountain_2_3:(0.057, 0.989, -0.137);"
0.160,476.279,1047.026,153.833,46.488,31.028,-10.786,5.071,28.652,0.510,0.000,-0.074,4,16.795,0.403,0.988,"Ground_Mountain_2_3:(0.058, 0.989, -0.136);Ground_Mountain_2_3:(0.058, 0.989, -0.136);Ground_Mountain_2_3:(0.058, 0.989, -0.136);Ground_Mountain_2_3:(0.058, 0.989, -0.136);Ground_Mountain_2_3:(0.058, 0.989, -0.136);Ground_Mountain_2_3:(0.058, 0.989, -0.136);"
0.180,476.853,1046.809,153.936,47.061,31.070,-10.866,5.186,28.649,0.486,0.000,-0.075,4,15.203,0.323,0.988,"Ground_Mountain_2_3:(0.058, 0.989, -0.136);Ground_Mountain_2_3:(0.058, 0.989, -0.136);Ground_Mountain_2_3:(0.058, 0.989, -0.136);Ground_Mountain_2_3:(0.058, 0.989, -0.136);Ground_Mountain_2_3:(0.058, 0.989, -0.136);Ground_Mountain_2_3:(0.058, 0.989, -0.136);"
0.200,477.474,1046.590,154.042,47.634,31.107,-10.969,5.270,28.637,0.465,0.000,-0.075,4,13.641,0.256,0.988,"Ground_Mountain_2_3:(0.059, 0.989, -0.135);Ground_Mountain_2_3:(0.059, 0.989, -0.135);Ground_Mountain_2_3:(0.059, 0.989, -0.135);Ground_Mountain_2_3:(0.059, 0.989, -0.135);Ground_Mountain_2_3:(0.059, 0.989, -0.135);Ground_Mountain_2_3:(0.059, 0.989, -0.135);"
