t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,472.103,1046.693,153.408,41.658,23.779,-8.324,-0.022,22.275,0.000,0.000,-0.078,2,10.332,1.826,1.000,""
0.040,472.571,1046.527,153.409,42.100,23.782,-8.329,0.061,22.279,0.111,0.000,-0.082,4,13.862,0.520,1.000,""
0.060,473.037,1046.368,153.423,42.535,23.632,-8.215,0.708,22.150,0.109,0.000,-0.084,4,19.940,0.606,0.999,"Ground_Mountain_2_3:(0.056, 0.989, -0.139);Ground_Mountain_2_3:(0.056, 0.989, -0.139);Ground_Mountain_2_3:(0.056, 0.989, -0.139);Ground_Mountain_2_3:(0.056, 0.989, -0.139);Ground_Mountain_2_3:(0.056, 0.989, -0.139);"
0.080,473.497,1046.208,153.445,42.969,23.594,-8.192,1.116,22.105,0.184,0.000,-0.088,4,23.464,4.065,0.998,"Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);Ground_Mountain_2_3:(0.058, 0.988, -0.140);"
0.100,473.957,1046.047,153.475,43.403,23.581,-8.196,1.531,22.067,0.203,0.000,-0.092,4,28.311,4.213,0.996,"Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);"
0.120,474.419,1045.885,153.514,43.838,23.578,-8.210,1.973,22.023,0.210,0.000,-0.095,4,31.826,3.690,0.994,"Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);Ground_Mountain_2_3:(0.060, 0.988, -0.139);"
0.140,474.883,1045.722,153.562,44.273,23.575,-8.222,2.450,21.964,0.211,0.000,-0.097,4,33.645,2.926,0.993,"Ground_Mountain_2_3:(0.059, 0.988, -0.140);Ground_Mountain_2_3:(0.059, 0.988, -0.140);Ground_Mountain_2_3:(0.059, 0.988, -0.140);Ground_Mountain_2_3:(0.059, 0.988, -0.140);"
0.160,475.349,1045.559,153.620,44.708,23.572,-8.238,2.927,21.893,0.213,0.000,-0.099,4,33.752,2.289,0.991,"Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);Ground_Mountain_2_3:(0.061, 0.989, -0.138);"
0.180,475.817,1045.395,153.688,45.142,23.569,-8.261,3.381,21.816,0.214,0.000,-0.100,4,32.615,1.756,0.990,"Ground_Mountain_2_3:(0.063, 0.988, -0.138);Ground_Mountain_2_3:(0.063, 0.988, -0.138);Ground_Mountain_2_3:(0.063, 0.988, -0.138);Ground_Mountain_2_3:(0.063, 0.988, -0.138);Ground_Mountain_2_3:(0.063, 0.988, -0.138);"
0.200,476.285,1045.229,153.763,45.575,23.565,-8.293,3.795,21.736,0.216,0.000,-0.101,4,30.573,1.335,0.990,"Ground_Mountain_2_3:(0.064, 0.988, -0.139);Ground_Mountain_2_3:(0.064, 0.988, -0.139);Ground_Mountain_2_3:(0.064, 0.988, -0.139);"
