t,station,x,y,z,speed,vx,vy,vz,throttle,brake,steering,grounded,suspension,alignment,up,contacts
0.020,278.116,941.962,124.794,-78.503,15.856,-15.799,0.032,-1.350,0.000,0.000,0.001,2,9.869,4.780,1.000,"Ground_Mountain_0_1:(-0.235, 0.972, -0.021);Ground_Mountain_0_1:(-0.235, 0.972, -0.021);Ground_Mountain_0_1:(-0.235, 0.972, -0.021);Ground_Mountain_0_1:(-0.235, 0.972, -0.021);Ground_Mountain_0_1:(-0.235, 0.972, -0.021);Ground_Mountain_0_1:(-0.235, 0.972, -0.021);Ground_Mountain_0_1:(-0.234, 0.972, -0.020);Ground_Mountain_0_1:(-0.234, 0.972, -0.020);Ground_Mountain_0_1:(-0.234, 0.972, -0.020);Ground_Mountain_0_1:(-0.234, 0.972, -0.020);Ground_Mountain_0_1:(-0.234, 0.972, -0.020);Ground_Mountain_0_1:(-0.234, 0.972, -0.020);Ground_Mountain_0_1:(-0.234, 0.972, -0.021);Ground_Mountain_0_1:(-0.234, 0.972, -0.021);Ground_Mountain_0_1:(-0.234, 0.972, -0.021);Ground_Mountain_0_1:(-0.234, 0.972, -0.021);Ground_Mountain_0_1:(-0.234, 0.972, -0.021);Ground_Mountain_0_1:(-0.234, 0.972, -0.021);Ground_Mountain_0_1:(-0.225, 0.974, -0.019);Ground_Mountain_0_1:(-0.225, 0.974, -0.019);Ground_Mountain_0_1:(-0.225, 0.974, -0.019);Ground_Mountain_0_1:(-0.225, 0.974, -0.019);Ground_Mountain_0_1:(-0.225, 0.974, -0.019);Ground_Mountain_0_1:(-0.225, 0.974, -0.019);Ground_Mountain_0_1:(-0.204, 0.979, -0.016);Ground_Mountain_0_1:(-0.204, 0.979, -0.016);Ground_Mountain_0_1:(-0.204, 0.979, -0.016);Ground_Mountain_0_1:(-0.204, 0.979, -0.016);Ground_Mountain_0_1:(-0.204, 0.979, -0.016);Ground_Mountain_0_1:(-0.204, 0.979, -0.016);Ground_Mountain_0_1:(-0.201, 0.979, -0.016);Ground_Mountain_0_1:(-0.201, 0.979, -0.016);Ground_Mountain_0_1:(-0.201, 0.979, -0.016);Ground_Mountain_0_1:(-0.201, 0.979, -0.016);Ground_Mountain_0_1:(-0.201, 0.979, -0.016);Ground_Mountain_0_1:(-0.201, 0.979, -0.016);Ground_Mountain_0_1:(-0.201, 0.979, -0.016);Ground_Mountain_0_1:(-0.201, 0.979, -0.016);Ground_Mountain_0_1:(-0.201, 0.979, -0.016);Ground_Mountain_0_1:(-0.201, 0.979, -0.016);Ground_Mountain_0_1:(-0.201, 0.979, -0.016);Ground_Mountain_0_1:(-0.201, 0.979, -0.016);Ground_Mountain_0_1:(-0.200, 0.980, -0.015);Ground_Mountain_0_1:(-0.200, 0.980, -0.015);Ground_Mountain_0_1:(-0.200, 0.980, -0.015);Ground_Mountain_0_1:(-0.200, 0.980, -0.015);Ground_Mountain_0_1:(-0.200, 0.980, -0.015);Ground_Mountain_0_1:(-0.200, 0.980, -0.015);Ground_Mountain_0_1:(-0.199, 0.980, -0.014);Ground_Mountain_0_1:(-0.199, 0.980, -0.014);Ground_Mountain_0_1:(-0.199, 0.980, -0.014);Ground_Mountain_0_1:(-0.199, 0.980, -0.014);Ground_Mountain_0_1:(-0.199, 0.980, -0.014);Ground_Mountain_0_1:(-0.199, 0.980, -0.014);Ground_Mountain_0_1:(-0.198, 0.980, -0.013);Ground_Mountain_0_1:(-0.198, 0.980, -0.013);Ground_Mountain_0_1:(-0.198, 0.980, -0.013);Ground_Mountain_0_1:(-0.198, 0.980, -0.013);Ground_Mountain_0_1:(-0.198, 0.980, -0.013);Ground_Mountain_0_1:(-0.198, 0.980, -0.013);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.222, 0.975, -0.015);Ground_Mountain_0_1:(-0.222, 0.975, -0.015);Ground_Mountain_0_1:(-0.222, 0.975, -0.015);Ground_Mountain_0_1:(-0.222, 0.975, -0.015);Ground_Mountain_0_1:(-0.222, 0.975, -0.015);Ground_Mountain_0_1:(-0.222, 0.975, -0.015);Ground_Mountain_0_1:(-0.153, 0.988, -0.011);Ground_Mountain_0_1:(-0.153, 0.988, -0.011);Ground_Mountain_0_1:(-0.153, 0.988, -0.011);Ground_Mountain_0_1:(-0.153, 0.988, -0.011);Ground_Mountain_0_1:(-0.153, 0.988, -0.011);Ground_Mountain_0_1:(-0.153, 0.988, -0.011);Ground_Mountain_0_1:(-0.153, 0.988, -0.011);Ground_Mountain_0_1:(-0.153, 0.988, -0.011);Ground_Mountain_0_1:(-0.153, 0.988, -0.011);Ground_Mountain_0_1:(-0.153, 0.988, -0.011);Ground_Mountain_0_1:(-0.153, 0.988, -0.011);Ground_Mountain_0_1:(-0.153, 0.988, -0.011);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.152, 0.988, -0.010);Ground_Mountain_0_1:(-0.150, 0.989, -0.008);Ground_Mountain_0_1:(-0.150, 0.989, -0.008);Ground_Mountain_0_1:(-0.150, 0.989, -0.008);Ground_Mountain_0_1:(-0.150, 0.989, -0.008);Ground_Mountain_0_1:(-0.150, 0.989, -0.008);Ground_Mountain_0_1:(-0.150, 0.989, -0.008);Ground_Mountain_0_1:(-0.141, 0.990, -0.008);Ground_Mountain_0_1:(-0.141, 0.990, -0.008);Ground_Mountain_0_1:(-0.141, 0.990, -0.008);Ground_Mountain_0_1:(-0.141, 0.990, -0.008);Ground_Mountain_0_1:(-0.141, 0.990, -0.008);Ground_Mountain_0_1:(-0.141, 0.990, -0.008);Ground_Mountain_0_1:(-0.105, 0.994, -0.007);Ground_Mountain_0_1:(-0.105, 0.994, -0.007);Ground_Mountain_0_1:(-0.105, 0.994, -0.007);Ground_Mountain_0_1:(-0.105, 0.994, -0.007);Ground_Mountain_0_1:(-0.105, 0.994, -0.007);Ground_Mountain_0_1:(-0.105, 0.994, -0.007);Ground_Mountain_0_1:(-0.097, 0.995, -0.006);Ground_Mountain_0_1:(-0.097, 0.995, -0.006);Ground_Mountain_0_1:(-0.097, 0.995, -0.006);Ground_Mountain_0_1:(-0.097, 0.995, -0.006);Ground_Mountain_0_1:(-0.097, 0.995, -0.006);Ground_Mountain_0_1:(-0.097, 0.995, -0.006);Ground_Mountain_0_1:(-0.097, 0.995, -0.006);Ground_Mountain_0_1:(-0.097, 0.995, -0.006);Ground_Mountain_0_1:(-0.097, 0.995, -0.006);Ground_Mountain_0_1:(-0.097, 0.995, -0.006);Ground_Mountain_0_1:(-0.097, 0.995, -0.006);Ground_Mountain_0_1:(-0.097, 0.995, -0.006);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);"
0.040,277.805,941.643,124.793,-78.530,15.867,-15.810,-0.046,-1.351,0.072,0.000,0.001,2,6.118,3.127,1.000,"Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);"
0.060,277.502,941.324,124.789,-78.557,15.878,-15.821,-0.188,-1.352,0.066,0.000,0.001,2,2.885,1.976,1.000,"Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);"
0.080,277.190,941.005,124.781,-78.585,15.891,-15.829,-0.385,-1.353,0.061,0.000,0.000,2,0.111,1.248,0.999,"Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);Ground_Mountain_1_1:(-0.217, 0.976, -0.019);"
0.100,276.876,940.685,124.770,-78.612,15.904,-15.836,-0.584,-1.353,0.055,0.000,0.000,2,0.000,1.122,0.999,"Ground_Mountain_1_1:(-0.218, 0.976, -0.019);Ground_Mountain_1_1:(-0.218, 0.976, -0.019);Ground_Mountain_1_1:(-0.218, 0.976, -0.019);Ground_Mountain_1_1:(-0.218, 0.976, -0.019);Ground_Mountain_1_1:(-0.218, 0.976, -0.019);Ground_Mountain_1_1:(-0.218, 0.976, -0.019);"
0.120,276.561,940.365,124.754,-78.639,15.906,-15.829,-0.780,-1.352,0.048,0.000,0.000,0,0.000,0.772,0.998,""
0.140,276.245,940.046,124.734,-78.667,15.910,-15.823,-0.976,-1.352,0.047,0.000,0.000,0,0.000,0.795,0.998,""
0.160,275.929,939.727,124.710,-78.694,15.917,-15.817,-1.171,-1.351,0.045,0.000,0.000,0,0.000,0.816,0.997,""
0.180,275.612,939.408,124.683,-78.721,15.927,-15.810,-1.367,-1.351,0.041,0.000,0.000,0,0.000,0.836,0.996,""
0.200,275.305,939.089,124.651,-78.748,15.938,-15.804,-1.563,-1.350,0.037,0.000,0.000,0,0.000,0.853,0.996,""
